date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,22.05,22.05,20.95,21.05,332313.0,21.311,1953,False
2018-05-25 00:00:00+00:00,21.25,22.15,21.05,21.25,1365672.0,21.585,8678,False
2018-06-01 00:00:00+00:00,21.15,22.4,21.05,21.75,1387517.0,21.484,9532,False
2018-06-08 00:00:00+00:00,21.8,22.0,20.2,20.5,1243212.0,21.102,7409,False
2018-06-15 00:00:00+00:00,20.45,21.4,20.05,20.4,1653039.0,20.711,8964,False
2018-06-22 00:00:00+00:00,20.1,21.2,20.1,20.45,1570410.0,20.511,8289,False
2018-06-29 00:00:00+00:00,20.3,20.7,19.3,19.8,1258558.0,19.997,8536,False
2018-07-06 00:00:00+00:00,19.65,21.28,19.4,21.05,845652.0,20.324,5709,False
2018-07-13 00:00:00+00:00,21.2,22.7,20.3,21.0,1365572.0,21.322,9332,False
2018-07-20 00:00:00+00:00,21.1,22.08,20.9,21.5,1120448.0,21.58,7194,False
2018-07-27 00:00:00+00:00,21.35,22.45,20.75,22.25,1220472.0,21.497,7888,False
2018-08-03 00:00:00+00:00,22.25,25.17,21.3,23.2,2467517.0,22.791,16868,False
2018-08-10 00:00:00+00:00,23.15,23.25,21.2,21.35,1239473.0,22.255,7998,False
2018-08-17 00:00:00+00:00,21.35,21.45,19.15,19.2,1070757.0,20.221,6713,False
2018-08-24 00:00:00+00:00,18.9,19.91,18.75,19.75,1458426.0,19.418,8777,False
2018-08-31 00:00:00+00:00,19.85,20.3,19.75,20.2,819688.0,20.055,5414,False
2018-09-07 00:00:00+00:00,20.35,20.6,18.95,19.35,1079593.0,19.739,6376,False
2018-09-14 00:00:00+00:00,19.55,19.6,18.35,19.2,1283532.0,18.958,7549,False
2018-09-21 00:00:00+00:00,19.25,20.75,18.9,20.35,1137214.0,19.977,7452,False
2018-09-28 00:00:00+00:00,20.35,20.35,19.35,19.65,784249.0,19.88,4846,False
2018-10-05 00:00:00+00:00,19.76,19.98,18.1,18.32,1167513.0,19.04,6668,False
2018-10-12 00:00:00+00:00,18.26,18.3,16.65,16.9,1094148.0,17.433,7834,False
2018-10-19 00:00:00+00:00,16.9,19.55,16.79,18.12,1339017.0,18.312,8795,False
2018-10-26 00:00:00+00:00,18.22,18.46,16.71,17.27,929887.0,17.52,5912,False
2018-11-02 00:00:00+00:00,16.75,19.82,15.72,18.07,1398391.0,17.361,9715,False
2018-11-09 00:00:00+00:00,17.98,18.04,16.89,17.05,741365.0,17.383,5491,False
2018-11-16 00:00:00+00:00,16.89,17.57,15.97,17.56,976174.0,16.578,6878,False
2018-11-23 00:00:00+00:00,17.45,18.15,16.57,17.9,607333.0,17.439,4288,False
2018-11-30 00:00:00+00:00,18.19,20.02,17.53,19.92,735795.0,18.86,5462,False
2018-12-07 00:00:00+00:00,20.44,20.57,18.29,18.54,581175.0,19.239,4314,False
2018-12-14 00:00:00+00:00,18.54,18.92,17.6,17.79,576500.0,18.303,4337,False
2018-12-21 00:00:00+00:00,17.77,18.35,15.69,15.85,853979.0,17.052,6057,False
2018-12-28 00:00:00+00:00,15.71,18.09,15.46,17.76,569649.0,16.694,4144,False
2019-01-04 00:00:00+00:00,17.8,18.14,16.55,17.61,669022.0,17.364,5352,False
2019-01-11 00:00:00+00:00,17.69,18.62,17.34,18.11,698202.0,17.996,4478,False
2019-01-18 00:00:00+00:00,18.19,19.96,18.04,19.53,868827.0,19.021,5997,False
2019-01-25 00:00:00+00:00,19.32,20.18,17.9,20.05,682409.0,18.95,5103,False
2019-02-01 00:00:00+00:00,19.8,21.5,19.8,21.4,906104.0,20.727,6554,False
2019-02-08 00:00:00+00:00,21.39,22.99,21.0,21.85,887864.0,21.961,5916,False
2019-02-15 00:00:00+00:00,21.93,22.72,21.46,22.44,596300.0,22.294,4164,False
2019-02-22 00:00:00+00:00,22.26,22.76,21.85,22.02,756525.0,22.317,5308,False
2019-03-01 00:00:00+00:00,22.26,22.35,20.83,21.11,529645.0,21.482,4016,False
2019-03-08 00:00:00+00:00,21.16,21.42,19.46,19.57,486964.0,20.458,3171,False
2019-03-11 00:00:00+00:00,20.18,21.05,19.84,20.59,816860.0,20.281,4420,False
2019-03-22 00:00:00+00:00,20.61,21.18,19.8,19.97,395204.0,20.556,2848,False
2019-03-29 00:00:00+00:00,19.94,20.58,19.58,20.12,590820.0,19.978,4201,False
2019-04-05 00:00:00+00:00,20.26,21.08,19.95,20.96,657767.0,20.554,5139,False
2019-04-12 00:00:00+00:00,20.89,21.58,20.62,21.45,691805.0,20.917,4231,False
2019-04-18 00:00:00+00:00,21.42,21.97,21.09,21.67,340968.0,21.602,2551,False
2019-04-26 00:00:00+00:00,21.63,21.94,20.86,21.29,405769.0,21.358,3139,False
2019-05-03 00:00:00+00:00,21.3,21.96,20.98,21.96,448600.0,21.374,3311,False
2019-05-10 00:00:00+00:00,21.39,22.19,17.07,17.48,1863895.0,19.131,12263,False
2019-05-17 00:00:00+00:00,17.13,17.3,16.36,16.5,900493.0,16.805,6313,False
2019-05-24 00:00:00+00:00,16.21,16.46,15.15,15.7,796854.0,15.879,5606,False
2019-05-31 00:00:00+00:00,15.72,15.83,14.73,14.83,668143.0,15.303,4360,False
2019-06-07 00:00:00+00:00,14.66,15.5,14.47,15.03,1072950.0,14.902,6522,False
2019-06-14 00:00:00+00:00,15.13,15.88,14.45,14.59,816864.0,15.06,5843,False
2019-06-21 00:00:00+00:00,14.59,14.96,14.18,14.46,401951.0,14.613,3016,False
2019-06-28 00:00:00+00:00,14.52,15.4,13.99,15.05,567809.0,14.692,3942,False
2019-07-05 00:00:00+00:00,15.52,15.77,14.89,15.16,337867.0,15.284,1989,False
2019-07-12 00:00:00+00:00,15.03,15.28,14.56,15.16,395338.0,14.931,2832,False
2019-07-19 00:00:00+00:00,15.16,15.63,14.91,15.33,684423.0,15.251,5021,False
2019-07-26 00:00:00+00:00,15.44,16.61,15.44,15.97,1023526.0,16.078,6687,False
2019-08-02 00:00:00+00:00,15.83,16.59,15.46,15.77,875804.0,16.131,5384,False
2019-08-09 00:00:00+00:00,15.35,16.06,14.73,15.04,791395.0,15.099,5452,False
2019-08-16 00:00:00+00:00,14.9,15.57,14.78,15.33,481228.0,15.122,3636,False
2019-08-23 00:00:00+00:00,15.59,15.66,14.67,14.85,467874.0,15.198,3349,False
2019-08-30 00:00:00+00:00,15.06,15.45,14.53,15.31,382019.0,14.99,2936,False
2019-09-06 00:00:00+00:00,15.14,16.78,14.91,16.0,486857.0,15.877,3631,False
2019-09-13 00:00:00+00:00,15.98,18.54,15.98,18.41,929650.0,17.506,7492,False
2019-09-20 00:00:00+00:00,18.31,18.75,17.96,18.22,720650.0,18.324,5115,False
2019-09-27 00:00:00+00:00,18.16,18.82,16.5,16.79,726265.0,17.862,5577,False
2019-10-04 00:00:00+00:00,16.86,17.63,16.13,17.34,625129.0,16.75,4492,False
2019-10-11 00:00:00+00:00,17.34,18.16,16.61,17.99,596624.0,17.407,4175,False
2019-10-18 00:00:00+00:00,17.93,18.59,17.33,17.82,648739.0,18.017,3866,False
2019-10-25 00:00:00+00:00,18.08,19.81,17.91,19.6,586063.0,18.831,4345,False
2019-11-01 00:00:00+00:00,19.76,21.35,19.05,20.87,986802.0,20.211,6734,False
2019-11-08 00:00:00+00:00,21.69,22.32,21.25,21.88,786610.0,21.818,6212,False
2019-11-15 00:00:00+00:00,21.85,22.87,21.42,22.74,582418.0,22.358,4250,False
2019-11-22 00:00:00+00:00,22.64,22.82,20.66,20.72,773926.0,21.915,5468,False
2019-11-29 00:00:00+00:00,20.78,21.87,20.69,21.44,307211.0,21.559,2435,False
2019-12-06 00:00:00+00:00,21.52,23.31,20.46,22.84,768989.0,22.051,6114,False
2019-12-13 00:00:00+00:00,22.81,23.8,22.46,23.56,570465.0,23.062,4031,False
2019-12-20 00:00:00+00:00,23.62,25.0,23.46,24.81,935976.0,24.433,5247,False
2019-12-27 00:00:00+00:00,24.89,24.91,23.85,24.18,223325.0,24.304,1665,False
2020-01-03 00:00:00+00:00,24.18,24.86,23.71,24.79,309579.0,24.392,2433,False
2020-01-10 00:00:00+00:00,24.48,25.18,23.81,24.23,474637.0,24.512,3112,False
2020-01-17 00:00:00+00:00,24.28,25.6,23.04,25.03,674905.0,24.753,4776,False
2020-01-24 00:00:00+00:00,24.79,25.53,24.29,25.02,481260.0,24.951,3271,False
2020-01-31 00:00:00+00:00,24.33,24.79,23.31,24.15,671151.0,24.179,5125,False
2020-02-07 00:00:00+00:00,24.14,28.75,24.14,26.83,1210605.0,26.744,7716,False
2020-02-14 00:00:00+00:00,26.43,29.24,26.43,28.32,1585764.0,28.523,10386,False
2020-02-21 00:00:00+00:00,27.67,28.45,25.66,26.16,811389.0,27.515,5289,False
2020-02-28 00:00:00+00:00,25.08,25.18,21.92,23.99,1324992.0,23.731,10148,False
2020-03-06 00:00:00+00:00,24.28,24.3,22.3,23.47,651570.0,23.479,4803,False
2020-03-13 00:00:00+00:00,21.59,22.85,18.49,20.21,1536562.0,20.611,9723,False
2020-03-20 00:00:00+00:00,18.32,19.54,12.99,13.6,1554499.0,15.781,10331,False
2020-03-27 00:00:00+00:00,13.97,19.91,13.71,17.74,1255602.0,17.303,8729,False
2020-04-03 00:00:00+00:00,17.86,19.02,16.11,16.82,1071334.0,17.483,7429,False
2020-04-09 00:00:00+00:00,17.81,20.99,17.81,19.63,886850.0,19.347,6880,False
2020-04-17 00:00:00+00:00,19.46,22.28,18.92,21.47,1314402.0,21.139,9653,False
2020-04-24 00:00:00+00:00,20.94,22.08,19.86,21.69,660841.0,21.236,5447,False
2020-05-01 00:00:00+00:00,21.94,26.07,21.79,22.48,1329575.0,23.864,10551,False
2020-05-08 00:00:00+00:00,22.18,26.96,21.78,26.25,1598186.0,25.013,11406,False
2020-05-15 00:00:00+00:00,25.63,27.82,23.31,23.52,2135011.0,25.793,13820,False
2020-05-22 00:00:00+00:00,24.53,25.72,23.62,25.0,884993.0,24.815,6596,False
2020-05-29 00:00:00+00:00,26.62,27.57,25.3,26.85,1547953.0,26.616,10648,False
2020-06-05 00:00:00+00:00,27.0,28.0,25.41,26.76,1207831.0,26.728,8661,False
2020-06-12 00:00:00+00:00,27.74,28.37,25.02,25.72,1459028.0,27.198,8651,False
2020-06-19 00:00:00+00:00,25.08,28.85,24.75,28.19,1176841.0,27.496,7290,False
2020-06-26 00:00:00+00:00,27.7,28.44,26.14,27.16,1443312.0,27.428,9988,False
2020-07-02 00:00:00+00:00,27.46,28.17,26.57,27.28,1028983.0,27.418,7229,False
2020-07-10 00:00:00+00:00,27.82,29.3,27.14,28.33,1255506.0,28.214,8076,False
2020-07-17 00:00:00+00:00,28.75,29.53,26.49,28.14,980233.0,27.888,6708,False
2020-07-24 00:00:00+00:00,27.93,29.7,27.03,27.48,996409.0,28.535,6572,False
2020-07-31 00:00:00+00:00,27.85,29.46,27.67,29.42,895947.0,28.654,6288,False
2020-08-07 00:00:00+00:00,29.74,31.5,24.45,26.03,3193583.0,26.637,19529,False
2020-08-14 00:00:00+00:00,26.12,27.43,25.9,26.74,1037520.0,26.483,7707,False
2020-08-21 00:00:00+00:00,26.94,27.4,24.23,24.55,1139678.0,25.374,6432,False
2020-08-28 00:00:00+00:00,24.83,25.09,23.41,24.13,741260.0,24.221,4906,False
2020-09-04 00:00:00+00:00,23.92,25.41,22.0,22.65,1111686.0,23.749,7356,False
2020-09-11 00:00:00+00:00,21.56,22.22,20.4,20.5,1163072.0,21.292,8374,False
2020-09-18 00:00:00+00:00,20.99,22.84,20.81,22.54,1202579.0,21.918,7337,False
2020-09-25 00:00:00+00:00,23.11,23.23,21.27,21.52,1134350.0,22.232,7553,False
2020-10-02 00:00:00+00:00,21.89,23.26,21.63,22.25,980439.0,22.347,5679,False
2020-10-09 00:00:00+00:00,22.57,23.99,22.57,23.78,779509.0,23.374,4779,False
2020-10-16 00:00:00+00:00,23.94,25.23,23.53,23.63,781920.0,24.274,4470,False
2020-10-23 00:00:00+00:00,23.62,23.97,22.84,23.04,564239.0,23.32,3847,False
2020-10-30 00:00:00+00:00,22.76,23.0,21.69,22.07,598165.0,22.264,4370,False
2020-11-06 00:00:00+00:00,22.33,25.73,22.2,24.26,828100.0,24.142,5444,False
2020-11-13 00:00:00+00:00,25.24,26.76,23.6,26.01,1444894.0,25.292,8485,False
2020-11-20 00:00:00+00:00,26.5,27.0,25.46,26.4,704253.0,26.307,4253,False
2020-11-27 00:00:00+00:00,26.8,27.79,26.51,27.22,630715.0,27.109,3758,False
2020-12-04 00:00:00+00:00,27.32,29.28,26.82,29.24,971287.0,27.805,6421,False
2020-12-11 00:00:00+00:00,29.33,29.69,27.76,28.36,587927.0,28.7,3706,False
2020-12-18 00:00:00+00:00,28.54,30.05,28.36,29.67,913149.0,29.205,5451,False
