date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,23.75,23.92,23.64,23.84,413639.0,23.798,3018,False
2018-05-25 00:00:00+00:00,24.1,25.29,23.64,25.13,1707773.0,24.671,12795,False
2018-06-01 00:00:00+00:00,25.02,25.87,24.79,25.56,2491496.0,25.567,17723,False
2018-06-08 00:00:00+00:00,25.67,27.28,25.57,27.19,2618676.0,26.661,17808,False
2018-06-15 00:00:00+00:00,26.62,27.94,26.31,27.42,2492803.0,27.358,17436,False
2018-06-22 00:00:00+00:00,27.46,28.44,26.82,28.39,2698642.0,27.508,19684,False
2018-06-29 00:00:00+00:00,28.48,28.56,27.25,27.37,1958141.0,27.823,14701,False
2018-07-06 00:00:00+00:00,27.3,27.74,26.94,27.68,1790380.0,27.372,13075,False
2018-07-13 00:00:00+00:00,27.64,27.69,26.91,27.0,1775782.0,27.206,13003,False
2018-07-20 00:00:00+00:00,26.93,27.01,26.15,26.57,1746392.0,26.629,11445,False
2018-07-27 00:00:00+00:00,26.59,27.65,26.28,26.36,2095204.0,26.878,15388,False
2018-08-03 00:00:00+00:00,25.87,27.52,25.86,27.5,1190103.0,26.995,9240,False
2018-08-10 00:00:00+00:00,27.49,27.67,26.46,26.63,1400924.0,26.953,9835,False
2018-08-17 00:00:00+00:00,26.63,28.27,26.47,28.27,997982.0,27.458,7941,False
2018-08-24 00:00:00+00:00,28.38,28.77,28.21,28.71,1737498.0,28.519,12540,False
2018-08-31 00:00:00+00:00,28.76,28.77,28.03,28.52,1438491.0,28.4,10513,False
2018-09-07 00:00:00+00:00,28.46,28.8,27.88,28.43,825567.0,28.437,6285,False
2018-09-14 00:00:00+00:00,28.58,28.82,27.97,28.19,1284458.0,28.578,9728,False
2018-09-21 00:00:00+00:00,28.29,28.76,27.87,28.46,1621745.0,28.383,10455,False
2018-09-28 00:00:00+00:00,28.39,28.39,27.38,28.03,916110.0,27.81,7168,False
2018-10-05 00:00:00+00:00,28.07,28.15,26.81,27.29,1563787.0,27.59,11894,False
2018-10-12 00:00:00+00:00,27.46,28.29,26.57,26.66,1723283.0,27.708,11868,False
2018-10-19 00:00:00+00:00,26.57,27.87,26.57,27.85,1124226.0,27.399,7988,False
2018-10-26 00:00:00+00:00,27.94,28.35,26.78,27.8,1856930.0,27.607,12905,False
2018-11-02 00:00:00+00:00,28.04,29.28,27.54,28.18,2050117.0,28.297,15390,False
2018-11-09 00:00:00+00:00,28.29,29.13,28.26,28.84,1047823.0,28.725,8479,False
2018-11-16 00:00:00+00:00,28.86,29.22,27.89,28.56,1483680.0,28.438,11231,False
2018-11-23 00:00:00+00:00,28.54,28.76,27.91,28.06,851275.0,28.36,5888,False
2018-11-30 00:00:00+00:00,28.22,28.82,27.94,28.67,1848098.0,28.468,11395,False
2018-12-07 00:00:00+00:00,28.75,29.07,27.72,28.52,1398896.0,28.512,10733,False
2018-12-14 00:00:00+00:00,28.61,28.61,27.51,27.58,1732708.0,27.908,13058,False
2018-12-21 00:00:00+00:00,27.66,27.78,24.12,24.16,2832306.0,25.616,19515,False
2018-12-28 00:00:00+00:00,24.11,24.49,23.28,24.12,1195734.0,23.959,8731,False
2019-01-04 00:00:00+00:00,24.17,24.49,23.11,24.36,1344014.0,23.873,9936,False
2019-01-11 00:00:00+00:00,24.42,26.54,24.3,26.19,2706846.0,25.875,14828,False
2019-01-18 00:00:00+00:00,26.08,26.48,25.79,26.4,987178.0,26.131,6680,False
2019-01-25 00:00:00+00:00,26.31,27.32,25.99,27.18,842833.0,26.561,5593,False
2019-02-01 00:00:00+00:00,27.06,28.98,26.93,28.41,1666639.0,28.113,10925,False
2019-02-08 00:00:00+00:00,28.4,29.41,28.26,29.36,1096433.0,28.837,8351,False
2019-02-15 00:00:00+00:00,29.38,29.82,28.86,29.48,2005406.0,29.405,13254,False
2019-02-22 00:00:00+00:00,29.39,29.64,28.6,29.17,2408761.0,29.181,11192,False
2019-03-01 00:00:00+00:00,29.13,29.17,27.72,27.93,1305324.0,28.436,8278,False
2019-03-08 00:00:00+00:00,27.99,28.31,27.32,27.52,945937.0,27.828,7055,False
2019-03-11 00:00:00+00:00,27.85,28.48,27.36,27.46,915011.0,27.893,5220,False
2019-03-22 00:00:00+00:00,27.46,27.7,26.72,26.98,1429598.0,27.146,8920,False
2019-03-29 00:00:00+00:00,27.01,27.71,26.86,27.27,2048482.0,27.32,9939,False
2019-04-05 00:00:00+00:00,27.34,27.79,26.85,27.7,2537225.0,27.189,13739,False
2019-04-12 00:00:00+00:00,27.61,28.15,27.23,28.09,2078637.0,27.693,8576,False
2019-04-18 00:00:00+00:00,28.14,28.16,27.04,28.05,1619025.0,27.611,7061,False
2019-04-26 00:00:00+00:00,27.91,28.77,27.31,28.62,2484114.0,28.061,14313,False
2019-05-03 00:00:00+00:00,28.5,28.92,27.95,28.89,3016574.0,28.364,11717,False
2019-05-10 00:00:00+00:00,28.88,29.02,27.84,28.55,976602.0,28.418,7125,False
