date,open,high,low,close,volume,average,barCount,is_rth
2026-02-12 00:00:00+00:00,17.75,18.24,17.0,17.55,2392109.0,17.685,6320,False
2026-02-13 00:00:00+00:00,17.69,18.25,17.55,18.0,660308.0,18.021,2980,False
2026-02-17 00:00:00+00:00,17.99,18.5,17.85,17.9,204264.0,18.158,609,False
2026-02-18 00:00:00+00:00,18.0,18.25,17.82,18.02,233005.0,18.018,1240,False
2026-02-19 00:00:00+00:00,17.88,19.5,17.88,19.23,308524.0,18.964,1490,False
2026-02-20 00:00:00+00:00,19.2,19.36,18.91,19.21,216540.0,19.155,823,False
2026-02-23 00:00:00+00:00,19.25,19.25,18.33,19.15,168864.0,18.882,980,False
2026-02-24 00:00:00+00:00,19.0,19.07,18.83,18.97,54085.0,18.949,241,False
2026-02-25 00:00:00+00:00,19.01,19.02,18.5,18.68,86017.0,18.802,416,False
2026-02-26 00:00:00+00:00,18.87,19.0,18.51,18.86,86260.0,18.786,674,False
2026-02-27 00:00:00+00:00,18.75,19.2,18.55,19.01,133355.0,18.864,593,False
2026-03-02 00:00:00+00:00,18.85,19.45,18.79,19.01,119453.0,19.099,748,False
2026-03-03 00:00:00+00:00,19.18,19.41,18.87,19.21,170949.0,19.131,964,False
2026-03-04 00:00:00+00:00,19.5,19.8,18.92,19.23,83750.0,19.238,481,False
2026-03-05 00:00:00+00:00,19.2,19.36,18.9,19.06,61923.0,19.054,390,False
2026-03-06 00:00:00+00:00,18.98,19.28,18.43,18.72,270105.0,18.683,1338,False
2026-03-09 00:00:00+00:00,18.73,19.3,18.73,19.09,258707.0,19.034,1195,False
2026-03-10 00:00:00+00:00,19.0,19.45,18.83,19.4,123964.0,19.263,773,False
2026-03-11 00:00:00+00:00,19.55,19.64,18.55,18.62,162125.0,18.872,964,False
2026-03-12 00:00:00+00:00,18.31,18.95,18.2,18.66,68454.0,18.568,340,False
2026-03-13 00:00:00+00:00,18.85,18.85,17.57,18.01,80432.0,17.996,444,False
2026-03-16 00:00:00+00:00,18.16,18.89,18.06,18.65,63482.0,18.605,267,False
2026-03-17 00:00:00+00:00,18.88,18.97,18.22,18.85,41995.0,18.759,202,False
2026-03-18 00:00:00+00:00,18.9,18.98,18.39,18.42,70554.0,18.562,488,False
2026-03-19 00:00:00+00:00,18.46,18.76,18.28,18.34,119118.0,18.453,574,False
2026-03-20 00:00:00+00:00,18.35,18.68,18.21,18.29,301996.0,18.374,596,False
2026-03-23 00:00:00+00:00,18.55,18.68,17.94,18.12,66910.0,18.414,409,False
2026-03-24 00:00:00+00:00,18.06,18.17,17.92,18.0,31874.0,18.01,179,False
2026-03-25 00:00:00+00:00,17.96,18.67,17.9,18.05,216728.0,18.172,855,False
2026-03-26 00:00:00+00:00,17.83,18.22,17.68,17.94,170192.0,17.977,887,False
2026-03-27 00:00:00+00:00,17.76,18.18,17.4,17.64,138325.0,17.666,699,False
2026-03-30 00:00:00+00:00,17.56,17.75,17.07,17.34,101588.0,17.326,550,False
2026-03-31 00:00:00+00:00,17.4,18.15,17.38,17.89,95440.0,17.87,528,False
2026-04-01 00:00:00+00:00,17.89,18.23,17.57,18.16,118646.0,17.975,582,False
2026-04-02 00:00:00+00:00,17.95,18.33,17.54,18.12,134588.0,18.079,687,False
2026-04-06 00:00:00+00:00,18.28,18.49,18.13,18.49,44692.0,18.364,255,False
2026-04-07 00:00:00+00:00,18.31,18.78,18.3,18.3,78858.0,18.627,403,False
2026-04-08 00:00:00+00:00,18.61,19.05,18.38,18.41,64414.0,18.655,300,False
2026-04-09 00:00:00+00:00,18.42,18.96,18.33,18.77,41227.0,18.583,188,False
2026-04-10 00:00:00+00:00,18.49,18.96,18.22,18.77,67014.0,18.706,348,False
2026-04-13 00:00:00+00:00,18.66,18.88,18.45,18.53,111721.0,18.525,431,False
2026-04-14 00:00:00+00:00,18.49,18.75,18.49,18.72,72384.0,18.593,361,False
2026-04-15 00:00:00+00:00,18.72,18.73,18.48,18.64,86653.0,18.608,511,False
2026-04-16 00:00:00+00:00,18.7,18.87,18.36,18.54,87800.0,18.592,434,False
2026-04-17 00:00:00+00:00,18.89,18.89,18.01,18.14,60483.0,18.384,284,False
2026-04-20 00:00:00+00:00,18.14,18.5,18.02,18.4,63082.0,18.333,432,False
2026-04-21 00:00:00+00:00,18.45,18.6,17.67,17.95,63934.0,18.143,366,False
2026-04-22 00:00:00+00:00,18.19,18.19,17.66,17.9,89521.0,17.899,320,False
2026-04-23 00:00:00+00:00,18.02,18.28,17.65,17.84,39585.0,17.844,224,False
2026-04-24 00:00:00+00:00,17.79,18.11,17.66,17.99,43143.0,17.92,244,False
2026-04-27 00:00:00+00:00,17.97,18.28,17.97,18.11,20077.0,18.151,126,False
2026-04-28 00:00:00+00:00,18.16,18.4,18.04,18.19,25556.0,18.161,187,False
2026-04-29 00:00:00+00:00,18.34,18.43,18.08,18.19,76831.0,18.233,478,False
2026-04-30 00:00:00+00:00,18.27,18.88,18.25,18.69,142387.0,18.572,877,False
2026-05-01 00:00:00+00:00,18.55,19.0,18.39,18.85,148759.0,18.729,1080,False
2026-05-04 00:00:00+00:00,18.94,19.05,18.6,18.88,99065.0,18.808,620,False
2026-05-05 00:00:00+00:00,18.91,19.18,18.83,19.05,176946.0,19.034,928,False
2026-05-06 00:00:00+00:00,19.05,19.08,18.65,18.93,86395.0,18.977,537,False
2026-05-07 00:00:00+00:00,19.18,19.2,18.79,19.05,40758.0,18.982,242,False
2026-05-08 00:00:00+00:00,19.18,19.47,18.89,19.34,227761.0,19.331,877,False
2026-05-11 00:00:00+00:00,19.51,20.3,19.22,20.09,211410.0,19.864,1173,False
2026-05-12 00:00:00+00:00,20.01,21.72,19.8,21.55,357752.0,21.036,1804,False
2026-05-13 00:00:00+00:00,21.66,21.66,20.67,20.96,107641.0,21.032,718,False
2026-05-14 00:00:00+00:00,21.06,21.5,20.89,20.91,56296.0,21.151,385,False
2026-05-15 00:00:00+00:00,20.76,20.88,20.26,20.57,89829.0,20.544,585,False
