date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,60.48,65.22,59.6,64.62,3130693.0,62.646,24025,False
2016-06-30 00:00:00+00:00,64.2,68.07,59.94,61.9,9405183.0,64.626,70765,False
2016-07-29 00:00:00+00:00,61.9,66.7,58.66,66.49,6677426.0,63.916,52756,False
2016-08-31 00:00:00+00:00,66.25,67.67,62.51,65.83,7984371.0,65.641,64400,False
2016-09-30 00:00:00+00:00,66.03,66.32,60.91,63.97,8041489.0,63.246,61577,False
2016-10-31 00:00:00+00:00,63.81,65.48,60.71,61.12,5290833.0,62.496,40919,False
2016-11-30 00:00:00+00:00,61.41,68.94,58.51,68.27,6975797.0,63.807,54244,False
2016-12-30 00:00:00+00:00,68.54,73.15,67.73,71.3,7902349.0,71.368,55110,False
2017-01-31 00:00:00+00:00,71.84,74.41,70.75,73.52,7495536.0,72.976,55840,False
2017-02-28 00:00:00+00:00,74.04,74.67,68.55,72.2,9613684.0,72.457,71641,False
2017-03-31 00:00:00+00:00,73.63,75.88,71.69,73.41,9993305.0,73.797,69766,False
2017-04-28 00:00:00+00:00,73.58,74.1,69.67,70.5,5879251.0,71.351,46419,False
2017-05-31 00:00:00+00:00,70.88,78.23,70.13,75.59,7725700.0,74.872,59977,False
2017-06-30 00:00:00+00:00,76.29,80.35,74.75,78.42,5720205.0,77.294,47885,False
2017-07-31 00:00:00+00:00,79.14,84.53,77.29,81.29,5300925.0,81.101,38747,False
2017-08-31 00:00:00+00:00,81.87,82.99,73.71,79.43,6391202.0,77.818,48607,False
2017-09-29 00:00:00+00:00,77.87,81.27,76.33,80.41,4145256.0,79.044,31162,False
2017-10-31 00:00:00+00:00,80.59,84.35,80.4,83.59,4910223.0,82.817,36951,False
2017-11-30 00:00:00+00:00,84.18,84.18,76.8,80.73,6993200.0,78.744,52770,False
2017-12-29 00:00:00+00:00,80.74,81.38,76.68,80.41,5104415.0,78.864,36037,False
2018-01-31 00:00:00+00:00,81.0,87.26,80.14,81.34,4728118.0,83.643,34541,False
2018-02-28 00:00:00+00:00,81.13,83.71,73.93,81.58,7402133.0,79.958,57061,False
2018-03-29 00:00:00+00:00,81.65,82.38,74.64,77.02,6020209.0,79.496,43980,False
2018-04-30 00:00:00+00:00,76.38,78.83,72.31,74.74,4673030.0,75.905,35926,False
2018-05-31 00:00:00+00:00,74.54,77.15,72.37,74.12,6799597.0,75.037,48738,False
