date,open,high,low,close,volume,average,barCount,is_rth
2019-11-29 00:00:00+00:00,9.77,9.85,9.77,9.82,3416159.0,9.796,146,False
2019-12-31 00:00:00+00:00,9.82,9.9,9.82,9.87,718592.0,9.835,200,False
2020-01-31 00:00:00+00:00,9.87,10.04,9.87,10.0,1405327.0,9.957,154,False
2020-02-28 00:00:00+00:00,10.0,10.02,9.98,9.98,1045050.0,10.001,172,False
2020-03-31 00:00:00+00:00,9.98,10.1,9.5,9.77,4234232.0,9.764,130,False
2020-04-30 00:00:00+00:00,10.08,10.1,9.75,9.88,575598.0,9.912,44,False
2020-05-29 00:00:00+00:00,9.88,9.92,9.87,9.87,278545.0,9.885,45,False
2020-06-30 00:00:00+00:00,9.92,10.15,9.92,10.08,1983263.0,9.961,1261,False
2020-07-31 00:00:00+00:00,10.08,10.3,10.08,10.18,1423491.0,10.203,720,False
2020-08-31 00:00:00+00:00,10.19,10.22,9.99,10.1,2423896.0,10.067,989,False
2020-09-30 00:00:00+00:00,10.1,10.21,10.03,10.07,763444.0,10.126,625,False
2020-10-30 00:00:00+00:00,10.17,10.24,10.01,10.05,689371.0,10.1,577,False
2020-11-30 00:00:00+00:00,10.04,10.2,9.98,10.13,173823.0,10.118,314,False
2020-12-31 00:00:00+00:00,10.26,15.99,10.15,13.58,33224750.0,12.295,110872,False
2021-01-29 00:00:00+00:00,13.61,17.2,12.16,13.5,30198920.0,14.445,101455,False
2021-02-26 00:00:00+00:00,14.0,25.37,13.02,13.84,41727692.0,18.569,151207,False
2021-03-31 00:00:00+00:00,14.44,16.1,11.01,11.67,32406384.0,12.738,122328,False
2021-04-30 00:00:00+00:00,11.67,12.88,7.12,8.77,29301438.0,9.45439950379227,115154,False
2021-05-28 00:00:00+00:00,8.91,8.93,7.05,7.22,19894685.0,7.61648,76851,False
2021-06-30 00:00:00+00:00,7.28,15.48,6.96,12.94,110746317.0,11.63167,361698,False
2021-07-30 00:00:00+00:00,13.18,14.29,10.13,10.78,38786592.0,12.36284,129360,False
