date,open,high,low,close,volume,average,barCount,is_rth
2019-06-28 00:00:00+00:00,30.61,31.2,25.36,26.97,5522236.0,28.408,25173,False
2019-07-31 00:00:00+00:00,27.42,31.64,24.05,29.35,5134770.0,27.887,28397,False
2019-08-30 00:00:00+00:00,29.35,32.82,25.31,30.48,2882127.0,28.398,19070,False
2019-09-30 00:00:00+00:00,30.6,32.94,19.28,21.47,4729720.0,26.173,29960,False
2019-10-31 00:00:00+00:00,21.48,22.91,17.61,22.61,4734472.0,19.325,26464,False
2019-11-29 00:00:00+00:00,22.83,35.67,21.64,29.0,4032251.0,28.681,26351,False
2019-12-31 00:00:00+00:00,28.96,48.36,28.95,35.05,6444696.0,37.702,42937,False
2020-01-31 00:00:00+00:00,35.17,35.81,29.74,34.49,6642644.0,33.8,37533,False
2020-02-28 00:00:00+00:00,34.63,37.6,29.06,31.88,5551388.0,33.919,38424,False
2020-03-31 00:00:00+00:00,32.22,34.45,14.23,29.0,22842077.0,25.572,155697,False
2020-04-30 00:00:00+00:00,27.77,32.85,21.64,30.53,10770712.0,27.116,80584,False
2020-05-29 00:00:00+00:00,29.93,36.55,28.37,29.33,7449764.0,32.27,54829,False
2020-06-30 00:00:00+00:00,29.64,34.6,27.21,32.61,9776062.0,30.837,73243,False
2020-07-31 00:00:00+00:00,32.68,32.86,26.75,28.14,6771971.0,30.258,47828,False
2020-08-31 00:00:00+00:00,28.5,30.25,26.17,29.86,3992656.0,28.688,28689,False
2020-09-30 00:00:00+00:00,29.81,42.63,27.47,37.52,8193046.0,35.985,58504,False
2020-10-30 00:00:00+00:00,37.77,41.51,36.19,38.38,12259806.0,39.479,79851,False
2020-11-30 00:00:00+00:00,39.02,51.54,37.77,50.24,8699423.0,43.369,58561,False
2020-12-31 00:00:00+00:00,50.99,71.56,48.49,71.11,8071794.0,60.945,59665,False
2021-01-29 00:00:00+00:00,70.71,71.84,54.35,56.76,13337611.0,63.116,87455,False
2021-02-26 00:00:00+00:00,57.01,73.5,55.23,70.68,12637141.0,66.348,89029,False
2021-03-31 00:00:00+00:00,72.77,72.97,56.31,61.6,10639770.0,65.443,75442,False
2021-04-30 00:00:00+00:00,62.49,63.13,52.96,55.92,6388786.0,56.036,46283,False
2021-05-28 00:00:00+00:00,56.5,59.66,44.94,59.2,8580149.0,53.117,63769,False
2021-06-30 00:00:00+00:00,59.72,64.61,57.14,60.96,10301150.0,61.225,75804,False
2021-07-30 00:00:00+00:00,61.39,65.33,52.95,53.45,7451383.0,59.099,49462,False
2021-08-31 00:00:00+00:00,53.64,57.44,46.68,50.11,8431574.0,50.653,62126,False
2021-09-30 00:00:00+00:00,50.1,52.39,46.73,46.87,9499508.0,49.918,63124,False
2021-10-29 00:00:00+00:00,46.86,50.7,43.41,49.38,7256609.0,47.127,50169,False
2021-11-30 00:00:00+00:00,48.91,53.57,37.64,40.5,7648331.0,44.8,55645,False
2021-12-31 00:00:00+00:00,40.94,43.14,11.2,16.68,114473594.0,15.611,403039,False
2022-01-31 00:00:00+00:00,17.03,18.13,8.46,9.87,53385240.0,13.482,246639,False
2022-02-28 00:00:00+00:00,10.02,10.9,7.1,7.8,35403465.0,8.947,182850,False
2022-03-31 00:00:00+00:00,7.83,11.54,7.14,10.15,37294629.0,9.417,201820,False
2022-04-29 00:00:00+00:00,10.12,12.47,7.8,8.02,24210776.0,10.593,137472,False
2022-05-31 00:00:00+00:00,7.99,8.64,4.98,6.83,35279726.0,6.735,201824,False
2022-06-30 00:00:00+00:00,6.86,9.54,5.74,9.08,28457868.0,7.571,169201,False
2022-07-29 00:00:00+00:00,9.15,11.96,8.46,8.66,27640086.0,9.905,157504,False
2022-08-31 00:00:00+00:00,8.54,12.64,6.55,10.5,35376215.0,10.058,207326,False
2022-09-30 00:00:00+00:00,10.4,12.49,9.1,9.94,23124074.0,10.837,145929,False
2022-10-31 00:00:00+00:00,10.2,11.54,9.58,10.43,18726081.0,10.549,102592,False
2022-11-30 00:00:00+00:00,10.7,11.58,8.01,9.37,15910490.0,9.64,98845,False
2022-12-30 00:00:00+00:00,9.39,9.75,6.64,7.62,13139764.0,8.377,79832,False
2023-01-31 00:00:00+00:00,7.78,9.59,7.1,9.28,16020558.0,8.342,90124,False
2023-02-28 00:00:00+00:00,9.31,13.11,9.09,11.42,24676032.0,11.617,126925,False
2023-03-31 00:00:00+00:00,11.44,19.95,10.57,16.58,91860516.0,16.082,411976,False
2023-04-28 00:00:00+00:00,16.57,17.2,13.87,14.52,22276769.0,15.507,124544,False
2023-05-31 00:00:00+00:00,14.51,14.97,12.75,13.72,22276350.0,13.819,112702,False
2023-06-30 00:00:00+00:00,13.81,18.18,13.38,17.2,24094254.0,16.186,132588,False
2023-07-31 00:00:00+00:00,17.43,36.36,16.61,35.01,75741542.0,30.556,322969,False
2023-08-31 00:00:00+00:00,34.38,35.29,27.57,29.91,26251997.0,30.379,157374,False
2023-09-29 00:00:00+00:00,30.2,30.76,25.94,26.37,18207402.0,28.197,103698,False
2023-10-31 00:00:00+00:00,26.22,27.27,23.62,26.04,15367140.0,25.266,99878,False
