date,open,high,low,close,volume,average,barCount,is_rth
2022-03-31 00:00:00+00:00,24.0,34.92,24.0,32.61,265999.0,31.75913380877372,1889,False
2022-04-29 00:00:00+00:00,32.38,32.74,26.47,26.54,483125.0,29.817,3844,False
2022-05-31 00:00:00+00:00,26.67,27.35,22.63,25.73,1474122.0,24.698,12534,False
2022-06-30 00:00:00+00:00,26.03,28.59,22.39,23.01,2126153.0,25.794,17209,False
2022-07-29 00:00:00+00:00,22.92,23.84,21.0,22.85,585461.0,22.348,4667,False
2022-08-31 00:00:00+00:00,22.85,29.65,22.57,24.32,424657.0,25.858,3351,False
2022-09-30 00:00:00+00:00,24.46,27.63,21.55,22.1,294295.0,24.608,2271,False
2022-10-31 00:00:00+00:00,22.46,26.3,20.9,25.62,395169.0,23.353,3107,False
2022-11-30 00:00:00+00:00,26.14,26.29,20.7,22.18,523231.0,22.672,4194,False
2022-12-30 00:00:00+00:00,22.34,22.34,17.58,18.79,734888.0,19.336,5221,False
2023-01-31 00:00:00+00:00,19.07,23.14,18.45,22.65,311997.0,20.193,2352,False
2023-02-28 00:00:00+00:00,22.65,23.65,18.9,19.4,293296.0,20.982,2323,False
2023-03-31 00:00:00+00:00,19.61,20.41,16.81,19.82,567641.0,18.117,4090,False
2023-04-28 00:00:00+00:00,19.81,20.88,18.13,18.46,376325.0,19.293,2588,False
2023-05-31 00:00:00+00:00,18.36,23.15,17.43,20.57,510237.0,20.169,3457,False
2023-06-30 00:00:00+00:00,20.95,21.82,18.5,18.88,718264.0,20.05,4959,False
2023-07-31 00:00:00+00:00,18.7,20.76,18.57,20.52,390267.0,19.569,2920,False
2023-08-31 00:00:00+00:00,20.31,20.91,17.39,17.66,238342.0,19.093,1796,False
2023-09-29 00:00:00+00:00,17.77,20.28,17.2,18.08,647585.0,18.335,4221,False
2023-10-31 00:00:00+00:00,17.74,18.13,14.0,14.22,644714.0,16.007,4662,False
2023-11-30 00:00:00+00:00,14.1,18.72,14.1,18.2,495228.0,16.14,3727,False
2023-12-29 00:00:00+00:00,18.36,24.12,18.28,23.28,499551.0,21.374,3555,False
2024-01-31 00:00:00+00:00,23.0,23.9,21.07,22.97,298240.0,22.376,2215,False
2024-02-29 00:00:00+00:00,23.33,25.58,22.39,22.86,326117.0,24.045,2336,False
2024-03-28 00:00:00+00:00,22.75,24.79,22.0,24.14,347022.0,23.086,2466,False
2024-04-30 00:00:00+00:00,24.22,24.22,20.15,20.35,343246.0,21.488,2529,False
2024-05-31 00:00:00+00:00,20.55,22.14,19.67,20.55,534205.0,20.877,3780,False
2024-06-28 00:00:00+00:00,20.77,20.94,18.21,20.42,439946.0,19.97,2956,False
2024-07-31 00:00:00+00:00,20.29,23.52,19.65,22.55,576435.0,22.029,4733,False
2024-08-30 00:00:00+00:00,22.46,23.08,19.84,22.79,373876.0,21.412,2754,False
2024-09-30 00:00:00+00:00,22.79,25.9,20.23,25.33,362212.0,23.382,2433,False
2024-10-31 00:00:00+00:00,25.42,26.66,23.18,23.81,282667.0,24.861,2229,False
2024-11-29 00:00:00+00:00,24.05,28.29,23.6,27.59,470965.0,26.567,3354,False
2024-12-31 00:00:00+00:00,27.61,27.68,22.81,24.26,459267.0,25.027,3121,False
2025-01-31 00:00:00+00:00,24.54,25.43,22.88,23.87,571319.0,23.818,4072,False
2025-02-28 00:00:00+00:00,23.54,27.98,22.54,27.58,507111.0,26.113,3987,False
2025-03-31 00:00:00+00:00,27.48,28.45,24.69,26.62,858656.0,26.653,6922,False
2025-04-30 00:00:00+00:00,26.3,27.52,21.51,26.23,936759.0,24.3,7621,False
2025-05-30 00:00:00+00:00,29.37,29.71,27.64,28.53,275426.0,28.751,2177,False
2025-06-30 00:00:00+00:00,28.57,31.44,27.76,31.2,852203.0,29.22,6072,False
2025-07-31 00:00:00+00:00,31.15,32.47,29.26,30.76,957159.0,31.03,7362,False
2025-08-29 00:00:00+00:00,30.02,35.19,28.29,33.0,955075.0,31.836,6580,False
2025-09-30 00:00:00+00:00,32.64,37.01,30.51,33.53,1447295.0,33.71,10167,False
2025-10-31 00:00:00+00:00,33.19,37.89,32.78,36.46,2424011.0,35.521,18464,False
2025-11-28 00:00:00+00:00,36.47,37.13,31.11,34.86,1490719.0,33.36,12336,False
2025-12-31 00:00:00+00:00,34.77,37.31,34.77,35.88,884051.0,36.041,6967,False
2026-01-30 00:00:00+00:00,36.15,37.73,33.6,35.66,938255.0,35.828,7553,False
2026-02-27 00:00:00+00:00,35.69,38.25,33.74,34.45,645134.0,35.699,5398,False
2026-03-31 00:00:00+00:00,33.75,35.61,29.36,31.64,2582276.0,31.922194874599,20618,False
2026-04-30 00:00:00+00:00,31.71,35.09,31.6,34.1,2946486.0,33.688,21034,False
2026-05-15 00:00:00+00:00,33.85,35.15,29.59,33.12,1812009.0,32.943,13773,False
