date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,7.74,7.76,7.68,7.71,1226468.0,7.722,3294,False
2018-05-21 00:00:00+00:00,7.66,7.67,7.61,7.65,1390114.0,7.641,3754,False
2018-05-22 00:00:00+00:00,7.75,7.8,7.75,7.77,1858545.0,7.778,5349,False
2018-05-23 00:00:00+00:00,7.52,7.6,7.49,7.57,4002541.0,7.554,5812,False
2018-05-24 00:00:00+00:00,7.5,7.51,7.42,7.48,3161280.0,7.469,5093,False
2018-05-25 00:00:00+00:00,7.18,7.24,7.1,7.23,2982604.0,7.181,5923,False
2018-05-29 00:00:00+00:00,6.82,6.91,6.65,6.69,5285894.0,6.78,11057,False
2018-05-30 00:00:00+00:00,6.86,6.93,6.8,6.89,4988709.0,6.865,9344,False
2018-05-31 00:00:00+00:00,6.81,6.89,6.73,6.88,5502701.0,6.822,13039,False
2018-06-01 00:00:00+00:00,7.0,7.03,6.9,6.98,4843987.0,6.987,8778,False
2018-06-04 00:00:00+00:00,7.08,7.09,7.01,7.03,3839841.0,7.05,7188,False
2018-06-05 00:00:00+00:00,6.99,7.02,6.88,6.91,1898908.0,6.93,4358,False
2018-06-06 00:00:00+00:00,6.92,7.11,6.92,7.1,4053665.0,7.049,6173,False
2018-06-07 00:00:00+00:00,7.2,7.21,7.1,7.14,4209196.0,7.165,7882,False
2018-06-08 00:00:00+00:00,7.11,7.15,7.06,7.12,1770838.0,7.106,3735,False
2018-06-11 00:00:00+00:00,7.22,7.33,7.21,7.3,1904257.0,7.298,4725,False
2018-06-12 00:00:00+00:00,7.34,7.35,7.21,7.23,2449659.0,7.267,7134,False
2018-06-13 00:00:00+00:00,7.2,7.21,7.15,7.17,1949006.0,7.175,4747,False
2018-06-14 00:00:00+00:00,7.07,7.1,7.04,7.06,1982089.0,7.07,3420,False
2018-06-15 00:00:00+00:00,6.9,6.97,6.88,6.95,2494151.0,6.931,4351,False
2018-06-18 00:00:00+00:00,6.87,6.87,6.81,6.84,6102977.0,6.84,7315,False
2018-06-19 00:00:00+00:00,6.83,6.93,6.79,6.91,2133804.0,6.871,4308,False
2018-06-20 00:00:00+00:00,6.99,7.0,6.92,6.96,2346686.0,6.966,5262,False
2018-06-21 00:00:00+00:00,6.9,6.93,6.82,6.89,1986540.0,6.891,4127,False
2018-06-22 00:00:00+00:00,6.99,7.03,6.95,6.99,2832016.0,6.992,4112,False
2018-06-25 00:00:00+00:00,6.99,7.01,6.92,6.94,2288407.0,6.95,4264,False
2018-06-26 00:00:00+00:00,7.01,7.03,6.94,7.01,2549008.0,6.992,4465,False
2018-06-27 00:00:00+00:00,6.9,6.95,6.81,6.81,3076673.0,6.883,6466,False
2018-06-28 00:00:00+00:00,6.87,6.91,6.84,6.87,2490597.0,6.872,5544,False
2018-06-29 00:00:00+00:00,7.04,7.09,6.98,7.0,2854250.0,7.035,6420,False
2018-07-02 00:00:00+00:00,6.87,6.91,6.84,6.89,2225898.0,6.876,4843,False
2018-07-03 00:00:00+00:00,6.98,7.03,6.94,6.95,1703823.0,6.988,3711,False
2018-07-05 00:00:00+00:00,7.36,7.39,7.33,7.37,3576273.0,7.359,6136,False
2018-07-06 00:00:00+00:00,7.39,7.46,7.38,7.43,1882415.0,7.423,4077,False
2018-07-09 00:00:00+00:00,7.46,7.5,7.44,7.47,2465546.0,7.476,4109,False
2018-07-10 00:00:00+00:00,7.25,7.29,7.21,7.29,2043445.0,7.254,4213,False
2018-07-11 00:00:00+00:00,7.12,7.15,7.02,7.06,2713233.0,7.087,6873,False
2018-07-12 00:00:00+00:00,7.08,7.1,7.05,7.1,1770692.0,7.077,4349,False
2018-07-13 00:00:00+00:00,7.01,7.04,6.97,7.02,2113791.0,7.011,5085,False
2018-07-16 00:00:00+00:00,7.03,7.08,7.0,7.05,1968493.0,7.043,4386,False
2018-07-17 00:00:00+00:00,6.95,6.96,6.8,6.85,15279967.0,6.853,26609,False
2018-07-18 00:00:00+00:00,6.87,6.98,6.86,6.95,3301977.0,6.916,5320,False
2018-07-19 00:00:00+00:00,6.89,6.94,6.86,6.92,7287471.0,6.905,10268,False
2018-07-20 00:00:00+00:00,6.95,6.99,6.92,6.97,2687642.0,6.955,6685,False
2018-07-23 00:00:00+00:00,7.01,7.05,7.0,7.02,2840045.0,7.026,5065,False
2018-07-24 00:00:00+00:00,7.17,7.21,7.13,7.14,2898888.0,7.17,6301,False
2018-07-25 00:00:00+00:00,7.06,7.1,7.01,7.1,3340433.0,7.053,8042,False
2018-07-26 00:00:00+00:00,7.11,7.13,7.04,7.05,2391941.0,7.084,5988,False
2018-07-27 00:00:00+00:00,7.16,7.21,7.14,7.18,4241686.0,7.176,10022,False
2018-07-30 00:00:00+00:00,7.21,7.3,7.21,7.27,2218270.0,7.262,3784,False
2018-07-31 00:00:00+00:00,7.35,7.37,7.28,7.3,1616084.0,7.326,3459,False
2018-08-01 00:00:00+00:00,7.27,7.29,7.17,7.19,2427209.0,7.214,5310,False
2018-08-02 00:00:00+00:00,7.01,7.05,6.96,7.04,2973787.0,7.017,5082,False
