date,open,high,low,close,volume,average,barCount,is_rth
2020-02-06 00:00:00+00:00,24.0,25.26,18.55,18.75,5359522.0,22.467,18504,False
2020-02-07 00:00:00+00:00,19.19,21.9,19.0,20.62,1069888.0,20.718,4797,False
2020-02-10 00:00:00+00:00,21.37,22.15,21.1,22.1,664019.0,21.922,2934,False
2020-02-11 00:00:00+00:00,22.15,24.2,21.5,24.1,709894.0,23.003,3116,False
2020-02-12 00:00:00+00:00,24.4,27.6,24.1,27.6,785114.0,26.009,3549,False
2020-02-13 00:00:00+00:00,27.77,31.8,26.65,29.2,1275647.0,28.882,6090,False
2020-02-14 00:00:00+00:00,29.65,30.34,26.25,27.9,705922.0,27.527,2426,False
2020-02-18 00:00:00+00:00,27.88,29.63,27.5,27.8,253270.0,28.501,1137,False
2020-02-19 00:00:00+00:00,27.85,28.7,27.0,28.18,342931.0,27.564,1404,False
2020-02-20 00:00:00+00:00,28.28,28.5,26.77,26.91,211261.0,27.579,943,False
2020-02-21 00:00:00+00:00,26.76,26.8,24.5,26.09,355129.0,25.538,1711,False
2020-02-24 00:00:00+00:00,24.98,25.45,24.0,24.2,211065.0,24.509,869,False
2020-02-25 00:00:00+00:00,24.44,24.98,22.5,22.63,322079.0,23.075,1239,False
2020-02-26 00:00:00+00:00,22.73,24.91,22.73,24.45,209209.0,23.617,986,False
2020-02-27 00:00:00+00:00,23.46,24.09,22.76,22.93,180532.0,23.353,986,False
2020-02-28 00:00:00+00:00,22.9,22.9,21.5,22.49,126623.0,22.322,783,False
2020-03-02 00:00:00+00:00,23.1,23.91,22.57,23.02,327153.0,23.054,2187,False
2020-03-03 00:00:00+00:00,23.11,24.63,22.76,23.51,310702.0,23.723,1794,False
2020-03-04 00:00:00+00:00,23.69,24.81,23.69,24.41,250131.0,24.295,1535,False
2020-03-05 00:00:00+00:00,24.31,24.8,23.28,23.81,304519.0,23.896,1669,False
2020-03-06 00:00:00+00:00,23.41,23.87,23.4,23.55,153720.0,23.6,992,False
2020-03-09 00:00:00+00:00,21.97,23.37,21.5,22.6,149247.0,22.667,973,False
2020-03-10 00:00:00+00:00,22.56,23.93,21.66,22.5,309187.0,22.611,1944,False
2020-03-11 00:00:00+00:00,22.32,23.77,20.77,21.25,196621.0,21.854,1276,False
2020-03-12 00:00:00+00:00,20.97,21.23,18.05,18.3,375100.0,19.021,1851,False
2020-03-13 00:00:00+00:00,19.7,19.7,16.02,17.38,308028.0,17.348,1983,False
2020-03-16 00:00:00+00:00,16.0,16.45,13.0,13.31,338724.0,15.087,1838,False
2020-03-17 00:00:00+00:00,13.68,15.81,13.5,15.01,278093.0,14.511,1754,False
2020-03-18 00:00:00+00:00,14.44,16.38,14.28,15.21,151391.0,15.392,965,False
2020-03-19 00:00:00+00:00,15.29,18.39,15.2,16.86,246954.0,17.088,1294,False
2020-03-20 00:00:00+00:00,17.07,23.1,17.02,19.4,1045700.0,20.0,7199,False
2020-03-23 00:00:00+00:00,19.43,19.89,17.07,18.01,318745.0,17.966,2290,False
2020-03-24 00:00:00+00:00,18.5,20.11,18.11,19.16,184177.0,18.808,1178,False
2020-03-25 00:00:00+00:00,19.0,20.47,17.66,19.6,232974.0,18.536,1531,False
2020-03-26 00:00:00+00:00,19.45,20.45,18.63,19.0,138972.0,19.055,962,False
2020-03-27 00:00:00+00:00,18.67,18.67,17.05,18.05,71666.0,17.718,440,False
2020-03-30 00:00:00+00:00,18.0,18.32,17.22,18.0,69641.0,17.849,525,False
2020-03-31 00:00:00+00:00,17.99,19.01,16.88,18.0,86691.0,17.697,589,False
2020-04-01 00:00:00+00:00,17.31,17.6,16.0,16.12,133462.0,16.484,820,False
2020-04-02 00:00:00+00:00,16.12,16.63,15.03,15.26,103133.0,15.7,495,False
2020-04-03 00:00:00+00:00,15.24,16.47,15.1,16.11,183401.0,15.828,1321,False
2020-04-06 00:00:00+00:00,16.54,17.75,16.16,16.65,135099.0,16.864,763,False
2020-04-07 00:00:00+00:00,17.3,17.5,15.55,15.81,98781.0,16.457,624,False
2020-04-08 00:00:00+00:00,16.04,16.72,15.44,16.7,110020.0,16.268,785,False
2020-04-09 00:00:00+00:00,16.83,17.2,16.08,16.62,136132.0,16.55,801,False
2020-04-13 00:00:00+00:00,16.73,16.73,15.82,16.1,110167.0,16.124,756,False
2020-04-14 00:00:00+00:00,16.5,17.21,16.19,17.07,242181.0,16.571,1328,False
2020-04-15 00:00:00+00:00,16.8,16.99,15.66,15.9,94047.0,16.055,567,False
2020-04-16 00:00:00+00:00,16.23,16.23,15.34,16.17,104885.0,15.713,655,False
2020-04-17 00:00:00+00:00,16.63,16.75,15.66,15.98,153792.0,16.036,817,False
2020-04-20 00:00:00+00:00,15.99,16.94,15.8,16.56,311052.0,16.21,1504,False
2020-04-21 00:00:00+00:00,16.5,16.5,15.68,16.1,139635.0,16.071,894,False
2020-04-22 00:00:00+00:00,16.38,16.99,15.82,16.66,101909.0,16.482,580,False
2020-04-23 00:00:00+00:00,16.81,18.47,16.7,17.74,181146.0,17.811,999,False
2020-04-24 00:00:00+00:00,17.88,18.46,17.8,18.15,166787.0,18.053,1072,False
2020-04-27 00:00:00+00:00,18.39,18.9,16.5,16.53,197395.0,17.352,997,False
2020-04-28 00:00:00+00:00,16.8,17.19,15.66,16.3,184982.0,16.184,944,False
2020-04-29 00:00:00+00:00,16.74,17.6,16.5,16.89,149082.0,17.181,857,False
2020-04-30 00:00:00+00:00,16.64,16.8,15.6,15.95,192675.0,15.975,1043,False
2020-05-01 00:00:00+00:00,15.81,15.97,15.01,15.38,140433.0,15.348,737,False
2020-05-04 00:00:00+00:00,15.08,15.8,14.8,15.76,96518.0,15.346,529,False
2020-05-05 00:00:00+00:00,16.34,16.72,16.01,16.49,143842.0,16.427,870,False
2020-05-06 00:00:00+00:00,16.35,16.55,15.85,16.08,117496.0,16.189,783,False
2020-05-07 00:00:00+00:00,16.16,17.35,16.04,16.84,142383.0,16.76,710,False
2020-05-08 00:00:00+00:00,17.05,17.2,16.7,16.89,60808.0,16.987,384,False
2020-05-11 00:00:00+00:00,16.93,20.8,16.8,20.71,366182.0,19.144,1722,False
2020-05-12 00:00:00+00:00,20.6,21.88,18.81,19.95,281153.0,20.644,1408,False
2020-05-13 00:00:00+00:00,20.03,24.3,19.62,21.4,437578.0,21.656,2062,False
2020-05-14 00:00:00+00:00,20.88,21.0,19.26,19.51,235354.0,20.15,943,False
2020-05-15 00:00:00+00:00,19.53,22.0,19.25,21.41,174529.0,20.978,941,False
2020-05-18 00:00:00+00:00,22.5,23.79,21.11,21.49,252368.0,22.558,1219,False
2020-05-19 00:00:00+00:00,21.86,24.25,21.86,23.51,265048.0,23.305,1373,False
2020-05-20 00:00:00+00:00,23.95,27.25,23.75,25.58,308036.0,25.767,1563,False
2020-05-21 00:00:00+00:00,26.02,27.22,25.6,26.55,216025.0,26.537,1226,False
2020-05-22 00:00:00+00:00,26.42,26.54,24.52,25.62,267124.0,25.382,1404,False
2020-05-26 00:00:00+00:00,26.4,27.28,22.91,24.32,241674.0,24.923,1344,False
2020-05-27 00:00:00+00:00,24.54,24.78,22.5,24.59,105056.0,23.738,670,False
2020-05-28 00:00:00+00:00,24.69,26.44,23.88,25.02,199457.0,25.568,1342,False
2020-05-29 00:00:00+00:00,24.99,25.76,23.95,25.55,107367.0,24.96,709,False
2020-06-01 00:00:00+00:00,25.6,27.19,24.93,26.18,179469.0,26.645,1099,False
2020-06-02 00:00:00+00:00,26.21,28.27,25.51,28.05,191673.0,26.953,1191,False
2020-06-03 00:00:00+00:00,27.99,28.85,27.06,28.13,190563.0,27.832,1199,False
2020-06-04 00:00:00+00:00,27.9,28.18,26.57,27.28,174404.0,27.386,1205,False
2020-06-05 00:00:00+00:00,27.95,28.11,25.51,25.73,162132.0,26.471,1091,False
