date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,54.48,54.57,53.23,53.33,3229041.0,53.591,22634,False
2018-05-21 00:00:00+00:00,53.61,54.07,53.03,53.13,2618497.0,53.551,17275,False
2018-05-22 00:00:00+00:00,53.12,53.43,52.57,52.83,2596714.0,52.971,18275,False
2018-05-23 00:00:00+00:00,52.8,53.02,52.34,52.69,1540143.0,52.716,10370,False
2018-05-24 00:00:00+00:00,52.42,53.19,51.4,52.44,2879290.0,52.486,18725,False
2018-05-25 00:00:00+00:00,52.36,53.22,52.1,52.44,2100211.0,52.578,14430,False
2018-05-29 00:00:00+00:00,52.21,52.47,51.08,51.75,1952937.0,51.586,14161,False
2018-05-30 00:00:00+00:00,51.93,52.63,51.55,52.46,2240558.0,52.141,14858,False
2018-05-31 00:00:00+00:00,52.54,52.61,51.98,52.09,3064413.0,52.244,19692,False
2018-06-01 00:00:00+00:00,53.02,53.38,52.32,52.66,1902283.0,52.758,13645,False
2018-06-04 00:00:00+00:00,52.73,53.03,52.39,52.64,1647429.0,52.733,10770,False
2018-06-05 00:00:00+00:00,52.83,53.32,52.5,52.81,2065093.0,52.85,13950,False
2018-06-06 00:00:00+00:00,53.0,53.65,52.73,53.54,1361561.0,53.396,10177,False
2018-06-07 00:00:00+00:00,53.55,53.77,52.73,52.95,2600753.0,53.002,17557,False
2018-06-08 00:00:00+00:00,52.91,53.39,52.63,53.35,1467874.0,53.071,10981,False
2018-06-11 00:00:00+00:00,53.31,54.2,53.08,53.81,740392.0,53.86,5300,False
2018-06-12 00:00:00+00:00,53.86,53.97,53.28,53.55,2670444.0,53.537,14551,False
2018-06-13 00:00:00+00:00,54.55,54.92,54.05,54.2,2597950.0,54.474,12618,False
2018-06-14 00:00:00+00:00,54.27,55.02,53.78,54.62,2829362.0,54.632,15586,False
2018-06-15 00:00:00+00:00,54.54,55.08,54.33,54.75,3030092.0,54.83,14799,False
2018-06-18 00:00:00+00:00,54.39,54.61,52.64,53.0,3991303.0,53.471,20442,False
2018-06-19 00:00:00+00:00,52.66,54.4,52.66,54.1,2906700.0,53.74,19107,False
2018-06-20 00:00:00+00:00,54.12,54.44,53.53,54.25,1316176.0,54.178,9244,False
2018-06-21 00:00:00+00:00,54.38,54.42,53.42,53.54,1357392.0,53.781,9153,False
