date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,54.48,54.57,53.23,53.33,3229041.0,53.591,22634,False
2018-05-25 00:00:00+00:00,53.61,54.07,51.4,52.44,11734855.0,52.877,79075,False
2018-06-01 00:00:00+00:00,52.21,53.38,51.08,52.66,9160191.0,52.185,62356,False
2018-06-08 00:00:00+00:00,52.73,53.77,52.39,53.35,9142710.0,52.989,63435,False
2018-06-15 00:00:00+00:00,53.31,55.08,53.08,54.75,11868240.0,54.353,62854,False
2018-06-22 00:00:00+00:00,54.39,54.61,52.64,53.98,11210521.0,53.75,69919,False
2018-06-29 00:00:00+00:00,53.89,54.29,48.28,48.83,12450587.0,50.735,82652,False
2018-07-06 00:00:00+00:00,48.9,50.45,48.6,49.94,11240472.0,49.765,68646,False
2018-07-13 00:00:00+00:00,50.36,51.63,48.85,50.8,14105286.0,50.364,84001,False
2018-07-20 00:00:00+00:00,50.99,51.25,48.14,48.8,11041733.0,49.514,67002,False
2018-07-27 00:00:00+00:00,48.8,49.95,48.32,49.32,16508983.0,49.341,91500,False
2018-08-03 00:00:00+00:00,49.36,50.99,49.13,50.3,18721420.0,50.191,104426,False
2018-08-10 00:00:00+00:00,49.24,51.54,48.29,48.4,18979154.0,49.896,100153,False
2018-08-17 00:00:00+00:00,48.35,52.14,48.35,51.9,11936018.0,50.238,78049,False
2018-08-24 00:00:00+00:00,51.84,52.11,51.06,51.83,10671282.0,51.636,67873,False
2018-08-31 00:00:00+00:00,51.95,52.95,51.77,52.19,9697754.0,52.383,68934,False
2018-09-07 00:00:00+00:00,52.0,52.69,50.78,52.62,8363711.0,51.964,61203,False
2018-09-14 00:00:00+00:00,52.63,53.63,51.86,52.1,10345698.0,52.698,77884,False
2018-09-21 00:00:00+00:00,52.07,55.48,51.57,54.94,12125553.0,54.117,83398,False
2018-09-28 00:00:00+00:00,54.92,55.15,53.1,54.0,10039550.0,53.862,75009,False
2018-10-05 00:00:00+00:00,54.11,54.53,53.37,53.79,8865914.0,53.937,68179,False
2018-10-12 00:00:00+00:00,53.72,55.63,51.06,51.63,14835575.0,53.057,114174,False
2018-10-19 00:00:00+00:00,51.57,54.58,51.5,53.19,12724046.0,53.055,92306,False
2018-10-26 00:00:00+00:00,53.19,53.52,48.91,49.92,16730366.0,50.799,124569,False
2018-11-02 00:00:00+00:00,50.61,53.12,49.62,51.44,12456596.0,51.158,95531,False
2018-11-09 00:00:00+00:00,51.58,56.6,50.91,55.31,15446742.0,54.122,106767,False
2018-11-16 00:00:00+00:00,55.33,58.31,54.97,55.46,16498112.0,56.553,106561,False
2018-11-23 00:00:00+00:00,55.41,56.16,52.25,52.88,12322526.0,53.724,77565,False
2018-11-30 00:00:00+00:00,53.5,55.55,52.93,54.83,18892830.0,54.178,111047,False
2018-12-07 00:00:00+00:00,55.0,56.52,52.17,53.91,16578849.0,54.966,100251,False
2018-12-14 00:00:00+00:00,53.91,54.99,49.92,50.06,11205613.0,52.512,82149,False
2018-12-21 00:00:00+00:00,49.23,49.37,44.15,44.44,14783818.0,46.515,101367,False
2018-12-28 00:00:00+00:00,44.33,45.27,42.17,44.58,9389589.0,43.842,62460,False
2019-01-04 00:00:00+00:00,44.28,45.61,43.82,44.92,8532608.0,44.609,61116,False
2019-01-11 00:00:00+00:00,44.92,48.04,44.67,47.59,10303158.0,46.73,69886,False
2019-01-18 00:00:00+00:00,47.2,49.17,47.05,49.05,10403228.0,48.068,66392,False
2019-01-25 00:00:00+00:00,48.76,49.6,48.16,49.35,8284023.0,48.928,50780,False
2019-02-01 00:00:00+00:00,49.16,50.63,48.31,49.34,13710402.0,49.307,76859,False
2019-02-08 00:00:00+00:00,49.38,54.7,49.03,52.67,17668092.0,52.29,112369,False
2019-02-15 00:00:00+00:00,52.84,55.98,52.12,55.48,13230011.0,54.645,81596,False
2019-02-22 00:00:00+00:00,55.31,56.88,54.26,54.9,7735775.0,55.589,52531,False
2019-03-01 00:00:00+00:00,55.44,55.44,52.94,53.05,11202799.0,53.891,73420,False
2019-03-08 00:00:00+00:00,53.01,53.01,47.04,47.7,13064923.0,49.289,90507,False
2019-03-11 00:00:00+00:00,48.93,51.07,48.92,50.27,9922186.0,50.345,64436,False
2019-03-22 00:00:00+00:00,50.35,50.88,48.62,48.64,10491674.0,49.872,68183,False
2019-03-29 00:00:00+00:00,48.65,48.66,47.15,48.15,12831997.0,47.86,77027,False
2019-04-05 00:00:00+00:00,48.67,49.19,46.36,47.49,11012935.0,47.602,74421,False
2019-04-12 00:00:00+00:00,47.42,47.77,46.09,46.79,9194096.0,46.943,60268,False
2019-04-18 00:00:00+00:00,46.99,47.66,44.5,46.0,9877806.0,46.087,62263,False
2019-04-26 00:00:00+00:00,45.93,47.67,45.09,47.51,9865246.0,46.407,66524,False
2019-05-03 00:00:00+00:00,47.51,49.89,47.09,49.56,10748645.0,48.441,74990,False
2019-05-10 00:00:00+00:00,48.79,50.77,47.24,48.85,16669052.0,49.127,112917,False
2019-05-17 00:00:00+00:00,48.0,48.0,44.8,45.03,12188205.0,46.021,78032,False
2019-05-24 00:00:00+00:00,44.82,47.36,44.71,45.95,9365044.0,46.207,55645,False
2019-05-31 00:00:00+00:00,45.94,46.51,42.02,42.07,7027587.0,43.514,49236,False
2019-06-07 00:00:00+00:00,42.08,44.43,42.01,43.85,8311633.0,43.349,55747,False
2019-06-14 00:00:00+00:00,43.94,45.32,43.76,44.16,7966547.0,44.61,54180,False
2019-06-21 00:00:00+00:00,44.41,45.81,43.98,44.7,7571444.0,44.754,50292,False
2019-06-28 00:00:00+00:00,44.8,47.17,44.26,47.1,8284907.0,45.769,52413,False
2019-07-05 00:00:00+00:00,47.43,48.9,46.68,48.23,6698050.0,47.786,43484,False
2019-07-12 00:00:00+00:00,47.57,49.97,46.3,47.59,9356780.0,47.519,60854,False
2019-07-19 00:00:00+00:00,47.59,47.81,44.41,44.99,8488267.0,45.999,56159,False
2019-07-26 00:00:00+00:00,45.14,45.8,43.98,45.12,9676431.0,44.699,61020,False
2019-08-02 00:00:00+00:00,45.19,47.5,45.09,46.11,11009174.0,46.227,79902,False
2019-08-09 00:00:00+00:00,45.75,46.63,41.03,44.35,17094681.0,43.521,107827,False
2019-08-16 00:00:00+00:00,44.2,45.32,41.91,43.19,7611626.0,43.342,53169,False
2019-08-23 00:00:00+00:00,43.64,44.51,42.55,42.79,7777912.0,43.728,50019,False
2019-08-30 00:00:00+00:00,43.22,44.1,41.25,43.13,10083892.0,42.529,68860,False
2019-09-06 00:00:00+00:00,42.76,45.56,42.13,45.43,7348217.0,44.089,47795,False
2019-09-13 00:00:00+00:00,45.32,49.19,45.32,48.22,10489760.0,47.616,68856,False
2019-09-20 00:00:00+00:00,47.5,49.1,47.35,47.89,9053189.0,48.278,53046,False
2019-09-27 00:00:00+00:00,47.7,48.18,46.51,47.57,8631324.0,47.277,58734,False
2019-10-04 00:00:00+00:00,47.0,48.39,44.8,46.07,8168604.0,46.491,57585,False
2019-10-11 00:00:00+00:00,46.09,47.55,44.68,46.92,7080968.0,45.903,48176,False
2019-10-18 00:00:00+00:00,46.76,51.67,46.48,51.54,12777732.0,49.903,69352,False
2019-10-25 00:00:00+00:00,51.13,51.48,49.14,50.05,9064543.0,50.092,57991,False
2019-11-01 00:00:00+00:00,50.04,51.51,49.07,50.44,7385170.0,50.22,51119,False
2019-11-08 00:00:00+00:00,50.65,54.76,50.5,53.75,11409968.0,52.579,73765,False
2019-11-15 00:00:00+00:00,53.2,56.27,52.82,56.24,12620992.0,54.461,66643,False
2019-11-22 00:00:00+00:00,56.14,56.69,54.86,55.69,6851815.0,55.692,48542,False
2019-11-29 00:00:00+00:00,55.99,56.49,53.76,55.03,6499425.0,55.071,40459,False
2019-12-06 00:00:00+00:00,55.03,55.09,53.83,54.87,5425106.0,54.595,36331,False
2019-12-13 00:00:00+00:00,54.71,55.02,53.45,53.66,4329211.0,54.135,29880,False
2019-12-20 00:00:00+00:00,53.26,53.98,50.5,51.8,8576993.0,51.826,53940,False
2019-12-27 00:00:00+00:00,51.81,51.94,50.75,51.5,2745938.0,51.301,17558,False
2020-01-03 00:00:00+00:00,51.47,51.66,49.14,49.36,5454047.0,50.146,33358,False
2020-01-10 00:00:00+00:00,49.26,50.72,48.93,50.63,5953185.0,49.991,39605,False
2020-01-17 00:00:00+00:00,50.53,54.64,49.8,53.93,9193046.0,52.867,56865,False
2020-01-24 00:00:00+00:00,53.89,55.49,52.74,53.82,6877589.0,54.49,41071,False
2020-01-31 00:00:00+00:00,52.85,54.4,50.9,51.21,6932001.0,52.877,50914,False
2020-02-07 00:00:00+00:00,51.43,60.48,51.09,58.24,15638366.0,55.894,91809,False
2020-02-14 00:00:00+00:00,58.25,60.69,57.61,59.62,9270615.0,59.417,59187,False
2020-02-21 00:00:00+00:00,59.6,60.53,58.66,59.72,5695789.0,59.46,37349,False
2020-02-28 00:00:00+00:00,58.21,58.94,49.49,52.12,11786203.0,53.947,79649,False
2020-03-06 00:00:00+00:00,52.31,56.09,50.03,51.27,12935193.0,53.084,84693,False
2020-03-13 00:00:00+00:00,48.0,49.82,42.36,47.62,13393047.0,46.578,93980,False
2020-03-20 00:00:00+00:00,42.59,49.19,41.5,43.33,12636449.0,45.196,86173,False
2020-03-27 00:00:00+00:00,42.9,46.19,39.05,44.38,11360076.0,43.259,84414,False
