date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,6.59,6.68,6.31,6.34,167069.0,6.503,933,False
2018-05-21 00:00:00+00:00,6.36,6.47,6.22,6.27,115462.0,6.333,778,False
2018-05-22 00:00:00+00:00,6.29,6.38,6.18,6.19,66985.0,6.272,510,False
2018-05-23 00:00:00+00:00,6.22,6.29,6.03,6.05,75192.0,6.117,458,False
2018-05-24 00:00:00+00:00,6.04,6.07,5.95,6.03,78319.0,6.01,513,False
2018-05-25 00:00:00+00:00,6.02,6.03,5.9,5.97,62487.0,5.961,443,False
2018-05-29 00:00:00+00:00,5.94,6.0,5.73,5.84,67458.0,5.87,429,False
2018-05-30 00:00:00+00:00,5.8,5.98,5.8,5.91,121167.0,5.907,745,False
2018-05-31 00:00:00+00:00,5.91,5.94,5.67,5.71,112547.0,5.752,409,False
2018-06-01 00:00:00+00:00,5.73,5.87,5.7,5.84,79457.0,5.794,538,False
2018-06-04 00:00:00+00:00,5.85,5.92,5.81,5.9,58372.0,5.87,390,False
2018-06-05 00:00:00+00:00,5.93,6.43,5.91,6.32,145458.0,6.278,599,False
2018-06-06 00:00:00+00:00,6.33,7.03,6.33,6.89,248862.0,6.759,1080,False
2018-06-07 00:00:00+00:00,6.87,6.87,6.34,6.4,134320.0,6.555,849,False
2018-06-08 00:00:00+00:00,6.39,6.48,6.19,6.34,141779.0,6.303,770,False
2018-06-11 00:00:00+00:00,6.37,6.45,6.31,6.32,162290.0,6.372,651,False
2018-06-12 00:00:00+00:00,6.32,6.32,6.16,6.24,42794.0,6.244,289,False
2018-06-13 00:00:00+00:00,6.22,6.27,5.86,6.1,165726.0,6.137,924,False
2018-06-14 00:00:00+00:00,6.1,6.21,6.03,6.14,61031.0,6.106,426,False
2018-06-15 00:00:00+00:00,6.14,6.21,6.04,6.15,88348.0,6.138,374,False
2018-06-18 00:00:00+00:00,6.13,6.18,6.06,6.1,64789.0,6.085,354,False
2018-06-19 00:00:00+00:00,6.09,6.26,5.98,6.24,136893.0,6.146,645,False
2018-06-20 00:00:00+00:00,6.25,6.33,6.11,6.11,83686.0,6.186,431,False
2018-06-21 00:00:00+00:00,6.12,6.19,5.96,6.06,91857.0,6.044,466,False
2018-06-22 00:00:00+00:00,6.09,6.1,5.99,6.08,47026.0,6.051,382,False
2018-06-25 00:00:00+00:00,6.08,6.09,5.83,6.03,80951.0,5.977,498,False
2018-06-26 00:00:00+00:00,6.04,6.44,6.03,6.37,82547.0,6.298,493,False
2018-06-27 00:00:00+00:00,6.37,6.46,6.14,6.15,106106.0,6.309,687,False
2018-06-28 00:00:00+00:00,6.16,6.24,6.09,6.17,69644.0,6.163,504,False
2018-06-29 00:00:00+00:00,6.19,6.28,6.08,6.14,52310.0,6.173,363,False
2018-07-02 00:00:00+00:00,6.11,6.29,6.08,6.27,69994.0,6.214,506,False
2018-07-03 00:00:00+00:00,6.34,6.37,6.24,6.25,24986.0,6.299,187,False
2018-07-05 00:00:00+00:00,6.27,6.45,6.23,6.37,43056.0,6.347,309,False
2018-07-06 00:00:00+00:00,6.39,6.55,6.37,6.47,50108.0,6.46,271,False
2018-07-09 00:00:00+00:00,6.5,6.66,6.5,6.6,53760.0,6.592,415,False
2018-07-10 00:00:00+00:00,6.6,6.63,6.45,6.48,33021.0,6.507,246,False
2018-07-11 00:00:00+00:00,6.44,6.51,6.4,6.47,55613.0,6.464,363,False
2018-07-12 00:00:00+00:00,6.51,6.55,6.43,6.54,44606.0,6.513,343,False
