date,open,high,low,close,volume,is_rth
2025-11-17 08:00:00+00:00,9.84,9.89,9.83,9.89,4590.0,0.0
2025-11-17 12:00:00+00:00,9.9,10.05,9.8,9.87,645571.0,1.0
2025-11-17 16:00:00+00:00,9.88,9.93,9.73,9.75,639747.0,1.0
2025-11-17 20:00:00+00:00,9.74,9.78,9.71,9.75,458548.0,1.0
2025-11-18 00:00:00+00:00,9.75,9.75,9.75,9.75,0.0,0.0
2025-11-18 08:00:00+00:00,9.7,9.7,9.65,9.67,1200.0,0.0
2025-11-18 12:00:00+00:00,9.65,9.71,9.56,9.68,606205.0,1.0
2025-11-18 16:00:00+00:00,9.67,9.78,9.64,9.75,762145.0,1.0
2025-11-18 20:00:00+00:00,9.75,9.94,9.73,9.94,2036023.0,1.0
2025-11-19 00:00:00+00:00,9.94,9.96,9.94,9.94,6024.0,0.0
2025-11-19 08:00:00+00:00,10.0,10.01,9.92,9.93,18391.0,0.0
2025-11-19 12:00:00+00:00,9.94,10.35,9.88,10.3,1983904.0,1.0
2025-11-19 16:00:00+00:00,10.29,10.35,10.1,10.13,1317708.0,1.0
2025-11-19 20:00:00+00:00,10.13,10.31,10.12,10.22,725052.0,1.0
2025-11-20 00:00:00+00:00,10.26,10.26,10.26,10.26,430.0,0.0
2025-11-20 08:00:00+00:00,10.22,10.3,10.19,10.24,25208.0,0.0
2025-11-20 12:00:00+00:00,10.26,10.49,10.25,10.35,1046587.0,1.0
2025-11-20 16:00:00+00:00,10.35,10.36,10.14,10.19,1249908.0,1.0
2025-11-20 20:00:00+00:00,10.19,10.24,10.04,10.24,682990.0,1.0
2025-11-21 00:00:00+00:00,10.07,10.07,10.07,10.07,100.0,0.0
2025-11-21 08:00:00+00:00,10.0,10.02,9.8,9.92,76939.0,0.0
2025-11-21 12:00:00+00:00,9.94,10.04,9.8,9.95,685053.0,1.0
2025-11-21 16:00:00+00:00,9.95,10.16,9.93,10.1,1202396.0,1.0
2025-11-21 20:00:00+00:00,10.1,10.19,10.02,10.05,843758.0,1.0
2025-11-22 00:00:00+00:00,10.05,10.05,10.05,10.05,100.0,0.0
2025-11-24 08:00:00+00:00,10.06,10.06,10.01,10.06,900.0,0.0
2025-11-24 12:00:00+00:00,10.05,10.15,9.87,9.97,1084704.0,1.0
2025-11-24 16:00:00+00:00,9.98,10.14,9.98,10.11,806852.0,1.0
2025-11-24 20:00:00+00:00,10.11,10.15,10.07,10.08,640024.0,1.0
2025-11-25 00:00:00+00:00,10.14,10.14,10.14,10.14,250.0,0.0
2025-11-25 08:00:00+00:00,10.22,10.24,10.22,10.23,2517.0,0.0
2025-11-25 12:00:00+00:00,10.22,10.25,9.97,10.13,821656.0,1.0
2025-11-25 16:00:00+00:00,10.13,10.28,10.1,10.24,718348.0,1.0
2025-11-25 20:00:00+00:00,10.24,10.26,10.12,10.17,458417.0,1.0
2025-11-26 00:00:00+00:00,10.17,10.25,10.16,10.16,5664.0,0.0
2025-11-26 08:00:00+00:00,10.4,10.4,9.87,10.16,62026.0,0.0
2025-11-26 12:00:00+00:00,10.12,10.47,9.91,10.19,1392332.0,1.0
2025-11-26 16:00:00+00:00,10.19,10.31,10.16,10.19,1050574.0,1.0
2025-11-26 20:00:00+00:00,10.19,10.21,10.11,10.11,671375.0,1.0
2025-11-27 00:00:00+00:00,10.11,10.12,10.11,10.11,0.0,0.0
2025-11-28 08:00:00+00:00,10.5,10.79,10.5,10.73,60850.0,0.0
2025-11-28 12:00:00+00:00,10.72,11.06,10.17,10.94,2306340.0,1.0
2025-11-28 16:00:00+00:00,10.93,11.01,10.87,10.91,1323195.0,1.0
2025-11-28 20:00:00+00:00,10.99,10.99,10.97,10.97,3655.0,1.0
2025-12-01 08:00:00+00:00,11.0,11.06,11.0,11.03,9451.0,0.0
2025-12-01 12:00:00+00:00,11.01,11.06,10.83,10.88,723956.0,1.0
2025-12-01 16:00:00+00:00,10.88,10.89,10.68,10.72,770095.0,1.0
2025-12-01 20:00:00+00:00,10.73,10.74,10.61,10.68,748547.0,1.0
2025-12-02 00:00:00+00:00,10.68,10.68,10.68,10.68,626.0,0.0
2025-12-02 08:00:00+00:00,10.69,10.7,10.6,10.61,19035.0,0.0
2025-12-02 12:00:00+00:00,10.63,10.73,10.56,10.72,368263.0,1.0
2025-12-02 16:00:00+00:00,10.72,10.79,10.64,10.79,432359.0,1.0
2025-12-02 20:00:00+00:00,10.79,10.83,10.76,10.83,451732.0,1.0
2025-12-03 00:00:00+00:00,10.83,10.83,10.83,10.83,0.0,0.0
2025-12-03 08:00:00+00:00,11.02,11.28,11.01,11.28,45956.0,0.0
2025-12-03 12:00:00+00:00,11.27,11.32,10.96,11.17,740029.0,1.0
2025-12-03 16:00:00+00:00,11.17,11.23,11.11,11.13,459190.0,1.0
2025-12-03 20:00:00+00:00,11.13,11.13,11.05,11.06,332954.0,1.0
2025-12-04 00:00:00+00:00,11.06,11.06,11.06,11.06,0.0,0.0
2025-12-04 08:00:00+00:00,11.15,11.16,11.09,11.09,7064.0,0.0
2025-12-04 12:00:00+00:00,11.1,11.18,10.96,11.01,273985.0,1.0
2025-12-04 16:00:00+00:00,11.02,11.03,10.83,10.88,427729.0,1.0
2025-12-04 20:00:00+00:00,10.88,10.97,10.87,10.97,302760.0,1.0
2025-12-05 00:00:00+00:00,10.97,10.97,10.96,10.97,0.0,0.0
2025-12-05 08:00:00+00:00,10.93,10.93,10.9,10.9,600.0,0.0
2025-12-05 12:00:00+00:00,10.89,10.91,10.77,10.87,220098.0,1.0
2025-12-05 16:00:00+00:00,10.88,10.91,10.8,10.85,565673.0,1.0
2025-12-05 20:00:00+00:00,10.85,10.85,10.77,10.81,388427.0,1.0
2025-12-06 00:00:00+00:00,10.81,10.81,10.81,10.81,0.0,0.0
2025-12-08 08:00:00+00:00,10.84,10.91,10.84,10.91,4293.0,0.0
2025-12-08 12:00:00+00:00,10.9,10.99,10.79,10.88,373745.0,1.0
2025-12-08 16:00:00+00:00,10.88,10.92,10.76,10.8,501543.0,1.0
2025-12-08 20:00:00+00:00,10.8,10.82,10.77,10.82,333681.0,1.0
2025-12-09 00:00:00+00:00,10.82,10.82,10.82,10.82,0.0,0.0
2025-12-09 08:00:00+00:00,10.76,10.76,10.69,10.7,4288.0,0.0
2025-12-09 12:00:00+00:00,10.68,10.86,10.36,10.39,775548.0,1.0
2025-12-09 16:00:00+00:00,10.4,10.41,10.25,10.29,840465.0,1.0
2025-12-09 20:00:00+00:00,10.29,10.4,10.21,10.3,461879.0,1.0
2025-12-10 00:00:00+00:00,10.39,10.39,10.3,10.3,421.0,0.0
2025-12-10 08:00:00+00:00,10.21,10.24,10.2,10.21,10431.0,0.0
2025-12-10 12:00:00+00:00,10.22,10.25,9.93,9.96,882972.0,1.0
