date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,26.95,26.95,26.5,26.6,109828.0,26.731,782,False
2018-05-21 00:00:00+00:00,26.75,27.45,26.75,27.3,106247.0,27.273,889,False
2018-05-22 00:00:00+00:00,27.25,27.55,26.35,27.3,86975.0,27.354,765,False
2018-05-23 00:00:00+00:00,27.35,27.5,26.8,26.9,79133.0,26.95,711,False
2018-05-24 00:00:00+00:00,26.95,27.4,26.37,26.65,77904.0,26.614,651,False
2018-05-25 00:00:00+00:00,26.5,26.8,26.35,26.7,146076.0,26.624,1019,False
2018-05-29 00:00:00+00:00,26.6,26.65,26.17,26.35,92151.0,26.371,825,False
2018-05-30 00:00:00+00:00,26.5,27.0,26.5,26.85,53110.0,26.812,449,False
2018-05-31 00:00:00+00:00,26.9,27.0,26.2,26.25,109937.0,26.39,937,False
2018-06-01 00:00:00+00:00,26.45,27.0,26.45,26.95,93568.0,26.853,720,False
2018-06-04 00:00:00+00:00,26.95,27.35,26.9,27.3,69948.0,27.152,492,False
2018-06-05 00:00:00+00:00,27.2,27.35,26.95,27.05,84273.0,27.08,647,False
2018-06-06 00:00:00+00:00,27.25,27.53,27.1,27.3,129835.0,27.305,933,False
2018-06-07 00:00:00+00:00,27.3,27.4,27.15,27.3,120406.0,27.306,727,False
2018-06-08 00:00:00+00:00,27.3,27.35,27.0,27.0,86719.0,27.149,684,False
2018-06-11 00:00:00+00:00,26.95,27.2,26.32,26.35,71443.0,26.534,538,False
2018-06-12 00:00:00+00:00,26.4,26.5,25.9,25.95,118203.0,26.105,905,False
2018-06-13 00:00:00+00:00,26.0,26.55,25.85,26.15,115598.0,26.196,913,False
2018-06-14 00:00:00+00:00,26.2,26.2,25.7,25.9,156185.0,25.837,1142,False
2018-06-15 00:00:00+00:00,25.7,26.18,25.5,26.0,188359.0,25.878,1138,False
2018-06-18 00:00:00+00:00,25.8,26.3,25.75,26.05,73104.0,26.024,579,False
2018-06-19 00:00:00+00:00,25.9,26.45,25.85,26.35,52198.0,26.251,454,False
2018-06-20 00:00:00+00:00,26.4,26.65,26.2,26.55,79667.0,26.495,591,False
2018-06-21 00:00:00+00:00,26.55,26.67,26.3,26.35,50380.0,26.456,461,False
2018-06-22 00:00:00+00:00,26.35,26.55,25.95,26.2,46845.0,26.206,385,False
2018-06-25 00:00:00+00:00,26.0,26.1,25.6,25.7,96414.0,25.764,786,False
2018-06-26 00:00:00+00:00,25.8,25.8,25.5,25.5,87640.0,25.625,745,False
2018-06-27 00:00:00+00:00,25.55,25.75,25.0,25.15,121080.0,25.213,997,False
2018-06-28 00:00:00+00:00,25.1,25.35,25.05,25.15,48651.0,25.176,428,False
2018-06-29 00:00:00+00:00,25.2,25.35,24.87,24.9,67267.0,25.012,512,False
2018-07-02 00:00:00+00:00,24.85,25.7,24.85,25.7,128605.0,25.382,997,False
2018-07-03 00:00:00+00:00,25.7,25.8,25.3,25.3,31656.0,25.497,266,False
2018-07-05 00:00:00+00:00,25.3,25.4,25.15,25.3,60469.0,25.285,499,False
2018-07-06 00:00:00+00:00,25.1,25.35,25.05,25.15,76694.0,25.193,629,False
2018-07-09 00:00:00+00:00,25.3,25.75,25.3,25.7,58581.0,25.651,479,False
2018-07-10 00:00:00+00:00,25.65,25.75,25.05,25.2,58573.0,25.321,505,False
2018-07-11 00:00:00+00:00,25.2,25.4,25.05,25.15,42811.0,25.179,365,False
2018-07-12 00:00:00+00:00,26.4,26.7,25.25,25.4,171667.0,25.518,898,False
2018-07-13 00:00:00+00:00,25.25,25.65,25.1,25.1,55749.0,25.351,459,False
2018-07-16 00:00:00+00:00,25.3,25.7,25.15,25.45,45276.0,25.311,393,False
2018-07-17 00:00:00+00:00,25.4,25.65,25.1,25.15,57522.0,25.325,517,False
2018-07-18 00:00:00+00:00,25.05,25.35,25.05,25.25,79212.0,25.234,523,False
2018-07-19 00:00:00+00:00,25.3,25.45,24.9,25.35,126892.0,25.116,1059,False
2018-07-20 00:00:00+00:00,25.35,25.6,25.25,25.35,64141.0,25.395,488,False
2018-07-23 00:00:00+00:00,25.35,25.7,25.35,25.55,48414.0,25.557,399,False
2018-07-24 00:00:00+00:00,25.65,25.65,25.15,25.25,78351.0,25.359,532,False
2018-07-25 00:00:00+00:00,25.35,25.4,24.6,24.65,110863.0,24.776,727,False
2018-07-26 00:00:00+00:00,24.7,25.58,24.7,25.3,136542.0,25.335,892,False
2018-07-27 00:00:00+00:00,25.3,25.48,24.9,24.9,59392.0,25.054,522,False
2018-07-30 00:00:00+00:00,24.85,25.15,24.75,24.75,190993.0,24.897,1333,False
2018-07-31 00:00:00+00:00,24.8,25.1,24.65,24.8,192617.0,24.894,1427,False
2018-08-01 00:00:00+00:00,24.9,25.2,24.8,25.0,98361.0,24.96,760,False
2018-08-02 00:00:00+00:00,25.0,25.23,24.75,25.1,42502.0,25.029,319,False
2018-08-03 00:00:00+00:00,25.15,25.2,24.6,24.6,49909.0,24.735,413,False
2018-08-06 00:00:00+00:00,24.55,24.65,24.45,24.6,88075.0,24.547,517,False
2018-08-07 00:00:00+00:00,24.7,24.95,24.55,24.6,47257.0,24.679,345,False
2018-08-08 00:00:00+00:00,24.55,25.05,24.45,25.05,91545.0,24.846,685,False
2018-08-09 00:00:00+00:00,25.0,25.3,24.87,25.3,106068.0,25.132,735,False
2018-08-10 00:00:00+00:00,25.1,25.35,24.9,25.3,53375.0,25.247,448,False
2018-08-13 00:00:00+00:00,25.35,25.35,24.77,24.8,75158.0,24.947,663,False
2018-08-14 00:00:00+00:00,24.8,25.4,24.8,25.3,77187.0,25.219,496,False
2018-08-15 00:00:00+00:00,25.15,25.3,24.85,24.9,39043.0,25.036,334,False
2018-08-16 00:00:00+00:00,24.95,25.3,24.9,24.95,51755.0,25.096,391,False
2018-08-17 00:00:00+00:00,24.9,25.05,24.85,24.95,54473.0,24.942,479,False
2018-08-20 00:00:00+00:00,25.0,25.25,24.8,25.05,43124.0,25.014,355,False
2018-08-21 00:00:00+00:00,25.15,25.55,25.15,25.3,70771.0,25.303,614,False
2018-08-22 00:00:00+00:00,25.25,25.4,25.1,25.3,81416.0,25.291,622,False
2018-08-23 00:00:00+00:00,25.35,25.45,25.2,25.45,46664.0,25.32,394,False
2018-08-24 00:00:00+00:00,25.45,25.6,25.3,25.45,71841.0,25.465,523,False
2018-08-27 00:00:00+00:00,25.5,25.6,25.3,25.35,111687.0,25.426,687,False
2018-08-28 00:00:00+00:00,25.45,25.45,24.95,25.05,26690.0,25.107,233,False
2018-08-29 00:00:00+00:00,25.05,25.1,24.8,24.95,56755.0,24.899,378,False
2018-08-30 00:00:00+00:00,24.85,24.9,24.6,24.75,85654.0,24.764,500,False
2018-08-31 00:00:00+00:00,24.7,25.2,24.3,24.65,63280.0,24.724,356,False
2018-09-04 00:00:00+00:00,24.65,24.7,24.47,24.5,98265.0,24.566,757,False
2018-09-05 00:00:00+00:00,24.5,24.83,24.45,24.8,54960.0,24.658,484,False
2018-09-06 00:00:00+00:00,24.7,24.8,24.45,24.55,48213.0,24.609,386,False
2018-09-07 00:00:00+00:00,24.55,24.85,24.45,24.65,69220.0,24.548,406,False
2018-09-10 00:00:00+00:00,24.75,24.75,24.42,24.55,47736.0,24.571,383,False
2018-09-11 00:00:00+00:00,24.55,24.7,24.35,24.4,49203.0,24.519,412,False
2018-09-12 00:00:00+00:00,24.35,24.85,24.1,24.15,118468.0,24.196,853,False
2018-09-13 00:00:00+00:00,24.2,24.75,23.87,23.95,86354.0,24.012,672,False
2018-09-14 00:00:00+00:00,23.9,24.35,23.9,24.1,84201.0,24.193,652,False
2018-09-17 00:00:00+00:00,24.2,24.33,23.9,24.15,131186.0,24.076,670,False
2018-09-18 00:00:00+00:00,24.15,24.15,23.9,24.0,100338.0,23.98,781,False
2018-09-19 00:00:00+00:00,24.0,24.4,24.0,24.1,84789.0,24.149,689,False
2018-09-20 00:00:00+00:00,24.25,24.7,24.25,24.45,76741.0,24.44,665,False
2018-09-21 00:00:00+00:00,24.55,24.65,24.2,24.45,145351.0,24.461,837,False
2018-09-24 00:00:00+00:00,24.45,24.5,23.9,23.98,48898.0,24.033,408,False
2018-09-25 00:00:00+00:00,24.0,24.45,23.9,24.1,56571.0,24.12,497,False
2018-09-26 00:00:00+00:00,24.05,24.05,23.75,23.75,91135.0,23.89,782,False
2018-09-27 00:00:00+00:00,23.7,23.9,23.7,23.7,40706.0,23.799,316,False
2018-09-28 00:00:00+00:00,23.7,23.85,23.55,23.75,49313.0,23.707,410,False
2018-10-01 00:00:00+00:00,23.78,23.78,23.41,23.49,93823.0,23.494,634,False
2018-10-02 00:00:00+00:00,23.45,23.6,23.25,23.4,61490.0,23.341,498,False
2018-10-03 00:00:00+00:00,23.46,23.77,23.41,23.67,104198.0,23.581,817,False
2018-10-04 00:00:00+00:00,23.64,23.88,23.48,23.58,45049.0,23.626,408,False
2018-10-05 00:00:00+00:00,23.64,23.75,23.26,23.31,55308.0,23.399,444,False
2018-10-08 00:00:00+00:00,23.31,23.75,23.29,23.59,51454.0,23.519,442,False
2018-10-09 00:00:00+00:00,23.51,23.66,23.39,23.43,50873.0,23.516,460,False
2018-10-10 00:00:00+00:00,23.42,23.78,23.16,23.16,58387.0,23.416,529,False
2018-10-11 00:00:00+00:00,23.1,23.25,22.59,22.6,93221.0,22.897,771,False
2018-10-12 00:00:00+00:00,22.75,23.2,21.8,22.16,139280.0,22.357,1119,False
2018-10-15 00:00:00+00:00,22.1,22.5,21.97,22.1,69969.0,22.12,578,False
2018-10-16 00:00:00+00:00,22.16,22.21,21.8,22.07,58779.0,22.003,507,False
2018-10-17 00:00:00+00:00,21.99,22.34,21.68,22.08,75127.0,22.048,651,False
2018-10-18 00:00:00+00:00,22.02,22.23,21.76,21.77,39944.0,21.978,325,False
2018-10-19 00:00:00+00:00,21.92,21.92,21.29,21.29,74372.0,21.548,518,False
2018-10-22 00:00:00+00:00,21.35,21.4,20.6,20.67,101330.0,20.999,816,False
