date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,12.3,12.48,12.2,12.45,631501.0,12.369,3979,False
2018-05-25 00:00:00+00:00,12.5,12.8,11.75,12.1,2276243.0,12.342,12729,False
2018-06-01 00:00:00+00:00,11.95,12.4,11.82,12.15,3561985.0,12.085,20962,False
2018-06-08 00:00:00+00:00,12.2,12.65,11.97,12.1,3018596.0,12.311,16662,False
2018-06-15 00:00:00+00:00,12.05,12.6,12.0,12.4,2492321.0,12.436,14883,False
2018-06-22 00:00:00+00:00,12.4,12.55,11.05,11.5,3575042.0,11.599,18907,False
2018-06-29 00:00:00+00:00,11.35,11.4,9.97,10.3,6078718.0,10.516,31651,False
2018-07-06 00:00:00+00:00,10.25,11.05,10.1,10.85,4087573.0,10.577,17568,False
2018-07-13 00:00:00+00:00,10.9,11.4,10.6,10.9,2450278.0,10.94,14056,False
2018-07-20 00:00:00+00:00,11.05,11.55,10.65,10.75,4293052.0,11.12,21125,False
2018-07-27 00:00:00+00:00,10.8,13.35,10.75,12.85,9780488.0,12.553,42598,False
2018-08-03 00:00:00+00:00,12.85,13.35,12.3,12.4,3260242.0,12.899,17444,False
2018-08-10 00:00:00+00:00,12.4,12.85,11.95,12.25,2129159.0,12.366,12102,False
2018-08-17 00:00:00+00:00,12.2,12.24,11.07,11.3,3328904.0,11.552,18347,False
2018-08-24 00:00:00+00:00,11.3,11.9,11.2,11.75,2315492.0,11.533,15067,False
2018-08-31 00:00:00+00:00,11.85,12.4,11.35,11.65,1849155.0,11.848,11119,False
2018-09-07 00:00:00+00:00,11.55,11.7,10.8,11.05,3102123.0,11.189,14823,False
2018-09-14 00:00:00+00:00,11.1,11.45,10.8,11.45,3238174.0,11.099,16332,False
2018-09-21 00:00:00+00:00,11.45,12.7,11.3,12.45,4283661.0,12.084,21809,False
2018-09-28 00:00:00+00:00,12.45,12.53,12.0,12.35,2113991.0,12.319,12904,False
2018-10-05 00:00:00+00:00,12.5,12.6,11.41,11.55,2601049.0,12.143,16725,False
2018-10-12 00:00:00+00:00,11.44,11.5,9.89,10.27,6330208.0,10.468,34225,False
2018-10-19 00:00:00+00:00,10.3,10.61,9.5,9.65,3957061.0,10.066,22605,False
2018-10-26 00:00:00+00:00,9.62,9.82,8.16,9.08,8558636.0,9.126,43515,False
2018-11-02 00:00:00+00:00,9.22,9.76,8.4,9.48,6914292.0,9.128,37525,False
2018-11-09 00:00:00+00:00,9.42,9.76,8.64,8.81,4078019.0,9.206,23799,False
2018-11-16 00:00:00+00:00,8.73,8.79,7.75,8.55,6051077.0,8.256,32292,False
2018-11-23 00:00:00+00:00,8.46,8.46,7.34,7.57,4473784.0,7.685,23020,False
2018-11-30 00:00:00+00:00,7.63,8.65,7.6,8.39,5225048.0,8.14,27770,False
2018-12-07 00:00:00+00:00,8.7,9.03,7.84,8.0,4377085.0,8.406,24568,False
2018-12-14 00:00:00+00:00,7.96,8.94,7.41,7.71,7022771.0,8.195,40346,False
2018-12-21 00:00:00+00:00,7.73,8.17,6.68,6.78,5907716.0,7.525,32998,False
2018-12-28 00:00:00+00:00,6.67,6.97,6.26,6.88,5757159.0,6.621,26497,False
2019-01-04 00:00:00+00:00,6.9,7.55,6.63,7.3,3885566.0,7.08,23802,False
2019-01-11 00:00:00+00:00,7.35,8.09,7.19,7.7,5571451.0,7.716,28699,False
2019-01-18 00:00:00+00:00,7.63,8.43,7.42,8.29,4061739.0,7.949,19945,False
2019-01-25 00:00:00+00:00,8.16,8.42,8.0,8.25,2556588.0,8.205,15666,False
2019-02-01 00:00:00+00:00,8.08,8.9,7.9,8.65,3484549.0,8.34,19493,False
2019-02-08 00:00:00+00:00,8.59,9.12,8.51,8.81,3386128.0,8.828,18731,False
2019-02-15 00:00:00+00:00,8.79,9.18,8.64,9.07,3985572.0,8.914,21717,False
2019-02-22 00:00:00+00:00,9.02,9.7,9.02,9.32,4318901.0,9.328,23239,False
2019-03-01 00:00:00+00:00,9.37,9.75,9.34,9.49,3614236.0,9.55,19431,False
2019-03-08 00:00:00+00:00,9.55,9.58,8.19,8.31,4197321.0,8.707,21876,False
2019-03-15 00:00:00+00:00,8.29,9.13,8.25,9.05,3199743.0,8.86,17364,False
2019-03-22 00:00:00+00:00,9.07,9.22,8.4,8.47,3080751.0,8.914,16994,False
2019-03-29 00:00:00+00:00,8.44,8.53,7.92,7.98,4192790.0,8.124,20520,False
2019-04-05 00:00:00+00:00,8.16,9.02,8.01,8.93,4488693.0,8.625,21477,False
2019-04-12 00:00:00+00:00,8.95,9.12,8.56,8.83,3283420.0,8.765,16406,False
2019-04-18 00:00:00+00:00,8.78,9.68,8.75,9.4,3645256.0,9.228,18032,False
2019-04-26 00:00:00+00:00,9.3,10.75,9.19,9.78,6121597.0,9.819,30096,False
2019-05-03 00:00:00+00:00,9.78,9.87,8.82,9.58,3471060.0,9.342,19660,False
2019-05-10 00:00:00+00:00,9.22,9.66,8.92,9.52,3486242.0,9.332,19598,False
2019-05-17 00:00:00+00:00,9.35,9.5,8.89,9.22,3415491.0,9.198,18095,False
2019-05-24 00:00:00+00:00,9.12,9.41,8.82,8.94,2972012.0,9.118,15038,False
2019-05-31 00:00:00+00:00,8.93,9.02,8.16,8.17,1913693.0,8.547,11266,False
2019-06-07 00:00:00+00:00,8.2,9.42,8.11,9.36,3266395.0,8.883,15815,False
2019-06-14 00:00:00+00:00,9.45,9.72,9.28,9.54,2398242.0,9.51,12961,False
2019-06-21 00:00:00+00:00,9.52,10.38,9.11,9.89,3963141.0,9.757,22909,False
2019-06-28 00:00:00+00:00,9.84,10.36,9.55,10.04,2834225.0,10.025,14990,False
2019-07-05 00:00:00+00:00,10.28,10.29,9.71,10.11,1423237.0,10.103,8596,False
2019-07-12 00:00:00+00:00,9.98,10.39,9.64,10.33,2876430.0,10.082,15708,False
2019-07-19 00:00:00+00:00,10.37,10.62,9.94,10.22,2102061.0,10.219,12160,False
2019-07-26 00:00:00+00:00,10.23,12.84,10.21,12.66,11010380.0,11.945,45933,False
2019-08-02 00:00:00+00:00,12.7,12.94,11.57,11.72,4768852.0,12.32,26467,False
2019-08-09 00:00:00+00:00,11.48,12.17,10.89,11.76,5521161.0,11.419,28662,False
2019-08-16 00:00:00+00:00,11.63,12.02,10.5,11.07,4829596.0,11.223,22577,False
2019-08-23 00:00:00+00:00,11.33,11.92,11.04,11.12,2729398.0,11.561,15033,False
2019-08-30 00:00:00+00:00,11.3,12.07,10.96,12.04,2588889.0,11.577,14205,False
2019-09-06 00:00:00+00:00,11.89,12.33,11.55,12.15,2049764.0,11.964,13027,False
