date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,43.99,44.89,43.65,44.77,240135.0,44.362,1574,False
2018-05-21 00:00:00+00:00,44.97,46.24,44.78,46.15,410453.0,45.712,2740,False
2018-05-22 00:00:00+00:00,45.95,47.67,45.05,45.46,604003.0,46.508,3816,False
2018-05-23 00:00:00+00:00,45.28,45.46,44.53,45.14,223320.0,45.033,1602,False
2018-05-24 00:00:00+00:00,44.92,45.56,44.32,45.07,233219.0,45.129,1375,False
2018-05-25 00:00:00+00:00,44.13,44.54,42.8,43.61,351603.0,43.414,2432,False
2018-05-29 00:00:00+00:00,42.93,43.43,38.23,39.62,2235577.0,40.078,13611,False
2018-05-30 00:00:00+00:00,39.68,40.35,38.69,39.21,1121627.0,39.362,7978,False
2018-05-31 00:00:00+00:00,39.14,40.51,37.62,37.73,1154366.0,38.803,7193,False
2018-06-01 00:00:00+00:00,38.12,40.57,37.89,40.1,996019.0,39.904,7010,False
2018-06-04 00:00:00+00:00,40.54,42.72,40.36,42.27,1075351.0,41.967,7413,False
2018-06-05 00:00:00+00:00,42.28,42.33,40.25,40.45,637106.0,40.859,4316,False
2018-06-06 00:00:00+00:00,40.77,40.91,38.8,39.71,858043.0,39.615,5574,False
2018-06-07 00:00:00+00:00,40.0,40.6,39.05,40.37,514587.0,40.051,3528,False
2018-06-08 00:00:00+00:00,40.4,40.4,38.85,40.25,579146.0,39.827,3590,False
2018-06-11 00:00:00+00:00,40.28,40.41,39.4,40.01,610437.0,39.896,3911,False
2018-06-12 00:00:00+00:00,40.35,40.35,38.15,38.45,842672.0,39.138,5196,False
2018-06-13 00:00:00+00:00,38.45,38.93,37.22,38.79,656117.0,38.381,4387,False
2018-06-14 00:00:00+00:00,39.0,39.31,38.11,38.68,434422.0,38.72,3344,False
2018-06-15 00:00:00+00:00,38.38,38.78,37.61,38.29,516477.0,38.123,3615,False
2018-06-18 00:00:00+00:00,38.6,40.22,38.27,39.39,427426.0,39.304,2737,False
2018-06-19 00:00:00+00:00,38.89,39.19,38.23,38.97,219373.0,38.825,1542,False
2018-06-20 00:00:00+00:00,39.54,39.54,37.61,37.91,428428.0,38.021,2943,False
2018-06-21 00:00:00+00:00,38.02,38.02,36.0,36.16,458463.0,36.658,2755,False
2018-06-22 00:00:00+00:00,37.25,37.25,36.26,36.53,363979.0,36.697,2211,False
2018-06-25 00:00:00+00:00,36.64,36.7,35.57,35.95,583895.0,36.073,3770,False
2018-06-26 00:00:00+00:00,35.95,36.66,35.94,36.04,426052.0,36.182,3134,False
2018-06-27 00:00:00+00:00,36.58,37.02,35.59,35.64,519852.0,36.271,3847,False
2018-06-28 00:00:00+00:00,35.86,36.47,35.17,36.24,300472.0,36.07,1998,False
2018-06-29 00:00:00+00:00,36.46,37.27,36.18,36.99,370605.0,36.831,2718,False
2018-07-02 00:00:00+00:00,36.59,36.64,35.92,36.42,301123.0,36.339,2075,False
2018-07-03 00:00:00+00:00,37.0,37.18,36.29,36.56,148886.0,36.72,1110,False
2018-07-05 00:00:00+00:00,36.69,36.84,35.2,35.65,544045.0,35.859,3774,False
2018-07-06 00:00:00+00:00,35.59,36.49,35.35,36.28,180440.0,36.102,1200,False
2018-07-09 00:00:00+00:00,36.48,37.73,36.42,37.49,369867.0,37.375,2682,False
2018-07-10 00:00:00+00:00,37.69,38.32,37.01,37.32,453166.0,37.594,2969,False
2018-07-11 00:00:00+00:00,37.03,37.51,36.04,36.39,306277.0,36.666,2134,False
2018-07-12 00:00:00+00:00,36.69,37.15,36.1,36.97,211213.0,36.737,1268,False
2018-07-13 00:00:00+00:00,36.97,37.51,36.66,37.05,255776.0,37.131,1663,False
2018-07-16 00:00:00+00:00,36.95,37.41,36.46,37.28,268892.0,36.961,1660,False
2018-07-17 00:00:00+00:00,37.44,38.45,37.09,37.66,465769.0,37.889,3020,False
2018-07-18 00:00:00+00:00,37.5,38.25,37.0,37.86,295133.0,37.779,1896,False
2018-07-19 00:00:00+00:00,37.66,38.21,37.2,37.36,316375.0,37.451,2274,False
2018-07-20 00:00:00+00:00,37.57,37.82,36.89,37.34,342129.0,37.262,2050,False
2018-07-23 00:00:00+00:00,37.55,37.78,36.99,37.46,483521.0,37.478,3324,False
2018-07-24 00:00:00+00:00,37.91,38.22,37.6,37.68,470977.0,37.988,3185,False
2018-07-25 00:00:00+00:00,37.85,38.21,37.19,37.6,730146.0,37.818,4854,False
2018-07-26 00:00:00+00:00,38.43,39.71,37.73,39.3,1040127.0,39.063,7548,False
2018-07-27 00:00:00+00:00,39.01,39.76,37.28,37.82,1001704.0,37.959,7242,False
2018-07-30 00:00:00+00:00,38.28,39.2,38.05,39.03,824206.0,38.709,5737,False
2018-07-31 00:00:00+00:00,39.31,39.8,38.9,39.29,564090.0,39.406,3806,False
2018-08-01 00:00:00+00:00,39.2,39.42,38.03,38.17,568024.0,38.466,3941,False
2018-08-02 00:00:00+00:00,37.96,38.15,36.31,36.82,1029131.0,36.941,6457,False
2018-08-03 00:00:00+00:00,35.86,36.32,34.99,35.45,619276.0,35.377,4247,False
2018-08-06 00:00:00+00:00,35.4,36.19,35.22,36.08,711804.0,35.813,5007,False
2018-08-07 00:00:00+00:00,36.22,36.86,36.05,36.22,534509.0,36.384,3758,False
2018-08-08 00:00:00+00:00,36.14,36.2,34.99,35.26,728450.0,35.343,4601,False
2018-08-09 00:00:00+00:00,35.22,35.7,33.85,34.18,876567.0,34.64,5749,False
2018-08-10 00:00:00+00:00,33.97,35.44,33.55,35.36,961360.0,34.987,6960,False
2018-08-13 00:00:00+00:00,35.36,35.48,33.25,33.48,1269261.0,34.018,9054,False
2018-08-14 00:00:00+00:00,33.7,35.86,33.68,35.84,1107097.0,35.262,7616,False
2018-08-15 00:00:00+00:00,35.31,35.43,33.43,34.26,939059.0,34.354,6280,False
2018-08-16 00:00:00+00:00,34.57,35.59,34.5,35.28,868417.0,35.188,5609,False
2018-08-17 00:00:00+00:00,35.3,35.74,35.0,35.67,273489.0,35.472,1729,False
2018-08-20 00:00:00+00:00,35.76,37.43,35.76,36.93,707816.0,36.922,4417,False
