date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,43.55,46.03,43.13,45.28,2231176.0,44.871,17802,False
2016-06-30 00:00:00+00:00,45.05,47.42,41.33,43.19,5812447.0,44.602,42110,False
2016-07-29 00:00:00+00:00,43.23,52.44,41.86,51.74,7327293.0,46.933,51965,False
2016-08-31 00:00:00+00:00,51.58,52.81,49.48,51.54,4228380.0,51.305,33279,False
2016-09-30 00:00:00+00:00,51.7,53.84,49.8,53.13,5560053.0,52.643,42128,False
2016-10-31 00:00:00+00:00,52.82,56.29,51.67,53.5,7963981.0,53.706,55932,False
2016-11-30 00:00:00+00:00,53.5,57.25,50.65,54.0,5046600.0,53.595,40282,False
2016-12-30 00:00:00+00:00,53.5,54.95,50.7,51.4,4887447.0,52.966,37764,False
2017-01-31 00:00:00+00:00,52.1,57.55,49.05,49.1,7551499.0,52.138,56465,False
2017-02-28 00:00:00+00:00,49.6,51.95,48.45,49.05,5034650.0,50.327,37875,False
2017-03-31 00:00:00+00:00,49.6,51.5,48.07,50.8,5284549.0,49.723,41612,False
2017-04-28 00:00:00+00:00,50.7,51.9,49.5,50.45,4700354.0,50.72,36816,False
2017-05-31 00:00:00+00:00,50.65,58.4,50.0,56.13,8629732.0,55.632,65401,False
2017-06-30 00:00:00+00:00,56.25,59.0,55.25,56.45,5003446.0,57.226,39274,False
2017-07-31 00:00:00+00:00,56.75,64.6,55.05,59.55,5499475.0,59.906,40389,False
2017-08-31 00:00:00+00:00,59.95,61.05,56.7,61.05,4098639.0,59.406,32617,False
2017-09-29 00:00:00+00:00,61.2,61.75,59.65,60.8,3813033.0,60.837,28491,False
2017-10-31 00:00:00+00:00,60.9,62.7,50.0,52.05,11003486.0,55.63,77396,False
2017-11-30 00:00:00+00:00,52.3,55.7,51.0,53.9,6897538.0,53.831,51761,False
2017-12-29 00:00:00+00:00,53.7,55.43,51.75,52.5,5165063.0,53.538,37464,False
2018-01-31 00:00:00+00:00,52.75,56.45,51.05,53.35,9480595.0,53.569,69499,False
2018-02-28 00:00:00+00:00,52.95,54.15,48.35,52.05,6787365.0,52.039,47865,False
2018-03-29 00:00:00+00:00,51.7,58.65,48.95,57.2,11467335.0,56.084,80330,False
2018-04-30 00:00:00+00:00,62.9,71.45,62.15,69.95,10157655.0,67.447,71917,False
2018-05-31 00:00:00+00:00,68.5,70.55,66.55,68.35,6211120.0,68.229,45968,False
2018-06-29 00:00:00+00:00,68.75,72.65,64.4,65.85,5691875.0,69.391,37617,False
2018-07-31 00:00:00+00:00,65.8,70.65,62.55,64.9,4731335.0,66.732,37521,False
2018-08-31 00:00:00+00:00,65.0,69.85,63.65,69.65,3833033.0,66.464,31174,False
2018-09-28 00:00:00+00:00,69.45,70.7,67.0,70.0,3335363.0,69.074,23768,False
2018-10-31 00:00:00+00:00,70.25,70.25,51.53,58.22,7295910.0,59.901,55238,False
2018-11-30 00:00:00+00:00,58.45,60.91,54.15,58.94,3364534.0,58.284,28051,False
2018-12-31 00:00:00+00:00,59.98,59.98,53.48,59.09,4876041.0,57.12,35851,False
2019-01-31 00:00:00+00:00,58.05,66.95,55.57,66.07,6514591.0,61.266,45197,False
2019-02-28 00:00:00+00:00,66.08,69.2,64.64,67.39,4994673.0,67.519,39162,False
2019-03-29 00:00:00+00:00,67.9,67.9,63.51,64.74,5677222.0,65.281,42038,False
2019-04-30 00:00:00+00:00,65.06,65.9,52.39,52.6,9692355.0,60.573,67168,False
2019-05-31 00:00:00+00:00,52.66,54.56,45.76,46.05,7798113.0,49.967,58703,False
2019-06-28 00:00:00+00:00,46.17,49.69,45.53,49.62,3948691.0,47.866,33224,False
2019-07-31 00:00:00+00:00,50.25,51.52,44.4,45.44,6160046.0,48.922,46927,False
2019-08-30 00:00:00+00:00,45.66,46.01,40.73,43.37,5335150.0,42.563,39610,False
2019-09-30 00:00:00+00:00,43.14,47.62,42.3,44.71,6093445.0,44.868,48928,False
2019-10-31 00:00:00+00:00,45.0,50.8,43.46,49.67,5988026.0,46.595,44847,False
2019-11-29 00:00:00+00:00,50.05,51.17,48.03,50.62,5239130.0,49.6,36953,False
