date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,21.9,21.95,21.61,21.8,346176.0,21.849,1415,False
2018-05-21 00:00:00+00:00,22.0,22.05,21.85,21.9,313914.0,21.922,1437,False
2018-05-22 00:00:00+00:00,21.85,21.95,21.45,21.55,331647.0,21.576,2022,False
2018-05-23 00:00:00+00:00,21.35,21.8,21.2,21.75,379993.0,21.6,1733,False
2018-05-24 00:00:00+00:00,21.65,21.85,21.41,21.85,335869.0,21.721,1712,False
2018-05-25 00:00:00+00:00,21.75,21.95,21.7,21.7,304206.0,21.819,1355,False
2018-05-29 00:00:00+00:00,21.75,21.75,21.2,21.6,376830.0,21.488,2341,False
2018-05-30 00:00:00+00:00,21.6,22.25,21.6,22.2,792317.0,22.08,3969,False
2018-05-31 00:00:00+00:00,22.2,22.25,21.65,21.8,357076.0,21.885,2424,False
2018-06-01 00:00:00+00:00,21.85,22.05,21.65,21.75,283588.0,21.82,1993,False
2018-06-04 00:00:00+00:00,21.75,22.05,21.7,22.0,732593.0,21.893,3029,False
2018-06-05 00:00:00+00:00,22.0,22.25,21.85,22.25,514505.0,22.048,2256,False
2018-06-06 00:00:00+00:00,22.25,22.7,22.1,22.65,471236.0,22.446,2722,False
2018-06-07 00:00:00+00:00,22.6,22.65,21.95,22.1,201956.0,22.226,1357,False
2018-06-08 00:00:00+00:00,22.05,22.48,22.05,22.35,184682.0,22.281,1159,False
2018-06-11 00:00:00+00:00,22.35,22.55,22.22,22.5,193605.0,22.425,1352,False
2018-06-12 00:00:00+00:00,22.5,22.6,22.35,22.4,268537.0,22.439,1715,False
2018-06-13 00:00:00+00:00,22.4,22.55,22.3,22.45,273028.0,22.441,1874,False
2018-06-14 00:00:00+00:00,22.6,22.95,22.49,22.65,306413.0,22.679,2204,False
2018-06-15 00:00:00+00:00,22.55,22.7,22.3,22.6,295119.0,22.598,1638,False
2018-06-18 00:00:00+00:00,22.45,22.7,22.45,22.65,153222.0,22.608,1136,False
2018-06-19 00:00:00+00:00,22.45,22.8,22.15,22.75,191932.0,22.542,1294,False
2018-06-20 00:00:00+00:00,22.75,22.85,22.3,22.7,458778.0,22.515,2173,False
2018-06-21 00:00:00+00:00,22.7,22.75,22.5,22.6,377451.0,22.633,2037,False
2018-06-22 00:00:00+00:00,22.75,22.8,22.5,22.65,626111.0,22.648,2647,False
2018-06-25 00:00:00+00:00,22.55,22.7,22.16,22.35,484997.0,22.399,3163,False
2018-06-26 00:00:00+00:00,22.45,22.7,22.4,22.4,565461.0,22.529,2574,False
2018-06-27 00:00:00+00:00,22.5,22.5,21.75,22.05,435318.0,22.043,2483,False
2018-06-28 00:00:00+00:00,21.9,22.2,21.85,22.0,380031.0,21.983,2774,False
2018-06-29 00:00:00+00:00,22.15,22.15,21.85,21.85,451110.0,21.977,2649,False
2018-07-02 00:00:00+00:00,21.65,22.0,21.65,22.0,342971.0,21.903,2270,False
2018-07-03 00:00:00+00:00,22.0,22.15,22.0,22.0,260598.0,22.062,1514,False
2018-07-05 00:00:00+00:00,22.15,22.4,22.05,22.3,217164.0,22.288,1368,False
2018-07-06 00:00:00+00:00,22.25,22.4,22.17,22.25,228958.0,22.268,1597,False
2018-07-09 00:00:00+00:00,22.35,22.35,22.1,22.3,217636.0,22.264,1052,False
2018-07-10 00:00:00+00:00,22.35,22.5,22.15,22.25,343977.0,22.319,1893,False
2018-07-11 00:00:00+00:00,22.1,22.45,22.1,22.35,384487.0,22.313,2409,False
2018-07-12 00:00:00+00:00,22.55,22.8,22.4,22.8,429122.0,22.636,2974,False
2018-07-13 00:00:00+00:00,22.75,23.45,22.6,22.7,530538.0,22.94,2923,False
2018-07-16 00:00:00+00:00,22.6,22.95,22.5,22.5,275917.0,22.694,1722,False
2018-07-17 00:00:00+00:00,22.45,22.85,22.4,22.75,189328.0,22.623,1231,False
2018-07-18 00:00:00+00:00,22.65,22.9,22.55,22.8,224807.0,22.763,1616,False
2018-07-19 00:00:00+00:00,22.95,23.1,22.72,22.95,364800.0,22.897,2719,False
2018-07-20 00:00:00+00:00,23.0,23.43,23.0,23.25,594623.0,23.235,3048,False
2018-07-23 00:00:00+00:00,23.25,23.53,23.1,23.25,304565.0,23.341,2202,False
2018-07-24 00:00:00+00:00,23.5,24.15,23.45,23.85,812954.0,23.76,4055,False
