date,open,high,low,close,volume,average,barCount,is_rth
2021-06-25 00:00:00+00:00,19.85,21.0,18.76,20.52,9656625.0,19.784,39980,False
2021-07-02 00:00:00+00:00,20.79,21.37,19.46,20.0,2088095.0,20.632,11883,False
2021-07-09 00:00:00+00:00,19.85,20.37,17.58,19.91,1052965.0,19.269,4609,False
2021-07-16 00:00:00+00:00,20.0,20.49,18.52,18.79,670350.0,19.432,3709,False
2021-07-23 00:00:00+00:00,18.49,20.0,18.08,18.95,1576415.0,19.097,8541,False
2021-07-30 00:00:00+00:00,19.03,19.71,18.68,19.61,686632.0,19.059,4361,False
2021-08-06 00:00:00+00:00,19.63,19.74,18.37,18.41,598930.0,18.888,2317,False
2021-08-13 00:00:00+00:00,18.5,24.66,18.1,23.93,2449567.0,21.894,8984,False
2021-08-20 00:00:00+00:00,23.66,24.39,22.85,23.94,1342129.0,23.794,6369,False
2021-08-27 00:00:00+00:00,24.24,24.29,22.34,23.45,821645.0,23.444,4869,False
2021-09-03 00:00:00+00:00,23.42,23.93,21.53,23.3,1419056.0,22.649,9166,False
2021-09-10 00:00:00+00:00,23.25,24.43,22.36,24.13,1098673.0,23.604,8951,False
2021-09-17 00:00:00+00:00,24.2,24.73,21.51,22.25,1870161.0,23.203,14487,False
2021-09-24 00:00:00+00:00,21.61,22.82,20.0,20.5,2914884.0,21.012,16417,False
2021-10-01 00:00:00+00:00,20.44,20.75,18.43,20.43,1827620.0,19.865,9965,False
2021-10-08 00:00:00+00:00,20.39,22.48,19.74,21.04,1612772.0,20.744,11846,False
2021-10-15 00:00:00+00:00,21.01,21.7,20.37,20.62,500837.0,20.868,3278,False
2021-10-22 00:00:00+00:00,20.55,22.05,20.11,21.5,555752.0,21.056,3681,False
2021-10-29 00:00:00+00:00,21.57,21.89,18.66,18.7,1189151.0,19.987,8531,False
2021-11-05 00:00:00+00:00,18.7,21.31,18.35,21.05,1789880.0,19.923,8875,False
2021-11-12 00:00:00+00:00,22.0,24.6,19.61,20.02,10232825.0,20.335,53118,False
2021-11-19 00:00:00+00:00,19.8,19.85,18.45,18.51,4199712.0,19.3,26571,False
2021-11-26 00:00:00+00:00,18.75,19.19,17.66,17.91,2655533.0,18.484,16064,False
2021-12-03 00:00:00+00:00,18.22,18.38,16.76,16.97,2315388.0,17.458,16368,False
2021-12-10 00:00:00+00:00,16.89,18.08,16.39,17.06,2306180.0,17.338,15148,False
2021-12-17 00:00:00+00:00,17.02,17.59,16.42,16.99,2456983.0,16.914,15511,False
2021-12-23 00:00:00+00:00,16.6,18.25,16.38,18.16,1530734.0,17.34,10594,False
2021-12-31 00:00:00+00:00,18.14,19.26,18.06,19.04,1232898.0,18.85,9266,False
2022-01-07 00:00:00+00:00,19.1,19.39,17.86,18.0,1600719.0,18.46,11468,False
2022-01-14 00:00:00+00:00,17.85,18.69,17.3,17.67,1026891.0,17.916,7107,False
2022-01-21 00:00:00+00:00,17.37,17.63,16.38,16.38,693941.0,17.062,5233,False
2022-01-28 00:00:00+00:00,16.1,17.13,15.55,16.37,935505.0,16.289,6802,False
2022-02-04 00:00:00+00:00,16.25,17.07,15.89,16.46,975612.0,16.693,5803,False
2022-02-11 00:00:00+00:00,16.5,18.01,16.35,17.1,1124587.0,17.069,7953,False
2022-02-18 00:00:00+00:00,17.17,17.96,16.36,16.41,689537.0,17.304,5053,False
