date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,52.17,52.79,52.06,52.5,168398.0,52.498,1228,False
2018-05-21 00:00:00+00:00,52.74,53.23,52.41,53.22,231603.0,53.006,1928,False
2018-05-22 00:00:00+00:00,53.42,53.48,52.34,52.35,173802.0,52.67,1384,False
2018-05-23 00:00:00+00:00,52.19,52.59,51.77,52.47,244651.0,52.35,1545,False
2018-05-24 00:00:00+00:00,52.42,52.45,51.63,51.9,261245.0,51.862,2201,False
2018-05-25 00:00:00+00:00,51.68,51.93,51.39,51.69,226793.0,51.645,1964,False
2018-05-29 00:00:00+00:00,51.43,52.25,51.31,51.93,257954.0,51.745,2134,False
2018-05-30 00:00:00+00:00,52.2,52.68,52.13,52.37,144305.0,52.456,1186,False
2018-05-31 00:00:00+00:00,52.43,52.45,51.32,51.55,210262.0,51.66,1608,False
2018-06-01 00:00:00+00:00,52.03,52.14,51.63,51.84,176767.0,51.89,1519,False
2018-06-04 00:00:00+00:00,51.94,52.31,51.08,52.21,325128.0,51.95,2269,False
2018-06-05 00:00:00+00:00,52.18,53.1,51.94,53.09,224272.0,52.666,1869,False
2018-06-06 00:00:00+00:00,53.03,54.28,52.89,54.28,220064.0,53.796,1665,False
2018-06-07 00:00:00+00:00,54.26,54.35,53.71,54.2,233300.0,54.194,1630,False
2018-06-08 00:00:00+00:00,54.18,54.76,54.03,54.72,148706.0,54.529,1169,False
2018-06-11 00:00:00+00:00,54.98,55.44,54.79,55.36,220887.0,55.172,1815,False
2018-06-12 00:00:00+00:00,55.51,55.87,55.01,55.37,356334.0,55.551,2676,False
2018-06-13 00:00:00+00:00,55.42,55.78,54.81,55.52,248938.0,55.355,2058,False
2018-06-14 00:00:00+00:00,55.8,55.87,55.15,55.72,333787.0,55.545,2179,False
2018-06-15 00:00:00+00:00,54.97,55.19,53.64,54.09,439794.0,54.187,2918,False
2018-06-18 00:00:00+00:00,53.76,53.8,52.68,53.12,353927.0,53.112,2921,False
2018-06-19 00:00:00+00:00,52.64,52.77,51.56,52.7,274059.0,52.279,2365,False
2018-06-20 00:00:00+00:00,53.2,54.72,52.87,54.52,406133.0,53.973,3006,False
2018-06-21 00:00:00+00:00,54.6,54.7,53.54,54.01,295527.0,53.974,2329,False
2018-06-22 00:00:00+00:00,54.37,54.59,53.77,53.81,178011.0,54.041,1474,False
2018-06-25 00:00:00+00:00,53.71,53.84,53.01,53.63,338935.0,53.415,2796,False
2018-06-26 00:00:00+00:00,53.83,55.11,53.31,54.94,391210.0,54.709,2723,False
2018-06-27 00:00:00+00:00,54.94,55.8,54.69,55.17,437479.0,55.357,3042,False
2018-06-28 00:00:00+00:00,52.42,55.16,50.38,53.65,894816.0,53.145,6499,False
2018-06-29 00:00:00+00:00,53.75,54.65,53.58,53.68,425060.0,54.058,3409,False
2018-07-02 00:00:00+00:00,53.25,53.97,53.02,53.97,394731.0,53.482,3430,False
2018-07-03 00:00:00+00:00,54.3,55.36,54.14,54.24,240576.0,54.69,1838,False
2018-07-05 00:00:00+00:00,54.84,55.18,54.51,54.83,391972.0,54.855,3001,False
2018-07-06 00:00:00+00:00,54.83,55.63,54.67,55.4,184938.0,55.358,1501,False
2018-07-09 00:00:00+00:00,55.76,55.93,55.5,55.61,227862.0,55.651,1785,False
2018-07-10 00:00:00+00:00,55.83,56.29,55.27,55.8,168170.0,55.689,1370,False
2018-07-11 00:00:00+00:00,55.33,55.69,54.94,55.34,272131.0,55.288,2092,False
2018-07-12 00:00:00+00:00,56.13,56.27,55.36,56.14,280087.0,56.022,2266,False
2018-07-13 00:00:00+00:00,56.08,56.39,55.72,55.81,125745.0,55.954,1071,False
2018-07-16 00:00:00+00:00,55.78,55.9,54.35,54.64,196345.0,54.846,1572,False
2018-07-17 00:00:00+00:00,54.6,55.53,54.46,55.4,131723.0,55.178,1125,False
2018-07-18 00:00:00+00:00,55.38,55.98,55.05,55.93,183764.0,55.639,1470,False
2018-07-19 00:00:00+00:00,55.76,56.99,55.32,56.59,310732.0,56.465,2323,False
2018-07-20 00:00:00+00:00,56.59,56.95,56.2,56.26,233623.0,56.504,1891,False
2018-07-23 00:00:00+00:00,56.38,56.51,55.25,55.26,185378.0,55.544,1492,False
2018-07-24 00:00:00+00:00,55.66,56.08,55.38,55.67,144549.0,55.652,1047,False
2018-07-25 00:00:00+00:00,55.46,55.54,54.77,55.54,135047.0,55.184,1188,False
2018-07-26 00:00:00+00:00,55.62,56.78,55.62,56.66,124742.0,56.501,988,False
2018-07-27 00:00:00+00:00,56.72,56.82,56.31,56.41,187917.0,56.523,1586,False
2018-07-30 00:00:00+00:00,56.31,56.82,55.97,56.05,171792.0,56.431,918,False
2018-07-31 00:00:00+00:00,56.23,57.02,56.23,56.68,116451.0,56.717,925,False
2018-08-01 00:00:00+00:00,56.7,56.82,55.78,56.23,155523.0,56.269,1258,False
2018-08-02 00:00:00+00:00,55.92,56.84,55.55,56.66,132602.0,56.451,1048,False
2018-08-03 00:00:00+00:00,56.84,57.48,56.53,56.81,171238.0,57.085,1305,False
2018-08-06 00:00:00+00:00,56.66,57.42,56.53,57.12,123374.0,57.134,1013,False
2018-08-07 00:00:00+00:00,57.29,57.42,56.93,57.21,111503.0,57.174,867,False
2018-08-08 00:00:00+00:00,57.27,57.54,56.95,57.1,187066.0,57.2,1453,False
2018-08-09 00:00:00+00:00,57.52,57.96,57.28,57.74,194816.0,57.647,1435,False
2018-08-10 00:00:00+00:00,57.49,57.77,56.69,56.71,221936.0,57.049,1559,False
2018-08-13 00:00:00+00:00,56.85,56.95,55.87,56.15,108079.0,56.244,925,False
2018-08-14 00:00:00+00:00,56.37,57.09,56.34,56.61,112188.0,56.715,934,False
2018-08-15 00:00:00+00:00,56.39,56.58,55.23,56.03,220349.0,55.776,1799,False
2018-08-16 00:00:00+00:00,56.42,57.39,56.4,57.22,163272.0,57.115,1102,False
2018-08-17 00:00:00+00:00,57.11,57.71,56.88,57.58,65384.0,57.427,525,False
2018-08-20 00:00:00+00:00,57.67,58.12,57.62,57.84,108461.0,57.924,627,False
2018-08-21 00:00:00+00:00,57.99,58.86,57.99,58.32,119953.0,58.497,870,False
2018-08-22 00:00:00+00:00,58.44,58.81,57.97,58.69,117736.0,58.546,986,False
2018-08-23 00:00:00+00:00,58.72,58.96,58.13,58.49,159514.0,58.45,1262,False
2018-08-24 00:00:00+00:00,58.77,59.19,58.41,58.97,139589.0,58.94,1194,False
2018-08-27 00:00:00+00:00,59.13,59.58,58.81,58.87,108533.0,59.12,876,False
2018-08-28 00:00:00+00:00,58.98,59.56,58.0,58.2,107330.0,58.447,885,False
2018-08-29 00:00:00+00:00,58.12,58.3,57.8,57.96,241324.0,58.099,1377,False
2018-08-30 00:00:00+00:00,57.87,57.87,56.69,56.99,217995.0,57.071,1749,False
2018-08-31 00:00:00+00:00,56.79,57.16,56.57,56.99,143564.0,56.921,941,False
2018-09-04 00:00:00+00:00,56.79,56.86,55.84,56.34,107880.0,56.278,869,False
2018-09-05 00:00:00+00:00,56.4,56.66,56.12,56.31,204931.0,56.321,1650,False
2018-09-06 00:00:00+00:00,56.51,56.78,55.69,55.77,157517.0,55.913,1356,False
2018-09-07 00:00:00+00:00,55.5,56.14,55.1,55.49,173691.0,55.576,1179,False
2018-09-10 00:00:00+00:00,55.67,56.03,55.57,55.69,172078.0,55.76,1292,False
2018-09-11 00:00:00+00:00,55.59,56.32,55.01,55.94,175303.0,55.983,1400,False
2018-09-12 00:00:00+00:00,55.94,56.21,55.49,55.87,174020.0,55.94,1142,False
2018-09-13 00:00:00+00:00,56.26,56.9,55.76,56.45,475238.0,56.557,2694,False
2018-09-14 00:00:00+00:00,56.52,56.91,55.91,56.79,167563.0,56.54,1255,False
2018-09-17 00:00:00+00:00,56.86,57.66,56.84,57.19,145627.0,57.303,1228,False
2018-09-18 00:00:00+00:00,57.27,57.66,57.01,57.2,143619.0,57.319,1220,False
2018-09-19 00:00:00+00:00,57.17,58.16,57.11,57.46,209700.0,57.514,1608,False
2018-09-20 00:00:00+00:00,58.32,58.68,57.98,58.46,326906.0,58.252,2162,False
2018-09-21 00:00:00+00:00,58.82,58.97,58.17,58.31,416058.0,58.542,1919,False
2018-09-24 00:00:00+00:00,58.16,58.39,57.65,58.2,266970.0,58.113,2115,False
2018-09-25 00:00:00+00:00,58.24,58.27,57.15,57.23,360199.0,57.706,2030,False
2018-09-26 00:00:00+00:00,57.18,57.41,56.58,56.94,738212.0,56.969,4756,False
2018-09-27 00:00:00+00:00,53.4,54.94,52.12,52.89,1069753.0,53.029,7406,False
2018-09-28 00:00:00+00:00,52.05,53.0,51.12,51.67,664421.0,51.718,4839,False
2018-10-01 00:00:00+00:00,52.01,53.32,52.01,52.64,421886.0,52.804,3190,False
2018-10-02 00:00:00+00:00,52.48,52.73,50.96,51.05,329637.0,51.605,2480,False
2018-10-03 00:00:00+00:00,51.06,51.47,50.77,50.99,214292.0,51.102,1905,False
2018-10-04 00:00:00+00:00,50.78,51.15,50.56,50.9,233772.0,50.846,2071,False
2018-10-05 00:00:00+00:00,50.9,51.32,50.43,50.98,439028.0,50.92,2392,False
2018-10-08 00:00:00+00:00,51.0,51.43,50.49,51.24,332712.0,51.084,2698,False
2018-10-09 00:00:00+00:00,50.93,50.93,48.74,48.79,286155.0,49.549,2141,False
2018-10-10 00:00:00+00:00,48.62,49.13,47.16,47.24,324001.0,47.689,2586,False
2018-10-11 00:00:00+00:00,47.01,47.5,46.3,46.32,254725.0,46.932,2158,False
2018-10-12 00:00:00+00:00,47.28,47.37,45.22,45.5,218545.0,45.798,1864,False
2018-10-15 00:00:00+00:00,45.5,46.63,45.37,46.23,148933.0,46.102,1229,False
2018-10-16 00:00:00+00:00,46.38,47.29,45.75,47.05,292286.0,46.85,2068,False
2018-10-17 00:00:00+00:00,46.65,47.08,45.94,46.78,236309.0,46.632,1493,False
2018-10-18 00:00:00+00:00,46.52,46.7,45.24,46.04,219040.0,45.943,1752,False
2018-10-19 00:00:00+00:00,46.02,46.35,44.76,45.05,245028.0,45.256,1930,False
2018-10-22 00:00:00+00:00,45.29,45.29,44.46,44.82,258308.0,44.889,1672,False
2018-10-23 00:00:00+00:00,43.93,44.99,43.55,44.53,182898.0,44.521,1452,False
2018-10-24 00:00:00+00:00,44.44,44.77,42.07,42.17,415214.0,42.938,3216,False
2018-10-25 00:00:00+00:00,42.46,43.01,42.25,42.69,336074.0,42.712,2916,False
2018-10-26 00:00:00+00:00,42.1,43.24,41.26,42.29,275052.0,42.334,2098,False
2018-10-29 00:00:00+00:00,43.04,43.96,41.7,42.07,206928.0,42.744,1788,False
2018-10-30 00:00:00+00:00,41.98,43.55,41.98,43.33,373455.0,43.178,3153,False
2018-10-31 00:00:00+00:00,43.95,44.56,43.23,44.46,418105.0,44.245,3321,False
2018-11-01 00:00:00+00:00,44.85,46.96,44.61,46.61,410620.0,46.406,3089,False
2018-11-02 00:00:00+00:00,46.94,47.23,46.1,47.14,220881.0,46.853,1747,False
2018-11-05 00:00:00+00:00,47.25,47.51,46.48,47.22,153097.0,47.096,1325,False
2018-11-06 00:00:00+00:00,47.12,47.94,46.99,47.54,163697.0,47.434,1367,False
2018-11-07 00:00:00+00:00,47.9,48.67,47.18,48.25,247513.0,48.216,2048,False
2018-11-08 00:00:00+00:00,47.81,47.81,47.06,47.46,148946.0,47.325,1307,False
2018-11-09 00:00:00+00:00,46.57,46.99,45.76,46.08,134701.0,46.162,1136,False
2018-11-12 00:00:00+00:00,46.04,46.61,45.58,45.83,153330.0,46.044,1279,False
2018-11-13 00:00:00+00:00,46.08,46.96,45.81,46.03,203949.0,46.196,1725,False
2018-11-14 00:00:00+00:00,46.45,46.95,45.89,46.0,114456.0,46.23,1024,False
2018-11-15 00:00:00+00:00,45.6,46.92,45.6,46.82,154341.0,46.328,1271,False
2018-11-16 00:00:00+00:00,46.6,47.09,46.2,46.7,182143.0,46.579,1418,False
