date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,14.7,14.75,14.45,14.59,310535.0,14.588,2503,False
2018-05-21 00:00:00+00:00,14.62,14.96,14.29,14.47,520308.0,14.414,3797,False
2018-05-22 00:00:00+00:00,14.49,14.53,14.07,14.09,495538.0,14.29,3383,False
2018-05-23 00:00:00+00:00,14.1,14.34,14.01,14.1,588477.0,14.128,3527,False
2018-05-24 00:00:00+00:00,14.14,14.35,14.07,14.15,625171.0,14.215,4915,False
2018-05-25 00:00:00+00:00,14.15,14.57,14.01,14.43,986831.0,14.274,3914,False
2018-05-29 00:00:00+00:00,14.34,14.57,14.27,14.46,491403.0,14.431,3342,False
2018-05-30 00:00:00+00:00,14.47,15.01,14.47,14.84,487067.0,14.875,3820,False
2018-05-31 00:00:00+00:00,14.84,14.91,14.51,14.79,390554.0,14.796,2823,False
2018-06-01 00:00:00+00:00,14.87,15.05,14.8,14.95,508475.0,14.971,3063,False
2018-06-04 00:00:00+00:00,14.97,14.97,14.5,14.85,655479.0,14.84,4231,False
2018-06-05 00:00:00+00:00,14.85,15.01,14.77,14.78,1545127.0,14.876,7047,False
2018-06-06 00:00:00+00:00,14.77,14.95,14.65,14.77,950990.0,14.841,5369,False
2018-06-07 00:00:00+00:00,14.81,14.81,14.58,14.61,489214.0,14.652,3811,False
2018-06-08 00:00:00+00:00,14.6,14.7,14.57,14.59,490373.0,14.643,3605,False
2018-06-11 00:00:00+00:00,14.6,14.81,14.54,14.55,1258338.0,14.674,7813,False
2018-06-12 00:00:00+00:00,14.61,14.61,14.38,14.59,474506.0,14.574,3209,False
2018-06-13 00:00:00+00:00,14.65,14.66,14.41,14.44,472396.0,14.488,3239,False
2018-06-14 00:00:00+00:00,14.9,14.9,14.42,14.52,864470.0,14.684,4903,False
2018-06-15 00:00:00+00:00,14.45,14.65,14.21,14.49,558612.0,14.412,3588,False
2018-06-18 00:00:00+00:00,14.42,14.53,14.2,14.49,408320.0,14.451,3138,False
2018-06-19 00:00:00+00:00,14.41,14.6,14.29,14.4,651866.0,14.431,3823,False
2018-06-20 00:00:00+00:00,14.42,15.37,14.4,15.23,990037.0,14.955,6430,False
2018-06-21 00:00:00+00:00,15.25,15.31,14.51,14.56,854416.0,14.78,4324,False
