date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 13:00:00+00:00,15.88,15.88,15.88,15.88,100.0,15.88,1,False
2025-11-17 14:00:00+00:00,15.93,15.97,15.77,15.86,5364.0,15.879,16,False
2025-11-17 15:00:00+00:00,15.87,16.09,15.7,15.7,21090.0,15.899,89,True
2025-11-17 16:00:00+00:00,15.72,16.48,15.62,16.43,17701.0,16.24,81,True
2025-11-17 17:00:00+00:00,16.37,16.37,16.13,16.2,9500.0,16.192,30,True
2025-11-17 18:00:00+00:00,16.13,16.5,16.09,16.3,71449.0,16.259,241,True
2025-11-17 19:00:00+00:00,16.22,16.3,16.07,16.17,13160.0,16.169,74,True
2025-11-17 20:00:00+00:00,16.11,16.33,15.99,16.29,40355.0,16.102,232,True
2025-11-17 21:00:00+00:00,16.23,16.23,16.23,16.23,7008.0,16.23,1,False
2025-11-17 22:00:00+00:00,16.23,16.23,16.23,16.23,0.0,16.23,0,False
2025-11-17 23:00:00+00:00,16.23,16.23,16.23,16.23,0.0,16.23,0,False
2025-11-18 00:00:00+00:00,16.23,16.23,16.23,16.23,0.0,16.23,0,False
2025-11-18 13:00:00+00:00,16.2,16.2,16.2,16.2,348.0,16.2,1,False
2025-11-18 14:00:00+00:00,15.95,16.31,15.9,15.9,8868.0,15.969,19,False
2025-11-18 15:00:00+00:00,15.9,16.14,15.7,15.74,33099.0,15.876,55,True
2025-11-18 16:00:00+00:00,15.78,16.16,15.7,16.14,7122.0,15.859,50,True
2025-11-18 17:00:00+00:00,16.13,16.87,15.99,16.65,33018.0,16.526,197,True
2025-11-18 18:00:00+00:00,16.6,16.91,16.49,16.83,32411.0,16.744,219,True
2025-11-18 19:00:00+00:00,16.77,16.87,16.72,16.85,10875.0,16.793,81,True
2025-11-18 20:00:00+00:00,16.87,16.88,16.61,16.69,32777.0,16.726,226,True
2025-11-18 21:00:00+00:00,16.69,16.69,16.69,16.69,12148.0,16.69,1,False
2025-11-18 22:00:00+00:00,16.69,16.69,16.69,16.69,0.0,16.69,0,False
2025-11-18 23:00:00+00:00,16.69,16.69,16.69,16.69,0.0,16.69,0,False
2025-11-19 00:00:00+00:00,16.69,16.69,16.69,16.69,0.0,16.69,0,False
2025-11-19 14:00:00+00:00,16.79,17.02,16.59,17.0,18262.0,16.819,62,False
2025-11-19 15:00:00+00:00,16.98,17.11,16.76,16.81,34332.0,16.928,140,True
2025-11-19 16:00:00+00:00,16.81,16.81,16.44,16.6,8199.0,16.647,46,True
2025-11-19 17:00:00+00:00,16.69,16.79,16.61,16.7,4415.0,16.709,25,True
2025-11-19 18:00:00+00:00,16.71,16.78,16.47,16.53,26545.0,16.664,109,True
2025-11-19 19:00:00+00:00,16.58,16.72,16.4,16.72,13168.0,16.534,66,True
2025-11-19 20:00:00+00:00,16.69,16.98,16.61,16.95,24765.0,16.886,174,True
2025-11-19 21:00:00+00:00,16.97,16.97,16.79,16.79,9656.0,16.792,2,False
2025-11-19 22:00:00+00:00,16.79,16.79,16.79,16.79,0.0,16.79,0,False
2025-11-19 23:00:00+00:00,16.99,16.99,16.99,16.99,500.0,16.99,1,False
2025-11-20 00:00:00+00:00,16.99,16.99,16.99,16.99,0.0,16.99,0,False
2025-11-20 13:00:00+00:00,17.29,17.3,17.0,17.0,930.0,17.072,2,False
2025-11-20 14:00:00+00:00,17.02,17.12,16.79,16.86,10358.0,17.003,16,False
2025-11-20 15:00:00+00:00,16.76,17.21,16.69,17.16,25728.0,17.097,92,True
2025-11-20 16:00:00+00:00,17.16,17.18,16.77,16.77,24650.0,17.087,108,True
2025-11-20 17:00:00+00:00,16.77,16.77,16.25,16.58,36325.0,16.38,153,True
2025-11-20 18:00:00+00:00,16.5,16.75,16.44,16.49,6633.0,16.591,51,True
2025-11-20 19:00:00+00:00,16.4,16.6,16.1,16.5,32874.0,16.416,102,True
2025-11-20 20:00:00+00:00,16.43,16.54,16.19,16.21,10410.0,16.329,87,True
2025-11-20 21:00:00+00:00,16.24,16.24,16.24,16.24,3339.0,16.24,1,False
2025-11-20 22:00:00+00:00,16.23,16.23,16.23,16.23,392.0,16.23,2,False
2025-11-20 23:00:00+00:00,16.23,16.23,16.23,16.23,0.0,16.23,0,False
2025-11-21 00:00:00+00:00,16.23,16.23,16.23,16.23,0.0,16.23,0,False
2025-11-21 14:00:00+00:00,16.06,16.38,15.88,16.1,11651.0,16.095,38,False
2025-11-21 15:00:00+00:00,15.94,16.26,15.46,15.46,57317.0,15.814,178,True
2025-11-21 16:00:00+00:00,15.52,15.95,15.52,15.91,55047.0,15.753,236,True
2025-11-21 17:00:00+00:00,15.91,16.06,15.71,16.0,38762.0,15.904,202,True
2025-11-21 18:00:00+00:00,16.0,16.04,15.79,15.91,23588.0,15.95,147,True
2025-11-21 19:00:00+00:00,15.9,16.33,15.84,16.09,33350.0,16.181,197,True
2025-11-21 20:00:00+00:00,16.04,16.05,15.85,15.88,22216.0,15.954,150,True
2025-11-21 21:00:00+00:00,15.91,15.91,15.91,15.91,9600.0,15.91,2,False
2025-11-21 22:00:00+00:00,15.91,15.91,15.91,15.91,0.0,15.91,0,False
2025-11-21 23:00:00+00:00,15.91,15.91,15.91,15.91,0.0,15.91,0,False
2025-11-22 00:00:00+00:00,16.18,16.2,16.18,16.2,500.0,16.188,2,False
2025-11-24 11:00:00+00:00,14.97,15.2,14.97,15.2,2700.0,15.173,9,False
2025-11-24 12:00:00+00:00,15.17,15.17,15.0,15.0,300.0,15.057,3,False
2025-11-24 13:00:00+00:00,15.0,15.0,15.0,15.0,0.0,15.0,0,False
2025-11-24 14:00:00+00:00,14.52,14.72,14.24,14.27,17359.0,14.466,36,False
2025-11-24 15:00:00+00:00,14.37,14.44,14.01,14.18,29343.0,14.244,93,True
2025-11-24 16:00:00+00:00,14.09,14.22,13.89,14.22,13841.0,14.075,69,True
2025-11-24 17:00:00+00:00,14.15,14.15,13.94,14.01,18549.0,14.025,73,True
2025-11-24 18:00:00+00:00,14.0,14.07,13.97,14.02,18713.0,14.024,98,True
2025-11-24 19:00:00+00:00,14.02,14.08,13.91,13.92,32202.0,14.006,120,True
2025-11-24 20:00:00+00:00,13.9,14.23,13.9,14.18,52395.0,14.084,283,True
2025-11-24 21:00:00+00:00,14.08,14.18,14.08,14.18,89065.0,14.08,3,False
2025-11-24 22:00:00+00:00,14.18,14.18,14.18,14.18,0.0,14.18,0,False
2025-11-24 23:00:00+00:00,14.18,14.18,14.18,14.18,0.0,14.18,0,False
2025-11-25 00:00:00+00:00,14.18,14.18,14.18,14.18,0.0,14.18,0,False
2025-11-25 13:00:00+00:00,14.08,14.18,14.08,14.14,2418.0,14.122,10,False
2025-11-25 14:00:00+00:00,14.18,14.2,13.97,14.11,19748.0,14.097,62,False
2025-11-25 15:00:00+00:00,14.16,14.23,13.96,14.1,13111.0,14.043,100,True
2025-11-25 16:00:00+00:00,14.14,14.15,13.93,14.0,22489.0,14.051,149,True
2025-11-25 17:00:00+00:00,14.0,14.37,13.99,14.12,28327.0,14.125,155,True
2025-11-25 18:00:00+00:00,14.1,14.5,14.09,14.44,67566.0,14.382,283,True
2025-11-25 19:00:00+00:00,14.43,14.46,14.2,14.38,17260.0,14.372,146,True
2025-11-25 20:00:00+00:00,14.29,14.37,14.11,14.18,29309.0,14.259,227,True
2025-11-25 21:00:00+00:00,14.2,14.2,14.2,14.2,7520.0,14.2,1,False
2025-11-25 22:00:00+00:00,14.2,14.2,14.2,14.2,0.0,14.2,0,False
2025-11-25 23:00:00+00:00,14.2,14.2,14.2,14.2,0.0,14.2,0,False
2025-11-26 00:00:00+00:00,14.2,14.2,14.2,14.2,0.0,14.2,0,False
2025-11-26 14:00:00+00:00,14.19,14.58,14.19,14.58,8788.0,14.369,17,False
2025-11-26 15:00:00+00:00,14.76,14.88,14.43,14.63,33997.0,14.666,158,True
2025-11-26 16:00:00+00:00,14.67,14.98,14.6,14.98,16643.0,14.808,91,True
2025-11-26 17:00:00+00:00,14.75,14.98,14.74,14.94,10452.0,14.907,81,True
2025-11-26 18:00:00+00:00,14.94,15.25,14.85,14.99,13843.0,14.952,108,True
2025-11-26 19:00:00+00:00,14.87,15.09,14.87,15.06,12583.0,14.992,64,True
2025-11-26 20:00:00+00:00,15.13,15.17,15.01,15.11,24927.0,15.098,171,True
2025-11-26 21:00:00+00:00,15.1,15.1,15.1,15.1,5170.0,15.1,1,False
2025-11-26 22:00:00+00:00,15.1,15.1,15.1,15.1,0.0,15.1,0,False
2025-11-26 23:00:00+00:00,15.1,15.1,15.1,15.1,0.0,15.1,0,False
2025-11-27 00:00:00+00:00,15.1,15.1,15.1,15.1,0.0,15.1,0,False
2025-11-28 13:00:00+00:00,15.11,15.11,15.1,15.1,240.0,15.106,2,False
2025-11-28 14:00:00+00:00,15.29,15.48,15.13,15.24,10424.0,15.265,68,False
2025-11-28 15:00:00+00:00,15.23,15.53,15.21,15.32,11023.0,15.396,68,True
2025-11-28 16:00:00+00:00,15.32,15.43,15.1,15.34,32397.0,15.276,170,True
2025-11-28 17:00:00+00:00,15.24,15.42,15.19,15.39,14569.0,15.329,116,True
2025-11-28 18:00:00+00:00,15.45,15.45,15.45,15.45,6445.0,15.45,1,True
2025-11-28 19:00:00+00:00,15.3,15.3,15.25,15.25,1154.0,15.257,3,True
2025-11-28 20:00:00+00:00,15.25,15.25,15.25,15.25,0.0,15.25,0,True
2025-11-28 21:00:00+00:00,15.25,15.25,15.25,15.25,0.0,15.25,0,False
2025-12-01 14:00:00+00:00,15.26,15.5,15.26,15.39,4508.0,15.396,29,False
2025-12-01 15:00:00+00:00,15.3,15.39,15.12,15.18,9291.0,15.23,60,True
2025-12-01 16:00:00+00:00,15.18,15.22,15.11,15.21,9176.0,15.166,62,True
2025-12-01 17:00:00+00:00,15.14,15.28,15.11,15.12,24238.0,15.15,160,True
2025-12-01 18:00:00+00:00,15.15,15.19,15.12,15.15,12434.0,15.148,77,True
2025-12-01 19:00:00+00:00,15.14,15.18,15.11,15.16,11639.0,15.15,59,True
2025-12-01 20:00:00+00:00,15.16,15.17,15.0,15.17,22005.0,15.125,149,True
2025-12-01 21:00:00+00:00,15.15,15.15,15.15,15.15,10986.0,15.15,1,False
2025-12-01 22:00:00+00:00,15.15,15.15,15.15,15.15,0.0,15.15,0,False
2025-12-01 23:00:00+00:00,15.15,15.15,15.15,15.15,0.0,15.15,0,False
2025-12-02 00:00:00+00:00,15.15,15.15,15.15,15.15,0.0,15.15,0,False
2025-12-02 14:00:00+00:00,15.22,15.34,15.02,15.21,13256.0,15.161,33,False
2025-12-02 15:00:00+00:00,15.17,15.19,15.05,15.19,9249.0,15.14,53,True
2025-12-02 16:00:00+00:00,15.19,15.21,15.1,15.11,11256.0,15.147,57,True
2025-12-02 17:00:00+00:00,15.1,15.18,15.06,15.1,31200.0,15.133,114,True
2025-12-02 18:00:00+00:00,15.1,15.16,15.06,15.13,41084.0,15.134,168,True
2025-12-02 19:00:00+00:00,15.15,15.15,14.94,15.02,35944.0,15.111,186,True
2025-12-02 20:00:00+00:00,15.05,15.15,14.87,14.88,31035.0,14.969,177,True
2025-12-02 21:00:00+00:00,14.88,14.88,14.88,14.88,3789.0,14.88,1,False
2025-12-02 22:00:00+00:00,14.0,14.0,14.0,14.0,500.0,14.0,5,False
2025-12-02 23:00:00+00:00,14.0,14.0,14.0,14.0,0.0,14.0,0,False
2025-12-03 00:00:00+00:00,14.0,14.0,14.0,14.0,0.0,14.0,0,False
2025-12-03 13:00:00+00:00,15.19,15.52,14.9,15.52,13702.0,15.063,6,False
2025-12-03 14:00:00+00:00,14.8,15.15,14.44,15.14,10244.0,14.879,39,False
2025-12-03 15:00:00+00:00,15.06,15.28,14.98,15.1,20009.0,15.138,90,True
2025-12-03 16:00:00+00:00,15.02,15.1,14.98,14.99,15400.0,15.031,100,True
2025-12-03 17:00:00+00:00,14.96,15.12,14.96,15.12,1838.0,15.056,12,True
2025-12-03 18:00:00+00:00,15.15,15.2,15.0,15.16,86378.0,15.107,102,True
2025-12-03 19:00:00+00:00,15.22,15.53,15.22,15.53,30910.0,15.455,157,True
2025-12-03 20:00:00+00:00,15.53,15.54,15.3,15.43,21977.0,15.454,150,True
2025-12-03 21:00:00+00:00,15.36,15.36,15.36,15.36,3355.0,15.36,1,False
2025-12-03 22:00:00+00:00,15.32,15.32,15.32,15.32,100.0,15.32,1,False
2025-12-03 23:00:00+00:00,15.32,15.32,15.32,15.32,0.0,15.32,0,False
2025-12-04 00:00:00+00:00,15.32,15.32,15.32,15.32,0.0,15.32,0,False
2025-12-04 13:00:00+00:00,15.66,15.66,15.36,15.36,425.0,15.552,3,False
2025-12-04 14:00:00+00:00,15.6,15.67,15.23,15.44,25769.0,15.327,60,False
