date,open,high,low,close,volume,is_rth
2025-11-17 08:00:00+00:00,16.61,16.61,16.61,16.61,100.0,0.0
2025-11-17 12:00:00+00:00,16.61,16.68,16.47,16.48,265014.0,1.0
2025-11-17 16:00:00+00:00,16.48,16.73,16.43,16.44,1094528.0,1.0
2025-11-17 20:00:00+00:00,16.44,16.47,16.33,16.37,1106846.0,1.0
2025-11-18 00:00:00+00:00,16.37,16.37,16.37,16.37,0.0,0.0
2025-11-18 12:00:00+00:00,16.43,16.51,16.36,16.44,222266.0,1.0
2025-11-18 16:00:00+00:00,16.44,16.49,16.39,16.43,468437.0,1.0
2025-11-18 20:00:00+00:00,16.44,16.47,16.33,16.36,1113960.0,1.0
2025-11-19 00:00:00+00:00,16.36,16.36,16.36,16.36,0.0,0.0
2025-11-19 12:00:00+00:00,16.41,16.45,16.31,16.41,302503.0,1.0
2025-11-19 16:00:00+00:00,16.41,16.52,16.38,16.46,1238901.0,1.0
2025-11-19 20:00:00+00:00,16.47,16.54,16.46,16.5,715969.0,1.0
2025-11-20 00:00:00+00:00,16.5,16.5,16.5,16.5,0.0,0.0
2025-11-20 12:00:00+00:00,16.45,16.79,16.45,16.79,344871.0,1.0
2025-11-20 16:00:00+00:00,16.78,16.83,16.65,16.78,889248.0,1.0
2025-11-20 20:00:00+00:00,16.78,16.8,16.71,16.8,1041827.0,1.0
2025-11-21 00:00:00+00:00,16.8,16.8,16.8,16.8,0.0,0.0
2025-11-21 12:00:00+00:00,16.75,16.9,16.68,16.82,576236.0,1.0
2025-11-21 16:00:00+00:00,16.82,17.05,16.77,17.01,714514.0,1.0
2025-11-21 20:00:00+00:00,17.02,17.04,16.94,16.94,979232.0,1.0
2025-11-22 00:00:00+00:00,16.94,16.94,16.94,16.94,0.0,0.0
2025-11-24 12:00:00+00:00,17.0,17.0,16.8,16.86,268315.0,1.0
2025-11-24 16:00:00+00:00,16.86,16.96,16.82,16.89,499769.0,1.0
2025-11-24 20:00:00+00:00,16.9,16.91,16.77,16.8,1139775.0,1.0
2025-11-25 00:00:00+00:00,16.8,16.8,16.8,16.8,0.0,0.0
2025-11-25 12:00:00+00:00,16.99,17.22,16.81,17.16,417153.0,1.0
2025-11-25 16:00:00+00:00,17.16,17.22,17.08,17.15,520962.0,1.0
2025-11-25 20:00:00+00:00,17.16,17.16,17.05,17.07,847982.0,1.0
2025-11-26 00:00:00+00:00,17.07,17.07,17.07,17.07,0.0,0.0
2025-11-26 12:00:00+00:00,16.98,17.16,16.97,17.12,146508.0,1.0
2025-11-26 16:00:00+00:00,17.12,17.16,17.08,17.14,407068.0,1.0
2025-11-26 20:00:00+00:00,17.14,17.14,17.06,17.08,1146919.0,1.0
2025-11-27 00:00:00+00:00,17.08,17.08,17.08,17.08,0.0,0.0
2025-11-28 12:00:00+00:00,17.13,17.22,17.04,17.13,141745.0,1.0
2025-11-28 16:00:00+00:00,17.13,17.16,17.1,17.15,401179.0,1.0
2025-11-28 20:00:00+00:00,17.15,17.15,17.15,17.15,0.0,1.0
2025-12-01 12:00:00+00:00,17.08,17.15,16.95,17.01,240588.0,1.0
2025-12-01 16:00:00+00:00,17.02,17.09,16.95,16.96,337808.0,1.0
2025-12-01 20:00:00+00:00,16.96,17.1,16.95,17.07,1850361.0,1.0
2025-12-02 00:00:00+00:00,17.07,17.07,17.07,17.07,0.0,0.0
2025-12-02 12:00:00+00:00,17.15,17.19,17.06,17.19,210371.0,1.0
2025-12-02 16:00:00+00:00,17.19,17.26,17.13,17.23,760713.0,1.0
2025-12-02 20:00:00+00:00,17.23,17.28,17.2,17.22,1023561.0,1.0
2025-12-03 00:00:00+00:00,17.22,17.22,17.22,17.22,0.0,0.0
2025-12-03 12:00:00+00:00,17.21,17.39,17.21,17.23,198262.0,1.0
2025-12-03 16:00:00+00:00,17.22,17.27,17.16,17.2,554316.0,1.0
2025-12-03 20:00:00+00:00,17.2,17.25,17.16,17.22,901272.0,1.0
2025-12-04 00:00:00+00:00,17.22,17.22,17.22,17.22,0.0,0.0
