date,open,high,low,close,volume,average,barCount,is_rth
2024-12-02 00:00:00+00:00,9.94,9.94,9.94,9.94,0.0,9.94,0,False
2024-12-03 00:00:00+00:00,9.93,9.96,9.92,9.95,657300.0,9.946,24,False
2024-12-04 00:00:00+00:00,9.96,9.96,9.95,9.95,1022400.0,9.95,9,False
2024-12-05 00:00:00+00:00,9.96,9.96,9.95,9.96,2100.0,9.959,21,False
2024-12-06 00:00:00+00:00,9.96,9.97,9.96,9.97,3200.0,9.961,4,False
2024-12-09 00:00:00+00:00,9.97,9.98,9.97,9.97,2123.0,9.977,8,False
2024-12-10 00:00:00+00:00,9.97,9.98,9.96,9.96,1000.0,9.964,10,False
2024-12-11 00:00:00+00:00,9.97,9.98,9.97,9.98,178239.0,9.971,42,False
2024-12-12 00:00:00+00:00,9.98,10.05,9.97,10.05,59588.0,10.012,48,False
2024-12-13 00:00:00+00:00,10.04,10.04,10.0,10.02,51645.0,10.006,25,False
2024-12-16 00:00:00+00:00,10.26,10.26,10.0,10.0,114408.0,10.047,13,False
2024-12-17 00:00:00+00:00,10.01,10.01,10.0,10.01,4350.0,10.007,2,False
2024-12-18 00:00:00+00:00,10.01,10.01,10.01,10.01,0.0,10.01,0,False
2024-12-19 00:00:00+00:00,10.03,10.03,10.0,10.01,308581.0,10.01,115,False
2024-12-20 00:00:00+00:00,10.01,10.01,10.01,10.01,13829.0,10.01,4,False
2024-12-23 00:00:00+00:00,10.01,10.01,10.01,10.01,0.0,10.01,0,False
2024-12-24 00:00:00+00:00,10.01,10.01,10.01,10.01,0.0,10.01,0,False
2024-12-26 00:00:00+00:00,10.01,10.01,10.01,10.01,0.0,10.01,0,False
2024-12-27 00:00:00+00:00,10.0,10.0,9.99,9.99,2023.0,9.999,11,False
2024-12-30 00:00:00+00:00,10.01,10.01,10.01,10.01,3300.0,10.01,10,False
2024-12-31 00:00:00+00:00,10.01,10.01,10.01,10.01,0.0,10.01,0,False
2025-01-02 00:00:00+00:00,10.0,10.0,10.0,10.0,100000.0,10.0,2,False
2025-01-03 00:00:00+00:00,10.0,10.02,10.0,10.02,3258.0,10.006,4,False
2025-01-06 00:00:00+00:00,10.0,10.02,10.0,10.02,99861.0,10.01,43,False
2025-01-07 00:00:00+00:00,10.01,10.01,10.0,10.01,1800.0,10.009,4,False
2025-01-08 00:00:00+00:00,10.01,10.01,10.01,10.01,0.0,10.01,0,False
2025-01-10 00:00:00+00:00,10.0,10.01,10.0,10.01,13203.0,10.009,35,False
2025-01-13 00:00:00+00:00,10.01,10.13,10.01,10.07,829601.0,10.058,871,False
2025-01-14 00:00:00+00:00,10.18,10.18,10.08,10.1,460870.0,10.111,430,False
2025-01-15 00:00:00+00:00,10.15,10.25,10.11,10.17,509068.0,10.197,473,False
2025-01-16 00:00:00+00:00,10.2,10.21,10.14,10.19,137850.0,10.188,117,False
2025-01-17 00:00:00+00:00,10.22,10.25,10.2,10.23,193617.0,10.226,249,False
2025-01-21 00:00:00+00:00,10.25,10.35,10.24,10.31,433896.0,10.302,429,False
2025-01-22 00:00:00+00:00,10.35,10.35,10.25,10.3,506052.0,10.299,445,False
2025-01-23 00:00:00+00:00,10.3,10.32,10.3,10.31,340805.0,10.307,103,False
2025-01-24 00:00:00+00:00,10.33,11.48,10.31,10.32,675769.0,10.359,556,False
2025-01-27 00:00:00+00:00,10.35,10.35,10.32,10.33,14132.0,10.333,49,False
2025-01-28 00:00:00+00:00,10.33,10.34,10.3,10.31,34631.0,10.314,71,False
2025-01-29 00:00:00+00:00,10.32,10.33,10.31,10.33,65176.0,10.322,61,False
2025-01-30 00:00:00+00:00,10.33,10.35,10.3,10.33,179574.0,10.324,229,False
2025-01-31 00:00:00+00:00,10.35,10.35,10.32,10.33,90211.0,10.341,95,False
2025-02-03 00:00:00+00:00,10.35,10.35,10.33,10.33,115958.0,10.338,227,False
2025-02-04 00:00:00+00:00,10.35,10.38,10.33,10.34,1103495.0,10.345,513,False
2025-02-05 00:00:00+00:00,10.36,10.36,10.34,10.34,181042.0,10.345,247,False
2025-02-06 00:00:00+00:00,10.35,10.7,10.34,10.52,633962.0,10.489,540,False
2025-02-07 00:00:00+00:00,10.63,11.05,10.63,10.95,741146.0,10.899,1342,False
2025-02-10 00:00:00+00:00,11.41,11.41,10.98,11.12,381611.0,11.086,1057,False
2025-02-11 00:00:00+00:00,11.25,11.25,10.95,11.0,720036.0,11.022,778,False
2025-02-12 00:00:00+00:00,11.05,11.19,10.97,11.01,2472151.0,11.062,2230,False
2025-02-13 00:00:00+00:00,11.15,11.39,11.02,11.3,2748854.0,11.179,3853,False
2025-02-14 00:00:00+00:00,11.59,11.78,11.25,11.39,1685170.0,11.497,3040,False
2025-02-18 00:00:00+00:00,11.49,11.65,11.16,11.27,465746.0,11.383,878,False
2025-02-19 00:00:00+00:00,11.28,11.3,10.91,10.95,310056.0,11.031,1231,False
