date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,40.66,40.79,40.56,40.59,87910.0,40.66,655,False
2018-05-25 00:00:00+00:00,40.72,41.0,40.06,40.72,700648.0,40.613,4828,False
2018-06-01 00:00:00+00:00,40.2,41.58,39.89,41.54,782403.0,40.866,4842,False
2018-06-08 00:00:00+00:00,42.03,44.38,41.74,44.31,1231509.0,43.455,7709,False
2018-06-15 00:00:00+00:00,44.4,46.12,44.29,45.04,1365779.0,45.21,9300,False
2018-06-22 00:00:00+00:00,44.7,45.42,43.63,44.21,655274.0,44.396,4582,False
2018-06-29 00:00:00+00:00,43.77,44.35,42.68,43.9,789934.0,43.63,5602,False
2018-07-06 00:00:00+00:00,43.29,44.63,43.25,44.58,434186.0,44.016,3177,False
2018-07-13 00:00:00+00:00,44.99,45.79,44.69,45.31,431284.0,45.305,3153,False
2018-07-20 00:00:00+00:00,45.76,46.76,45.03,46.63,538886.0,45.996,3934,False
2018-07-27 00:00:00+00:00,46.52,47.17,45.95,46.06,1432945.0,46.655,8824,False
2018-08-03 00:00:00+00:00,46.26,46.4,43.14,45.67,1953137.0,44.939,13257,False
2018-08-10 00:00:00+00:00,45.39,46.74,45.25,45.73,1404952.0,45.924,8685,False
2018-08-17 00:00:00+00:00,45.87,46.93,45.69,46.88,598379.0,46.423,3736,False
2018-08-24 00:00:00+00:00,47.48,49.23,47.4,49.09,684472.0,48.407,3970,False
2018-08-31 00:00:00+00:00,49.5,49.96,49.12,49.47,568204.0,49.55,3582,False
2018-09-07 00:00:00+00:00,48.56,48.78,46.54,46.55,1070436.0,47.652,7506,False
2018-09-14 00:00:00+00:00,46.89,47.54,46.32,47.28,825821.0,46.984,5414,False
2018-09-21 00:00:00+00:00,47.09,47.15,45.54,45.69,998458.0,46.284,5842,False
2018-09-28 00:00:00+00:00,45.55,45.79,44.67,44.72,727134.0,45.238,5447,False
2018-10-05 00:00:00+00:00,45.18,45.23,42.26,42.56,843574.0,43.729,5719,False
2018-10-12 00:00:00+00:00,41.63,41.86,38.33,39.11,1321175.0,40.01,8330,False
2018-10-19 00:00:00+00:00,39.31,40.84,38.93,39.05,1011058.0,39.768,6399,False
2018-10-26 00:00:00+00:00,39.76,40.18,34.11,35.2,2183159.0,36.356,13261,False
2018-11-02 00:00:00+00:00,36.17,38.96,34.77,38.05,1310658.0,36.766,9393,False
2018-11-09 00:00:00+00:00,36.96,37.43,36.28,36.72,935375.0,36.753,6666,False
2018-11-16 00:00:00+00:00,35.92,35.99,34.14,34.61,808489.0,34.96,5654,False
2018-11-23 00:00:00+00:00,34.06,34.09,32.03,32.41,847325.0,32.709,5432,False
2018-11-30 00:00:00+00:00,33.31,34.52,32.89,33.81,1464003.0,33.756,9469,False
2018-12-07 00:00:00+00:00,35.4,35.5,32.6,32.71,817839.0,34.168,5818,False
2018-12-14 00:00:00+00:00,32.48,34.14,31.97,32.2,1152281.0,33.02,8085,False
2018-12-21 00:00:00+00:00,31.92,32.41,29.75,29.86,1428706.0,31.265,9114,False
2018-12-28 00:00:00+00:00,29.72,31.79,29.06,31.15,687577.0,30.506,4903,False
2019-01-04 00:00:00+00:00,31.45,31.58,29.18,30.96,863593.0,30.303,6360,False
2019-01-11 00:00:00+00:00,31.26,33.45,31.26,33.33,1417677.0,32.741,9025,False
2019-01-18 00:00:00+00:00,32.77,33.73,32.38,33.44,974503.0,33.023,7097,False
2019-01-25 00:00:00+00:00,33.62,36.36,33.46,36.16,3203426.0,34.975,19001,False
2019-02-01 00:00:00+00:00,36.0,36.65,35.62,35.88,1400394.0,36.183,9260,False
2019-02-08 00:00:00+00:00,35.79,36.44,34.79,35.31,711864.0,35.728,4745,False
2019-02-15 00:00:00+00:00,35.27,37.05,34.96,36.98,766544.0,36.157,5268,False
2019-02-22 00:00:00+00:00,36.59,37.46,36.52,37.46,400412.0,37.029,2531,False
2019-03-01 00:00:00+00:00,37.82,38.32,37.5,37.98,542140.0,37.853,3650,False
2019-03-08 00:00:00+00:00,38.27,38.88,36.88,37.06,902485.0,37.809,6419,False
