date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,5.69,5.69,5.6,5.63,444718.0,5.645,2477,False
2018-05-21 00:00:00+00:00,5.67,5.7,5.51,5.56,282824.0,5.583,1591,False
2018-05-22 00:00:00+00:00,5.57,5.65,5.55,5.55,307184.0,5.596,1661,False
2018-05-23 00:00:00+00:00,5.54,5.59,5.51,5.54,251477.0,5.545,1617,False
2018-05-24 00:00:00+00:00,5.52,5.6,5.48,5.5,223486.0,5.528,1456,False
2018-05-25 00:00:00+00:00,5.5,5.57,5.49,5.5,212618.0,5.521,1475,False
2018-05-29 00:00:00+00:00,5.46,5.61,5.4,5.6,725519.0,5.555,2886,False
2018-05-30 00:00:00+00:00,5.62,5.82,5.61,5.76,554054.0,5.746,3066,False
2018-05-31 00:00:00+00:00,5.74,5.77,5.65,5.75,372005.0,5.722,2118,False
2018-06-01 00:00:00+00:00,5.75,5.93,5.68,5.88,796210.0,5.815,3394,False
2018-06-04 00:00:00+00:00,5.91,5.92,5.83,5.9,586601.0,5.887,2547,False
2018-06-05 00:00:00+00:00,5.93,6.03,5.9,6.03,515697.0,5.988,2436,False
2018-06-06 00:00:00+00:00,6.05,6.05,5.99,6.02,751094.0,6.017,2326,False
2018-06-07 00:00:00+00:00,6.04,6.07,5.97,6.01,588050.0,6.003,2206,False
2018-06-08 00:00:00+00:00,6.0,6.05,5.92,6.04,323434.0,6.011,2089,False
2018-06-11 00:00:00+00:00,6.0,6.17,6.0,6.14,544609.0,6.08,1775,False
2018-06-12 00:00:00+00:00,6.17,6.23,6.11,6.23,919640.0,6.19,2912,False
2018-06-13 00:00:00+00:00,6.25,6.45,6.12,6.43,1535809.0,6.366,3605,False
2018-06-14 00:00:00+00:00,6.41,6.55,6.4,6.54,946641.0,6.51,2320,False
2018-06-15 00:00:00+00:00,6.52,6.69,6.49,6.64,1181448.0,6.618,3692,False
2018-06-18 00:00:00+00:00,6.57,6.57,6.28,6.53,1735036.0,6.469,3424,False
2018-06-19 00:00:00+00:00,6.51,6.51,6.34,6.42,1181178.0,6.455,2268,False
2018-06-20 00:00:00+00:00,6.44,6.52,6.4,6.41,861790.0,6.456,2616,False
2018-06-21 00:00:00+00:00,6.4,6.41,6.3,6.33,680155.0,6.369,3104,False
2018-06-22 00:00:00+00:00,6.34,6.52,6.25,6.48,2164130.0,6.409,4426,False
2018-06-25 00:00:00+00:00,6.45,6.45,6.21,6.21,1492210.0,6.288,4698,False
2018-06-26 00:00:00+00:00,6.21,6.32,6.18,6.27,668896.0,6.23,1929,False
2018-06-27 00:00:00+00:00,6.26,6.33,6.16,6.18,447300.0,6.214,2844,False
2018-06-28 00:00:00+00:00,6.5,6.66,6.4,6.53,967277.0,6.51,4941,False
2018-06-29 00:00:00+00:00,6.58,6.62,6.49,6.56,738773.0,6.559,4730,False
2018-07-02 00:00:00+00:00,6.51,6.56,6.37,6.44,397330.0,6.426,2779,False
2018-07-03 00:00:00+00:00,6.48,6.48,6.32,6.35,353248.0,6.397,2051,False
2018-07-05 00:00:00+00:00,6.39,6.41,6.32,6.4,286032.0,6.381,1850,False
2018-07-06 00:00:00+00:00,6.4,6.45,6.27,6.4,264411.0,6.396,1865,False
2018-07-09 00:00:00+00:00,6.45,6.47,6.34,6.42,594365.0,6.409,3667,False
2018-07-10 00:00:00+00:00,6.43,6.57,6.38,6.55,397558.0,6.487,2077,False
2018-07-11 00:00:00+00:00,6.54,6.89,6.54,6.6,814900.0,6.693,4322,False
2018-07-12 00:00:00+00:00,6.6,6.69,6.52,6.66,521057.0,6.645,2821,False
2018-07-13 00:00:00+00:00,6.65,6.65,6.5,6.52,381491.0,6.556,2230,False
2018-07-16 00:00:00+00:00,6.54,6.54,6.39,6.46,433610.0,6.451,2134,False
2018-07-17 00:00:00+00:00,6.44,6.54,6.36,6.51,391609.0,6.472,2439,False
2018-07-18 00:00:00+00:00,6.64,6.82,6.59,6.65,939738.0,6.72,4001,False
2018-07-19 00:00:00+00:00,6.62,6.66,6.54,6.65,1169080.0,6.633,3208,False
2018-07-20 00:00:00+00:00,6.64,6.72,6.61,6.69,473077.0,6.671,2240,False
2018-07-23 00:00:00+00:00,6.66,6.93,6.55,6.9,1451476.0,6.795,3887,False
2018-07-24 00:00:00+00:00,6.93,7.01,6.72,6.83,1794781.0,6.879,8062,False
2018-07-25 00:00:00+00:00,6.8,6.86,6.66,6.85,586738.0,6.765,3375,False
2018-07-26 00:00:00+00:00,6.85,7.1,6.78,7.1,870323.0,6.938,3972,False
2018-07-27 00:00:00+00:00,7.49,7.89,7.2,7.67,6210059.0,7.584,25959,False
2018-07-30 00:00:00+00:00,7.72,7.98,7.7,7.77,2647966.0,7.865,10958,False
2018-07-31 00:00:00+00:00,7.5,7.71,7.32,7.69,3128818.0,7.582,11221,False
2018-08-01 00:00:00+00:00,7.66,7.75,7.6,7.62,956741.0,7.663,4507,False
2018-08-02 00:00:00+00:00,7.5,7.68,7.2,7.57,1074579.0,7.599,5335,False
