date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,83.15,83.77,79.8,81.36,17120018.0,81.249,123540,False
2016-06-30 00:00:00+00:00,80.7,83.51,69.82,74.42,68495146.0,77.935,446357,False
2016-07-29 00:00:00+00:00,74.6,80.24,71.48,75.26,47437078.0,76.619,339414,False
2016-08-31 00:00:00+00:00,75.26,80.45,71.55,78.89,56322166.0,76.574,388919,False
2016-09-30 00:00:00+00:00,78.87,81.75,74.02,80.66,59379666.0,77.63,352846,False
2016-10-31 00:00:00+00:00,80.85,84.59,78.12,79.55,51837061.0,80.845,339841,False
2016-11-30 00:00:00+00:00,80.01,90.99,76.71,90.32,57329235.0,82.974,358714,False
2016-12-30 00:00:00+00:00,90.97,92.68,85.14,85.78,45265942.0,88.866,298437,False
2017-01-31 00:00:00+00:00,87.02,97.64,85.87,93.27,46061766.0,91.367,306090,False
2017-02-28 00:00:00+00:00,93.75,95.92,89.86,91.24,46370840.0,93.036,294814,False
2017-03-31 00:00:00+00:00,92.61,94.83,85.65,91.19,42946540.0,90.294,291247,False
2017-04-28 00:00:00+00:00,91.49,92.03,84.1,84.76,38989228.0,87.106,264974,False
2017-05-31 00:00:00+00:00,85.0,85.19,79.03,80.52,55830181.0,81.818,379855,False
2017-06-30 00:00:00+00:00,79.74,85.08,78.01,84.39,50308269.0,81.005,314846,False
2017-07-31 00:00:00+00:00,85.05,91.27,82.54,90.09,35521124.0,86.336,239093,False
2017-08-31 00:00:00+00:00,90.28,91.41,85.35,90.59,35949708.0,88.815,242010,False
2017-09-29 00:00:00+00:00,90.1,100.69,88.81,99.05,32861632.0,95.249,218835,False
2017-10-31 00:00:00+00:00,98.57,107.83,96.2,103.53,44245007.0,100.394,294457,False
2017-11-30 00:00:00+00:00,104.21,107.2,101.78,104.7,28021724.0,104.296,192120,False
2017-12-29 00:00:00+00:00,105.16,111.62,102.96,110.32,24339945.0,107.223,170947,False
2018-01-31 00:00:00+00:00,111.05,121.95,110.69,119.84,25789531.0,117.291,175429,False
2018-02-28 00:00:00+00:00,119.1,119.74,102.82,108.22,34998256.0,110.794,258958,False
2018-03-29 00:00:00+00:00,108.29,112.83,102.32,105.68,32864196.0,107.973,252118,False
2018-04-30 00:00:00+00:00,105.41,109.54,96.19,105.73,37726719.0,104.42,290159,False
2018-05-31 00:00:00+00:00,105.5,119.39,102.46,112.12,34604309.0,111.112,261009,False
2018-06-29 00:00:00+00:00,114.42,118.85,106.91,109.85,29230401.0,112.951,205905,False
2018-07-31 00:00:00+00:00,108.99,111.84,105.41,110.79,25686467.0,108.336,183140,False
2018-08-31 00:00:00+00:00,110.77,116.63,107.57,112.78,24180990.0,112.835,178211,False
2018-09-28 00:00:00+00:00,111.95,113.24,99.11,102.51,40519697.0,105.452,280398,False
2018-10-31 00:00:00+00:00,102.95,106.61,85.6,89.27,54473515.0,95.504,409359,False
2018-11-30 00:00:00+00:00,91.19,96.94,89.53,93.31,46342088.0,93.577,335814,False
2018-12-31 00:00:00+00:00,95.99,96.77,77.52,83.16,40306736.0,84.492,291258,False
2019-01-31 00:00:00+00:00,81.71,89.23,81.66,86.97,37255559.0,86.026,272211,False
2019-02-28 00:00:00+00:00,85.26,89.74,83.48,85.52,36027690.0,86.814,240395,False
2019-03-29 00:00:00+00:00,85.43,90.36,82.85,84.08,35241554.0,86.597,249769,False
2019-04-30 00:00:00+00:00,85.06,95.19,85.0,88.23,34026868.0,90.215,243334,False
2019-05-31 00:00:00+00:00,88.29,89.14,73.94,74.25,31932392.0,81.195,230409,False
2019-06-28 00:00:00+00:00,74.44,87.36,74.3,86.13,47522650.0,84.338,317300,False
2019-07-31 00:00:00+00:00,86.9,89.0,82.63,83.69,48181403.0,86.065,324966,False
2019-08-30 00:00:00+00:00,83.45,84.55,68.61,77.38,42498155.0,74.86,291263,False
2019-09-30 00:00:00+00:00,75.0,90.53,73.88,89.47,42446560.0,84.891,273743,False
2019-10-31 00:00:00+00:00,89.95,92.19,81.45,89.7,30111497.0,87.111,193902,False
2019-11-29 00:00:00+00:00,92.28,98.91,89.56,92.54,21265869.0,95.135,148074,False
2019-12-31 00:00:00+00:00,92.93,95.82,89.58,94.48,21257464.0,93.21,141260,False
2020-01-31 00:00:00+00:00,95.28,95.47,77.29,77.86,33064789.0,87.071,215720,False
2020-02-28 00:00:00+00:00,78.36,86.67,68.5,71.46,25521203.0,79.68,165064,False
2020-03-31 00:00:00+00:00,72.34,76.27,33.71,49.63,84041314.0,49.258,526048,False
2020-04-30 00:00:00+00:00,46.24,60.05,44.33,57.95,44826430.0,52.436,294930,False
2020-05-29 00:00:00+00:00,56.92,70.85,50.06,63.76,35713735.0,58.086,237951,False
2020-06-30 00:00:00+00:00,63.84,79.97,60.04,65.72,36639078.0,68.489,259228,False
2020-07-31 00:00:00+00:00,66.17,69.99,61.52,62.52,26289507.0,66.696,183511,False
2020-08-31 00:00:00+00:00,63.05,73.5,61.61,65.48,22012817.0,67.615,157228,False
2020-09-30 00:00:00+00:00,64.59,80.77,64.21,70.49,33804215.0,72.541,225408,False
2020-10-30 00:00:00+00:00,70.34,81.21,66.72,68.45,30181191.0,74.922,186751,False
2020-11-30 00:00:00+00:00,69.33,91.2,68.11,85.1,33051415.0,79.927,207952,False
2020-12-31 00:00:00+00:00,87.0,92.59,84.64,91.66,18589944.0,88.453,117322,False
2021-01-29 00:00:00+00:00,92.5,99.86,84.06,85.76,22821831.0,93.5,153353,False
2021-02-26 00:00:00+00:00,86.64,108.22,85.01,103.09,18925636.0,98.296,132004,False
2021-03-31 00:00:00+00:00,105.45,112.73,99.58,104.05,27491737.0,106.94,176976,False
2021-04-30 00:00:00+00:00,105.03,109.15,100.5,103.74,15510819.0,104.995,111791,False
2021-05-28 00:00:00+00:00,104.95,116.77,104.28,112.62,18036251.0,111.464,124362,False
2021-06-30 00:00:00+00:00,114.59,118.02,99.55,102.87,21877972.0,107.727,141303,False
2021-07-30 00:00:00+00:00,104.19,104.79,91.63,99.33,25286002.0,98.826,157646,False
2021-08-31 00:00:00+00:00,99.98,106.34,96.41,100.35,20499201.0,101.243,133269,False
2021-09-30 00:00:00+00:00,100.65,101.05,88.21,93.85,34193040.0,94.016,211051,False
2021-10-29 00:00:00+00:00,93.81,100.28,91.6,92.82,23114158.0,96.632,145286,False
2021-11-30 00:00:00+00:00,92.81,96.23,86.13,87.13,31462345.0,91.968,197439,False
