date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,5.84,6.12,5.7204,5.88,170173.0,5.9472,929,False
2018-05-25 00:00:00+00:00,5.8,5.88,5.0,5.2,668989.5,5.35328,3558,False
2018-06-01 00:00:00+00:00,5.32,5.64,5.08,5.4,570202.0,5.35512,2890,False
2018-06-08 00:00:00+00:00,5.44,5.6,5.0,5.16,816823.75,5.30004,4299,False
2018-06-15 00:00:00+00:00,5.04,5.08,4.6,4.84,766991.75,4.81296,3621,False
2018-06-22 00:00:00+00:00,4.72,4.836,4.2,4.38,378461.5,4.60056,1997,False
2018-06-29 00:00:00+00:00,4.48,4.48,3.6,3.6756,598241.0,3.9446,3056,False
2018-07-06 00:00:00+00:00,3.64,3.8012,3.5236,3.5692,460983.75,3.7038,2197,False
2018-07-13 00:00:00+00:00,3.44,3.7396,3.28,3.5612,431643.5,3.51952,2541,False
2018-07-20 00:00:00+00:00,3.56,5.4,3.56,4.36,4637613.25,4.5722,24540,False
2018-07-27 00:00:00+00:00,4.6,6.24,4.3364,4.6756,5962684.5,5.52508,38451,False
2018-08-03 00:00:00+00:00,4.56,4.68,3.92,4.12,752107.5,4.22604,4252,False
2018-08-10 00:00:00+00:00,4.04,4.2,3.6804,3.8408,605661.5,3.9232,3245,False
2018-08-17 00:00:00+00:00,3.88,3.88,3.32,3.5668,758913.75,3.55144,3830,False
2018-08-24 00:00:00+00:00,3.56,3.66,3.38,3.5148,475973.5,3.50112,2247,False
2018-08-31 00:00:00+00:00,3.548,4.28,3.404,3.92,1881522.25,3.92648,8242,False
2018-09-07 00:00:00+00:00,4.16,4.28,3.46,3.53,1054775.0,3.8458,5608,False
2018-09-14 00:00:00+00:00,3.48,3.612,3.24,3.368,478207.75,3.41768,2820,False
2018-09-21 00:00:00+00:00,3.3928,3.5292,3.28,3.28,649376.5,3.37956,3352,False
2018-09-28 00:00:00+00:00,3.336,3.4,2.8008,2.918,940223.0,3.02468,4477,False
2018-10-05 00:00:00+00:00,2.954,2.96,2.6,2.6988,595066.25,2.74928,2962,False
2018-10-12 00:00:00+00:00,2.792,2.876,2.28,2.434,604770.25,2.57376,2846,False
2018-10-19 00:00:00+00:00,2.56,2.6796,2.36,2.5204,444516.25,2.516,2286,False
2018-10-26 00:00:00+00:00,2.56,2.76,2.4,2.656,513798.5,2.60484,2292,False
2018-11-02 00:00:00+00:00,2.72,2.72,2.2,2.644,409869.5,2.45988,2381,False
2018-11-09 00:00:00+00:00,2.76,3.5992,2.7,2.9208,1531022.0,3.179,6744,False
2018-11-16 00:00:00+00:00,3.0,3.0,2.48,2.6824,377434.5,2.71764,2083,False
2018-11-23 00:00:00+00:00,2.6424,2.7032,2.2804,2.3264,251120.0,2.48936,1938,False
2018-11-30 00:00:00+00:00,2.4,2.72,2.32,2.4696,326238.25,2.53548,1702,False
2018-12-07 00:00:00+00:00,2.44,2.518,1.966,2.0136,296926.0,2.2214,2680,False
2018-12-14 00:00:00+00:00,2.04,2.16,1.64,1.7108,378155.0,1.96756,2430,False
2018-12-21 00:00:00+00:00,1.8436,2.08,1.6116,1.668,746732.5,1.84192,3408,False
2018-12-28 00:00:00+00:00,1.4472,1.6788,1.4204,1.608,292261.0,1.55164,1814,False
2019-01-04 00:00:00+00:00,1.65,1.65,1.44,1.6116,267761.0,1.52544,1207,False
2019-01-11 00:00:00+00:00,1.6576,1.876,1.52,1.56,351403.75,1.66972,1108,False
2019-01-18 00:00:00+00:00,1.6,1.6356,1.448,1.532,205428.5,1.51444,899,False
2019-01-25 00:00:00+00:00,1.56,1.7196,1.466,1.502,341298.0,1.58252,1035,False
2019-02-01 00:00:00+00:00,1.476,1.56,1.3164,1.36,226108.5,1.40384,773,False
2019-02-08 00:00:00+00:00,1.344,2.3056,1.344,2.06,1520009.25,1.81448,5029,False
2019-02-15 00:00:00+00:00,2.2,2.36,2.0,2.16,906946.5,2.1688,3606,False
2019-02-22 00:00:00+00:00,2.4,3.14,2.4,2.9596,2262496.25,2.79448,8724,False
2019-03-01 00:00:00+00:00,2.76,2.92,2.4412,2.5796,759543.5,2.65488,3001,False
2019-03-08 00:00:00+00:00,2.5448,2.6976,2.4,2.5156,472378.25,2.55484,2064,False
2019-03-15 00:00:00+00:00,2.52,2.6,2.28,2.4012,350930.5,2.44068,1346,False
2019-03-22 00:00:00+00:00,2.56,2.6,2.28,2.2948,407582.75,2.46148,1384,False
2019-03-29 00:00:00+00:00,2.388,2.388,1.86,2.082,323997.25,2.09828,1240,False
2019-04-05 00:00:00+00:00,2.12,3.1996,2.0884,2.5908,2288149.75,2.80524,9317,False
2019-04-12 00:00:00+00:00,2.31,3.97,2.15,3.31,6711263.0,3.18977,13853,False
2019-04-18 00:00:00+00:00,3.29,3.48,2.6,3.3,2860189.0,3.12949,5387,False
2019-04-26 00:00:00+00:00,3.23,3.68,2.7,2.74,3804459.0,3.21611,8045,False
2019-05-03 00:00:00+00:00,2.75,3.28,2.7,2.94,2046171.0,2.99215,4127,False
2019-05-10 00:00:00+00:00,2.8,3.06,2.65,2.92,1343961.0,2.85518,2799,False
2019-05-17 00:00:00+00:00,3.11,3.85,2.9,2.95,9556121.0,3.46087,19589,False
2019-05-24 00:00:00+00:00,2.98,3.15,2.79,2.98,861428.0,2.98621,1708,False
2019-05-31 00:00:00+00:00,3.08,3.24,2.62,2.73,2046880.0,2.92264,3483,False
2019-06-07 00:00:00+00:00,2.71,2.71,1.92,2.15,1192246.0,2.24259,2320,False
2019-06-14 00:00:00+00:00,2.15,2.45,1.95,2.32,829729.0,2.19496,1813,False
2019-06-21 00:00:00+00:00,2.45,2.57,2.06,2.17,817324.0,2.22482,2157,False
2019-06-28 00:00:00+00:00,2.26,3.49,2.1533,2.89,4530985.0,2.85964,10188,False
2019-07-05 00:00:00+00:00,2.8,2.9499,2.5,2.76,702251.0,2.69328,1585,False
2019-07-12 00:00:00+00:00,2.83,2.88,2.22,2.37,1118701.0,2.62494,2661,False
2019-07-19 00:00:00+00:00,2.33,2.42,2.15,2.18,726096.0,2.27623,1798,False
2019-07-26 00:00:00+00:00,2.11,2.22,2.04,2.12,412412.0,2.11609,1207,False
2019-08-02 00:00:00+00:00,2.12,2.25,2.02,2.1,516349.0,2.13189,1414,False
2019-08-09 00:00:00+00:00,2.23,2.27,2.0,2.07,493584.0,2.10051,1313,False
2019-08-16 00:00:00+00:00,2.05,2.18,1.9,1.9,467734.0,2.00075,1131,False
2019-08-23 00:00:00+00:00,1.88,1.97,1.57,1.7,436572.0,1.76097,1193,False
2019-08-30 00:00:00+00:00,1.7,1.88,1.545,1.67,448532.0,1.63175,1196,False
2019-09-06 00:00:00+00:00,1.68,1.9,1.65,1.83,329366.0,1.78932,1101,False
2019-09-13 00:00:00+00:00,1.81,1.93,1.76,1.89,225821.0,1.86528,816,False
2019-09-20 00:00:00+00:00,1.91,1.93,1.79,1.8,163719.0,1.84186,786,False
2019-09-27 00:00:00+00:00,1.84,1.84,1.61,1.71,162804.0,1.72139,699,False
2019-10-04 00:00:00+00:00,1.73,1.79,1.57,1.68,146256.0,1.69643,540,False
2019-10-11 00:00:00+00:00,1.66,1.78,1.57,1.66,120452.0,1.68765,458,False
2019-10-18 00:00:00+00:00,1.66,1.69,1.58,1.62,109593.0,1.62251,289,False
2019-10-25 00:00:00+00:00,1.6,1.66,1.12,1.54,828071.0,1.36652,1806,False
2019-11-01 00:00:00+00:00,1.7,1.75,1.28,1.375,354603.0,1.52667,1040,False
2019-11-08 00:00:00+00:00,1.36,1.48,1.28,1.33,261144.0,1.38939,696,False
2019-11-15 00:00:00+00:00,1.32,1.32,1.13,1.14,250442.0,1.21083,480,False
2019-11-22 00:00:00+00:00,1.13,1.14,0.92,1.09,462719.0,1.01708,888,False
2019-11-29 00:00:00+00:00,1.06,1.4,1.0074,1.28,644655.0,1.30767,2276,False
2019-12-06 00:00:00+00:00,1.23,1.32,1.1,1.14,172687.0,1.23235,373,False
2019-12-13 00:00:00+00:00,1.2,1.21,0.8985,1.05,905980.0,1.04558,2658,False
2019-12-20 00:00:00+00:00,1.01,1.05,0.95,0.9561,439334.0,0.98911,892,False
2019-12-27 00:00:00+00:00,0.9601,0.99,0.856,0.9,361731.0,0.92968,715,False
2020-01-03 00:00:00+00:00,0.889,1.0799,0.86,0.955,689705.0,0.94542,1266,False
2020-01-10 00:00:00+00:00,0.96,1.13,0.9,0.9301,1953247.0,1.02645,3671,False
2020-01-17 00:00:00+00:00,0.93,1.05,0.9,1.035,760797.0,0.9904,1497,False
2020-01-24 00:00:00+00:00,1.02,1.04,0.9201,0.9279,336828.0,0.97388,742,False
2020-01-31 00:00:00+00:00,0.91,1.12,0.91,1.04,1061015.0,1.03385,1771,False
2020-02-07 00:00:00+00:00,1.04,1.2,0.99,1.14,899857.0,1.11151,2125,False
2020-02-14 00:00:00+00:00,1.2,1.35,1.08,1.25,1240654.0,1.22842,2337,False
