date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 09:00:00+00:00,164.7,165.0,164.7,165.0,254.0,164.852,2,False
2025-11-17 10:00:00+00:00,165.0,165.0,165.0,165.0,0.0,165.0,0,False
2025-11-17 11:00:00+00:00,165.0,165.0,165.0,165.0,0.0,165.0,0,False
2025-11-17 12:00:00+00:00,163.86,163.86,163.86,163.86,100.0,163.86,1,False
2025-11-17 13:00:00+00:00,163.82,164.0,163.67,164.0,1333.0,163.739,3,False
2025-11-17 14:00:00+00:00,163.25,164.09,162.47,163.68,235180.0,163.352,1215,False
2025-11-17 15:00:00+00:00,163.63,164.06,163.07,163.66,257608.0,163.624,1902,True
2025-11-17 16:00:00+00:00,163.65,163.69,162.15,163.35,235373.0,162.909,1593,True
2025-11-17 17:00:00+00:00,163.36,163.51,162.61,162.68,153733.0,163.165,1170,True
2025-11-17 18:00:00+00:00,162.7,162.76,161.48,161.48,212695.0,162.229,1349,True
2025-11-17 19:00:00+00:00,161.49,161.5,158.9,158.94,614770.0,160.179,4186,True
2025-11-17 20:00:00+00:00,158.89,159.95,158.76,159.46,1053221.0,159.446,8215,True
2025-11-17 21:00:00+00:00,159.45,159.75,159.45,159.75,1051756.0,159.45,26,False
2025-11-17 22:00:00+00:00,159.75,159.8,159.75,159.8,200.0,159.775,2,False
2025-11-17 23:00:00+00:00,159.45,159.85,159.45,159.85,4050.0,159.47,2,False
2025-11-18 00:00:00+00:00,159.51,159.51,159.51,159.51,125.0,159.51,1,False
2025-11-18 09:00:00+00:00,158.25,158.25,158.0,158.0,764.0,158.111,3,False
2025-11-18 10:00:00+00:00,158.0,158.0,158.0,158.0,0.0,158.0,0,False
2025-11-18 11:00:00+00:00,158.0,158.0,158.0,158.0,0.0,158.0,0,False
2025-11-18 12:00:00+00:00,158.0,158.0,158.0,158.0,0.0,158.0,0,False
2025-11-18 13:00:00+00:00,158.25,158.7,158.0,158.49,1929.0,158.127,7,False
2025-11-18 14:00:00+00:00,158.8,159.79,157.79,158.56,345281.0,158.762,1687,False
2025-11-18 15:00:00+00:00,158.53,159.3,157.78,158.92,544826.0,158.507,3441,True
2025-11-18 16:00:00+00:00,158.87,160.4,158.63,159.76,282958.0,159.57,1808,True
2025-11-18 17:00:00+00:00,159.68,161.36,159.0,161.21,388770.0,160.24,2107,True
2025-11-18 18:00:00+00:00,161.23,161.67,160.7,160.81,260817.0,161.235,1839,True
2025-11-18 19:00:00+00:00,160.84,161.35,160.5,160.84,240519.0,160.887,1619,True
2025-11-18 20:00:00+00:00,160.87,161.14,159.72,159.81,613658.0,160.164,4463,True
2025-11-18 21:00:00+00:00,159.83,159.83,159.11,159.11,737159.0,159.83,32,False
2025-11-18 22:00:00+00:00,159.4,159.7,159.2,159.7,535.0,159.547,3,False
2025-11-18 23:00:00+00:00,159.7,159.7,159.7,159.7,0.0,159.7,0,False
2025-11-19 00:00:00+00:00,159.7,159.7,159.7,159.7,0.0,159.7,0,False
2025-11-19 13:00:00+00:00,160.57,160.79,160.57,160.79,590.0,160.607,2,False
2025-11-19 14:00:00+00:00,160.43,161.84,160.05,161.82,413861.0,160.951,2227,False
2025-11-19 15:00:00+00:00,161.75,162.21,160.77,160.92,429356.0,161.569,2981,True
2025-11-19 16:00:00+00:00,160.86,161.46,160.73,161.22,378992.0,161.042,2714,True
2025-11-19 17:00:00+00:00,161.22,162.0,160.74,161.92,657957.0,161.372,4286,True
2025-11-19 18:00:00+00:00,161.93,162.59,161.54,162.02,505539.0,162.016,3586,True
2025-11-19 19:00:00+00:00,162.09,162.22,161.2,162.0,395674.0,161.715,2889,True
2025-11-19 20:00:00+00:00,161.98,162.91,161.93,162.3,1243280.0,162.399,8030,True
2025-11-19 21:00:00+00:00,162.29,162.3,161.55,161.75,827357.0,162.29,24,False
2025-11-19 22:00:00+00:00,163.26,163.27,161.6,161.61,2903.0,162.429,8,False
2025-11-19 23:00:00+00:00,162.5,162.5,162.5,162.5,400.0,162.5,1,False
2025-11-20 00:00:00+00:00,163.2,163.29,163.19,163.29,550.0,163.21,3,False
2025-11-20 12:00:00+00:00,163.7,163.75,163.7,163.74,447.0,163.725,4,False
2025-11-20 13:00:00+00:00,163.75,163.99,163.03,163.99,2151.0,163.659,13,False
2025-11-20 14:00:00+00:00,164.5,166.87,164.19,166.23,293221.0,166.163,1640,False
2025-11-20 15:00:00+00:00,166.24,166.94,165.31,165.98,288522.0,166.235,1957,True
2025-11-20 16:00:00+00:00,165.98,166.39,162.12,162.33,305547.0,164.762,2290,True
2025-11-20 17:00:00+00:00,162.17,163.02,159.4,159.94,579184.0,160.661,3999,True
2025-11-20 18:00:00+00:00,159.86,161.42,158.71,159.08,216585.0,160.084,1656,True
2025-11-20 19:00:00+00:00,159.12,160.6,158.87,160.54,343906.0,159.571,2322,True
2025-11-20 20:00:00+00:00,160.53,160.61,158.51,158.71,801024.0,159.203,5936,True
2025-11-20 21:00:00+00:00,158.7,159.0,158.55,158.55,739691.0,158.7,36,False
2025-11-20 22:00:00+00:00,159.0,159.0,158.5,158.5,1700.0,158.706,3,False
2025-11-20 23:00:00+00:00,160.38,160.39,158.6,158.6,455.0,159.403,2,False
2025-11-21 00:00:00+00:00,158.6,158.6,158.6,158.6,0.0,158.6,0,False
2025-11-21 11:00:00+00:00,159.94,159.94,159.94,159.94,100.0,159.94,1,False
2025-11-21 12:00:00+00:00,159.3,160.0,159.3,160.0,970.0,159.693,7,False
2025-11-21 13:00:00+00:00,159.37,160.39,159.37,160.38,1114.0,159.922,5,False
2025-11-21 14:00:00+00:00,160.39,160.39,155.61,157.26,615719.0,158.301,1833,False
2025-11-21 15:00:00+00:00,157.4,158.24,155.23,156.49,635317.0,156.553,3571,True
2025-11-21 16:00:00+00:00,156.47,157.67,155.39,157.53,892235.0,156.512,5944,True
2025-11-21 17:00:00+00:00,157.56,158.66,157.1,158.19,1056502.0,158.027,5668,True
2025-11-21 18:00:00+00:00,158.28,159.37,157.37,158.92,470255.0,158.213,3183,True
2025-11-21 19:00:00+00:00,158.93,159.74,158.77,159.13,504567.0,159.327,3028,True
2025-11-21 20:00:00+00:00,159.16,159.37,158.1,158.24,1127248.0,158.751,7548,True
2025-11-21 21:00:00+00:00,158.17,158.49,158.17,158.17,1344000.0,158.17,28,False
2025-11-21 22:00:00+00:00,158.17,158.17,158.17,158.17,0.0,158.17,0,False
2025-11-21 23:00:00+00:00,158.17,158.17,158.17,158.17,0.0,158.17,0,False
2025-11-22 00:00:00+00:00,158.41,158.41,158.25,158.25,500.0,158.282,3,False
2025-11-24 09:00:00+00:00,158.66,159.0,158.57,159.0,1321.0,158.927,10,False
2025-11-24 10:00:00+00:00,159.0,159.0,158.63,158.63,2008.0,158.853,13,False
2025-11-24 11:00:00+00:00,158.7,160.5,158.63,160.07,6662.0,159.553,32,False
