date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,372.46,380.55,372.25,378.8,30360.0,377.76,268,False
2018-05-21 00:00:00+00:00,381.51,386.53,377.57,379.62,43120.0,381.604,357,False
2018-05-22 00:00:00+00:00,380.54,388.54,379.0,380.46,24118.0,383.222,212,False
2018-05-23 00:00:00+00:00,378.35,380.99,374.23,378.32,26292.0,377.73,196,False
2018-05-24 00:00:00+00:00,377.8,380.14,373.48,377.59,25955.0,376.442,223,False
2018-05-25 00:00:00+00:00,376.88,380.78,373.51,376.87,27741.0,377.902,236,False
2018-05-29 00:00:00+00:00,375.13,383.01,374.31,381.67,44275.0,378.559,356,False
2018-05-30 00:00:00+00:00,384.14,394.11,383.41,386.29,49491.0,388.485,406,False
2018-05-31 00:00:00+00:00,386.29,387.98,378.11,384.29,29850.0,383.725,260,False
2018-06-01 00:00:00+00:00,385.85,389.67,382.28,386.43,30115.0,385.91,270,False
2018-06-04 00:00:00+00:00,386.97,390.72,382.31,388.92,35733.0,387.157,285,False
2018-06-05 00:00:00+00:00,388.91,394.21,382.96,391.45,34467.0,389.832,270,False
2018-06-06 00:00:00+00:00,393.06,399.24,390.05,398.88,39287.0,395.21,319,False
2018-06-07 00:00:00+00:00,399.15,403.82,394.91,398.03,21964.0,398.414,195,False
2018-06-08 00:00:00+00:00,396.49,403.44,396.49,399.02,24549.0,398.96,192,False
2018-06-11 00:00:00+00:00,398.86,404.13,398.86,402.32,18909.0,401.213,162,False
2018-06-12 00:00:00+00:00,402.42,404.4,398.77,400.77,10234.0,401.798,87,False
2018-06-13 00:00:00+00:00,401.3,401.3,393.94,394.87,14390.0,396.241,124,False
2018-06-14 00:00:00+00:00,394.47,394.63,391.06,393.66,10271.0,392.678,94,False
2018-06-15 00:00:00+00:00,390.72,399.99,390.72,397.12,48295.0,395.136,307,False
2018-06-18 00:00:00+00:00,393.26,399.57,392.71,396.72,29997.0,395.996,230,False
2018-06-19 00:00:00+00:00,392.47,398.04,392.47,396.79,25345.0,395.938,196,False
2018-06-20 00:00:00+00:00,396.65,401.12,394.27,398.76,19054.0,397.913,149,False
2018-06-21 00:00:00+00:00,397.5,399.92,395.55,397.53,18678.0,397.737,165,False
2018-06-22 00:00:00+00:00,398.29,402.39,397.68,400.04,20731.0,400.827,172,False
