date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,5.48,5.48,5.44,5.45,121939.0,5.449,622,False
2018-05-25 00:00:00+00:00,5.45,5.48,5.27,5.3,959738.0,5.389,3655,False
2018-06-01 00:00:00+00:00,5.22,5.25,5.13,5.22,1476792.0,5.18,5589,False
2018-06-08 00:00:00+00:00,5.27,5.29,5.17,5.21,1171738.0,5.223,4631,False
2018-06-15 00:00:00+00:00,5.22,5.22,5.04,5.06,1286661.0,5.152,4319,False
2018-06-22 00:00:00+00:00,5.01,5.01,4.82,4.87,987190.0,4.912,3560,False
2018-06-29 00:00:00+00:00,4.9,4.92,4.76,4.79,1487129.0,4.846,4773,False
2018-07-06 00:00:00+00:00,4.74,4.81,4.73,4.78,929731.0,4.766,3341,False
2018-07-13 00:00:00+00:00,4.83,4.89,4.75,4.83,2036716.0,4.828,6967,False
2018-07-20 00:00:00+00:00,4.83,4.94,4.83,4.91,1296861.0,4.884,5308,False
2018-07-27 00:00:00+00:00,4.97,5.1,4.73,4.74,1317943.0,4.933,4831,False
2018-08-03 00:00:00+00:00,4.76,4.79,4.62,4.67,1616205.0,4.703,5684,False
2018-08-10 00:00:00+00:00,4.64,4.69,4.55,4.57,930592.0,4.63,3830,False
2018-08-17 00:00:00+00:00,4.55,4.58,4.43,4.58,1303557.0,4.511,4608,False
2018-08-24 00:00:00+00:00,4.6,4.64,4.54,4.54,729656.0,4.59,2663,False
2018-08-31 00:00:00+00:00,4.58,4.67,4.56,4.59,980762.0,4.606,3736,False
2018-09-07 00:00:00+00:00,4.59,4.69,4.55,4.58,1070103.0,4.619,3766,False
2018-09-14 00:00:00+00:00,4.64,4.73,4.59,4.73,1286957.0,4.641,4073,False
2018-09-21 00:00:00+00:00,4.75,4.99,4.71,4.98,1133929.0,4.854,4876,False
2018-09-28 00:00:00+00:00,4.95,4.99,4.78,4.78,602397.0,4.898,2324,False
2018-10-05 00:00:00+00:00,4.89,4.96,4.82,4.93,892069.0,4.882,4002,False
2018-10-12 00:00:00+00:00,4.94,5.05,4.7,4.79,948640.0,4.881,4196,False
2018-10-19 00:00:00+00:00,4.76,5.02,4.75,4.93,1157463.0,4.894,5396,False
2018-10-26 00:00:00+00:00,4.96,4.96,4.7,4.77,1354308.0,4.837,6252,False
2018-11-02 00:00:00+00:00,4.78,4.83,4.61,4.63,1480405.0,4.727,7474,False
2018-11-09 00:00:00+00:00,4.72,4.79,4.61,4.65,1085155.0,4.706,4891,False
2018-11-16 00:00:00+00:00,4.59,4.63,4.48,4.54,1082468.0,4.539,5051,False
2018-11-23 00:00:00+00:00,4.52,4.55,4.45,4.5,947845.0,4.495,4181,False
2018-11-30 00:00:00+00:00,4.56,4.59,4.45,4.47,1243916.0,4.521,4606,False
2018-12-07 00:00:00+00:00,4.55,4.55,4.07,4.1,2257389.0,4.225,7708,False
2018-12-14 00:00:00+00:00,4.02,4.11,3.86,4.01,2964442.0,3.991,10508,False
2018-12-21 00:00:00+00:00,3.99,4.05,3.59,3.6,3312654.0,3.832,10865,False
2018-12-28 00:00:00+00:00,3.61,3.82,3.57,3.77,2557110.0,3.704,8399,False
2019-01-04 00:00:00+00:00,3.74,4.01,3.66,4.01,2371562.0,3.794,8960,False
2019-01-11 00:00:00+00:00,3.96,4.07,3.92,4.06,1648656.0,3.997,6282,False
2019-01-18 00:00:00+00:00,4.03,4.23,4.01,4.22,1413806.0,4.117,5821,False
2019-01-25 00:00:00+00:00,4.12,4.19,4.09,4.16,863322.0,4.136,3558,False
2019-02-01 00:00:00+00:00,4.12,4.15,3.71,3.85,1560742.0,3.937,5643,False
2019-02-08 00:00:00+00:00,3.97,4.01,3.76,3.79,1208070.0,3.922,4774,False
2019-02-15 00:00:00+00:00,3.81,4.06,3.8,3.97,1710827.0,3.937,6295,False
2019-02-22 00:00:00+00:00,4.03,4.07,3.96,3.96,753654.0,4.006,3481,False
2019-03-01 00:00:00+00:00,4.01,4.03,3.87,3.92,1040507.0,3.955,3509,False
2019-03-08 00:00:00+00:00,3.91,3.93,3.67,3.74,1059704.0,3.842,3627,False
2019-03-11 00:00:00+00:00,3.77,3.81,3.68,3.75,1291480.0,3.756,4205,False
2019-03-22 00:00:00+00:00,3.75,3.82,3.65,3.66,1600096.0,3.727,5178,False
2019-03-29 00:00:00+00:00,3.65,3.73,3.57,3.59,2368987.0,3.626,7558,False
2019-04-05 00:00:00+00:00,3.64,3.8,3.63,3.72,1530069.0,3.709,4907,False
2019-04-12 00:00:00+00:00,3.69,3.79,3.62,3.77,1516362.0,3.667,4549,False
2019-04-18 00:00:00+00:00,3.77,3.99,3.75,3.91,1718670.0,3.886,5348,False
2019-04-26 00:00:00+00:00,3.84,3.88,3.59,3.75,1347069.0,3.718,4756,False
2019-05-03 00:00:00+00:00,3.74,3.82,3.72,3.79,1053282.0,3.781,3983,False
2019-05-10 00:00:00+00:00,3.71,3.79,3.47,3.51,2770655.0,3.601,10032,False
2019-05-17 00:00:00+00:00,3.48,3.48,3.15,3.19,9912948.0,3.219,8375,False
2019-05-24 00:00:00+00:00,3.23,3.26,3.08,3.22,2924461.0,3.173,8931,False
2019-05-31 00:00:00+00:00,3.22,3.24,3.08,3.11,2551309.0,3.164,7947,False
