date,open,high,low,close,volume,average,barCount,is_rth
2020-11-30 00:00:00+00:00,47.0,56.44,41.05,51.0,1985193.0,49.85182,13231,False
2020-12-31 00:00:00+00:00,51.21,60.27,35.73,48.08,2048774.0,47.1856,12796,False
2021-01-29 00:00:00+00:00,48.46,52.24,40.1,42.45,1030092.0,43.12413,7399,False
2021-02-26 00:00:00+00:00,42.45,54.88,39.01,39.92,1275277.0,46.97372,8842,False
2021-03-31 00:00:00+00:00,40.64,50.98,26.74,33.18,2636840.0,39.12628,17507,False
2021-04-30 00:00:00+00:00,33.86,36.7,27.97,28.05,1768145.0,32.97566,10868,False
2021-05-28 00:00:00+00:00,28.34,28.92,19.41,27.96,2923774.0,24.1384,16808,False
2021-06-30 00:00:00+00:00,28.16,32.77,24.18,27.98,3560997.0,28.1319,22356,False
2021-07-30 00:00:00+00:00,28.22,28.22,21.86,23.48,2917780.0,24.89783,15402,False
2021-08-31 00:00:00+00:00,23.48,31.08,23.3,29.92,4375395.0,27.02046,22273,False
2021-09-30 00:00:00+00:00,30.08,30.98,25.67,27.56,4194361.0,28.44478,28563,False
2021-10-29 00:00:00+00:00,28.0,32.19,25.67,27.0,5526195.0,28.75707,31142,False
2021-11-30 00:00:00+00:00,26.98,29.74,8.57,8.75,17530059.0,16.64351,73539,False
2021-12-31 00:00:00+00:00,9.25,11.99,8.25,9.36,16486174.0,9.88478,82209,False
2022-01-31 00:00:00+00:00,9.68,9.68,5.4,6.43,6131027.0,6.85447,36852,False
2022-02-28 00:00:00+00:00,6.6,7.41,3.9,4.68,6805035.0,5.42847,31476,False
2022-03-31 00:00:00+00:00,4.65,5.61,3.72,4.26,5918946.0,4.56103,31355,False
2022-04-29 00:00:00+00:00,4.28,4.48,2.53,2.55,5215210.0,3.35143,24635,False
2022-05-31 00:00:00+00:00,2.57,3.02,2.0,2.86,6601619.0,2.39757,30021,False
2022-06-30 00:00:00+00:00,2.87,4.74,2.71,4.07,7768114.0,3.88973,37592,False
2022-07-29 00:00:00+00:00,4.08,5.87,3.9903,5.02,8349879.0,5.08135,29689,False
2022-08-31 00:00:00+00:00,5.0,6.08,3.75,3.95,4627396.0,4.52652,20104,False
2022-09-30 00:00:00+00:00,4.0,4.485,2.72,2.76,3105523.0,3.5045,12371,False
2022-10-31 00:00:00+00:00,2.76,4.109,2.6468,3.76,3065482.0,3.08188,8557,False
2022-11-30 00:00:00+00:00,3.9,3.91,2.3,2.87,2085257.0,2.95262,10216,False
2022-12-30 00:00:00+00:00,2.91,2.985,2.19,2.45,1728104.0,2.50606,9708,False
2023-01-31 00:00:00+00:00,2.48,5.14,2.45,4.83,3773879.0,4.21085,13622,False
2023-02-28 00:00:00+00:00,4.82,5.11,3.82,4.1,2156483.0,4.67344,8279,False
2023-03-31 00:00:00+00:00,4.17,4.33,3.03,3.47,2055964.0,3.68844,7632,False
