date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 09:00:00+00:00,73.18,74.4,73.18,74.4,3189.0,73.95,18,False
2025-11-17 10:00:00+00:00,74.4,74.4,74.4,74.4,0.0,74.4,0,False
2025-11-17 11:00:00+00:00,74.4,74.4,74.4,74.4,0.0,74.4,0,False
2025-11-17 12:00:00+00:00,73.76,73.88,73.4,73.4,2292.0,73.666,12,False
2025-11-17 13:00:00+00:00,73.91,73.91,72.51,72.81,12908.0,72.949,54,False
2025-11-17 14:00:00+00:00,73.15,73.24,71.28,71.49,114975.0,72.113,357,False
2025-11-17 15:00:00+00:00,71.49,71.52,70.53,71.04,166900.0,70.909,546,True
2025-11-17 16:00:00+00:00,71.08,71.17,70.36,70.8,67774.0,70.734,448,True
2025-11-17 17:00:00+00:00,70.73,70.83,69.8,69.84,63304.0,70.248,349,True
2025-11-17 18:00:00+00:00,69.8,69.99,69.34,69.35,85292.0,69.682,575,True
2025-11-17 19:00:00+00:00,69.32,69.57,68.99,69.05,163155.0,69.271,1103,True
2025-11-17 20:00:00+00:00,69.05,69.86,68.95,69.63,289482.0,69.559,2227,True
2025-11-17 21:00:00+00:00,69.69,71.0,69.16,70.59,340999.0,69.69,14,False
2025-11-17 22:00:00+00:00,69.69,69.69,68.94,68.94,900.0,69.607,2,False
2025-11-17 23:00:00+00:00,69.2,69.2,69.19,69.2,144.0,69.199,1,False
2025-11-18 00:00:00+00:00,69.2,69.2,69.19,69.2,0.0,69.2,0,False
2025-11-18 10:00:00+00:00,69.58,69.58,69.58,69.58,143.0,69.58,1,False
2025-11-18 11:00:00+00:00,69.49,69.52,69.49,69.52,898.0,69.517,2,False
2025-11-18 12:00:00+00:00,69.07,69.5,69.07,69.5,2215.0,69.314,10,False
2025-11-18 13:00:00+00:00,68.56,70.0,68.56,69.15,12555.0,69.141,20,False
2025-11-18 14:00:00+00:00,69.19,70.68,68.2,68.42,204994.0,69.289,823,False
2025-11-18 15:00:00+00:00,68.41,68.87,67.84,68.1,181762.0,68.284,1215,True
2025-11-18 16:00:00+00:00,68.01,69.15,67.62,68.86,173505.0,68.476,971,True
2025-11-18 17:00:00+00:00,68.85,70.04,68.4,69.86,207648.0,69.031,1342,True
2025-11-18 18:00:00+00:00,69.93,70.0,69.14,69.32,171419.0,69.559,1038,True
2025-11-18 19:00:00+00:00,69.39,70.09,69.39,69.92,115115.0,69.718,787,True
2025-11-18 20:00:00+00:00,69.89,70.02,68.71,68.75,371460.0,69.216,2619,True
2025-11-18 21:00:00+00:00,68.8,68.8,68.5,68.5,369465.0,68.8,6,False
2025-11-18 22:00:00+00:00,68.81,68.82,68.81,68.81,250.0,68.813,2,False
2025-11-18 23:00:00+00:00,68.65,68.65,68.65,68.65,150.0,68.65,1,False
2025-11-19 00:00:00+00:00,68.9,68.9,68.8,68.8,802.0,68.849,2,False
2025-11-19 09:00:00+00:00,69.0,69.04,69.0,69.04,210.0,69.019,2,False
2025-11-19 10:00:00+00:00,69.04,69.04,69.04,69.04,0.0,69.04,0,False
2025-11-19 11:00:00+00:00,69.67,69.76,69.67,69.74,1416.0,69.717,8,False
2025-11-19 12:00:00+00:00,69.5,69.5,69.5,69.5,125.0,69.5,1,False
2025-11-19 13:00:00+00:00,69.5,69.68,68.88,69.14,25465.0,69.437,45,False
2025-11-19 14:00:00+00:00,69.0,69.8,68.58,69.69,86392.0,69.155,389,False
2025-11-19 15:00:00+00:00,69.7,70.62,69.48,69.73,97851.0,69.973,595,True
2025-11-19 16:00:00+00:00,69.73,70.77,69.5,70.56,131935.0,70.13,853,True
2025-11-19 17:00:00+00:00,70.6,70.79,69.86,70.31,105276.0,70.382,805,True
2025-11-19 18:00:00+00:00,70.24,70.48,69.91,70.19,63329.0,70.206,383,True
2025-11-19 19:00:00+00:00,70.11,70.14,69.45,69.93,63249.0,69.826,499,True
2025-11-19 20:00:00+00:00,69.92,70.43,69.8,70.08,331374.0,70.071,1839,True
2025-11-19 21:00:00+00:00,70.08,71.6,70.08,71.45,161731.0,70.113,16,False
2025-11-19 22:00:00+00:00,71.3,71.57,70.08,71.25,2255.0,70.954,6,False
2025-11-19 23:00:00+00:00,71.3,71.55,71.3,71.55,950.0,71.524,5,False
2025-11-20 00:00:00+00:00,71.55,71.57,71.4,71.57,1970.0,71.502,7,False
2025-11-20 10:00:00+00:00,71.29,71.29,71.15,71.16,500.0,71.204,5,False
2025-11-20 11:00:00+00:00,71.16,71.16,71.16,71.16,0.0,71.16,0,False
2025-11-20 12:00:00+00:00,71.16,71.16,71.16,71.16,0.0,71.16,0,False
2025-11-20 13:00:00+00:00,72.0,72.0,71.5,71.5,3262.0,71.603,12,False
2025-11-20 14:00:00+00:00,71.85,72.14,71.15,71.41,81913.0,71.682,335,False
2025-11-20 15:00:00+00:00,71.52,72.07,71.12,71.12,106897.0,71.636,683,True
2025-11-20 16:00:00+00:00,71.1,71.14,68.86,68.91,98568.0,70.107,637,True
2025-11-20 17:00:00+00:00,68.84,69.38,68.22,68.8,202584.0,68.645,1016,True
2025-11-20 18:00:00+00:00,68.65,69.48,68.33,68.53,130840.0,68.843,810,True
2025-11-20 19:00:00+00:00,68.53,68.72,67.75,68.72,299982.0,68.136,2075,True
2025-11-20 20:00:00+00:00,68.7,68.76,67.23,67.68,319941.0,67.808,2327,True
2025-11-20 21:00:00+00:00,67.69,68.5,67.06,67.75,401758.0,67.706,18,False
2025-11-20 22:00:00+00:00,67.3,67.3,67.3,67.3,315.0,67.3,1,False
2025-11-20 23:00:00+00:00,67.7,67.7,67.0,67.69,1283.0,67.332,7,False
2025-11-21 00:00:00+00:00,67.16,67.16,67.15,67.16,236.0,67.158,1,False
2025-11-21 09:00:00+00:00,66.98,68.53,65.95,66.2,5197.0,67.365,20,False
2025-11-21 10:00:00+00:00,65.6,66.31,65.39,66.28,1917.0,65.765,12,False
2025-11-21 11:00:00+00:00,67.15,67.15,67.1,67.1,400.0,67.113,3,False
2025-11-21 12:00:00+00:00,67.11,67.68,66.52,67.68,1516.0,67.059,11,False
2025-11-21 13:00:00+00:00,67.6,69.5,65.5,68.1,8866.0,67.616,26,False
2025-11-21 14:00:00+00:00,67.01,68.0,66.36,66.47,172174.0,67.114,835,False
2025-11-21 15:00:00+00:00,66.73,66.8,64.75,65.53,253217.0,65.51,1450,True
2025-11-21 16:00:00+00:00,65.62,66.83,64.98,66.77,238797.0,66.07,1385,True
2025-11-21 17:00:00+00:00,66.77,67.88,66.74,67.27,264479.0,67.454,1746,True
2025-11-21 18:00:00+00:00,67.27,67.67,66.54,67.42,169947.0,67.109,975,True
2025-11-21 19:00:00+00:00,67.38,67.83,66.8,67.08,178659.0,67.447,1096,True
2025-11-21 20:00:00+00:00,67.05,67.28,66.32,66.55,362713.0,66.702,2552,True
2025-11-21 21:00:00+00:00,66.59,66.66,66.59,66.59,320790.0,66.59,12,False
2025-11-21 22:00:00+00:00,66.55,68.5,66.55,68.5,1100.0,68.323,3,False
2025-11-21 23:00:00+00:00,66.7,66.7,66.7,66.7,100.0,66.7,1,False
2025-11-22 00:00:00+00:00,66.7,66.7,66.7,66.7,0.0,66.7,0,False
2025-11-24 09:00:00+00:00,67.5,67.5,67.5,67.5,100.0,67.5,1,False
2025-11-24 10:00:00+00:00,67.5,67.5,67.5,67.5,0.0,67.5,0,False
2025-11-24 11:00:00+00:00,67.5,67.5,67.5,67.5,0.0,67.5,0,False
2025-11-24 12:00:00+00:00,67.5,67.5,67.5,67.5,0.0,67.5,0,False
2025-11-24 13:00:00+00:00,67.49,67.5,66.7,67.5,1037.0,67.404,6,False
2025-11-24 14:00:00+00:00,67.51,68.13,66.64,67.64,55443.0,67.432,231,False
2025-11-24 15:00:00+00:00,67.85,68.4,67.54,68.05,102620.0,68.091,568,True
2025-11-24 16:00:00+00:00,68.06,68.54,67.59,67.69,89311.0,68.218,544,True
2025-11-24 17:00:00+00:00,67.67,67.78,67.29,67.5,106233.0,67.472,766,True
2025-11-24 18:00:00+00:00,67.58,67.63,67.15,67.25,94056.0,67.451,708,True
2025-11-24 19:00:00+00:00,67.25,67.41,66.84,67.03,119095.0,67.136,848,True
2025-11-24 20:00:00+00:00,67.06,67.55,66.9,67.37,384025.0,67.282,2673,True
2025-11-24 21:00:00+00:00,67.39,67.9,67.39,67.45,686061.0,67.39,10,False
2025-11-24 22:00:00+00:00,67.51,68.08,67.5,68.08,3683.0,67.732,8,False
2025-11-24 23:00:00+00:00,68.08,68.2,68.0,68.0,396.0,68.094,3,False
2025-11-25 00:00:00+00:00,67.99,67.99,67.06,67.45,345.0,67.493,3,False
2025-11-25 09:00:00+00:00,67.17,67.18,67.17,67.18,691.0,67.178,3,False
2025-11-25 10:00:00+00:00,67.18,67.18,67.18,67.18,0.0,67.18,0,False
2025-11-25 11:00:00+00:00,67.18,67.18,67.18,67.18,0.0,67.18,0,False
2025-11-25 12:00:00+00:00,67.29,67.3,67.01,67.3,7460.0,67.092,11,False
2025-11-25 13:00:00+00:00,67.27,67.5,67.2,67.2,3611.0,67.369,9,False
2025-11-25 14:00:00+00:00,67.15,67.37,65.81,67.23,131671.0,66.822,395,False
2025-11-25 15:00:00+00:00,67.11,67.61,66.71,67.26,95329.0,67.116,629,True
2025-11-25 16:00:00+00:00,67.25,67.97,67.08,67.94,58894.0,67.552,373,True
2025-11-25 17:00:00+00:00,67.93,68.89,67.85,68.41,101464.0,68.523,626,True
2025-11-25 18:00:00+00:00,68.41,68.63,68.4,68.5,78984.0,68.527,490,True
2025-11-25 19:00:00+00:00,68.48,68.78,68.43,68.78,113855.0,68.589,703,True
2025-11-25 20:00:00+00:00,68.8,69.09,68.64,68.94,212842.0,68.863,1568,True
2025-11-25 21:00:00+00:00,68.89,69.0,68.6,68.8,160029.0,68.887,16,False
2025-11-25 22:00:00+00:00,69.03,69.3,69.03,69.3,423.0,69.236,3,False
2025-11-25 23:00:00+00:00,69.9,69.9,69.0,69.0,1125.0,69.8,2,False
2025-11-26 00:00:00+00:00,69.0,69.0,69.0,69.0,0.0,69.0,0,False
2025-11-26 13:00:00+00:00,69.35,69.45,69.3,69.41,2994.0,69.423,8,False
2025-11-26 14:00:00+00:00,69.31,69.5,68.29,68.41,106306.0,68.942,486,False
2025-11-26 15:00:00+00:00,68.42,68.75,68.12,68.62,107943.0,68.499,651,True
2025-11-26 16:00:00+00:00,68.64,68.81,68.4,68.56,116289.0,68.63,605,True
2025-11-26 17:00:00+00:00,68.6,68.72,68.23,68.61,76719.0,68.543,454,True
2025-11-26 18:00:00+00:00,68.67,68.85,68.32,68.53,70911.0,68.604,459,True
2025-11-26 19:00:00+00:00,68.52,68.77,68.4,68.72,72623.0,68.632,526,True
2025-11-26 20:00:00+00:00,68.74,68.89,68.16,68.16,304983.0,68.524,2049,True
2025-11-26 21:00:00+00:00,68.17,68.65,68.12,68.2,169328.0,68.173,14,False
2025-11-26 22:00:00+00:00,68.57,68.59,68.5,68.5,700.0,68.574,3,False
2025-11-26 23:00:00+00:00,68.49,68.49,68.46,68.46,1100.0,68.48,4,False
2025-11-27 00:00:00+00:00,68.46,68.65,68.46,68.6,1918.0,68.554,9,False
2025-11-28 09:00:00+00:00,69.19,69.24,69.19,69.2,1038.0,69.206,6,False
2025-11-28 10:00:00+00:00,69.2,69.2,69.2,69.2,0.0,69.2,0,False
2025-11-28 11:00:00+00:00,69.2,69.2,69.2,69.2,0.0,69.2,0,False
2025-11-28 12:00:00+00:00,69.2,69.2,69.2,69.2,0.0,69.2,0,False
2025-11-28 13:00:00+00:00,68.61,69.32,68.5,68.5,1118.0,68.84,9,False
2025-11-28 14:00:00+00:00,68.85,69.49,68.42,69.26,64601.0,68.902,251,False
2025-11-28 15:00:00+00:00,69.26,69.92,69.26,69.57,56223.0,69.663,368,True
2025-11-28 16:00:00+00:00,69.55,69.9,69.55,69.7,57047.0,69.705,386,True
2025-11-28 17:00:00+00:00,69.67,70.21,69.29,69.34,192232.0,69.653,1305,True
2025-11-28 18:00:00+00:00,69.32,69.65,69.32,69.65,131303.0,69.323,11,True
2025-11-28 19:00:00+00:00,69.4,69.4,69.4,69.4,100.0,69.4,1,True
2025-11-28 20:00:00+00:00,69.65,69.65,69.4,69.45,793.0,69.53,5,True
2025-11-28 21:00:00+00:00,69.79,69.79,69.52,69.52,243.0,69.678,2,False
2025-12-01 10:00:00+00:00,69.0,69.0,68.99,68.99,231.0,68.994,2,False
2025-12-01 11:00:00+00:00,68.99,68.99,68.99,68.99,0.0,68.99,0,False
2025-12-01 12:00:00+00:00,69.0,69.0,68.76,68.76,430.0,68.886,3,False
2025-12-01 13:00:00+00:00,68.41,69.18,68.3,68.56,10403.0,68.458,22,False
2025-12-01 14:00:00+00:00,68.38,68.97,67.48,68.89,168164.0,68.28,921,False
2025-12-01 15:00:00+00:00,68.89,69.5,68.06,68.83,265682.0,68.677,1651,True
2025-12-01 16:00:00+00:00,68.87,69.94,68.49,69.32,187783.0,69.249,1349,True
2025-12-01 17:00:00+00:00,69.31,69.4,68.92,68.94,201669.0,69.142,1559,True
2025-12-01 18:00:00+00:00,68.95,69.29,68.69,69.26,194669.0,68.984,1398,True
2025-12-01 19:00:00+00:00,69.25,69.25,68.52,68.61,201503.0,68.756,1312,True
2025-12-01 20:00:00+00:00,68.59,68.75,68.19,68.63,565190.0,68.496,3926,True
2025-12-01 21:00:00+00:00,68.6,69.6,68.6,69.44,359578.0,68.603,21,False
2025-12-01 22:00:00+00:00,68.99,69.43,68.9,69.43,519.0,69.056,4,False
2025-12-01 23:00:00+00:00,69.44,69.44,69.0,69.2,3246.0,69.231,7,False
2025-12-02 00:00:00+00:00,69.44,69.44,68.9,68.94,4069.0,68.993,20,False
2025-12-02 09:00:00+00:00,69.03,69.03,69.0,69.0,435.0,69.01,3,False
2025-12-02 10:00:00+00:00,69.0,69.0,69.0,69.0,0.0,69.0,0,False
2025-12-02 11:00:00+00:00,69.0,69.0,69.0,69.0,0.0,69.0,0,False
2025-12-02 12:00:00+00:00,69.61,69.61,69.5,69.5,1643.0,69.552,6,False
2025-12-02 13:00:00+00:00,69.6,69.86,68.74,69.58,8674.0,69.66,42,False
2025-12-02 14:00:00+00:00,69.58,70.82,69.35,70.68,300646.0,70.13,1086,False
2025-12-02 15:00:00+00:00,70.7,70.73,69.22,69.98,209380.0,69.877,1123,True
2025-12-02 16:00:00+00:00,69.95,70.41,69.55,70.05,126455.0,70.101,723,True
2025-12-02 17:00:00+00:00,70.09,70.54,69.98,70.17,141195.0,70.22,687,True
2025-12-02 18:00:00+00:00,70.13,70.4,69.9,70.31,118906.0,70.174,690,True
2025-12-02 19:00:00+00:00,70.38,70.54,70.07,70.17,95729.0,70.276,647,True
2025-12-02 20:00:00+00:00,70.19,70.2,69.36,69.42,381959.0,69.658,2494,True
2025-12-02 21:00:00+00:00,69.4,69.91,69.3,69.7,403376.0,69.401,8,False
2025-12-02 22:00:00+00:00,69.67,69.67,69.4,69.4,600.0,69.572,5,False
2025-12-02 23:00:00+00:00,69.67,69.67,69.67,69.67,1000.0,69.67,1,False
2025-12-03 00:00:00+00:00,69.53,69.67,69.51,69.52,992.0,69.58,4,False
2025-12-03 09:00:00+00:00,69.81,69.81,69.75,69.75,430.0,69.773,3,False
2025-12-03 10:00:00+00:00,69.92,69.92,69.92,69.92,300.0,69.92,1,False
2025-12-03 11:00:00+00:00,69.92,69.92,69.92,69.92,0.0,69.92,0,False
2025-12-03 12:00:00+00:00,70.25,70.25,69.93,69.95,1013.0,70.022,8,False
2025-12-03 13:00:00+00:00,70.15,70.2,69.84,70.0,1482.0,70.029,10,False
