date,open,high,low,close,volume,average,barCount,is_rth
2019-06-07 00:00:00+00:00,25.16,37.99,25.11,34.0,17038098.0,29.209,75575,False
2019-06-14 00:00:00+00:00,38.9,44.77,30.51,42.01,21583230.0,38.324,86818,False
2019-06-21 00:00:00+00:00,42.75,48.36,38.32,38.86,9829667.0,42.415,35014,False
2019-06-28 00:00:00+00:00,39.71,39.83,33.09,34.5,7120179.0,35.021,29584,False
2019-07-05 00:00:00+00:00,35.4,38.79,31.67,38.6,9796860.0,35.458,38100,False
2019-07-12 00:00:00+00:00,38.05,41.22,36.15,37.74,6689963.0,38.369,25066,False
2019-07-19 00:00:00+00:00,37.9,40.0,33.4,34.14,4596622.0,36.408,17659,False
2019-07-26 00:00:00+00:00,34.0,35.94,32.51,34.29,3513351.0,34.271,16789,False
2019-08-02 00:00:00+00:00,34.29,35.9,32.11,33.57,3890759.0,34.079,17125,False
2019-08-09 00:00:00+00:00,32.97,32.99,25.55,26.12,8707598.0,29.25,37871,False
2019-08-16 00:00:00+00:00,26.04,27.99,22.06,23.69,8608657.0,24.563,40649,False
2019-08-23 00:00:00+00:00,23.89,26.5,23.0,23.01,6916496.0,24.425,31447,False
2019-08-30 00:00:00+00:00,23.72,24.04,21.1,22.67,4783297.0,22.523,23577,False
2019-09-06 00:00:00+00:00,22.2,24.13,21.09,22.23,3025230.0,22.489,14255,False
2019-09-13 00:00:00+00:00,22.3,26.68,21.53,25.58,5868167.0,24.294,29853,False
2019-09-20 00:00:00+00:00,25.26,26.69,23.26,23.83,3775307.0,24.736,20278,False
2019-09-27 00:00:00+00:00,23.73,24.48,21.57,22.84,3988739.0,22.645,21495,False
2019-10-04 00:00:00+00:00,22.85,24.3,21.88,24.16,4504556.0,23.365,25334,False
2019-10-11 00:00:00+00:00,24.07,24.6,20.7,21.73,5680212.0,22.297,28595,False
2019-10-18 00:00:00+00:00,21.63,23.17,20.54,22.02,4636564.0,21.797,21105,False
2019-10-25 00:00:00+00:00,22.27,23.07,20.5,20.97,6025192.0,21.551,28462,False
2019-11-01 00:00:00+00:00,21.4,22.1,20.22,21.24,4009273.0,21.088,19915,False
2019-11-08 00:00:00+00:00,21.53,21.64,16.02,16.33,9618583.0,18.644,41782,False
2019-11-15 00:00:00+00:00,16.29,16.52,15.12,15.46,6068413.0,15.751,28306,False
