date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,16.23,16.52,16.22,16.5,281379.0,16.4042775,641,
2018-05-25 00:00:00+00:00,16.51,16.65,16.21,16.23,1154092.0,16.433118,3035,
2018-06-01 00:00:00+00:00,16.1,16.34,16.03,16.29,1293830.0,16.192,4837,
2018-06-08 00:00:00+00:00,16.39,16.57,16.16,16.22,1379803.0,16.434,4907,
2018-06-15 00:00:00+00:00,16.24,16.32,16.13,16.23,1148904.0,16.237,3925,
2018-06-22 00:00:00+00:00,16.15,16.3,16.09,16.14,974704.0,16.181,3636,
2018-06-29 00:00:00+00:00,16.13,16.13,15.6,15.8,1729228.0,15.817,6212,
2018-07-06 00:00:00+00:00,15.8,15.92,15.65,15.86,1535656.0,15.777,4942,
2018-07-13 00:00:00+00:00,15.93,15.99,15.73,15.73,1763988.0,15.83,7177,
2018-07-20 00:00:00+00:00,15.8,15.93,15.58,15.87,1877304.0,15.746,7847,
2018-07-27 00:00:00+00:00,15.88,16.1,15.78,15.89,1690671.0,15.927,6327,
2018-08-03 00:00:00+00:00,16.04,16.11,15.77,16.06,1485837.0,15.927,5780,
2018-08-10 00:00:00+00:00,16.06,16.32,16.0,16.15,1107748.0,16.143,4010,
2018-08-17 00:00:00+00:00,16.12,16.37,16.04,16.36,994014.0,16.185,3687,
2018-08-24 00:00:00+00:00,16.39,16.6,16.27,16.55,785357.0,16.466,2432,
2018-08-31 00:00:00+00:00,16.6,16.79,16.54,16.77,1010121.0,16.685,3107,
2018-09-07 00:00:00+00:00,16.72,16.8,16.45,16.7,1041108.0,16.69,3057,
2018-09-14 00:00:00+00:00,16.8,16.92,16.47,16.49,955808.0,16.723,3086,
2018-09-21 00:00:00+00:00,16.47,16.73,16.23,16.65,907588.0,16.468,2578,
2018-09-28 00:00:00+00:00,16.65,16.7,16.3,16.35,870271.0,16.505,2838,
2018-10-05 00:00:00+00:00,16.43,16.44,15.29,15.37,1239524.0,15.898,4424,
2018-10-12 00:00:00+00:00,15.34,15.63,14.22,14.37,2445630.0,14.804,7946,
2018-10-19 00:00:00+00:00,14.43,15.02,14.41,14.67,1425180.0,14.818,4524,
2018-10-26 00:00:00+00:00,14.71,14.74,13.72,13.91,1987084.0,14.178,6830,
2018-11-02 00:00:00+00:00,14.04,14.39,13.64,14.15,2264109.0,14.038,7039,
2018-11-09 00:00:00+00:00,14.23,14.72,14.15,14.44,1228145.0,14.435,4168,
2018-11-16 00:00:00+00:00,14.4,14.4,13.89,14.06,1595575.0,14.093,4734,
2018-11-23 00:00:00+00:00,14.05,14.08,13.4,13.62,1692064.0,13.592,5545,
2018-11-30 00:00:00+00:00,13.73,14.26,13.7,14.23,1705461.0,13.933,4843,
2018-12-07 00:00:00+00:00,14.48,14.54,13.36,13.43,1634968.0,13.867,4879,
2018-12-14 00:00:00+00:00,13.4,13.44,12.38,12.43,3000420.0,12.935,8630,
2018-12-21 00:00:00+00:00,12.44,12.48,11.07,11.11,4730267.0,11.74,14316,
2018-12-28 00:00:00+00:00,11.02,11.87,10.94,11.74,3675558.0,11.433,10716,
2019-01-04 00:00:00+00:00,11.82,12.18,11.62,12.13,2683758.0,11.877,8935,
2019-01-11 00:00:00+00:00,12.19,12.98,12.14,12.89,2660599.0,12.706,9037,
2019-01-18 00:00:00+00:00,12.85,13.37,12.75,13.24,1891199.0,13.021,6929,
2019-01-25 00:00:00+00:00,13.21,13.32,12.92,13.28,1076549.0,13.099,2977,
2019-02-01 00:00:00+00:00,13.18,13.71,13.15,13.62,1285881.0,13.437,3883,
2019-02-08 00:00:00+00:00,13.62,13.81,13.46,13.63,1551313.0,13.675,5099,
2019-02-15 00:00:00+00:00,13.69,14.13,13.6,14.01,1441947.0,13.932,4019,
2019-02-22 00:00:00+00:00,13.99,14.38,13.99,14.38,943378.0,14.223,2850,
2019-03-01 00:00:00+00:00,14.42,14.49,14.2,14.3,969377.0,14.33,2886,
2019-03-08 00:00:00+00:00,14.37,14.4,13.46,13.55,1453481.0,14.029,4826,
2019-03-11 00:00:00+00:00,13.84,13.96,13.78,13.87,952401.0,13.872,3108,
2019-03-22 00:00:00+00:00,13.9,14.05,13.62,13.63,1162150.0,13.869,3678,
2019-03-29 00:00:00+00:00,13.58,13.87,13.43,13.76,1166958.0,13.644,3842,
2019-04-05 00:00:00+00:00,13.86,14.21,13.82,14.17,1346797.0,13.989,4895,
2019-04-12 00:00:00+00:00,14.2,14.39,14.11,14.24,1085098.0,14.23,3737,
2019-04-18 00:00:00+00:00,14.26,14.36,14.2,14.28,750392.0,14.266,2222,
2019-04-26 00:00:00+00:00,14.26,14.45,14.19,14.32,1348027.0,14.309,3783,
2019-05-03 00:00:00+00:00,14.38,14.49,14.14,14.47,1053165.0,14.348,3234,
2019-05-10 00:00:00+00:00,14.35,14.51,13.86,14.1,1167449.0,14.144,3850,
2019-05-17 00:00:00+00:00,13.93,14.06,13.66,13.76,1125011.0,13.841,3846,
2019-05-24 00:00:00+00:00,13.6,13.8,13.4,13.58,1165987.0,13.61,3336,
2019-05-31 00:00:00+00:00,13.63,13.67,13.06,13.13,908576.0,13.304,2824,
2019-06-07 00:00:00+00:00,13.13,13.69,13.07,13.64,1141525.0,13.44,4045,
2019-06-14 00:00:00+00:00,13.73,13.89,13.44,13.5,1105453.0,13.665,3667,
2019-06-21 00:00:00+00:00,13.51,13.9,13.46,13.71,1024271.0,13.698,3200,
2019-06-28 00:00:00+00:00,13.85,13.95,13.45,13.92,975624.0,13.683,2756,
2019-07-05 00:00:00+00:00,14.13,14.14,13.83,13.97,697171.0,13.972,2449,
2019-07-12 00:00:00+00:00,13.95,13.95,13.72,13.93,1243904.0,13.831,3871,
2019-07-19 00:00:00+00:00,13.95,13.98,13.76,13.84,1061361.0,13.857,3072,
2019-07-26 00:00:00+00:00,13.89,14.2,13.84,14.12,1209309.0,14.049,3602,
2019-08-02 00:00:00+00:00,14.12,14.23,13.63,13.82,1384185.0,13.982,4878,
2019-08-09 00:00:00+00:00,13.58,13.67,13.18,13.48,1588550.0,13.415,5857,
2019-08-16 00:00:00+00:00,13.42,13.52,13.01,13.28,996316.0,13.251,3411,
