date,open,high,low,close,volume,is_rth
2025-11-17 12:00:00+00:00,147.43,148.27,146.57,148.01,79804.0,1.0
2025-11-17 16:00:00+00:00,148.03,148.03,146.55,146.55,111194.0,1.0
2025-11-17 20:00:00+00:00,146.54,147.4,146.44,147.4,1117560.0,1.0
2025-11-18 00:00:00+00:00,147.4,147.4,147.4,147.4,0.0,0.0
2025-11-18 12:00:00+00:00,146.77,147.35,145.71,147.22,142020.0,1.0
2025-11-18 16:00:00+00:00,147.18,149.34,147.15,149.11,291700.0,1.0
2025-11-18 20:00:00+00:00,149.11,149.37,146.54,146.54,209071.0,1.0
2025-11-19 00:00:00+00:00,146.54,146.55,146.54,146.54,0.0,0.0
2025-11-19 12:00:00+00:00,148.47,149.0,148.4,148.5,96856.0,1.0
2025-11-19 16:00:00+00:00,148.47,148.56,147.33,147.56,145058.0,1.0
2025-11-19 20:00:00+00:00,147.54,148.39,147.37,148.27,173241.0,1.0
2025-11-20 00:00:00+00:00,148.27,148.27,148.27,148.27,0.0,0.0
2025-11-20 12:00:00+00:00,146.77,150.04,146.77,149.18,88211.0,1.0
2025-11-20 16:00:00+00:00,149.17,149.36,146.76,148.01,236217.0,1.0
2025-11-20 20:00:00+00:00,147.99,148.13,147.2,147.2,834684.0,1.0
2025-11-21 00:00:00+00:00,147.2,147.2,147.2,147.2,0.0,0.0
2025-11-21 12:00:00+00:00,148.15,148.89,147.45,147.85,98209.0,1.0
2025-11-21 16:00:00+00:00,147.86,150.17,147.79,149.97,191159.0,1.0
2025-11-21 20:00:00+00:00,150.04,150.25,149.12,149.99,478991.0,1.0
2025-11-22 00:00:00+00:00,149.99,149.99,149.99,149.99,0.0,0.0
2025-11-24 12:00:00+00:00,150.27,150.76,149.13,150.74,192414.0,1.0
2025-11-24 16:00:00+00:00,150.71,150.85,149.93,149.97,198455.0,1.0
2025-11-24 20:00:00+00:00,150.03,151.0,149.57,151.0,167218.0,1.0
2025-11-25 00:00:00+00:00,151.0,151.0,151.0,151.0,0.0,0.0
2025-11-25 12:00:00+00:00,149.5,151.36,149.17,151.19,131399.0,1.0
2025-11-25 16:00:00+00:00,151.18,151.88,151.06,151.85,125431.0,1.0
2025-11-25 20:00:00+00:00,151.83,152.79,151.72,152.22,181866.0,1.0
2025-11-26 00:00:00+00:00,152.22,152.22,152.22,152.22,0.0,0.0
2025-11-26 12:00:00+00:00,152.0,152.95,152.0,152.54,120752.0,1.0
2025-11-26 16:00:00+00:00,152.56,153.21,152.42,153.06,152161.0,1.0
2025-11-26 20:00:00+00:00,153.06,153.26,152.99,153.19,170130.0,1.0
2025-11-27 00:00:00+00:00,153.19,153.19,153.19,153.19,0.0,0.0
2025-11-28 12:00:00+00:00,153.62,154.64,153.24,154.62,59195.0,1.0
2025-11-28 16:00:00+00:00,154.5,154.57,154.0,154.26,139251.0,1.0
2025-11-28 20:00:00+00:00,154.27,154.67,154.27,154.66,1239.0,1.0
2025-12-01 12:00:00+00:00,154.03,154.43,153.17,153.63,89185.0,1.0
2025-12-01 16:00:00+00:00,153.65,154.0,152.73,152.76,149025.0,1.0
2025-12-01 20:00:00+00:00,152.74,153.17,149.88,149.88,264585.0,1.0
2025-12-02 00:00:00+00:00,149.88,149.88,149.88,149.88,0.0,0.0
2025-12-02 12:00:00+00:00,153.0,154.08,152.5,153.94,87356.0,1.0
2025-12-02 16:00:00+00:00,153.92,154.46,153.46,154.41,196213.0,1.0
2025-12-02 20:00:00+00:00,154.42,155.12,154.2,155.0,546965.0,1.0
2025-12-03 00:00:00+00:00,154.21,154.21,154.21,154.21,300.0,0.0
2025-12-03 08:00:00+00:00,156.95,160.0,156.95,160.0,1341.0,0.0
2025-12-03 12:00:00+00:00,157.49,162.0,154.5,155.39,271709.0,1.0
2025-12-03 16:00:00+00:00,155.4,157.51,155.2,156.4,222756.0,1.0
2025-12-03 20:00:00+00:00,156.43,157.27,155.93,157.27,226479.0,1.0
2025-12-04 00:00:00+00:00,157.27,157.27,157.27,157.27,0.0,0.0
2025-12-04 12:00:00+00:00,157.49,161.05,157.48,161.0,258439.0,1.0
2025-12-04 16:00:00+00:00,160.92,161.54,160.41,161.03,173583.0,1.0
2025-12-04 20:00:00+00:00,161.03,161.06,160.36,160.56,257581.0,1.0
2025-12-05 00:00:00+00:00,160.56,160.56,160.56,160.56,0.0,0.0
2025-12-05 12:00:00+00:00,166.25,166.25,160.91,161.48,144567.0,1.0
2025-12-05 16:00:00+00:00,161.51,162.79,161.26,162.78,179684.0,1.0
2025-12-05 20:00:00+00:00,162.78,162.96,162.43,162.48,237472.0,1.0
2025-12-06 00:00:00+00:00,162.48,162.48,162.48,162.48,0.0,0.0
2025-12-08 12:00:00+00:00,162.5,163.77,162.5,163.42,125014.0,1.0
2025-12-08 16:00:00+00:00,163.39,163.41,162.87,162.99,310428.0,1.0
2025-12-08 20:00:00+00:00,163.0,163.75,162.9,163.39,255751.0,1.0
2025-12-09 00:00:00+00:00,163.39,163.39,163.39,163.39,0.0,0.0
2025-12-09 12:00:00+00:00,163.54,164.33,163.53,163.92,113051.0,1.0
2025-12-09 16:00:00+00:00,164.0,164.35,163.5,163.5,172667.0,1.0
2025-12-09 20:00:00+00:00,163.5,163.67,163.0,163.0,211030.0,1.0
2025-12-10 00:00:00+00:00,163.0,163.0,163.0,163.0,0.0,0.0
2025-12-10 12:00:00+00:00,163.3,163.98,163.14,163.92,82794.0,1.0
2025-12-10 16:00:00+00:00,163.95,165.26,163.86,165.12,167182.0,1.0
2025-12-10 20:00:00+00:00,165.15,165.82,164.76,165.14,194485.0,1.0
2025-12-11 00:00:00+00:00,165.14,165.14,165.14,165.14,0.0,0.0
2025-12-11 12:00:00+00:00,165.46,166.54,165.11,166.29,98125.0,1.0
2025-12-11 16:00:00+00:00,166.3,166.3,165.69,166.19,112269.0,1.0
2025-12-11 20:00:00+00:00,166.2,168.8,166.17,167.75,278731.0,1.0
2025-12-12 00:00:00+00:00,167.75,167.75,167.75,167.75,0.0,0.0
2025-12-12 12:00:00+00:00,167.33,168.02,165.86,165.91,133712.0,1.0
2025-12-12 16:00:00+00:00,165.81,166.7,165.45,165.8,203606.0,1.0
2025-12-12 20:00:00+00:00,165.81,166.13,165.68,165.86,605181.0,1.0
2025-12-13 00:00:00+00:00,165.86,165.86,165.86,165.86,0.0,0.0
2025-12-15 12:00:00+00:00,166.42,167.78,165.62,167.46,88761.0,1.0
2025-12-15 16:00:00+00:00,167.48,167.48,166.44,166.89,105405.0,1.0
2025-12-15 20:00:00+00:00,166.87,171.0,166.82,171.0,207448.0,1.0
2025-12-16 00:00:00+00:00,171.0,171.0,171.0,171.0,0.0,0.0
2025-12-16 12:00:00+00:00,167.19,167.35,166.63,166.89,87563.0,1.0
2025-12-16 16:00:00+00:00,166.79,167.22,166.52,166.91,117386.0,1.0
2025-12-16 20:00:00+00:00,166.93,167.24,165.95,166.37,244446.0,1.0
2025-12-17 00:00:00+00:00,166.37,166.37,166.37,166.37,0.0,0.0
2025-12-17 12:00:00+00:00,167.0,167.0,164.58,164.61,143514.0,1.0
2025-12-17 16:00:00+00:00,164.65,165.34,164.57,164.97,108446.0,1.0
2025-12-17 20:00:00+00:00,164.97,165.33,164.9,165.29,290772.0,1.0
2025-12-18 00:00:00+00:00,165.3,165.3,165.3,165.3,100.0,0.0
2025-12-18 12:00:00+00:00,165.89,167.63,165.89,167.52,113125.0,1.0
2025-12-18 16:00:00+00:00,167.51,168.15,167.27,167.67,156798.0,1.0
2025-12-18 20:00:00+00:00,167.68,168.15,167.06,167.2,252951.0,1.0
2025-12-19 00:00:00+00:00,167.2,167.2,167.2,167.2,0.0,0.0
2025-12-19 12:00:00+00:00,167.0,168.92,167.0,168.61,71574.0,1.0
2025-12-19 16:00:00+00:00,168.45,169.78,168.26,169.75,124563.0,1.0
2025-12-19 20:00:00+00:00,169.74,169.89,168.43,168.74,276041.0,1.0
2025-12-20 00:00:00+00:00,168.74,168.74,168.74,168.74,0.0,0.0
2025-12-22 12:00:00+00:00,168.74,170.39,168.46,170.3,81295.0,1.0
2025-12-22 16:00:00+00:00,170.35,170.48,169.64,169.64,147714.0,1.0
2025-12-22 20:00:00+00:00,169.6,169.87,169.43,169.83,231719.0,1.0
2025-12-23 00:00:00+00:00,169.83,169.83,169.83,169.83,0.0,0.0
2025-12-23 12:00:00+00:00,171.0,171.0,169.7,170.9,60992.0,1.0
2025-12-23 16:00:00+00:00,170.95,171.19,170.61,171.01,122066.0,1.0
2025-12-23 20:00:00+00:00,170.97,171.11,170.87,170.91,124016.0,1.0
2025-12-24 00:00:00+00:00,170.91,170.91,170.91,170.91,0.0,0.0
2025-12-24 12:00:00+00:00,171.13,171.84,170.63,171.53,48040.0,1.0
2025-12-24 16:00:00+00:00,171.53,171.82,169.5,169.5,468812.0,1.0
2025-12-24 20:00:00+00:00,169.5,169.5,169.5,169.5,0.0,1.0
2025-12-26 12:00:00+00:00,171.8,171.8,171.08,171.25,28417.0,1.0
2025-12-26 16:00:00+00:00,171.32,171.36,170.75,171.09,58388.0,1.0
2025-12-26 20:00:00+00:00,171.07,171.52,171.07,171.51,76664.0,1.0
2025-12-27 00:00:00+00:00,171.51,171.51,171.51,171.51,0.0,0.0
2025-12-29 12:00:00+00:00,170.97,171.83,170.93,171.81,52290.0,1.0
2025-12-29 16:00:00+00:00,171.83,172.37,171.6,172.34,155751.0,1.0
2025-12-29 20:00:00+00:00,172.37,172.38,171.71,171.74,158864.0,1.0
2025-12-30 00:00:00+00:00,171.74,171.74,171.74,171.74,0.0,0.0
2025-12-30 12:00:00+00:00,171.8,172.2,171.43,172.19,48797.0,1.0
2025-12-30 16:00:00+00:00,172.2,172.37,171.89,172.08,100293.0,1.0
2025-12-30 20:00:00+00:00,172.12,172.24,171.56,171.59,216418.0,1.0
2025-12-31 00:00:00+00:00,171.59,171.59,171.59,171.59,0.0,0.0
2025-12-31 12:00:00+00:00,171.58,171.58,170.83,171.12,62086.0,1.0
2025-12-31 16:00:00+00:00,171.12,171.24,170.71,170.74,115461.0,1.0
2025-12-31 20:00:00+00:00,170.79,171.28,170.49,170.6,260959.0,1.0
2026-01-01 00:00:00+00:00,170.6,170.6,170.6,170.6,0.0,0.0
2026-01-02 12:00:00+00:00,171.03,171.24,170.26,170.75,108330.0,1.0
2026-01-02 16:00:00+00:00,170.75,170.98,169.97,170.94,136442.0,1.0
2026-01-02 20:00:00+00:00,170.91,170.95,170.0,170.0,145903.0,1.0
2026-01-03 00:00:00+00:00,170.0,170.0,170.0,170.0,0.0,0.0
2026-01-05 12:00:00+00:00,170.58,172.18,170.56,172.12,148295.0,1.0
2026-01-05 16:00:00+00:00,172.17,173.2,172.11,173.0,255461.0,1.0
2026-01-05 20:00:00+00:00,172.98,173.14,172.76,173.11,269886.0,1.0
2026-01-06 00:00:00+00:00,173.11,173.11,173.11,173.11,0.0,0.0
2026-01-06 12:00:00+00:00,173.06,174.61,172.41,172.83,132650.0,1.0
2026-01-06 16:00:00+00:00,172.8,172.83,170.57,171.18,241379.0,1.0
2026-01-06 20:00:00+00:00,171.19,171.27,170.34,170.34,265902.0,1.0
2026-01-07 00:00:00+00:00,170.34,170.34,170.34,170.34,0.0,0.0
2026-01-07 12:00:00+00:00,170.27,170.68,169.84,170.06,76657.0,1.0
2026-01-07 16:00:00+00:00,170.09,170.1,168.92,169.33,138231.0,1.0
2026-01-07 20:00:00+00:00,169.33,169.46,169.07,169.16,131394.0,1.0
2026-01-08 00:00:00+00:00,169.5,169.5,169.5,169.5,950.0,0.0
2026-01-08 12:00:00+00:00,169.25,170.37,167.91,170.37,65552.0,1.0
2026-01-08 16:00:00+00:00,170.29,170.78,169.05,169.26,117911.0,1.0
2026-01-08 20:00:00+00:00,169.24,170.0,169.18,169.55,156108.0,1.0
2026-01-09 00:00:00+00:00,169.55,169.55,169.55,169.55,0.0,0.0
2026-01-09 12:00:00+00:00,169.49,169.96,168.8,169.43,57726.0,1.0
2026-01-09 16:00:00+00:00,169.46,170.12,169.28,169.67,126243.0,1.0
2026-01-09 20:00:00+00:00,169.67,169.75,169.17,169.75,165039.0,1.0
2026-01-10 00:00:00+00:00,169.75,169.75,169.75,169.75,0.0,0.0
2026-01-12 12:00:00+00:00,168.81,169.69,168.65,169.58,73364.0,1.0
2026-01-12 16:00:00+00:00,169.51,169.64,168.3,169.42,138440.0,1.0
2026-01-12 20:00:00+00:00,169.46,169.68,169.11,169.57,1540624.0,1.0
2026-01-13 00:00:00+00:00,169.57,169.57,169.57,169.57,0.0,0.0
2026-01-13 12:00:00+00:00,169.96,170.14,168.46,169.24,86033.0,1.0
2026-01-13 16:00:00+00:00,169.2,169.21,167.82,168.46,187180.0,1.0
2026-01-13 20:00:00+00:00,168.37,169.0,168.28,168.75,1436787.0,1.0
2026-01-14 00:00:00+00:00,168.75,168.75,168.75,168.75,0.0,0.0
2026-01-14 12:00:00+00:00,168.96,169.05,167.5,167.95,99261.0,1.0
2026-01-14 16:00:00+00:00,167.96,168.92,167.74,168.67,116918.0,1.0
2026-01-14 20:00:00+00:00,168.65,168.76,168.44,168.6,130174.0,1.0
2026-01-15 00:00:00+00:00,168.6,168.6,168.6,168.6,0.0,0.0
2026-01-15 12:00:00+00:00,168.6,169.42,168.59,169.33,75684.0,1.0
2026-01-15 16:00:00+00:00,169.41,169.44,168.89,168.89,80460.0,1.0
2026-01-15 20:00:00+00:00,168.86,169.36,168.65,169.33,135120.0,1.0
2026-01-16 00:00:00+00:00,169.33,169.33,169.33,169.33,0.0,0.0
2026-01-16 12:00:00+00:00,168.87,169.39,168.55,168.86,81722.0,1.0
2026-01-16 16:00:00+00:00,168.93,169.43,168.82,169.33,75947.0,1.0
2026-01-16 20:00:00+00:00,169.33,169.36,168.96,169.18,584268.0,1.0
2026-01-17 00:00:00+00:00,169.18,169.18,169.18,169.18,150.0,0.0
2026-01-20 12:00:00+00:00,167.81,169.66,167.81,169.04,98504.0,1.0
2026-01-20 16:00:00+00:00,169.09,169.31,167.65,167.7,304658.0,1.0
2026-01-20 20:00:00+00:00,167.69,167.8,167.34,167.44,320151.0,1.0
