date,open,high,low,close,volume,is_rth
2025-11-17 08:00:00+00:00,45.26,45.3,45.26,45.3,263.0,0.0
2025-11-17 12:00:00+00:00,45.65,47.05,44.61,46.05,577005.0,1.0
2025-11-17 16:00:00+00:00,46.07,46.48,44.33,44.47,681040.0,1.0
2025-11-17 20:00:00+00:00,44.47,45.78,44.41,45.73,897686.0,1.0
2025-11-18 00:00:00+00:00,45.73,45.73,45.73,45.73,0.0,0.0
2025-11-18 08:00:00+00:00,44.56,44.56,44.56,44.56,367.0,0.0
2025-11-18 12:00:00+00:00,44.56,45.1,41.93,42.7,905864.0,1.0
2025-11-18 16:00:00+00:00,42.74,43.72,41.94,43.23,1435948.0,1.0
2025-11-18 20:00:00+00:00,43.21,43.7,42.5,43.0,1007274.0,1.0
2025-11-19 00:00:00+00:00,43.0,43.0,43.0,43.0,0.0,0.0
2025-11-19 12:00:00+00:00,43.98,45.87,42.7,45.04,657811.0,1.0
2025-11-19 16:00:00+00:00,44.99,45.8,43.4,44.71,1073657.0,1.0
2025-11-19 20:00:00+00:00,44.66,46.0,44.26,45.84,577192.0,1.0
2025-11-20 00:00:00+00:00,45.84,45.84,45.84,45.84,0.0,0.0
2025-11-20 08:00:00+00:00,45.41,45.41,45.4,45.4,263.0,0.0
2025-11-20 12:00:00+00:00,45.79,48.83,45.0,46.19,1221851.0,1.0
2025-11-20 16:00:00+00:00,46.07,46.36,41.61,43.33,1600506.0,1.0
2025-11-20 20:00:00+00:00,43.32,43.35,40.0,40.12,816030.0,1.0
2025-11-21 00:00:00+00:00,40.21,40.28,40.21,40.28,300.0,0.0
2025-11-21 08:00:00+00:00,40.98,40.98,40.0,40.0,963.0,0.0
2025-11-21 12:00:00+00:00,40.38,41.32,38.49,39.34,649705.0,1.0
2025-11-21 16:00:00+00:00,39.35,42.88,39.33,42.35,1328755.0,1.0
2025-11-21 20:00:00+00:00,42.34,43.68,42.03,42.81,889330.0,1.0
2025-11-22 00:00:00+00:00,42.81,42.81,42.81,42.81,0.0,0.0
2025-11-24 08:00:00+00:00,42.66,42.69,42.6,42.69,2072.0,0.0
2025-11-24 12:00:00+00:00,42.74,44.96,42.44,44.91,357928.0,1.0
2025-11-24 16:00:00+00:00,44.97,46.55,44.95,45.75,933001.0,1.0
2025-11-24 20:00:00+00:00,45.79,46.2,45.42,45.5,759445.0,1.0
2025-11-25 00:00:00+00:00,45.5,45.5,45.5,45.5,0.0,0.0
2025-11-25 12:00:00+00:00,45.8,46.2,43.73,44.71,327002.0,1.0
2025-11-25 16:00:00+00:00,44.81,46.44,44.52,46.43,422498.0,1.0
2025-11-25 20:00:00+00:00,46.46,46.94,46.2,46.2,758876.0,1.0
2025-11-26 00:00:00+00:00,46.2,46.21,46.2,46.2,0.0,0.0
2025-11-26 12:00:00+00:00,46.32,47.83,46.32,46.86,354252.0,1.0
2025-11-26 16:00:00+00:00,46.91,47.74,46.11,47.22,614887.0,1.0
2025-11-26 20:00:00+00:00,47.25,47.73,46.62,46.85,312663.0,1.0
2025-11-27 00:00:00+00:00,46.85,46.85,46.85,46.85,0.0,0.0
2025-11-28 08:00:00+00:00,46.85,46.85,46.4,46.63,5097.0,0.0
2025-11-28 12:00:00+00:00,46.63,48.31,45.95,47.9,378042.0,1.0
2025-11-28 16:00:00+00:00,48.0,48.6,47.59,47.89,472571.0,1.0
2025-11-28 20:00:00+00:00,47.89,47.89,47.89,47.89,0.0,1.0
