date,open,high,low,close,volume,average,barCount,is_rth
2017-05-31 00:00:00+00:00,12.21,12.47,11.0,11.5,7569002.0,11.783,28171,
2017-06-30 00:00:00+00:00,11.47,12.0,9.89,11.53,5894067.0,10.94,28988,
2017-07-31 00:00:00+00:00,11.46,14.07,11.04,13.05,3365351.0,12.446,15180,
2017-08-31 00:00:00+00:00,13.12,14.47,11.71,14.16,3539240.0,12.967,19733,
2017-09-29 00:00:00+00:00,14.16,17.72,13.87,17.43,3264374.0,16.106,16869,
2017-10-31 00:00:00+00:00,17.27,17.71,14.03,15.96,3280575.0,15.928,18922,
2017-11-30 00:00:00+00:00,16.14,18.42,14.3,16.2,9039796.0,16.208,52810,
2017-12-29 00:00:00+00:00,16.27,22.01,15.79,21.41,7524498.0,18.732,43770,
2018-01-31 00:00:00+00:00,21.47,23.98,18.27,18.87,9305084.0,21.558,52206,
2018-02-28 00:00:00+00:00,18.87,19.77,15.7,16.83,6669250.0,18.119,38334,
2018-03-29 00:00:00+00:00,16.77,18.97,15.7,16.56,7498448.0,17.015,49908,
2018-04-30 00:00:00+00:00,16.46,19.44,15.96,18.8,9526120.0,17.855,44948,
2018-05-31 00:00:00+00:00,18.8,20.18,15.42,15.44,13999043.0,17.069,82029,
2018-06-29 00:00:00+00:00,15.5,16.65,13.47,14.29,13130011.0,14.911,71877,
2018-07-31 00:00:00+00:00,14.18,15.82,12.97,15.69,9403271.0,14.173,48464,
2018-08-31 00:00:00+00:00,15.62,17.6,14.75,17.22,8227448.0,16.561,48367,
2018-09-28 00:00:00+00:00,17.23,19.23,15.04,18.89,6693020.0,17.41,38232,
2018-10-31 00:00:00+00:00,18.91,19.2,12.88,13.2,9124554.0,15.942,52125,
2018-11-30 00:00:00+00:00,13.85,15.47,12.45,13.13,6474211.0,13.863,38980,
2018-12-31 00:00:00+00:00,13.64,13.69,10.5,12.09,7768559.0,11.836,44962,
2019-01-31 00:00:00+00:00,11.89,15.69,11.71,15.04,6563057.0,14.335,40222,
2019-02-28 00:00:00+00:00,15.08,17.35,13.56,17.0,6776733.0,15.483,40284,
2019-03-29 00:00:00+00:00,16.93,17.6,14.86,16.44,8075076.0,16.342,48824,
2019-04-30 00:00:00+00:00,16.6,19.31,16.44,16.99,8295185.0,18.054,50839,
2019-05-31 00:00:00+00:00,18.11,18.85,13.86,14.23,10090878.0,16.72,59464,
2019-06-28 00:00:00+00:00,14.21,16.23,14.17,14.98,7822608.0,15.183,43028,
2019-07-31 00:00:00+00:00,15.25,15.45,12.59,14.31,8845460.0,13.802,49721,
2019-08-30 00:00:00+00:00,14.01,14.55,12.79,13.75,6705235.0,13.596,40879,
2019-09-30 00:00:00+00:00,13.46,15.18,12.8,13.42,6096534.0,13.736,36322,
2019-10-31 00:00:00+00:00,13.6,13.63,10.31,10.64,8477314.0,11.682,46452,
2019-11-29 00:00:00+00:00,10.64,12.08,10.24,10.73,7402975.0,11.127,36745,
2019-12-31 00:00:00+00:00,10.8,14.75,10.47,14.0,7367931.0,13.098,39395,
2020-01-31 00:00:00+00:00,14.28,14.61,11.5,11.53,6120707.0,13.106,34125,
2020-02-28 00:00:00+00:00,11.57,14.23,10.2,10.6,8069722.0,12.126,48306,
2020-03-31 00:00:00+00:00,10.73,10.96,4.5,5.25,12097134.0,6.562,64629,
2020-04-30 00:00:00+00:00,5.06,7.34,4.81,6.84,10189026.0,5.675,51560,
2020-05-29 00:00:00+00:00,7.2,7.61,5.06,6.93,8113472.0,6.346,41867,
2020-06-30 00:00:00+00:00,6.75,9.1,6.57,7.42,6229060.0,7.479,35506,
2020-07-31 00:00:00+00:00,7.45,8.14,6.5,7.26,7296801.0,7.372,33991,
2020-08-31 00:00:00+00:00,7.26,8.43,7.2,7.78,3220499.0,7.784,16771,
2020-09-30 00:00:00+00:00,7.84,7.85,6.09,6.34,5241457.0,6.792,23079,
2020-10-30 00:00:00+00:00,6.26,6.77,5.55,5.93,2995181.0,6.318,16273,
2020-11-30 00:00:00+00:00,5.95,7.55,5.76,6.72,3381764.0,6.704,15812,
2020-12-31 00:00:00+00:00,6.89,9.89,6.67,8.14,5328052.0,8.621,25308,
2021-01-29 00:00:00+00:00,8.3,10.8,8.05,9.1,3167367.0,9.635,15622,
2021-02-26 00:00:00+00:00,9.22,12.71,8.93,11.81,5508595.0,11.282,25469,
2021-03-31 00:00:00+00:00,12.36,15.08,11.18,12.27,10790956.0,13.462,41903,
2021-04-30 00:00:00+00:00,12.29,12.88,9.81,10.94,4562521.0,11.05,22692,
2021-05-28 00:00:00+00:00,11.04,11.74,9.45,9.99,4322590.0,10.293,21949,
2021-06-30 00:00:00+00:00,10.1,11.2,9.21,9.74,3083620.0,10.182,16977,
2021-07-30 00:00:00+00:00,9.98,10.18,8.36,8.7,2584833.0,9.089,14177,
2021-08-31 00:00:00+00:00,8.63,8.95,6.87,7.43,3821558.0,7.752,19073,
2021-09-30 00:00:00+00:00,7.39,8.45,6.91,8.34,2879064.0,7.535,14567,
2021-10-29 00:00:00+00:00,8.37,8.69,7.53,7.59,2085606.0,8.147,11088,
2021-11-30 00:00:00+00:00,7.61,8.86,6.45,6.84,2767318.0,7.551,12975,
2021-12-31 00:00:00+00:00,7.07,7.07,6.11,6.55,3538810.0,6.553,15527,
2022-01-31 00:00:00+00:00,6.6,8.15,6.6,7.71,1960671.0,7.592,9767,
2022-02-28 00:00:00+00:00,7.73,10.46,7.5,10.4,5848392.0,8.386,21818,
2022-03-31 00:00:00+00:00,10.54,12.1,9.55,11.29,5870158.0,10.85,28898,
2022-04-29 00:00:00+00:00,11.22,11.8,9.7,11.25,2734832.0,11.074,13790,
2022-05-31 00:00:00+00:00,11.28,14.61,10.78,13.48,4261585.0,12.454,20507,
2022-06-30 00:00:00+00:00,13.65,14.5,10.29,10.88,5207547.0,12.592,26051,
2022-07-29 00:00:00+00:00,10.97,11.2,9.12,11.09,3085453.0,9.909,17305,
2022-08-31 00:00:00+00:00,10.72,11.86,10.14,10.7,2687680.0,10.853,15813,
2022-09-30 00:00:00+00:00,10.51,10.81,8.71,9.36,1770195.0,9.92,11123,
2022-10-31 00:00:00+00:00,9.74,13.74,9.64,13.62,2172261.0,11.722,11624,
2022-11-30 00:00:00+00:00,13.74,13.75,10.51,10.97,3250408.0,11.589,18384,
2022-12-30 00:00:00+00:00,11.1,11.2,9.21,9.93,2579819.0,9.867,14085,
2023-01-31 00:00:00+00:00,9.93,11.0,9.11,10.59,2119796.0,10.215,10888,
