date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,38.9,40.2,38.5,40.2,25470799.4,39.51,301754,False
2016-06-30 00:00:00+00:00,40.0,40.4,37.4,39.5,90534292.1,39.28,875833,False
2016-07-29 00:00:00+00:00,39.5,44.4,39.2,43.9,111465100.8,41.62,948681,False
2016-08-31 00:00:00+00:00,43.9,44.0,41.1,41.4,116907087.4,42.13,882275,False
2016-09-30 00:00:00+00:00,41.6,42.2,40.7,41.7,101259351.8,41.53,725338,False
2016-10-31 00:00:00+00:00,41.7,42.7,40.5,41.7,94294205.0,41.43,769945,False
2016-11-30 00:00:00+00:00,41.8,46.5,41.1,45.7,82590072.3,43.8,902200,False
2016-12-30 00:00:00+00:00,45.7,46.1,42.2,44.5,55357800.1,44.71,868877,False
2017-01-31 00:00:00+00:00,44.9,48.0,44.0,47.2,42401392.7,46.07,670234,False
2017-02-28 00:00:00+00:00,47.4,52.2,46.7,50.9,41952677.5,49.12,663031,False
2017-03-31 00:00:00+00:00,51.3,55.3,50.4,51.5,51401047.1,52.15,789703,False
2017-04-28 00:00:00+00:00,51.6,52.1,48.9,49.5,56297783.7,50.63,750160,False
2017-05-31 00:00:00+00:00,49.5,53.7,47.3,52.5,51602239.6,49.56,740025,False
2017-06-30 00:00:00+00:00,52.5,55.0,50.9,54.7,51670102.9,53.08,728592,False
2017-07-31 00:00:00+00:00,55.0,58.9,53.2,58.6,37008186.0,55.27,558130,False
2017-08-31 00:00:00+00:00,58.9,58.9,54.4,57.5,34057098.7,56.06,576487,False
2017-09-29 00:00:00+00:00,57.4,57.5,53.7,55.2,30609426.0,55.09,469649,False
2017-10-31 00:00:00+00:00,55.2,57.9,54.3,54.4,32648977.9,56.37,577671,False
2017-11-30 00:00:00+00:00,54.7,55.5,52.6,55.0,31929678.3,54.05,556807,False
2017-12-29 00:00:00+00:00,54.6,57.4,52.0,53.6,40124788.0,54.78,599747,False
2018-01-31 00:00:00+00:00,52.7,62.8,51.7,61.1,48474272.6,55.85,686048,False
2018-02-28 00:00:00+00:00,60.2,63.8,56.8,62.8,37760106.2,60.78,631712,False
2018-03-29 00:00:00+00:00,62.0,66.2,61.6,62.4,31260432.7,63.51,627523,False
2018-04-30 00:00:00+00:00,62.1,65.0,60.8,63.3,27945171.2,62.73,563413,False
2018-05-31 00:00:00+00:00,63.1,72.3,62.1,71.0,33412706.6,68.1,667959,False
2018-06-29 00:00:00+00:00,71.3,77.0,66.1,67.7,36593026.1,71.19,732533,False
2018-07-31 00:00:00+00:00,67.5,72.9,67.2,70.2,23406048.3,70.46,502648,False
2018-08-31 00:00:00+00:00,69.9,71.1,68.1,71.0,25840506.5,69.62,565291,False
2018-09-28 00:00:00+00:00,70.7,72.5,61.6,63.2,44003957.4,67.13,751633,False
2018-10-31 00:00:00+00:00,63.4,63.8,55.5,60.2,58520187.4,60.36,1159516,False
2018-11-30 00:00:00+00:00,59.9,63.8,58.3,62.3,51748155.9,61.7,966311,False
2018-12-31 00:00:00+00:00,63.0,64.3,54.8,57.1,42944015.9,60.77,780679,False
2019-01-31 00:00:00+00:00,56.9,63.7,56.7,58.3,49559527.3,59.55,857840,False
2019-02-28 00:00:00+00:00,58.7,61.9,58.0,59.3,45108857.8,59.72,734302,False
2019-03-29 00:00:00+00:00,59.5,61.8,56.3,56.7,58592749.3,59.29,713107,False
2019-04-30 00:00:00+00:00,57.0,61.7,56.3,58.1,60002240.8,59.08,818132,False
2019-05-31 00:00:00+00:00,58.1,59.1,52.4,53.1,52262351.7,56.15,803520,False
2019-06-28 00:00:00+00:00,53.2,57.8,52.3,55.8,42085708.8,55.2,707616,False
2019-07-31 00:00:00+00:00,56.3,63.2,56.1,62.6,43908343.2,60.39,686727,False
2019-08-30 00:00:00+00:00,62.9,63.8,59.4,61.7,35982351.0,61.25,630603,False
2019-09-30 00:00:00+00:00,61.3,65.2,61.0,62.5,31285864.1,63.15,590770,False
2019-10-31 00:00:00+00:00,62.9,67.5,61.6,67.2,34959207.4,63.96,641524,False
2019-11-29 00:00:00+00:00,67.4,70.0,67.2,69.8,34046275.7,68.85,601250,False
2019-12-31 00:00:00+00:00,69.7,72.0,66.9,71.5,28324348.3,69.61,523383,False
2020-01-31 00:00:00+00:00,71.3,72.3,69.6,70.7,33744186.1,71.08,605742,False
2020-02-28 00:00:00+00:00,71.0,74.0,62.0,63.4,39990973.8,69.65,639121,False
2020-03-31 00:00:00+00:00,62.8,67.0,41.1,49.4,77544810.7,54.52,1550437,False
2020-04-30 00:00:00+00:00,47.6,60.3,44.1,59.1,45181062.0,52.65,958227,False
2020-05-29 00:00:00+00:00,58.0,58.6,50.1,58.2,68420925.0,54.87,1211148,False
2020-06-30 00:00:00+00:00,58.2,67.3,55.2,58.7,61601581.1,60.55,1080859,False
2020-07-31 00:00:00+00:00,58.8,62.0,55.1,58.8,48892737.5,58.61,794174,False
2020-08-31 00:00:00+00:00,58.7,62.0,57.5,58.7,35100662.7,59.32,587762,False
2020-09-30 00:00:00+00:00,58.3,59.9,49.5,53.6,54031444.3,54.42,863084,False
2020-10-30 00:00:00+00:00,54.0,60.4,53.8,57.3,51989504.5,58.0,892698,False
2020-11-30 00:00:00+00:00,57.9,66.6,57.3,64.9,38996733.1,62.17,745655,False
2020-12-31 00:00:00+00:00,65.1,67.3,61.7,63.7,37570105.4,64.18,701391,False
2021-01-29 00:00:00+00:00,63.9,81.4,57.5,62.6,71429649.1,63.48,1299636,False
2021-02-26 00:00:00+00:00,63.5,64.0,58.1,58.5,44835043.0,60.58,818940,False
2021-03-31 00:00:00+00:00,58.9,64.2,57.6,60.9,45224935.4,61.05,846500,False
2021-04-30 00:00:00+00:00,61.2,64.3,59.6,61.0,35368330.9,62.51,704822,False
2021-05-28 00:00:00+00:00,61.4,63.3,57.5,62.5,35281183.5,59.9,703888,False
2021-06-30 00:00:00+00:00,63.0,72.9,62.5,65.4,40809889.8,65.9,873119,False
2021-07-30 00:00:00+00:00,65.2,68.2,62.8,64.7,28585587.9,65.16,626895,False
2021-08-31 00:00:00+00:00,64.8,65.5,60.0,62.7,32068816.4,62.37,646941,False
2021-09-30 00:00:00+00:00,62.8,63.8,59.5,61.0,25813574.8,61.1,542392,False
2021-10-29 00:00:00+00:00,61.2,63.0,59.3,60.9,27856101.3,60.84,554092,False
2021-11-30 00:00:00+00:00,60.8,67.1,60.6,61.0,32053830.5,63.56,655603,False
2021-12-31 00:00:00+00:00,62.0,65.2,60.1,63.5,30802156.8,63.1,599947,False
2022-01-31 00:00:00+00:00,63.3,64.1,59.2,63.6,36028486.6,61.73,723287,False
2022-02-28 00:00:00+00:00,64.2,68.8,58.9,61.6,37515799.9,63.53,698882,False
2022-03-31 00:00:00+00:00,61.2,67.8,60.2,66.2,42398446.6,63.34,777262,False
2022-04-29 00:00:00+00:00,66.5,67.7,59.5,60.0,28037681.1,63.26,555968,False
2022-05-31 00:00:00+00:00,60.6,64.1,59.4,64.0,36370545.9,61.3,748121,False
2022-06-30 00:00:00+00:00,64.1,64.1,56.9,61.3,30512044.9,60.73,619704,False
2022-07-29 00:00:00+00:00,61.3,67.0,60.7,66.8,24472067.1,63.64,478789,False
2022-08-31 00:00:00+00:00,66.1,68.5,60.6,60.9,25623725.4,64.98,519615,False
2022-09-30 00:00:00+00:00,60.9,63.3,57.1,57.1,24733533.5,59.88,503192,False
2022-10-31 00:00:00+00:00,57.5,64.0,57.1,60.4,25706069.5,60.81,532556,False
2022-11-30 00:00:00+00:00,61.2,68.0,60.0,64.9,25762289.1,63.31,507739,False
2022-12-30 00:00:00+00:00,63.7,65.4,57.4,58.4,21698900.2,60.36,426238,False
2023-01-31 00:00:00+00:00,58.4,60.0,57.2,57.9,21046133.8,58.64,412535,False
2023-02-28 00:00:00+00:00,57.7,58.9,43.2,43.9,30733581.4,48.99,585353,False
2023-03-31 00:00:00+00:00,43.9,43.9,34.3,39.7,36327163.2,38.35,603169,False
