date,open,high,low,close,volume,average,barCount,is_rth
2023-01-13 00:00:00+00:00,18.9,19.85,18.21,19.1,3532320.0,19.012,13519,
2023-01-17 00:00:00+00:00,18.72,19.6,18.68,19.48,374436.0,19.267,2365,
2023-01-18 00:00:00+00:00,19.45,19.72,18.68,19.03,289304.0,19.053,1740,
2023-01-19 00:00:00+00:00,19.0,19.15,18.56,18.69,241895.0,18.813,1113,
2023-01-20 00:00:00+00:00,18.8,18.8,17.5,18.53,235074.0,18.231,1094,
2023-01-23 00:00:00+00:00,18.75,18.75,18.36,18.53,42850.0,18.538,286,
2023-01-24 00:00:00+00:00,18.38,18.55,18.2,18.49,54845.0,18.407,354,
2023-01-25 00:00:00+00:00,18.53,18.54,18.21,18.38,54060.0,18.406,253,
2023-01-26 00:00:00+00:00,18.61,19.11,18.33,18.93,81562.0,18.813,478,
2023-01-27 00:00:00+00:00,19.0,19.17,18.66,18.69,96514.0,18.913,367,
2023-01-30 00:00:00+00:00,18.5,18.65,18.37,18.54,45089.0,18.525,280,
2023-01-31 00:00:00+00:00,18.4,18.72,18.3,18.51,103421.0,18.527,736,
2023-02-01 00:00:00+00:00,18.31,18.9,18.02,18.7,122360.0,18.611,948,
2023-02-02 00:00:00+00:00,18.66,19.0,18.28,18.93,208216.0,18.686,1495,
2023-02-03 00:00:00+00:00,18.74,19.27,18.56,19.1,113053.0,18.875,574,
2023-02-06 00:00:00+00:00,19.13,19.43,18.72,19.25,128276.0,18.936,775,
2023-02-07 00:00:00+00:00,19.5,20.37,19.13,19.7,235459.0,19.458,1128,
2023-02-08 00:00:00+00:00,19.51,20.17,19.08,19.3,128441.0,19.539,887,
2023-02-09 00:00:00+00:00,19.12,19.88,18.78,19.75,139408.0,19.533,858,
2023-02-10 00:00:00+00:00,19.48,20.34,19.42,20.06,160259.0,20.059,933,
2023-02-13 00:00:00+00:00,19.84,21.39,19.75,20.79,148925.0,20.926,1110,
2023-02-14 00:00:00+00:00,20.81,20.89,20.11,20.65,77253.0,20.574,567,
2023-02-15 00:00:00+00:00,20.58,20.8,20.35,20.64,29059.0,20.678,239,
2023-02-16 00:00:00+00:00,20.5,20.69,20.08,20.08,33733.0,20.422,287,
2023-02-17 00:00:00+00:00,20.09,20.57,19.37,19.67,54158.0,19.795,396,
2023-02-21 00:00:00+00:00,19.41,19.44,18.64,19.03,113336.0,19.024,864,
2023-02-22 00:00:00+00:00,19.0,19.11,18.8,19.06,77714.0,18.967,540,
2023-02-23 00:00:00+00:00,19.01,19.28,18.65,18.88,32817.0,18.972,256,
2023-02-24 00:00:00+00:00,18.87,19.11,18.26,19.11,75630.0,18.785,599,
2023-02-27 00:00:00+00:00,19.24,19.35,18.84,19.3,296894.0,18.965,604,
2023-02-28 00:00:00+00:00,19.39,19.84,19.2,19.52,96910.0,19.622,825,
2023-03-01 00:00:00+00:00,19.4,19.85,18.55,19.54,87156.0,19.462,439,
2023-03-02 00:00:00+00:00,19.34,20.03,19.16,19.8,119579.0,19.78,686,
2023-03-03 00:00:00+00:00,19.93,20.46,19.59,20.25,76983.0,20.138,547,
2023-03-06 00:00:00+00:00,20.48,20.66,20.03,20.11,100862.0,20.283,836,
2023-03-07 00:00:00+00:00,20.13,20.32,19.65,19.72,88970.0,19.97,698,
2023-03-08 00:00:00+00:00,19.52,19.69,18.92,19.52,76928.0,19.49,440,
2023-03-09 00:00:00+00:00,19.63,20.92,19.41,19.5,105063.0,19.513,661,
2023-03-10 00:00:00+00:00,19.27,19.72,18.68,18.85,118844.0,19.156,817,
2023-03-13 00:00:00+00:00,18.51,18.82,17.56,17.92,128087.0,18.039,987,
2023-03-14 00:00:00+00:00,18.31,19.49,17.88,19.09,144711.0,19.177,1052,
2023-03-15 00:00:00+00:00,18.71,18.71,17.96,18.14,80072.0,18.258,650,
2023-03-16 00:00:00+00:00,17.82,18.8,17.82,18.73,90212.0,18.514,600,
2023-03-17 00:00:00+00:00,18.82,19.13,18.25,18.42,257474.0,18.585,1695,
2023-03-20 00:00:00+00:00,18.47,19.44,18.38,19.09,183148.0,19.014,1397,
2023-03-21 00:00:00+00:00,19.37,20.01,19.36,19.7,108198.0,19.744,808,
2023-03-22 00:00:00+00:00,19.69,20.0,19.36,19.46,87835.0,19.714,532,
2023-03-23 00:00:00+00:00,19.49,19.98,19.49,19.75,100409.0,19.746,752,
2023-03-24 00:00:00+00:00,19.52,19.86,19.49,19.84,114975.0,19.7,474,
2023-03-27 00:00:00+00:00,19.98,20.37,19.84,20.24,250086.0,20.133,1132,
2023-03-28 00:00:00+00:00,20.21,20.84,20.13,20.81,257633.0,20.681,1498,
2023-03-29 00:00:00+00:00,21.11,22.04,20.55,21.06,438890.0,21.143,3241,
2023-03-30 00:00:00+00:00,21.26,21.8,20.91,21.52,325716.0,21.4,1531,
2023-03-31 00:00:00+00:00,21.7,22.02,20.02,21.87,158093.0,21.814,942,
2023-04-03 00:00:00+00:00,21.87,22.0,20.28,20.54,232856.0,21.114,1203,
2023-04-04 00:00:00+00:00,20.53,20.53,19.71,20.17,101694.0,20.001,709,
2023-04-05 00:00:00+00:00,20.07,20.8,19.99,20.5,67452.0,20.497,559,
2023-04-06 00:00:00+00:00,20.54,20.88,19.7,20.69,67022.0,20.712,504,
2023-04-10 00:00:00+00:00,20.61,23.25,19.74,20.76,128936.0,20.392,656,
2023-04-11 00:00:00+00:00,20.72,21.54,20.63,21.44,36682.0,21.112,283,
2023-04-12 00:00:00+00:00,21.6,22.33,21.41,21.5,169608.0,21.861,1140,
2023-04-13 00:00:00+00:00,21.53,21.95,20.79,21.08,75305.0,20.998,333,
2023-04-14 00:00:00+00:00,21.09,21.57,20.87,21.18,91542.0,21.2,812,
2023-04-17 00:00:00+00:00,21.1,21.39,20.95,21.16,25753.0,21.112,156,
2023-04-18 00:00:00+00:00,21.43,21.56,21.17,21.48,133071.0,21.338,549,
2023-04-19 00:00:00+00:00,21.47,21.98,21.46,21.73,34593.0,21.757,305,
2023-04-20 00:00:00+00:00,21.55,23.02,21.45,21.86,54249.0,21.868,454,
2023-04-21 00:00:00+00:00,21.72,21.88,21.16,21.75,93384.0,21.532,337,
2023-04-24 00:00:00+00:00,21.75,22.11,21.09,21.3,40229.0,21.549,252,
2023-04-25 00:00:00+00:00,21.14,21.57,20.81,21.3,128746.0,21.225,284,
2023-04-26 00:00:00+00:00,21.19,21.63,20.85,21.04,42388.0,21.132,321,
2023-04-27 00:00:00+00:00,21.11,21.64,20.98,21.57,23801.0,21.414,189,
2023-04-28 00:00:00+00:00,21.49,21.91,21.36,21.38,20209.0,21.561,167,
2023-05-01 00:00:00+00:00,21.42,21.89,21.34,21.57,203917.0,21.554,975,
2023-05-02 00:00:00+00:00,21.44,21.93,20.89,21.53,59361.0,21.341,409,
2023-05-03 00:00:00+00:00,21.53,22.93,21.45,21.49,41819.0,21.664,357,
2023-05-04 00:00:00+00:00,21.32,21.96,21.21,21.51,140232.0,21.55,763,
2023-05-05 00:00:00+00:00,21.75,21.83,21.34,21.55,100649.0,21.573,668,
2023-05-08 00:00:00+00:00,21.67,22.28,21.67,22.09,98394.0,22.033,585,
2023-05-09 00:00:00+00:00,21.98,22.38,21.76,21.77,51393.0,22.117,296,
2023-05-10 00:00:00+00:00,22.17,24.52,22.17,24.18,321290.0,24.002,1543,
2023-05-11 00:00:00+00:00,24.14,24.36,23.51,24.35,89525.0,24.132,647,
2023-05-12 00:00:00+00:00,24.5,25.32,24.37,24.79,92277.0,24.924,756,
2023-05-15 00:00:00+00:00,24.89,25.1,24.63,24.66,110662.0,24.811,809,
2023-05-16 00:00:00+00:00,24.52,24.61,23.91,24.47,39727.0,24.342,340,
2023-05-17 00:00:00+00:00,24.6,24.66,24.04,24.17,36008.0,24.355,288,
2023-05-18 00:00:00+00:00,24.17,24.27,23.86,24.06,34618.0,24.082,239,
2023-05-19 00:00:00+00:00,24.47,24.63,23.92,23.92,18294.0,24.189,124,
2023-05-22 00:00:00+00:00,24.12,24.24,23.85,24.03,32715.0,24.097,279,
2023-05-23 00:00:00+00:00,23.95,24.36,23.76,23.79,16622.0,24.068,151,
2023-05-24 00:00:00+00:00,23.83,23.83,23.29,23.63,57699.0,23.617,326,
2023-05-25 00:00:00+00:00,23.81,24.4,23.64,24.11,25870.0,24.053,188,
2023-05-26 00:00:00+00:00,24.11,24.25,23.74,23.84,73404.0,23.95,379,
2023-05-30 00:00:00+00:00,23.99,24.38,23.81,23.93,87418.0,23.979,438,
2023-05-31 00:00:00+00:00,23.81,23.97,23.4,23.61,120550.0,23.646,482,
2023-06-01 00:00:00+00:00,23.66,23.95,23.16,23.58,125489.0,23.544,525,
2023-06-02 00:00:00+00:00,23.75,24.02,23.58,23.88,120434.0,23.895,717,
2023-06-05 00:00:00+00:00,23.78,24.09,23.02,23.15,39121.0,23.304,288,
2023-06-06 00:00:00+00:00,22.5,25.5,21.93,23.07,256786.0,23.018,1555,
2023-06-07 00:00:00+00:00,22.9,24.03,22.18,23.55,89302.0,23.315,660,
2023-06-08 00:00:00+00:00,23.9,24.51,23.65,24.49,1174710.0,24.127,5800,
2023-06-09 00:00:00+00:00,24.37,24.66,23.67,24.19,130143.0,24.144,959,
2023-06-12 00:00:00+00:00,24.3,24.77,24.12,24.5,92426.0,24.52,663,
2023-06-13 00:00:00+00:00,24.5,25.23,23.73,25.08,232050.0,24.858,1168,
2023-06-14 00:00:00+00:00,25.09,25.14,24.1,24.51,57738.0,24.523,396,
2023-06-15 00:00:00+00:00,24.47,24.85,24.14,24.8,80188.0,24.683,593,
2023-06-16 00:00:00+00:00,24.98,25.07,24.5,24.66,125019.0,24.848,674,
2023-06-20 00:00:00+00:00,24.91,25.48,24.5,25.27,219652.0,25.119,1376,
2023-06-21 00:00:00+00:00,25.24,25.92,25.12,25.71,169141.0,25.603,1136,
2023-06-22 00:00:00+00:00,25.8,25.91,25.37,25.87,107446.0,25.715,790,
2023-06-23 00:00:00+00:00,25.84,26.05,25.04,25.26,229763.0,25.483,1412,
2023-06-26 00:00:00+00:00,25.27,25.57,24.57,25.27,98156.0,25.181,732,
2023-06-27 00:00:00+00:00,25.28,25.78,25.12,25.12,122059.0,25.342,838,
2023-06-28 00:00:00+00:00,25.12,25.12,24.25,24.28,127052.0,24.738,738,
2023-06-29 00:00:00+00:00,24.38,25.02,24.16,24.82,92976.0,24.78,731,
2023-06-30 00:00:00+00:00,24.92,25.58,24.6,25.4,112534.0,25.315,756,
2023-07-03 00:00:00+00:00,25.53,25.53,25.04,25.32,52044.0,25.259,436,
2023-07-05 00:00:00+00:00,25.32,25.67,25.07,25.54,68416.0,25.515,590,
2023-07-06 00:00:00+00:00,25.45,25.85,25.4,25.7,50135.0,25.69,393,
2023-07-07 00:00:00+00:00,25.7,25.89,24.96,25.0,83600.0,25.35,592,
2023-07-10 00:00:00+00:00,25.06,25.41,24.68,24.73,113611.0,24.976,749,
2023-07-11 00:00:00+00:00,24.74,25.34,23.62,23.65,231172.0,24.057,1262,
2023-07-12 00:00:00+00:00,24.39,24.98,24.04,24.89,297681.0,24.547,1906,
2023-07-13 00:00:00+00:00,24.99,25.95,24.78,24.95,101079.0,25.151,737,
2023-07-14 00:00:00+00:00,25.03,25.78,24.39,24.67,158324.0,24.893,959,
2023-07-17 00:00:00+00:00,24.6,25.06,24.53,25.0,227445.0,24.887,1347,
2023-07-18 00:00:00+00:00,24.97,25.87,24.6,24.76,90232.0,24.885,643,
2023-07-19 00:00:00+00:00,24.73,24.97,24.42,24.62,93675.0,24.634,688,
2023-07-20 00:00:00+00:00,24.6,25.27,24.47,24.63,52450.0,24.582,451,
2023-07-21 00:00:00+00:00,24.89,25.0,24.69,24.93,106156.0,24.857,689,
2023-07-24 00:00:00+00:00,25.0,25.13,24.84,24.91,92830.0,24.997,646,
2023-07-25 00:00:00+00:00,24.95,25.02,24.82,25.0,128936.0,24.973,878,
2023-07-26 00:00:00+00:00,24.96,25.4,24.76,24.9,278997.0,25.083,1745,
2023-07-27 00:00:00+00:00,24.9,24.95,24.42,24.65,71262.0,24.75,530,
2023-07-28 00:00:00+00:00,24.69,24.88,24.32,24.37,94347.0,24.544,627,
2023-07-31 00:00:00+00:00,24.0,24.24,23.56,23.69,138442.0,23.893,996,
2023-08-01 00:00:00+00:00,23.73,23.81,23.33,23.8,306795.0,23.635,1831,
2023-08-02 00:00:00+00:00,23.75,24.03,23.24,23.27,96573.0,23.623,837,
2023-08-03 00:00:00+00:00,23.22,23.77,23.22,23.56,97198.0,23.573,902,
2023-08-04 00:00:00+00:00,23.54,23.62,23.34,23.56,115461.0,23.51,934,
2023-08-07 00:00:00+00:00,23.58,24.08,23.51,23.9,142599.0,23.915,861,
2023-08-08 00:00:00+00:00,23.89,24.38,23.64,24.38,109662.0,24.158,906,
2023-08-09 00:00:00+00:00,24.5,25.16,24.2,24.39,277837.0,24.735,2006,
2023-08-10 00:00:00+00:00,24.53,25.1,24.53,24.83,171292.0,24.873,1214,
2023-08-11 00:00:00+00:00,24.75,24.97,24.49,24.81,81861.0,24.769,613,
2023-08-14 00:00:00+00:00,24.81,25.3,24.75,25.08,575267.0,25.008,3044,
2023-08-15 00:00:00+00:00,25.05,25.33,24.81,24.99,1093323.0,25.142,5430,
2023-08-16 00:00:00+00:00,25.06,25.17,24.67,24.8,314144.0,24.861,1766,
2023-08-17 00:00:00+00:00,24.9,25.02,24.39,24.48,146830.0,24.633,1198,
2023-08-18 00:00:00+00:00,24.27,24.68,24.27,24.32,109367.0,24.449,795,
2023-08-21 00:00:00+00:00,24.27,24.49,23.77,23.8,157502.0,23.957,1417,
2023-08-22 00:00:00+00:00,24.08,24.08,23.59,23.69,209089.0,23.727,1613,
2023-08-23 00:00:00+00:00,23.67,23.93,23.5,23.76,263075.0,23.75,2144,
2023-08-24 00:00:00+00:00,23.76,24.0,23.46,23.61,331061.0,23.743,1433,
2023-08-25 00:00:00+00:00,23.73,23.73,23.39,23.41,297004.0,23.608,1087,
2023-08-28 00:00:00+00:00,23.42,23.65,23.21,23.36,241473.0,23.432,1014,
2023-08-29 00:00:00+00:00,23.38,24.0,23.22,23.98,512956.0,23.609,1811,
2023-08-30 00:00:00+00:00,24.05,24.47,23.97,24.25,216241.0,24.24,1892,
2023-08-31 00:00:00+00:00,24.23,24.47,24.11,24.32,133332.0,24.295,894,
2023-09-01 00:00:00+00:00,24.38,24.43,24.17,24.28,128088.0,24.303,1147,
2023-09-05 00:00:00+00:00,24.21,24.91,24.16,24.29,275961.0,24.543,2385,
2023-09-06 00:00:00+00:00,24.27,24.36,23.83,23.95,87940.0,24.02,737,
2023-09-07 00:00:00+00:00,23.8,24.11,23.62,23.69,97181.0,23.792,733,
2023-09-08 00:00:00+00:00,23.69,24.17,23.68,23.86,181413.0,23.858,1477,
2023-09-11 00:00:00+00:00,23.9,24.07,22.97,23.22,191307.0,23.477,1230,
2023-09-12 00:00:00+00:00,23.09,23.99,23.09,23.95,238182.0,23.828,1689,
2023-09-13 00:00:00+00:00,23.9,24.19,23.87,24.14,266518.0,24.108,2180,
2023-09-14 00:00:00+00:00,24.37,25.0,24.34,24.95,586171.0,24.667,2830,
2023-09-15 00:00:00+00:00,24.97,25.88,24.6,25.78,793741.0,25.457,3889,
2023-09-18 00:00:00+00:00,25.77,26.78,25.37,26.64,615333.0,26.177,3664,
2023-09-19 00:00:00+00:00,26.45,27.29,26.2,27.06,395636.0,26.896,2858,
