date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 14:00:00+00:00,120.61,121.89,120.04,120.04,2748.0,120.827,7,False
2025-11-17 15:00:00+00:00,120.1,120.9,119.25,119.55,5291.0,120.025,38,True
2025-11-17 16:00:00+00:00,119.41,120.56,118.43,120.34,11904.0,119.634,95,True
2025-11-17 17:00:00+00:00,120.38,121.01,119.55,119.68,4507.0,120.456,34,True
2025-11-17 18:00:00+00:00,119.6,120.35,118.75,118.76,6687.0,119.945,50,True
2025-11-17 19:00:00+00:00,118.75,118.76,117.19,117.25,5303.0,117.84,40,True
2025-11-17 20:00:00+00:00,117.11,117.64,116.22,117.45,19825.0,117.153,152,True
2025-11-17 21:00:00+00:00,117.42,117.42,117.42,117.42,27222.0,117.42,4,False
2025-11-17 22:00:00+00:00,117.42,117.42,117.42,117.42,0.0,117.42,0,False
2025-11-17 23:00:00+00:00,117.42,117.42,117.42,117.42,0.0,117.42,0,False
2025-11-18 00:00:00+00:00,117.42,117.42,117.42,117.42,0.0,117.42,0,False
2025-11-18 14:00:00+00:00,117.46,117.83,115.97,116.77,4772.0,117.114,36,False
2025-11-18 15:00:00+00:00,116.34,117.26,115.72,116.67,12402.0,116.477,96,True
2025-11-18 16:00:00+00:00,116.67,117.79,116.46,116.94,6359.0,117.051,61,True
2025-11-18 17:00:00+00:00,117.06,118.4,116.6,118.01,9530.0,117.362,77,True
2025-11-18 18:00:00+00:00,117.98,118.98,117.98,118.35,7354.0,118.368,69,True
2025-11-18 19:00:00+00:00,118.46,118.61,118.0,118.6,6250.0,118.339,54,True
2025-11-18 20:00:00+00:00,118.63,118.64,116.31,116.66,33731.0,117.143,260,True
2025-11-18 21:00:00+00:00,116.69,116.69,116.69,116.69,36969.0,116.69,5,False
2025-11-18 22:00:00+00:00,116.69,116.69,116.69,116.69,0.0,116.69,0,False
2025-11-18 23:00:00+00:00,116.69,116.69,116.69,116.69,0.0,116.69,0,False
2025-11-19 00:00:00+00:00,116.69,116.69,116.69,116.69,0.0,116.69,0,False
2025-11-19 14:00:00+00:00,116.64,117.94,116.64,117.84,4838.0,117.384,27,False
2025-11-19 15:00:00+00:00,118.15,119.31,116.74,117.29,12683.0,118.246,105,True
2025-11-19 16:00:00+00:00,117.21,118.1,116.78,117.66,8724.0,117.461,82,True
2025-11-19 17:00:00+00:00,117.67,117.67,116.67,117.53,8746.0,117.261,78,True
2025-11-19 18:00:00+00:00,117.71,118.61,117.03,118.61,10146.0,117.793,89,True
2025-11-19 19:00:00+00:00,118.28,118.94,117.27,117.81,23459.0,118.358,185,True
2025-11-19 20:00:00+00:00,117.69,118.58,117.41,117.99,32938.0,118.002,256,True
2025-11-19 21:00:00+00:00,117.99,117.99,117.99,117.99,51047.0,117.99,8,False
2025-11-19 22:00:00+00:00,117.99,117.99,117.99,117.99,0.0,117.99,0,False
2025-11-19 23:00:00+00:00,117.99,117.99,117.99,117.99,0.0,117.99,0,False
2025-11-20 00:00:00+00:00,117.99,117.99,117.99,117.99,0.0,117.99,0,False
2025-11-20 13:00:00+00:00,121.1,121.1,120.17,120.17,200.0,120.635,2,False
2025-11-20 14:00:00+00:00,120.53,121.58,118.55,119.47,10638.0,120.416,77,False
2025-11-20 15:00:00+00:00,119.85,120.5,119.32,119.81,8265.0,119.981,71,True
2025-11-20 16:00:00+00:00,119.81,120.2,117.17,117.33,7365.0,118.905,70,True
2025-11-20 17:00:00+00:00,117.63,118.23,116.87,117.15,12371.0,117.457,116,True
2025-11-20 18:00:00+00:00,116.61,118.48,116.61,117.0,6026.0,117.482,53,True
2025-11-20 19:00:00+00:00,116.95,117.66,116.71,117.42,11839.0,117.104,99,True
2025-11-20 20:00:00+00:00,117.59,117.69,115.8,116.2,23819.0,116.693,199,True
2025-11-20 21:00:00+00:00,116.08,116.08,116.08,116.08,39582.0,116.08,3,False
2025-11-20 22:00:00+00:00,116.08,116.08,116.08,116.08,0.0,116.08,0,False
2025-11-20 23:00:00+00:00,116.08,116.08,116.08,116.08,0.0,116.08,0,False
2025-11-21 00:00:00+00:00,116.08,116.08,116.08,116.08,0.0,116.08,0,False
2025-11-21 14:00:00+00:00,116.45,118.33,115.82,118.33,17592.0,116.738,45,False
2025-11-21 15:00:00+00:00,117.68,118.58,115.5,117.17,22327.0,116.655,173,True
2025-11-21 16:00:00+00:00,117.06,120.93,116.53,120.93,6533.0,118.419,59,True
2025-11-21 17:00:00+00:00,120.73,121.52,120.63,120.86,3042.0,120.931,23,True
2025-11-21 18:00:00+00:00,120.81,121.21,119.58,120.6,10370.0,120.269,89,True
2025-11-21 19:00:00+00:00,120.26,121.16,119.91,120.06,19774.0,120.481,164,True
2025-11-21 20:00:00+00:00,120.4,121.36,119.82,120.92,46367.0,120.778,371,True
2025-11-21 21:00:00+00:00,120.92,120.92,120.92,120.92,52682.0,120.92,5,False
2025-11-21 22:00:00+00:00,120.92,120.92,120.92,120.92,0.0,120.92,0,False
2025-11-21 23:00:00+00:00,120.92,120.92,120.92,120.92,0.0,120.92,0,False
2025-11-22 00:00:00+00:00,120.92,120.92,120.92,120.92,0.0,120.92,0,False
2025-11-24 10:00:00+00:00,121.0,121.0,121.0,121.0,216.0,121.0,2,False
2025-11-24 11:00:00+00:00,121.0,121.0,121.0,121.0,0.0,121.0,0,False
2025-11-24 12:00:00+00:00,121.0,121.0,121.0,121.0,0.0,121.0,0,False
2025-11-24 13:00:00+00:00,121.0,121.0,121.0,121.0,0.0,121.0,0,False
2025-11-24 14:00:00+00:00,120.13,122.57,119.81,122.12,3774.0,121.725,23,False
2025-11-24 15:00:00+00:00,122.3,122.91,121.09,122.91,3182.0,121.782,20,True
2025-11-24 16:00:00+00:00,123.47,123.83,122.83,122.89,2840.0,123.18,17,True
2025-11-24 17:00:00+00:00,122.89,122.89,122.28,122.28,5072.0,122.648,37,True
2025-11-24 18:00:00+00:00,122.58,122.95,122.19,122.19,2066.0,122.544,18,True
2025-11-24 19:00:00+00:00,122.33,122.63,121.12,121.12,5500.0,121.85,40,True
2025-11-24 20:00:00+00:00,120.92,121.9,120.85,121.12,27008.0,121.177,212,True
2025-11-24 21:00:00+00:00,121.12,121.12,121.12,121.12,84752.0,121.12,5,False
2025-11-24 22:00:00+00:00,121.12,121.12,121.12,121.12,0.0,121.12,0,False
2025-11-24 23:00:00+00:00,121.12,121.12,121.12,121.12,0.0,121.12,0,False
2025-11-25 00:00:00+00:00,121.12,121.12,121.12,121.12,0.0,121.12,0,False
2025-11-25 14:00:00+00:00,121.36,122.07,120.35,121.29,7038.0,121.118,35,False
2025-11-25 15:00:00+00:00,121.42,121.93,120.45,121.11,4396.0,121.255,42,True
2025-11-25 16:00:00+00:00,121.08,122.74,121.06,122.73,12676.0,121.947,68,True
2025-11-25 17:00:00+00:00,122.94,123.55,122.56,122.98,4098.0,123.078,39,True
2025-11-25 18:00:00+00:00,123.07,123.32,121.9,122.49,9512.0,122.578,77,True
2025-11-25 19:00:00+00:00,122.49,122.98,122.36,122.87,7810.0,122.684,63,True
2025-11-25 20:00:00+00:00,122.73,123.62,122.71,123.54,14219.0,123.191,123,True
2025-11-25 21:00:00+00:00,123.5,123.5,123.5,123.5,33967.0,123.5,4,False
2025-11-25 22:00:00+00:00,123.5,123.5,123.5,123.5,0.0,123.5,0,False
2025-11-25 23:00:00+00:00,123.5,123.5,123.5,123.5,0.0,123.5,0,False
2025-11-26 00:00:00+00:00,123.5,123.5,123.5,123.5,0.0,123.5,0,False
2025-11-26 14:00:00+00:00,123.41,124.83,123.21,124.55,6600.0,123.892,51,False
2025-11-26 15:00:00+00:00,124.77,125.77,124.09,125.71,10509.0,124.982,92,True
2025-11-26 16:00:00+00:00,125.87,126.2,125.49,125.65,7360.0,125.82,71,True
2025-11-26 17:00:00+00:00,125.84,125.87,125.3,125.55,6553.0,125.539,56,True
2025-11-26 18:00:00+00:00,125.54,125.97,125.26,125.97,6913.0,125.682,59,True
2025-11-26 19:00:00+00:00,125.71,126.39,125.4,126.16,8127.0,125.943,69,True
2025-11-26 20:00:00+00:00,126.15,126.68,126.1,126.1,24109.0,126.323,218,True
2025-11-26 21:00:00+00:00,126.12,126.12,126.12,126.12,39749.0,126.12,5,False
2025-11-26 22:00:00+00:00,126.12,126.12,126.12,126.12,0.0,126.12,0,False
2025-11-26 23:00:00+00:00,126.12,126.12,126.12,126.12,0.0,126.12,0,False
2025-11-27 00:00:00+00:00,126.12,126.12,126.12,126.12,0.0,126.12,0,False
2025-11-28 14:00:00+00:00,126.23,127.31,125.83,126.96,9158.0,126.471,62,False
2025-11-28 15:00:00+00:00,126.9,128.07,126.35,127.14,8652.0,127.388,81,True
2025-11-28 16:00:00+00:00,127.15,127.89,126.46,126.85,6652.0,127.118,58,True
2025-11-28 17:00:00+00:00,126.79,127.71,126.6,127.54,15309.0,127.118,134,True
2025-11-28 18:00:00+00:00,127.58,127.58,126.64,126.64,30073.0,127.563,3,True
2025-11-28 19:00:00+00:00,126.64,126.64,126.64,126.64,0.0,126.64,0,True
2025-11-28 20:00:00+00:00,126.64,126.64,126.64,126.64,0.0,126.64,0,True
2025-11-28 21:00:00+00:00,126.64,126.64,126.64,126.64,0.0,126.64,0,False
2025-12-01 09:00:00+00:00,127.0,127.0,126.99,126.99,213.0,126.995,2,False
2025-12-01 10:00:00+00:00,126.99,126.99,126.99,126.99,0.0,126.99,0,False
2025-12-01 11:00:00+00:00,126.99,126.99,126.99,126.99,0.0,126.99,0,False
2025-12-01 12:00:00+00:00,126.99,126.99,126.99,126.99,0.0,126.99,0,False
2025-12-01 13:00:00+00:00,126.99,126.99,126.99,126.99,0.0,126.99,0,False
2025-12-01 14:00:00+00:00,125.64,127.01,125.58,126.81,6423.0,126.278,35,False
2025-12-01 15:00:00+00:00,126.81,126.81,125.06,126.11,7841.0,125.953,65,True
2025-12-01 16:00:00+00:00,126.11,126.26,125.85,126.13,5050.0,126.043,48,True
2025-12-01 17:00:00+00:00,126.19,127.33,126.19,127.32,5702.0,126.685,53,True
2025-12-01 18:00:00+00:00,127.27,127.39,126.86,127.23,3892.0,127.113,36,True
2025-12-01 19:00:00+00:00,127.16,127.31,126.22,126.22,8184.0,126.67,77,True
2025-12-01 20:00:00+00:00,126.17,127.27,125.94,126.65,18163.0,126.535,147,True
2025-12-01 21:00:00+00:00,126.64,126.64,126.64,126.64,52713.0,126.64,6,False
2025-12-01 22:00:00+00:00,126.64,126.64,126.64,126.64,0.0,126.64,0,False
2025-12-01 23:00:00+00:00,126.64,126.64,126.64,126.64,0.0,126.64,0,False
2025-12-02 00:00:00+00:00,126.64,126.64,126.64,126.64,0.0,126.64,0,False
2025-12-02 09:00:00+00:00,127.0,127.0,127.0,127.0,200.0,127.0,2,False
2025-12-02 10:00:00+00:00,127.0,127.0,127.0,127.0,0.0,127.0,0,False
2025-12-02 11:00:00+00:00,127.0,127.0,127.0,127.0,0.0,127.0,0,False
2025-12-02 12:00:00+00:00,127.0,127.0,127.0,127.0,0.0,127.0,0,False
2025-12-02 13:00:00+00:00,127.0,127.0,127.0,127.0,0.0,127.0,0,False
2025-12-02 14:00:00+00:00,127.71,128.5,127.0,127.71,7573.0,127.569,32,False
2025-12-02 15:00:00+00:00,127.75,129.57,127.08,128.75,8779.0,128.439,72,True
2025-12-02 16:00:00+00:00,128.8,129.68,128.09,129.25,2900.0,128.792,28,True
2025-12-02 17:00:00+00:00,129.56,129.65,128.96,128.96,6675.0,129.422,66,True
