date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,26.48,26.7,26.15,26.64,1496542.0,26.47056,8731,False
2018-05-21 00:00:00+00:00,27.0,27.23,26.62,27.18,1506940.0,27.00467,10448,False
2018-05-22 00:00:00+00:00,27.3,27.94,26.39,26.62,2340407.0,27.22211,13352,False
2018-05-23 00:00:00+00:00,26.28,26.69,25.55,26.55,2318803.0,26.22162,14815,False
2018-05-24 00:00:00+00:00,25.91,26.44,25.65,25.89,2483936.0,25.96768,14399,False
2018-05-25 00:00:00+00:00,25.06,25.06,23.92,24.65,3250408.0,24.44019,18619,False
2018-05-29 00:00:00+00:00,24.37,25.31,24.11,25.28,1716538.0,24.99218,12245,False
2018-05-30 00:00:00+00:00,25.39,26.63,25.39,26.6,2083293.0,26.32527,14382,False
2018-05-31 00:00:00+00:00,26.3,26.98,26.15,26.2,1661359.0,26.42096,11498,False
2018-06-01 00:00:00+00:00,26.31,26.41,23.15,23.19,5751972.0,24.32872,30239,False
2018-06-04 00:00:00+00:00,22.9,22.99,20.82,21.35,6045383.0,21.54528,27600,False
2018-06-05 00:00:00+00:00,21.24,22.34,20.95,21.97,3302431.0,21.78534,19022,False
2018-06-06 00:00:00+00:00,22.04,22.55,21.57,22.29,4393247.0,22.11433,23556,False
2018-06-07 00:00:00+00:00,22.52,23.9,22.49,23.79,3338783.0,23.48323,18569,False
2018-06-08 00:00:00+00:00,23.58,24.06,23.08,23.87,2913115.0,23.65951,18297,False
2018-06-11 00:00:00+00:00,23.75,24.39,23.34,24.12,1913176.0,23.96815,12113,False
2018-06-12 00:00:00+00:00,24.02,24.95,24.01,24.8,2996660.0,24.70328,16462,False
2018-06-13 00:00:00+00:00,24.65,25.14,24.47,24.83,1611334.0,24.84496,10769,False
2018-06-14 00:00:00+00:00,25.19,25.3,24.4,24.43,1541023.0,24.61151,9696,False
2018-06-15 00:00:00+00:00,24.22,24.26,22.94,23.24,2791448.0,23.39933,17481,False
2018-06-18 00:00:00+00:00,23.24,24.67,23.19,24.21,2023881.0,24.18006,14935,False
2018-06-19 00:00:00+00:00,23.74,24.83,23.42,24.57,1969994.0,24.45845,12741,False
2018-06-20 00:00:00+00:00,25.0,25.42,24.5,25.14,2063884.0,24.98677,13293,False
2018-06-21 00:00:00+00:00,24.85,25.0,23.81,23.92,1913835.0,24.24733,11256,False
2018-06-22 00:00:00+00:00,25.25,25.71,24.91,25.52,2934953.0,25.40486,16797,False
2018-06-25 00:00:00+00:00,25.47,25.84,24.77,24.89,2294225.0,25.21412,12130,False
2018-06-26 00:00:00+00:00,25.17,25.66,24.7,25.62,2053224.0,25.3285,14278,False
2018-06-27 00:00:00+00:00,26.05,27.09,25.88,26.64,2520422.0,26.7658,16787,False
2018-06-28 00:00:00+00:00,26.64,26.79,26.07,26.19,1756992.0,26.36829,13265,False
2018-06-29 00:00:00+00:00,26.19,26.81,25.64,25.69,1699077.0,26.1273,11597,False
2018-07-02 00:00:00+00:00,25.43,25.62,24.91,25.17,1702222.0,25.27943,10313,False
2018-07-03 00:00:00+00:00,25.75,26.76,25.58,25.69,1300176.0,26.02181,8333,False
2018-07-05 00:00:00+00:00,26.12,26.12,25.23,25.84,1110309.0,25.654,8084,False
2018-07-06 00:00:00+00:00,25.13,26.95,24.94,26.82,1634731.0,26.62218,11172,False
2018-07-09 00:00:00+00:00,27.09,27.84,26.62,27.68,2105819.0,27.3278,12737,False
2018-07-10 00:00:00+00:00,28.03,28.45,27.43,27.74,1920102.0,27.81406,11466,False
2018-07-11 00:00:00+00:00,27.41,27.94,26.6,26.97,2003261.0,27.20892,13338,False
2018-07-12 00:00:00+00:00,26.49,27.05,26.26,26.64,1750308.0,26.6116,12456,False
2018-07-13 00:00:00+00:00,26.65,27.16,26.33,26.42,2224785.0,26.75705,13465,False
2018-07-16 00:00:00+00:00,25.97,26.45,25.04,26.05,1837761.0,25.80212,12735,False
2018-07-17 00:00:00+00:00,25.4,26.3,25.4,26.11,1199614.0,25.93292,8036,False
2018-07-18 00:00:00+00:00,25.91,26.53,25.09,26.47,1847598.0,25.9103,11805,False
2018-07-19 00:00:00+00:00,26.88,26.98,25.69,26.53,2192155.0,26.29601,13973,False
2018-07-20 00:00:00+00:00,26.62,27.03,26.38,26.62,1609635.0,26.67522,10180,False
2018-07-23 00:00:00+00:00,27.09,27.15,26.52,26.55,1463294.0,26.74917,8645,False
2018-07-24 00:00:00+00:00,26.61,27.11,26.51,26.82,1569429.0,26.80083,10957,False
2018-07-25 00:00:00+00:00,26.77,27.6,26.62,27.5,1544409.0,27.25961,10664,False
2018-07-26 00:00:00+00:00,27.39,27.86,26.98,27.53,6375640.0,27.45707,31677,False
2018-07-27 00:00:00+00:00,27.18,27.62,26.44,26.55,1411420.0,26.88567,10090,False
2018-07-30 00:00:00+00:00,26.98,27.94,26.98,27.71,1813544.0,27.65537,12593,False
2018-07-31 00:00:00+00:00,27.59,27.72,26.85,27.51,1654806.0,27.44613,10817,False
2018-08-01 00:00:00+00:00,27.09,27.1,25.88,26.95,1700981.0,26.63931,11216,False
2018-08-02 00:00:00+00:00,26.86,28.63,26.17,28.49,3437600.0,27.94051,22442,False
2018-08-03 00:00:00+00:00,28.38,28.9,27.83,28.33,1807882.0,28.25749,12771,False
2018-08-06 00:00:00+00:00,28.37,29.08,28.22,28.81,1607384.0,28.76868,11536,False
2018-08-07 00:00:00+00:00,29.07,29.36,28.44,28.87,2210104.0,28.90223,13704,False
2018-08-08 00:00:00+00:00,28.43,28.48,27.17,27.57,2298834.0,27.66463,14105,False
2018-08-09 00:00:00+00:00,27.55,27.74,26.95,27.56,1725825.0,27.36898,10487,False
2018-08-10 00:00:00+00:00,27.53,28.54,27.46,28.36,1532081.0,28.24674,11269,False
2018-08-13 00:00:00+00:00,27.83,28.73,27.41,27.45,1539126.0,28.04368,9494,False
2018-08-14 00:00:00+00:00,27.81,28.28,27.63,28.2,1091929.0,28.00311,7925,False
