date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,80.94,91.37,80.94,91.1,1722294.0,87.053,12885,
2016-06-30 00:00:00+00:00,90.64,98.0,89.09,94.82,5922096.0,93.383,44635,
2016-07-29 00:00:00+00:00,94.53,103.11,91.66,100.53,3539525.0,97.552,28824,
2016-08-31 00:00:00+00:00,100.51,108.03,99.75,106.17,2978332.0,104.053,24255,
2016-09-30 00:00:00+00:00,105.91,118.8,100.73,114.11,4403187.0,108.134,35038,
2016-10-31 00:00:00+00:00,114.11,114.3,101.34,102.54,3358414.0,107.655,24468,
2016-11-30 00:00:00+00:00,102.68,118.72,100.06,116.91,2450356.0,108.764,19245,
2016-12-30 00:00:00+00:00,116.95,128.06,116.32,121.02,2266901.0,123.618,18109,
2017-01-31 00:00:00+00:00,122.12,129.24,117.84,120.18,3516404.0,122.799,26292,
2017-02-28 00:00:00+00:00,121.38,121.39,116.69,116.92,1830676.0,118.615,13109,
2017-03-31 00:00:00+00:00,118.25,121.76,109.0,111.94,2519845.0,115.742,18766,
2017-04-28 00:00:00+00:00,112.05,112.37,101.48,108.43,3268749.0,106.481,25951,
2017-05-31 00:00:00+00:00,108.55,113.56,104.95,111.26,2373127.0,109.226,17717,
2017-06-30 00:00:00+00:00,111.54,131.35,108.22,119.96,4385532.0,119.975,31149,
2017-07-31 00:00:00+00:00,120.12,121.92,117.39,118.92,2715065.0,119.999,20449,
2017-08-31 00:00:00+00:00,119.7,121.02,112.83,119.61,1912645.0,117.386,14326,
2017-09-29 00:00:00+00:00,115.59,128.88,110.02,126.51,3527079.0,118.76,24622,
2017-10-31 00:00:00+00:00,127.09,135.87,126.62,134.88,2670771.0,131.595,20740,
2017-11-30 00:00:00+00:00,135.52,137.8,127.55,136.2,1705629.0,131.767,13538,
2017-12-29 00:00:00+00:00,135.81,138.08,130.04,135.95,1550350.0,133.783,11950,
2018-01-31 00:00:00+00:00,136.63,141.94,121.21,122.73,4113393.0,131.965,30106,
2018-02-28 00:00:00+00:00,122.0,129.01,109.95,123.65,2537629.0,118.764,20852,
2018-03-29 00:00:00+00:00,123.82,128.32,112.68,118.4,3194733.0,120.267,23540,
2018-04-30 00:00:00+00:00,103.01,105.47,93.87,100.17,4754069.0,100.561,37019,
2018-05-31 00:00:00+00:00,100.0,112.61,99.47,106.82,2536383.0,108.041,19267,
2018-06-29 00:00:00+00:00,107.66,116.47,96.05,96.51,4065181.0,107.026,29321,
2018-07-31 00:00:00+00:00,95.79,104.74,94.05,96.47,4265983.0,99.343,34414,
2018-08-31 00:00:00+00:00,96.47,100.91,93.8,96.97,3230145.0,96.896,25409,
2018-09-28 00:00:00+00:00,96.44,96.56,84.44,84.7,3801636.0,92.512,28974,
2018-10-31 00:00:00+00:00,85.1,90.62,72.83,77.61,11892302.0,81.231,85338,
