date,open,high,low,close,volume,is_rth
2025-11-17 08:00:00+00:00,28.51,28.55,27.96,28.1,180857.0,0.0
2025-11-17 12:00:00+00:00,28.11,28.69,26.97,27.34,23665839.0,1.0
2025-11-17 16:00:00+00:00,27.33,27.55,26.55,26.66,32923439.0,1.0
2025-11-17 20:00:00+00:00,26.66,27.18,26.57,26.97,13258241.0,1.0
2025-11-18 00:00:00+00:00,26.99,26.99,26.74,26.82,200836.0,0.0
2025-11-18 08:00:00+00:00,26.7,26.81,26.45,26.6,136304.0,0.0
2025-11-18 12:00:00+00:00,26.62,26.75,25.71,26.28,25960131.0,1.0
2025-11-18 16:00:00+00:00,26.29,27.0,26.0,26.82,24992131.0,1.0
2025-11-18 20:00:00+00:00,26.82,26.87,26.05,26.17,9479086.0,1.0
2025-11-19 00:00:00+00:00,26.18,26.2,26.1,26.19,120346.0,0.0
2025-11-19 08:00:00+00:00,26.03,26.53,26.03,26.44,136151.0,0.0
2025-11-19 12:00:00+00:00,26.42,26.85,26.0,26.14,18031611.0,1.0
2025-11-19 16:00:00+00:00,26.13,26.38,25.56,26.23,25285710.0,1.0
2025-11-19 20:00:00+00:00,26.24,27.4,26.2,27.38,14195802.0,1.0
2025-11-20 00:00:00+00:00,27.38,27.5,27.38,27.47,322775.0,0.0
2025-11-20 08:00:00+00:00,27.84,27.9,27.17,27.44,233369.0,0.0
2025-11-20 12:00:00+00:00,27.48,28.58,27.16,28.01,23253476.0,1.0
2025-11-20 16:00:00+00:00,28.01,28.02,25.28,25.73,46913072.0,1.0
2025-11-20 20:00:00+00:00,25.72,25.72,24.03,24.45,18955551.0,1.0
2025-11-21 00:00:00+00:00,24.46,24.65,24.4,24.62,391364.0,0.0
2025-11-21 08:00:00+00:00,24.54,25.16,23.69,24.22,610311.0,0.0
2025-11-21 12:00:00+00:00,24.19,25.11,23.52,23.79,31280678.0,1.0
2025-11-21 16:00:00+00:00,23.78,25.45,23.66,25.21,37205628.0,1.0
2025-11-21 20:00:00+00:00,25.2,25.46,25.09,25.44,12125862.0,1.0
2025-11-22 00:00:00+00:00,25.45,25.48,25.42,25.48,133715.0,0.0
2025-11-24 08:00:00+00:00,25.72,25.72,25.24,25.45,184804.0,0.0
2025-11-24 12:00:00+00:00,25.48,26.74,25.26,26.74,19021259.0,1.0
2025-11-24 16:00:00+00:00,26.74,27.14,26.67,27.05,17839051.0,1.0
2025-11-24 20:00:00+00:00,27.05,27.66,26.94,27.55,18403623.0,1.0
2025-11-25 00:00:00+00:00,27.53,27.53,27.4,27.48,99458.0,0.0
2025-11-25 08:00:00+00:00,27.2,27.23,26.8,27.15,155874.0,0.0
2025-11-25 12:00:00+00:00,27.14,27.64,26.63,27.47,20490754.0,1.0
2025-11-25 16:00:00+00:00,27.46,28.14,27.23,28.14,18274503.0,1.0
2025-11-25 20:00:00+00:00,28.14,28.45,28.02,28.27,13082461.0,1.0
2025-11-26 00:00:00+00:00,28.32,28.35,28.27,28.34,79294.0,0.0
2025-11-26 08:00:00+00:00,28.53,28.57,28.38,28.5,64842.0,0.0
2025-11-26 12:00:00+00:00,28.49,29.15,28.31,29.01,20678189.0,1.0
2025-11-26 16:00:00+00:00,29.02,29.25,28.62,28.79,22834139.0,1.0
2025-11-26 20:00:00+00:00,28.78,28.85,28.4,28.55,8608185.0,1.0
2025-11-27 00:00:00+00:00,28.54,28.55,28.5,28.54,120208.0,0.0
2025-11-28 08:00:00+00:00,28.55,28.8,28.55,28.75,31315.0,0.0
