date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,105.77,112.75,105.25,111.81,6105264.0,109.513,43919,
2016-06-30 00:00:00+00:00,111.02,111.04,99.15,107.26,18346668.0,106.858,135522,
2016-07-29 00:00:00+00:00,107.11,122.71,104.75,122.2,14633524.0,114.124,104389,
2016-08-31 00:00:00+00:00,122.48,124.55,119.0,123.54,12219714.0,120.977,85233,
2016-09-30 00:00:00+00:00,123.52,128.4,120.95,126.56,13711044.0,125.062,105925,
2016-10-31 00:00:00+00:00,125.82,127.02,120.95,121.85,14812336.0,123.567,112030,
2016-11-30 00:00:00+00:00,122.23,127.68,118.13,118.99,26792562.0,122.111,193455,
2016-12-30 00:00:00+00:00,119.4,119.67,107.21,107.54,24451893.0,113.965,171895,
2017-01-31 00:00:00+00:00,108.41,122.21,107.87,120.18,19938892.0,114.571,141192,
2017-02-28 00:00:00+00:00,120.67,131.26,118.79,129.47,14845103.0,126.914,108782,
2017-03-31 00:00:00+00:00,131.1,133.08,127.28,130.74,20593328.0,130.051,144783,
2017-04-28 00:00:00+00:00,130.48,136.75,127.6,134.19,15227197.0,131.651,110338,
2017-05-31 00:00:00+00:00,134.61,142.93,134.12,142.81,13917060.0,137.823,105353,
2017-06-30 00:00:00+00:00,143.21,150.4,143.08,145.99,18950200.0,146.231,140182,
2017-07-31 00:00:00+00:00,146.42,158.35,145.75,153.59,15436310.0,150.979,108414,
2017-08-31 00:00:00+00:00,154.0,155.84,147.07,154.33,15777784.0,151.464,121573,
2017-09-29 00:00:00+00:00,154.65,157.47,150.34,156.31,10475373.0,154.048,76621,
2017-10-31 00:00:00+00:00,156.85,166.17,153.25,156.47,18143590.0,160.15,124912,
2017-11-30 00:00:00+00:00,157.08,167.87,154.7,165.48,13319838.0,160.174,99180,
2017-12-29 00:00:00+00:00,165.26,174.07,162.25,169.4,13040104.0,169.65,91440,
2018-01-31 00:00:00+00:00,169.74,185.34,167.95,181.1,11599111.0,178.364,83550,
2018-02-28 00:00:00+00:00,180.4,195.93,164.99,191.8,23441630.0,182.044,165407,
2018-03-29 00:00:00+00:00,191.14,197.76,184.81,191.06,17356739.0,191.806,136738,
2018-04-30 00:00:00+00:00,190.2,195.56,183.75,188.6,15712387.0,190.114,124366,
2018-05-31 00:00:00+00:00,189.0,202.75,185.1,197.5,15419522.0,196.491,118807,
2018-06-29 00:00:00+00:00,199.87,208.98,198.71,203.89,11999214.0,205.305,90274,
2018-07-31 00:00:00+00:00,202.57,217.31,199.52,200.44,12132438.0,208.381,93142,
2018-08-31 00:00:00+00:00,198.85,207.4,196.03,207.05,13230471.0,201.925,102065,
2018-09-28 00:00:00+00:00,207.48,215.0,195.34,195.39,12879905.0,207.936,93164,
2018-10-31 00:00:00+00:00,196.5,199.54,166.11,182.32,28343941.0,183.831,203319,
2018-11-30 00:00:00+00:00,182.26,188.49,173.12,182.86,19037817.0,181.061,131267,
2018-12-31 00:00:00+00:00,185.74,186.31,156.68,169.94,26847538.0,168.506,195931,
2019-01-31 00:00:00+00:00,169.27,191.85,163.99,191.65,23429007.0,182.08,163933,
