date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,153.04,154.86,152.5,154.18,825241.0,153.852,6285,
2018-05-25 00:00:00+00:00,154.94,159.98,152.89,159.49,4276850.0,158.313,33451,
2018-06-01 00:00:00+00:00,159.07,162.44,158.21,160.8,4493489.0,160.511,34203,
2018-06-08 00:00:00+00:00,161.17,165.81,159.9,165.38,4595001.0,163.927,35148,
2018-06-15 00:00:00+00:00,164.9,167.03,162.23,164.48,4224431.0,164.743,30622,
2018-06-22 00:00:00+00:00,164.26,173.0,163.77,172.85,5131139.0,167.96,35719,
2018-06-29 00:00:00+00:00,173.0,173.26,168.97,170.19,6546306.0,171.409,45336,
2018-07-06 00:00:00+00:00,170.15,173.45,167.17,172.99,2446760.0,171.032,19001,
2018-07-13 00:00:00+00:00,172.4,173.63,170.51,171.69,3684107.0,172.042,28775,
2018-07-20 00:00:00+00:00,171.31,174.39,168.53,170.5,4117906.0,171.3,30791,
2018-07-27 00:00:00+00:00,170.6,172.97,167.78,168.58,5137132.0,170.35,37462,
2018-08-03 00:00:00+00:00,168.6,179.45,166.95,178.27,5929186.0,175.61,42999,
2018-08-10 00:00:00+00:00,178.14,179.0,173.85,174.38,3403322.0,176.271,24496,
2018-08-17 00:00:00+00:00,174.68,178.63,173.79,178.48,4427859.0,176.141,32055,
2018-08-24 00:00:00+00:00,179.13,182.62,178.11,180.92,3928340.0,180.479,29658,
2018-08-31 00:00:00+00:00,181.24,183.08,178.95,183.03,4134437.0,181.383,31968,
2018-09-07 00:00:00+00:00,183.0,184.94,180.05,181.69,4231957.0,182.782,32237,
2018-09-14 00:00:00+00:00,182.62,186.03,180.37,182.5,4202493.0,184.198,31295,
2018-09-21 00:00:00+00:00,182.54,184.1,178.21,180.48,4460955.0,180.912,30484,
2018-09-28 00:00:00+00:00,180.38,180.64,174.89,176.75,3448151.0,176.736,25648,
2018-10-05 00:00:00+00:00,176.79,178.33,168.41,171.28,4691935.0,172.706,35586,
2018-10-12 00:00:00+00:00,172.07,176.67,169.83,171.18,7621009.0,172.865,52253,
2018-10-19 00:00:00+00:00,170.51,175.41,170.44,174.77,4329782.0,173.273,32113,
2018-10-26 00:00:00+00:00,174.98,181.52,170.98,179.76,7059090.0,176.193,47131,
2018-11-02 00:00:00+00:00,180.93,188.21,177.77,180.41,6449338.0,183.69,48313,
2018-11-09 00:00:00+00:00,181.19,189.16,180.95,188.69,3214276.0,185.331,25114,
2018-11-16 00:00:00+00:00,188.73,191.16,180.3,185.07,3627453.0,185.449,28029,
2018-11-23 00:00:00+00:00,185.24,186.89,180.6,182.43,2434903.0,184.579,19383,
2018-11-30 00:00:00+00:00,182.89,186.43,179.71,185.69,4746086.0,182.894,37402,
2018-12-07 00:00:00+00:00,186.5,190.76,182.47,188.42,3646119.0,186.614,29436,
2018-12-14 00:00:00+00:00,188.95,191.49,181.37,182.66,5634183.0,185.269,42377,
2018-12-21 00:00:00+00:00,182.76,183.39,164.44,164.88,5890077.0,172.039,42626,
2018-12-28 00:00:00+00:00,164.88,170.15,159.77,168.1,3577015.0,164.419,29724,
2019-01-04 00:00:00+00:00,168.26,168.86,163.63,167.38,3071326.0,166.069,25426,
2019-01-11 00:00:00+00:00,167.84,173.93,167.57,172.35,4452144.0,171.507,34520,
2019-01-18 00:00:00+00:00,171.55,175.52,170.19,173.96,4022842.0,172.091,29845,
2019-01-25 00:00:00+00:00,173.9,177.4,171.84,177.11,3018721.0,174.509,23493,
2019-02-01 00:00:00+00:00,176.66,185.22,175.55,179.21,7086412.0,179.893,48333,
2019-02-08 00:00:00+00:00,179.0,186.44,178.58,184.1,4248125.0,182.949,32179,
2019-02-15 00:00:00+00:00,184.0,186.04,181.64,183.36,4639024.0,183.798,33933,
2019-02-22 00:00:00+00:00,183.36,185.22,178.3,183.63,4156696.0,181.534,29950,
2019-03-01 00:00:00+00:00,184.37,184.54,173.91,175.57,5209812.0,180.132,40289,
2019-03-08 00:00:00+00:00,177.38,178.11,173.15,174.22,5138323.0,175.601,38958,
2019-03-11 00:00:00+00:00,176.28,180.04,175.24,176.09,3665398.0,177.909,25106,
2019-03-22 00:00:00+00:00,176.24,179.97,172.02,177.6,4047790.0,175.513,29895,
2019-03-29 00:00:00+00:00,178.19,183.92,176.67,182.21,3706823.0,181.105,25864,
2019-04-05 00:00:00+00:00,182.68,185.42,179.96,184.8,3461958.0,182.769,25668,
2019-04-12 00:00:00+00:00,185.01,186.4,182.03,185.52,2073721.0,183.872,15187,
2019-04-18 00:00:00+00:00,185.99,186.24,175.37,178.06,2691686.0,178.874,20223,
2019-04-26 00:00:00+00:00,177.6,179.67,171.94,178.61,3009505.0,176.54,22270,
