date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,31.86,35.43,31.13,34.56,1671192.0,33.451,8915,
2016-06-30 00:00:00+00:00,34.5,37.1,30.97,33.4,4388984.0,33.332,22516,
2016-07-29 00:00:00+00:00,33.41,35.95,31.9,34.08,2961728.0,34.192,14466,
2016-08-31 00:00:00+00:00,33.9,34.55,32.19,33.15,2937998.0,33.74,14058,
2016-09-30 00:00:00+00:00,33.27,34.45,31.5,33.3,2684895.0,33.163,13391,
2016-10-31 00:00:00+00:00,33.41,34.44,31.51,32.19,3295230.0,33.086,15909,
2016-11-30 00:00:00+00:00,32.25,32.25,27.0,28.33,5064689.0,29.034,23936,
2016-12-30 00:00:00+00:00,28.49,30.99,27.93,30.06,4607179.0,29.598,20573,
2017-01-31 00:00:00+00:00,30.16,32.17,29.6,30.22,4680050.0,30.877,21980,
2017-02-28 00:00:00+00:00,30.41,30.64,24.95,26.15,7202313.0,27.609,31156,
2017-03-31 00:00:00+00:00,26.41,27.44,24.0,26.96,6604996.0,25.53,29356,
2017-04-28 00:00:00+00:00,26.95,27.27,25.25,25.75,4389283.0,26.354,19015,
2017-05-31 00:00:00+00:00,25.88,25.98,22.71,23.64,5732661.0,24.025,25642,
2017-06-30 00:00:00+00:00,23.75,25.11,23.2,23.79,6212422.0,24.017,30471,
2017-07-31 00:00:00+00:00,23.82,25.8,23.2,24.3,6195331.0,24.563,25060,
2017-08-31 00:00:00+00:00,24.3,24.94,23.35,24.76,5525163.0,24.128,23312,
2017-09-29 00:00:00+00:00,24.7,26.77,23.88,26.09,3723383.0,24.859,16472,
2017-10-31 00:00:00+00:00,26.09,27.05,25.21,26.41,5485451.0,26.192,21466,
2017-11-30 00:00:00+00:00,26.31,26.94,23.1,24.14,5652279.0,24.736,23306,
2017-12-29 00:00:00+00:00,24.1,24.32,23.11,24.22,5886734.0,23.677,23011,
2018-01-31 00:00:00+00:00,24.29,26.73,24.29,25.45,6204403.0,25.466,25261,
2018-02-28 00:00:00+00:00,25.31,25.75,23.05,23.1,4271115.0,24.628,20150,
2018-03-29 00:00:00+00:00,23.19,24.12,21.85,22.01,3638157.0,23.187,16699,
2018-04-30 00:00:00+00:00,22.0,23.42,21.91,23.13,3109194.0,22.606,14188,
2018-05-31 00:00:00+00:00,23.14,23.59,22.04,23.41,3709198.0,22.968,15900,
2018-06-29 00:00:00+00:00,23.35,23.75,23.11,23.49,2541550.0,23.499,12245,
2018-07-31 00:00:00+00:00,23.49,23.99,23.06,23.78,2170393.0,23.516,10212,
2018-08-31 00:00:00+00:00,23.8,24.57,22.24,22.6,4751178.0,23.564,22334,
2018-09-28 00:00:00+00:00,22.56,23.64,22.41,23.53,2558978.0,23.085,11906,
2018-10-31 00:00:00+00:00,23.57,24.16,22.64,22.85,3751783.0,23.51,18517,
2018-11-30 00:00:00+00:00,22.88,23.61,22.13,23.36,3293182.0,22.897,16664,
2018-12-31 00:00:00+00:00,23.44,23.45,18.63,19.27,7109810.0,20.714,36187,
2019-01-31 00:00:00+00:00,19.2,23.3,19.05,23.2,4144321.0,21.763,22764,
2019-02-28 00:00:00+00:00,23.3,23.45,21.13,21.71,3961700.0,22.207,17596,
2019-03-29 00:00:00+00:00,21.82,22.97,21.18,22.41,2201164.0,22.002,10855,
2019-04-30 00:00:00+00:00,22.38,23.42,22.25,23.33,2033838.0,23.007,6986,
2019-05-31 00:00:00+00:00,23.36,23.79,22.5,22.9,2779379.0,23.283,9937,
2019-06-28 00:00:00+00:00,22.85,24.61,22.84,24.29,2757415.0,23.732,10604,
2019-07-31 00:00:00+00:00,24.32,24.89,23.6,24.55,2268707.0,24.064,8481,
2019-08-30 00:00:00+00:00,24.57,24.73,21.84,23.32,3428834.0,22.989,14502,
2019-09-30 00:00:00+00:00,23.32,24.24,22.97,23.63,1981576.0,23.716,8133,
2019-10-31 00:00:00+00:00,23.63,24.2,22.99,24.2,2296033.0,23.541,9502,
2019-11-29 00:00:00+00:00,24.25,24.45,22.36,22.42,3195757.0,23.288,13164,
2019-12-31 00:00:00+00:00,22.53,22.69,21.65,21.85,3641471.0,22.077,16867,
2020-01-31 00:00:00+00:00,21.87,22.87,21.5,22.65,2937598.0,22.325,12043,
2020-02-28 00:00:00+00:00,22.16,22.23,18.5,19.57,4830700.0,20.99,20169,
2020-03-31 00:00:00+00:00,19.56,20.44,8.64,14.14,9699918.0,14.469,39543,
2020-04-30 00:00:00+00:00,13.99,15.68,12.72,15.45,6549084.0,14.023,26602,
2020-05-29 00:00:00+00:00,15.38,15.4,12.07,14.59,5758730.0,14.1,21040,
2020-06-30 00:00:00+00:00,14.68,17.18,13.9,14.3,5412311.0,15.278,23678,
2020-07-31 00:00:00+00:00,14.19,15.04,12.83,13.26,4768171.0,13.82,17130,
2020-08-31 00:00:00+00:00,13.0,14.7,12.5,12.75,6244833.0,13.229,24893,
2020-09-30 00:00:00+00:00,12.61,16.32,12.6,16.28,8047263.0,14.148,33801,
2020-10-30 00:00:00+00:00,16.28,18.18,15.56,16.44,6382214.0,16.913,27612,
2020-11-30 00:00:00+00:00,16.26,17.74,14.92,15.32,7243571.0,16.287,28962,
2020-12-31 00:00:00+00:00,15.35,15.85,14.06,14.86,6311353.0,15.061,21703,
2021-01-29 00:00:00+00:00,14.9,15.62,14.3,15.35,4459503.0,14.984,17070,
2021-02-26 00:00:00+00:00,15.1,16.45,14.78,14.96,6630125.0,15.314,23693,
2021-03-31 00:00:00+00:00,14.99,15.78,14.71,14.82,6554941.0,15.12,24997,
2021-04-30 00:00:00+00:00,14.86,15.42,14.35,15.2,8130236.0,14.948,25617,
2021-05-28 00:00:00+00:00,14.86,14.98,14.13,14.7,5838477.0,14.688,17915,
2021-06-30 00:00:00+00:00,14.77,15.68,14.66,15.34,5327369.0,15.219,20670,
2021-07-30 00:00:00+00:00,15.49,16.39,14.74,16.18,6950022.0,15.668,24453,
2021-08-31 00:00:00+00:00,15.82,16.08,15.08,15.23,4596768.0,15.539,16994,
2021-09-30 00:00:00+00:00,15.34,15.63,14.97,15.35,4279062.0,15.254,15632,
2021-10-29 00:00:00+00:00,15.43,16.16,15.25,16.0,4429291.0,15.837,14890,
2021-11-30 00:00:00+00:00,15.94,15.95,14.38,14.44,8426617.0,15.131,28317,
2021-12-31 00:00:00+00:00,14.62,15.07,13.83,14.65,7487500.0,14.428,23074,
2022-01-31 00:00:00+00:00,14.8,15.61,14.52,14.83,5974634.0,15.202,22210,
2022-02-28 00:00:00+00:00,14.82,15.15,14.25,14.93,3803537.0,14.833,13957,
2022-03-31 00:00:00+00:00,14.93,16.54,14.59,16.1,5824962.0,15.537,22368,
2022-04-29 00:00:00+00:00,16.17,17.52,15.94,16.8,4749728.0,16.687,17991,
2022-05-31 00:00:00+00:00,16.55,17.75,16.31,17.05,4567915.0,16.816,16190,
2022-06-30 00:00:00+00:00,17.14,17.63,14.4,15.26,4240760.0,15.868,14158,
2022-07-29 00:00:00+00:00,15.38,17.0,14.75,16.7,2906806.0,16.022,10825,
2022-08-31 00:00:00+00:00,16.17,16.6,15.49,16.11,2690661.0,16.195,9383,
2022-09-30 00:00:00+00:00,15.97,17.06,15.05,15.05,3008417.0,16.199,12449,
2022-10-31 00:00:00+00:00,15.31,16.96,15.3,16.35,3099071.0,16.218,11662,
2022-11-30 00:00:00+00:00,16.35,16.79,15.6,16.46,3169405.0,16.183,12888,
2022-12-30 00:00:00+00:00,16.37,16.42,15.01,15.18,6011146.0,15.728,32353,
2023-01-31 00:00:00+00:00,15.25,16.29,15.11,15.78,4148881.0,15.853,11786,
2023-02-28 00:00:00+00:00,15.74,15.86,15.2,15.23,2610198.0,15.61,9582,
2023-03-31 00:00:00+00:00,15.25,15.7,14.6,15.32,3199745.0,15.098,11910,
2023-04-28 00:00:00+00:00,15.31,15.76,15.27,15.72,1749256.0,15.464,6262,
2023-05-31 00:00:00+00:00,15.5,15.55,14.44,15.27,3867270.0,14.988,15393,
2023-06-30 00:00:00+00:00,15.08,15.33,14.65,14.8,2946280.0,14.952,13134,
