date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 09:00:00+00:00,10.4,10.4,10.34,10.37,20953.0,10.379,42,False
2025-11-17 10:00:00+00:00,10.36,10.38,10.33,10.33,11302.0,10.36,40,False
2025-11-17 11:00:00+00:00,10.33,10.37,10.33,10.36,4300.0,10.357,43,False
2025-11-17 12:00:00+00:00,10.37,10.37,10.34,10.34,18687.0,10.368,25,False
2025-11-17 13:00:00+00:00,10.34,10.45,10.32,10.33,143963.0,10.334,202,False
2025-11-17 14:00:00+00:00,10.34,10.35,10.25,10.28,1023222.0,10.283,1839,False
2025-11-17 15:00:00+00:00,10.28,10.28,10.11,10.13,3265295.0,10.201,5036,True
2025-11-17 16:00:00+00:00,10.13,10.19,10.12,10.19,2893367.0,10.156,6393,True
2025-11-17 17:00:00+00:00,10.19,10.2,10.13,10.13,944103.0,10.173,2387,True
2025-11-17 18:00:00+00:00,10.13,10.14,10.06,10.06,836158.0,10.106,2677,True
2025-11-17 19:00:00+00:00,10.06,10.07,9.93,9.94,1662298.0,10.008,3326,True
2025-11-17 20:00:00+00:00,9.94,9.99,9.91,9.97,2733532.0,9.95,6127,True
2025-11-17 21:00:00+00:00,9.98,10.03,9.91,9.99,423282.0,9.98,14,False
2025-11-17 22:00:00+00:00,10.04,10.04,10.03,10.04,600.0,10.04,2,False
2025-11-17 23:00:00+00:00,10.04,10.04,10.04,10.04,0.0,10.04,0,False
2025-11-18 00:00:00+00:00,9.96,10.04,9.95,10.03,403.0,9.984,2,False
2025-11-18 09:00:00+00:00,9.92,9.92,9.79,9.8,18364.0,9.819,47,False
2025-11-18 10:00:00+00:00,9.81,9.83,9.79,9.83,4097.0,9.802,10,False
2025-11-18 11:00:00+00:00,9.84,9.84,9.8,9.8,20084.0,9.815,34,False
2025-11-18 12:00:00+00:00,9.8,9.8,9.75,9.75,26149.0,9.783,54,False
2025-11-18 13:00:00+00:00,9.8,9.92,9.74,9.74,78162.0,9.769,164,False
2025-11-18 14:00:00+00:00,9.74,9.74,9.62,9.64,1277287.0,9.677,2080,False
2025-11-18 15:00:00+00:00,9.64,9.71,9.61,9.68,2478109.0,9.66,4714,True
2025-11-18 16:00:00+00:00,9.67,9.74,9.64,9.72,1548655.0,9.702,2496,True
2025-11-18 17:00:00+00:00,9.72,9.78,9.66,9.78,1021154.0,9.714,1901,True
2025-11-18 18:00:00+00:00,9.78,9.81,9.76,9.78,1103757.0,9.788,2161,True
2025-11-18 19:00:00+00:00,9.77,9.8,9.76,9.79,695556.0,9.778,1355,True
2025-11-18 20:00:00+00:00,9.79,9.81,9.73,9.73,1754388.0,9.763,3799,True
2025-11-18 21:00:00+00:00,9.74,9.76,9.73,9.76,350597.0,9.74,5,False
2025-11-18 22:00:00+00:00,9.76,9.76,9.74,9.74,841.0,9.743,2,False
2025-11-18 23:00:00+00:00,9.76,9.76,9.75,9.76,2773.0,9.759,8,False
2025-11-19 00:00:00+00:00,9.76,9.76,9.73,9.73,3299.0,9.754,10,False
2025-11-19 09:00:00+00:00,9.81,9.81,9.74,9.78,4337.0,9.778,12,False
2025-11-19 10:00:00+00:00,9.77,9.77,9.7,9.75,3304.0,9.722,7,False
2025-11-19 11:00:00+00:00,9.75,9.81,9.73,9.81,6681.0,9.796,22,False
2025-11-19 12:00:00+00:00,9.8,9.81,9.79,9.8,14446.0,9.799,12,False
2025-11-19 13:00:00+00:00,9.76,9.84,9.7,9.81,37037.0,9.806,46,False
2025-11-19 14:00:00+00:00,9.81,9.81,9.71,9.79,619718.0,9.747,1070,False
2025-11-19 15:00:00+00:00,9.79,9.84,9.75,9.76,1112426.0,9.795,1829,True
2025-11-19 16:00:00+00:00,9.76,9.79,9.73,9.78,1072092.0,9.764,1583,True
2025-11-19 17:00:00+00:00,9.78,9.78,9.68,9.71,1269432.0,9.722,2044,True
2025-11-19 18:00:00+00:00,9.71,9.76,9.69,9.73,832058.0,9.715,1314,True
2025-11-19 19:00:00+00:00,9.73,9.74,9.66,9.68,579830.0,9.699,1490,True
2025-11-19 20:00:00+00:00,9.69,9.75,9.67,9.7,1415980.0,9.712,3338,True
2025-11-19 21:00:00+00:00,9.69,9.74,9.69,9.74,247910.0,9.69,4,False
2025-11-19 22:00:00+00:00,9.74,9.76,9.74,9.76,2210.0,9.749,4,False
2025-11-19 23:00:00+00:00,9.86,9.86,9.73,9.73,204.0,9.794,2,False
2025-11-20 00:00:00+00:00,9.76,9.76,9.76,9.76,275.0,9.76,2,False
2025-11-20 09:00:00+00:00,9.66,9.66,9.56,9.56,14845.0,9.59,55,False
2025-11-20 10:00:00+00:00,9.53,9.59,9.52,9.57,7270.0,9.537,20,False
2025-11-20 11:00:00+00:00,9.51,9.51,9.48,9.48,3450.0,9.493,15,False
2025-11-20 12:00:00+00:00,9.49,9.52,9.46,9.52,102796.0,9.477,129,False
