date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,21.49,21.58,21.42,21.57,1082416.0,21.504,5792,False
2018-05-21 00:00:00+00:00,21.56,21.72,21.47,21.7,1289884.0,21.647,7325,False
2018-05-22 00:00:00+00:00,21.7,21.83,21.63,21.78,1071949.0,21.785,4612,False
2018-05-23 00:00:00+00:00,21.78,21.83,21.73,21.82,698316.0,21.796,3752,False
2018-05-24 00:00:00+00:00,21.82,21.83,21.74,21.81,977778.0,21.8,4752,False
2018-05-25 00:00:00+00:00,21.81,21.9,21.72,21.77,1033635.0,21.775,5971,False
2018-05-29 00:00:00+00:00,21.75,21.87,21.69,21.87,1349240.0,21.803,7998,False
2018-05-30 00:00:00+00:00,21.9,21.94,21.81,21.87,1682452.0,21.876,9001,False
2018-05-31 00:00:00+00:00,21.88,21.89,21.68,21.71,1187168.0,21.748,6575,False
2018-06-01 00:00:00+00:00,21.81,21.89,21.66,21.77,1135910.0,21.758,5114,False
2018-06-04 00:00:00+00:00,21.8,21.86,21.74,21.85,853591.0,21.806,4067,False
2018-06-05 00:00:00+00:00,21.88,21.9,21.79,21.89,932663.0,21.85,4898,False
2018-06-06 00:00:00+00:00,21.91,21.99,21.83,21.99,1069563.0,21.934,5301,False
2018-06-07 00:00:00+00:00,22.0,22.17,21.94,22.12,1401222.0,22.093,6628,False
2018-06-08 00:00:00+00:00,22.13,22.24,22.11,22.24,1277041.0,22.212,6118,False
2018-06-11 00:00:00+00:00,22.25,22.28,22.19,22.23,1065759.0,22.234,5720,False
2018-06-12 00:00:00+00:00,22.23,22.23,22.12,22.14,1171908.0,22.171,5789,False
2018-06-13 00:00:00+00:00,22.19,22.2,22.06,22.11,1214612.0,22.112,5844,False
2018-06-14 00:00:00+00:00,22.17,22.29,22.14,22.27,1118831.0,22.232,5710,False
2018-06-15 00:00:00+00:00,22.2,22.25,22.1,22.12,1578321.0,22.158,6651,False
2018-06-18 00:00:00+00:00,22.09,22.39,22.09,22.37,1016120.0,22.319,5226,False
2018-06-19 00:00:00+00:00,22.35,22.44,22.26,22.42,1190495.0,22.402,6306,False
2018-06-20 00:00:00+00:00,22.42,22.49,22.26,22.45,1421567.0,22.418,6735,False
2018-06-21 00:00:00+00:00,22.48,22.52,22.37,22.47,1194746.0,22.448,5814,False
2018-06-22 00:00:00+00:00,22.49,22.55,22.4,22.43,1145767.0,22.47,5593,False
2018-06-25 00:00:00+00:00,22.47,22.5,22.34,22.41,1499815.0,22.404,7724,False
2018-06-26 00:00:00+00:00,22.38,22.48,22.28,22.36,1544586.0,22.419,6060,False
2018-06-27 00:00:00+00:00,22.36,22.4,22.23,22.24,1194916.0,22.305,6364,False
2018-06-28 00:00:00+00:00,21.79,21.99,21.75,21.96,1405004.0,21.913,6643,False
2018-06-29 00:00:00+00:00,21.95,22.03,21.7,21.71,2579382.0,21.784,8648,False
2018-07-02 00:00:00+00:00,21.67,21.77,21.54,21.77,2356422.0,21.632,11191,False
2018-07-03 00:00:00+00:00,21.75,21.95,21.74,21.86,1262550.0,21.887,6506,False
2018-07-05 00:00:00+00:00,21.91,22.13,21.85,22.13,1237327.0,22.01,6184,False
2018-07-06 00:00:00+00:00,22.13,22.36,22.09,22.32,1662847.0,22.299,7707,False
2018-07-09 00:00:00+00:00,22.32,22.34,22.2,22.24,1332805.0,22.261,7030,False
2018-07-10 00:00:00+00:00,22.33,22.33,22.2,22.3,1141755.0,22.275,5851,False
2018-07-11 00:00:00+00:00,22.3,22.43,22.25,22.34,1761534.0,22.352,6489,False
2018-07-12 00:00:00+00:00,22.39,22.39,22.23,22.3,1134611.0,22.286,5508,False
2018-07-13 00:00:00+00:00,22.34,22.35,22.19,22.25,1159460.0,22.271,5606,False
2018-07-16 00:00:00+00:00,22.25,22.31,22.21,22.26,1609449.0,22.266,7604,False
2018-07-17 00:00:00+00:00,22.27,22.31,22.13,22.17,1266519.0,22.191,6791,False
2018-07-18 00:00:00+00:00,22.15,22.15,22.01,22.11,848375.0,22.074,4775,False
