date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,69.31,69.31,68.8,68.82,146491.0,68.989,1122,False
2018-05-25 00:00:00+00:00,69.1,69.36,67.45,68.29,735987.0,68.325,5987,False
2018-06-01 00:00:00+00:00,67.86,69.24,67.06,67.4,579918.0,68.053,4841,False
2018-06-08 00:00:00+00:00,67.79,70.13,67.38,70.09,991861.0,68.891,7008,False
2018-06-15 00:00:00+00:00,70.04,71.35,70.01,71.24,777875.0,70.602,5368,False
2018-06-22 00:00:00+00:00,70.75,72.7,70.46,72.23,961033.0,71.602,6633,False
2018-06-29 00:00:00+00:00,72.23,72.58,70.67,71.55,1263148.0,71.843,9116,False
2018-07-06 00:00:00+00:00,71.2,72.55,70.32,72.5,408105.0,71.496,3437,False
2018-07-13 00:00:00+00:00,72.73,73.39,70.76,71.11,986637.0,71.645,7568,False
2018-07-20 00:00:00+00:00,71.1,73.17,70.03,72.42,1406431.0,71.923,10055,False
2018-07-27 00:00:00+00:00,71.77,72.0,65.96,68.04,2217476.0,67.407,13291,False
2018-08-03 00:00:00+00:00,67.78,69.95,67.33,68.69,806330.0,68.657,6682,False
2018-08-10 00:00:00+00:00,68.59,69.68,68.17,68.47,665493.0,68.961,4991,False
2018-08-17 00:00:00+00:00,68.57,69.69,67.5,69.44,640549.0,68.801,4639,False
2018-08-24 00:00:00+00:00,69.66,70.73,69.15,70.62,413466.0,70.007,3259,False
2018-08-31 00:00:00+00:00,70.89,72.09,70.03,71.02,580396.0,71.154,4564,False
2018-09-07 00:00:00+00:00,71.4,72.43,70.45,72.0,653773.0,71.746,4799,False
2018-09-14 00:00:00+00:00,72.42,75.33,71.36,75.14,814513.0,73.613,6095,False
2018-09-21 00:00:00+00:00,74.87,77.79,74.24,77.06,941243.0,75.965,6508,False
2018-09-28 00:00:00+00:00,76.82,77.47,75.52,76.51,1024075.0,76.613,8536,False
2018-10-05 00:00:00+00:00,76.85,77.7,76.01,77.29,1104792.0,76.803,7578,False
2018-10-12 00:00:00+00:00,77.26,78.19,73.48,74.32,1768171.0,75.548,12927,False
2018-10-19 00:00:00+00:00,74.11,78.4,63.32,64.48,3554234.0,69.013,19547,False
2018-10-26 00:00:00+00:00,64.02,65.03,60.72,62.76,4249368.0,63.101,22278,False
2018-11-02 00:00:00+00:00,63.53,66.85,63.3,65.74,1991610.0,65.124,14150,False
2018-11-09 00:00:00+00:00,65.75,67.32,64.58,66.04,929049.0,65.936,7313,False
2018-11-16 00:00:00+00:00,66.14,66.96,64.99,66.11,1446256.0,66.15,10875,False
2018-11-23 00:00:00+00:00,66.1,66.42,64.03,64.45,651128.0,65.373,5189,False
2018-11-30 00:00:00+00:00,65.0,65.5,63.29,64.26,961067.0,64.561,7851,False
2018-12-07 00:00:00+00:00,64.71,64.92,59.8,60.01,822671.0,61.938,6330,False
2018-12-14 00:00:00+00:00,60.12,61.05,57.45,57.68,1054549.0,59.549,7262,False
2018-12-21 00:00:00+00:00,57.64,57.96,53.82,53.86,1332280.0,56.134,8612,False
2018-12-28 00:00:00+00:00,53.57,56.55,51.93,55.79,560431.0,54.576,4668,False
