date,open,high,low,close,volume,is_rth
2025-11-17 12:00:00+00:00,66.4,66.53,66.01,66.14,5120.0,1.0
2025-11-17 16:00:00+00:00,66.14,66.54,65.18,65.56,24974.0,1.0
2025-11-17 20:00:00+00:00,65.11,65.25,64.25,64.52,37861.0,1.0
2025-11-18 00:00:00+00:00,64.52,64.52,64.52,64.52,0.0,0.0
2025-11-18 12:00:00+00:00,64.48,65.33,63.85,65.32,5341.0,1.0
2025-11-18 16:00:00+00:00,65.27,65.79,64.32,64.48,15963.0,1.0
2025-11-18 20:00:00+00:00,64.54,64.67,64.25,64.27,37658.0,1.0
2025-11-19 00:00:00+00:00,64.27,64.27,64.27,64.27,0.0,0.0
2025-11-19 12:00:00+00:00,64.6,67.55,64.01,65.17,3205.0,1.0
2025-11-19 16:00:00+00:00,65.17,65.55,64.49,64.57,20681.0,1.0
2025-11-19 20:00:00+00:00,64.65,65.2,64.53,64.97,37967.0,1.0
2025-11-20 00:00:00+00:00,64.97,64.97,64.97,64.97,0.0,0.0
2025-11-20 12:00:00+00:00,65.82,66.73,65.46,65.47,11712.0,1.0
2025-11-20 16:00:00+00:00,65.32,65.32,63.42,63.55,44701.0,1.0
2025-11-20 20:00:00+00:00,63.56,63.98,62.4,62.4,176819.0,1.0
2025-11-21 00:00:00+00:00,62.4,62.4,62.4,62.4,0.0,0.0
2025-11-21 12:00:00+00:00,62.95,64.92,62.95,64.4,81794.0,1.0
2025-11-21 16:00:00+00:00,64.61,65.97,64.3,65.17,156816.0,1.0
2025-11-21 20:00:00+00:00,65.15,65.2,64.58,64.72,125893.0,1.0
2025-11-22 00:00:00+00:00,64.72,64.72,64.72,64.72,0.0,0.0
2025-11-24 12:00:00+00:00,64.61,66.82,64.01,65.13,9283.0,1.0
2025-11-24 16:00:00+00:00,64.92,65.91,64.74,65.82,46052.0,1.0
2025-11-24 20:00:00+00:00,65.84,65.98,65.45,65.64,78868.0,1.0
2025-11-25 00:00:00+00:00,65.64,65.64,65.64,65.64,0.0,0.0
2025-11-25 12:00:00+00:00,65.99,67.55,65.99,66.81,22474.0,1.0
2025-11-25 16:00:00+00:00,66.65,67.3,66.65,67.01,24644.0,1.0
2025-11-25 20:00:00+00:00,67.22,67.54,66.96,67.05,46425.0,1.0
2025-11-26 00:00:00+00:00,67.05,67.05,67.05,67.05,0.0,0.0
2025-11-26 12:00:00+00:00,66.66,67.79,65.85,66.39,6059.0,1.0
2025-11-26 16:00:00+00:00,66.43,66.46,65.9,66.13,27452.0,1.0
2025-11-26 20:00:00+00:00,66.03,66.46,65.96,66.09,39910.0,1.0
2025-11-27 00:00:00+00:00,66.09,66.09,66.09,66.09,0.0,0.0
2025-11-28 12:00:00+00:00,66.32,66.52,65.86,66.36,9703.0,1.0
2025-11-28 16:00:00+00:00,66.4,66.69,66.16,66.17,34172.0,1.0
2025-11-28 20:00:00+00:00,66.17,66.17,66.17,66.17,0.0,1.0
2025-12-01 12:00:00+00:00,65.41,66.57,65.17,66.23,46189.0,1.0
2025-12-01 16:00:00+00:00,66.23,66.68,66.03,66.26,31836.0,1.0
2025-12-01 20:00:00+00:00,66.33,66.69,66.3,66.61,35088.0,1.0
2025-12-02 00:00:00+00:00,66.61,66.61,66.61,66.61,0.0,0.0
2025-12-02 12:00:00+00:00,67.13,67.45,66.11,66.84,6153.0,1.0
2025-12-02 16:00:00+00:00,66.85,67.09,65.85,66.27,84470.0,1.0
2025-12-02 20:00:00+00:00,66.28,66.31,65.93,66.11,42058.0,1.0
2025-12-03 00:00:00+00:00,66.11,66.11,66.11,66.11,0.0,0.0
2025-12-03 12:00:00+00:00,66.39,67.2,65.88,67.12,9294.0,1.0
2025-12-03 16:00:00+00:00,67.09,67.71,66.97,67.09,20353.0,1.0
2025-12-03 20:00:00+00:00,67.2,67.27,66.94,67.04,45966.0,1.0
2025-12-04 00:00:00+00:00,67.04,67.04,67.04,67.04,0.0,0.0
2025-12-04 12:00:00+00:00,66.65,67.36,66.35,67.09,8251.0,1.0
2025-12-04 16:00:00+00:00,67.1,67.32,66.69,66.9,51187.0,1.0
2025-12-04 20:00:00+00:00,67.11,67.46,67.11,67.32,31166.0,1.0
2025-12-05 00:00:00+00:00,67.32,67.32,67.32,67.32,0.0,0.0
2025-12-05 12:00:00+00:00,66.97,67.39,66.64,67.31,8706.0,1.0
2025-12-05 16:00:00+00:00,67.07,67.62,66.99,67.39,27816.0,1.0
2025-12-05 20:00:00+00:00,67.24,67.24,66.93,67.04,53473.0,1.0
2025-12-06 00:00:00+00:00,67.04,67.04,67.04,67.04,0.0,0.0
2025-12-08 12:00:00+00:00,67.04,67.73,66.51,67.27,20612.0,1.0
