date,open,high,low,close,volume,is_rth
2025-11-17 08:00:00+00:00,22.91,22.91,22.91,22.91,100.0,0.0
2025-11-17 12:00:00+00:00,22.91,24.48,22.91,24.45,66563.0,1.0
2025-11-17 16:00:00+00:00,24.46,25.02,23.93,24.05,198285.0,1.0
2025-11-17 20:00:00+00:00,24.02,24.53,23.97,24.36,250328.0,1.0
2025-11-18 00:00:00+00:00,24.69,24.69,24.64,24.67,851.0,0.0
2025-11-18 08:00:00+00:00,24.36,24.55,24.2,24.32,5116.0,0.0
2025-11-18 12:00:00+00:00,24.26,24.7,23.75,23.87,77291.0,1.0
2025-11-18 16:00:00+00:00,23.89,24.38,23.78,24.2,101162.0,1.0
2025-11-18 20:00:00+00:00,24.2,24.32,24.02,24.1,148911.0,1.0
2025-11-19 00:00:00+00:00,24.1,24.1,24.1,24.1,0.0,0.0
2025-11-19 12:00:00+00:00,24.52,25.07,23.69,24.89,134857.0,1.0
2025-11-19 16:00:00+00:00,24.93,25.02,24.31,24.38,118085.0,1.0
2025-11-19 20:00:00+00:00,24.38,24.61,24.27,24.3,135572.0,1.0
2025-11-20 00:00:00+00:00,24.3,24.3,24.3,24.3,0.0,0.0
2025-11-20 08:00:00+00:00,24.51,24.51,24.49,24.49,1191.0,0.0
2025-11-20 12:00:00+00:00,24.49,25.42,24.44,24.94,219228.0,1.0
2025-11-20 16:00:00+00:00,24.91,24.94,23.65,23.75,148348.0,1.0
2025-11-20 20:00:00+00:00,23.75,23.75,23.22,23.47,76176.0,1.0
2025-11-21 00:00:00+00:00,23.47,23.47,23.47,23.47,0.0,0.0
2025-11-21 12:00:00+00:00,23.9,24.04,23.01,23.9,68158.0,1.0
2025-11-21 16:00:00+00:00,23.84,24.97,23.75,24.82,70273.0,1.0
2025-11-21 20:00:00+00:00,24.86,24.9,24.2,24.26,202793.0,1.0
2025-11-22 00:00:00+00:00,24.26,24.26,24.26,24.26,0.0,0.0
2025-11-24 12:00:00+00:00,24.8,25.65,24.47,25.46,84800.0,1.0
2025-11-24 16:00:00+00:00,25.47,26.85,25.41,26.8,159330.0,1.0
2025-11-24 20:00:00+00:00,26.8,27.21,26.44,27.04,396839.0,1.0
