date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,61.84,63.56,61.66,63.4,619897.0,63.088,4324,False
2018-05-21 00:00:00+00:00,63.4,64.0,60.82,61.49,1154931.0,61.781,8233,False
2018-05-22 00:00:00+00:00,61.58,62.2,61.43,61.66,754578.0,61.853,5021,False
2018-05-23 00:00:00+00:00,60.88,63.04,60.88,62.94,867257.0,61.948,6047,False
2018-05-24 00:00:00+00:00,62.8,64.47,62.14,63.92,634292.0,63.717,5018,False
2018-05-25 00:00:00+00:00,63.45,63.84,62.85,62.94,554642.0,63.366,3918,False
2018-05-29 00:00:00+00:00,62.31,62.81,60.54,62.71,1677719.0,62.149,12253,False
2018-05-30 00:00:00+00:00,62.68,63.79,62.14,63.42,797845.0,63.216,6516,False
2018-05-31 00:00:00+00:00,63.45,64.8,63.04,63.79,1080995.0,64.009,8424,False
2018-06-01 00:00:00+00:00,64.05,65.43,63.26,64.01,1361402.0,64.341,9715,False
2018-06-04 00:00:00+00:00,64.0,64.48,62.55,64.42,1791847.0,63.626,12857,False
2018-06-05 00:00:00+00:00,64.51,66.9,64.51,66.67,1455075.0,66.261,10915,False
2018-06-06 00:00:00+00:00,67.1,68.75,66.56,67.82,1546201.0,67.885,12082,False
2018-06-07 00:00:00+00:00,68.0,68.0,62.45,63.78,1662765.0,64.137,12155,False
2018-06-08 00:00:00+00:00,64.0,64.73,63.01,64.28,525968.0,64.117,3999,False
2018-06-11 00:00:00+00:00,64.54,64.73,63.83,64.35,521155.0,64.246,4126,False
2018-06-12 00:00:00+00:00,64.4,66.29,64.35,66.21,965929.0,65.597,6447,False
2018-06-13 00:00:00+00:00,66.3,67.47,65.52,66.14,646466.0,66.45,4443,False
2018-06-14 00:00:00+00:00,66.64,67.6,66.08,66.49,808118.0,66.93,5449,False
2018-06-15 00:00:00+00:00,66.28,66.29,65.22,66.12,904606.0,65.975,6233,False
2018-06-18 00:00:00+00:00,65.8,67.63,65.42,66.61,591330.0,66.704,4261,False
2018-06-19 00:00:00+00:00,65.59,65.59,63.22,65.04,1071790.0,64.644,7321,False
2018-06-20 00:00:00+00:00,65.63,66.13,64.94,65.53,614063.0,65.617,4313,False
2018-06-21 00:00:00+00:00,65.8,65.97,64.39,65.59,748209.0,65.481,5103,False
2018-06-22 00:00:00+00:00,65.51,65.51,62.61,64.19,1328650.0,64.081,8644,False
2018-06-25 00:00:00+00:00,63.55,63.94,61.18,62.38,759006.0,62.19,5888,False
2018-06-26 00:00:00+00:00,62.87,63.59,62.4,63.25,845828.0,62.976,6558,False
2018-06-27 00:00:00+00:00,63.37,63.53,60.75,60.75,539692.0,61.708,4035,False
2018-06-28 00:00:00+00:00,60.69,62.46,60.39,62.12,537569.0,61.575,4403,False
2018-06-29 00:00:00+00:00,62.42,63.21,62.09,62.52,336690.0,62.677,2643,False
2018-07-02 00:00:00+00:00,62.03,63.52,61.66,63.35,372384.0,62.889,3111,False
2018-07-03 00:00:00+00:00,63.37,64.25,62.59,62.98,404081.0,63.348,2195,False
2018-07-05 00:00:00+00:00,63.02,63.87,62.5,63.4,576095.0,63.291,3852,False
2018-07-06 00:00:00+00:00,63.3,65.4,63.2,65.23,451905.0,64.913,3266,False
2018-07-09 00:00:00+00:00,65.74,66.37,63.61,64.78,548652.0,64.772,4186,False
2018-07-10 00:00:00+00:00,64.89,65.25,64.1,64.7,401859.0,64.808,3255,False
2018-07-11 00:00:00+00:00,64.01,65.6,64.0,65.33,347032.0,65.237,2626,False
2018-07-12 00:00:00+00:00,65.61,68.77,65.34,68.26,1187121.0,67.721,6134,False
2018-07-13 00:00:00+00:00,68.57,68.68,67.09,67.19,853600.0,67.573,4818,False
2018-07-16 00:00:00+00:00,67.52,68.4,66.74,66.86,465021.0,67.32,3577,False
2018-07-17 00:00:00+00:00,66.09,68.1,65.15,67.88,510840.0,67.407,3542,False
2018-07-18 00:00:00+00:00,67.96,68.5,67.29,68.22,440069.0,68.057,3075,False
2018-07-19 00:00:00+00:00,68.23,68.98,67.81,67.86,508690.0,68.264,3438,False
2018-07-20 00:00:00+00:00,67.85,68.66,67.5,67.87,985014.0,67.991,4945,False
2018-07-23 00:00:00+00:00,67.49,67.98,65.51,66.4,1081760.0,66.193,8045,False
2018-07-24 00:00:00+00:00,67.11,67.11,64.43,64.49,729575.0,65.232,5857,False
2018-07-25 00:00:00+00:00,64.78,67.12,64.78,67.05,601613.0,66.548,4489,False
2018-07-26 00:00:00+00:00,66.09,67.77,65.33,66.83,864598.0,67.126,5729,False
2018-07-27 00:00:00+00:00,77.93,79.82,72.5,73.84,6158437.0,75.117,38387,False
2018-07-30 00:00:00+00:00,73.0,75.0,69.13,71.08,2037005.0,71.248,13455,False
2018-07-31 00:00:00+00:00,70.78,73.81,70.5,72.41,1393523.0,72.516,9370,False
2018-08-01 00:00:00+00:00,72.5,74.56,72.41,73.29,1100634.0,73.732,7750,False
2018-08-02 00:00:00+00:00,73.0,75.56,72.86,74.92,865584.0,74.785,6645,False
