date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,95.53,95.53,94.74,95.16,835490.0,95.222,5471,False
2018-05-25 00:00:00+00:00,96.19,96.65,93.64,94.12,4602603.0,95.001,32000,False
2018-06-01 00:00:00+00:00,93.3,94.86,92.04,94.59,4189873.0,93.612,31986,False
2018-06-08 00:00:00+00:00,95.0,97.9,94.34,97.25,4948752.0,96.298,33864,False
2018-06-15 00:00:00+00:00,97.39,99.52,96.84,99.0,5458401.0,97.923,32183,False
2018-06-22 00:00:00+00:00,98.19,98.42,95.0,95.13,5919142.0,96.259,30670,False
2018-06-29 00:00:00+00:00,94.75,94.82,88.71,90.06,9102803.0,91.299,61110,False
2018-07-06 00:00:00+00:00,89.07,91.61,88.41,91.22,3838295.0,90.427,26319,False
2018-07-13 00:00:00+00:00,92.22,93.67,91.13,91.85,4420041.0,92.341,31177,False
2018-07-20 00:00:00+00:00,92.09,92.96,90.35,91.69,4221068.0,92.064,24893,False
2018-07-27 00:00:00+00:00,91.56,95.79,90.04,94.0,11012475.0,93.483,72822,False
2018-08-03 00:00:00+00:00,94.17,94.7,91.53,93.09,6584898.0,93.213,47331,False
2018-08-10 00:00:00+00:00,93.0,95.37,91.73,92.15,4479045.0,93.821,28808,False
2018-08-17 00:00:00+00:00,92.44,93.74,91.69,92.95,4492155.0,92.784,29273,False
2018-08-24 00:00:00+00:00,93.14,94.58,90.65,91.54,7291819.0,92.504,35461,False
2018-08-31 00:00:00+00:00,91.85,93.17,90.97,91.68,7656979.0,91.901,47847,False
2018-09-07 00:00:00+00:00,91.69,91.69,89.1,90.32,5565605.0,90.258,35439,False
2018-09-14 00:00:00+00:00,90.97,92.16,90.08,91.77,4362560.0,91.276,31395,False
2018-09-21 00:00:00+00:00,92.48,93.87,88.84,92.61,7567870.0,91.843,46569,False
2018-09-28 00:00:00+00:00,91.78,92.14,87.37,87.93,6508213.0,89.182,44037,False
2018-10-05 00:00:00+00:00,86.91,87.78,83.84,84.19,7790666.0,86.483,51760,False
2018-10-12 00:00:00+00:00,84.08,84.4,77.7,78.91,11515609.0,81.385,67222,False
2018-10-19 00:00:00+00:00,78.71,80.22,77.53,77.55,6258100.0,78.942,44361,False
2018-10-26 00:00:00+00:00,77.86,78.0,73.7,74.86,8024348.0,75.673,58648,False
2018-11-02 00:00:00+00:00,76.28,80.36,74.63,77.44,15978890.0,77.145,111809,False
2018-11-09 00:00:00+00:00,77.48,80.74,76.77,79.13,6445910.0,79.036,46450,False
2018-11-16 00:00:00+00:00,78.39,78.86,75.55,77.65,10466357.0,77.056,73345,False
2018-11-23 00:00:00+00:00,77.33,77.52,73.26,74.96,4871918.0,74.844,35009,False
2018-11-30 00:00:00+00:00,75.89,76.99,73.42,76.93,6678845.0,75.32,48535,False
2018-12-07 00:00:00+00:00,78.04,78.74,72.59,73.33,7827503.0,74.914,55287,False
2018-12-14 00:00:00+00:00,73.23,75.92,72.52,73.0,6192323.0,74.019,45032,False
2018-12-21 00:00:00+00:00,72.78,74.5,70.56,71.99,11005797.0,72.536,72338,False
2018-12-28 00:00:00+00:00,71.49,75.73,69.84,74.75,4709597.0,72.835,34497,False
2019-01-04 00:00:00+00:00,75.01,75.96,72.24,74.33,6456539.0,73.919,39336,False
2019-01-11 00:00:00+00:00,74.1,78.49,73.91,78.46,7440613.0,76.184,42437,False
2019-01-18 00:00:00+00:00,77.82,81.35,76.91,81.25,6062172.0,78.713,37103,False
2019-01-25 00:00:00+00:00,80.67,81.21,74.84,80.15,11931512.0,78.18,73057,False
2019-02-01 00:00:00+00:00,78.97,81.81,78.53,81.37,4946578.0,79.976,36919,False
2019-02-08 00:00:00+00:00,81.66,83.16,79.54,80.41,6041337.0,81.308,44468,False
2019-02-15 00:00:00+00:00,80.59,82.24,79.87,82.14,6185878.0,81.138,38404,False
2019-02-22 00:00:00+00:00,82.14,83.47,81.65,83.35,3664580.0,82.526,26723,False
2019-03-01 00:00:00+00:00,83.96,84.43,81.98,83.16,4276070.0,83.215,32083,False
2019-03-08 00:00:00+00:00,83.39,83.94,79.99,81.19,5241129.0,81.858,37848,False
2019-03-15 00:00:00+00:00,81.35,84.17,81.35,83.7,5127882.0,83.084,32412,False
2019-03-22 00:00:00+00:00,83.86,84.41,81.48,81.69,6694532.0,83.123,41243,False
2019-03-29 00:00:00+00:00,81.74,82.64,79.98,80.75,6296102.0,81.007,40851,False
2019-04-05 00:00:00+00:00,82.35,86.73,82.03,86.27,5524263.0,85.118,39251,False
2019-04-12 00:00:00+00:00,85.84,88.19,84.86,87.95,3441207.0,86.492,23612,False
2019-04-18 00:00:00+00:00,88.03,89.78,87.03,89.43,2643891.0,88.667,19625,False
2019-04-26 00:00:00+00:00,89.01,96.78,88.39,94.51,6720368.0,93.368,46670,False
2019-05-03 00:00:00+00:00,94.73,95.88,93.18,95.65,5031978.0,94.724,32989,False
2019-05-10 00:00:00+00:00,93.78,94.28,89.41,90.91,3495616.0,91.834,26486,False
2019-05-17 00:00:00+00:00,88.82,90.91,87.84,89.54,3015887.0,89.454,22223,False
2019-05-24 00:00:00+00:00,88.45,89.76,86.14,86.67,3150659.0,87.944,24167,False
2019-05-31 00:00:00+00:00,86.82,87.29,83.86,84.23,3279156.0,85.728,23426,False
2019-06-07 00:00:00+00:00,84.83,91.32,84.7,90.91,3361926.0,88.12,24755,False
2019-06-14 00:00:00+00:00,91.72,93.11,90.05,90.66,2567834.0,91.582,18297,False
2019-06-21 00:00:00+00:00,90.39,96.01,88.36,95.19,3934889.0,93.647,26309,False
2019-06-28 00:00:00+00:00,95.2,95.99,94.24,95.78,2903276.0,95.244,20196,False
2019-07-05 00:00:00+00:00,97.0,97.99,94.32,95.39,2355158.0,96.204,17215,False
2019-07-12 00:00:00+00:00,94.64,94.94,92.48,94.44,4268637.0,93.724,26146,False
2019-07-19 00:00:00+00:00,94.39,94.67,87.05,88.71,5556238.0,89.585,36258,False
2019-07-26 00:00:00+00:00,89.24,93.81,89.12,93.65,6858972.0,91.455,43473,False
2019-08-02 00:00:00+00:00,93.4,94.47,89.42,90.31,8095142.0,92.516,48797,False
2019-08-09 00:00:00+00:00,88.9,90.44,87.12,89.77,5266595.0,88.655,31617,False
2019-08-16 00:00:00+00:00,89.26,90.74,86.55,89.99,3649030.0,88.428,23331,False
2019-08-23 00:00:00+00:00,91.0,91.63,88.7,89.29,3855265.0,90.293,25523,False
2019-08-30 00:00:00+00:00,90.0,92.65,88.08,91.22,5088891.0,90.281,30411,False
2019-09-06 00:00:00+00:00,90.24,95.1,88.02,94.85,3713480.0,91.627,24772,False
2019-09-13 00:00:00+00:00,94.99,97.74,94.27,96.69,3566514.0,96.003,24635,False
