date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,37.17,37.56,36.71,37.39,2850859.0,37.251,17769,False
2018-05-21 00:00:00+00:00,37.84,38.29,37.68,38.18,1676173.0,38.025,11891,False
2018-05-22 00:00:00+00:00,38.57,38.9,38.26,38.32,1683169.0,38.482,12177,False
2018-05-23 00:00:00+00:00,37.85,38.5,37.77,38.47,1159058.0,38.231,7342,False
2018-05-24 00:00:00+00:00,38.61,38.81,38.01,38.52,1125546.0,38.489,8533,False
2018-05-25 00:00:00+00:00,38.55,38.9,38.31,38.73,1214634.0,38.639,8639,False
2018-05-29 00:00:00+00:00,38.29,38.92,38.0,38.55,2251173.0,38.526,15696,False
2018-05-30 00:00:00+00:00,38.92,39.31,38.38,38.57,1864934.0,38.843,12916,False
2018-05-31 00:00:00+00:00,38.54,39.14,37.88,37.91,2361356.0,38.179,14861,False
2018-06-01 00:00:00+00:00,38.35,39.35,38.11,39.31,2749267.0,38.887,16522,False
2018-06-04 00:00:00+00:00,39.17,39.66,39.03,39.32,2438053.0,39.366,14963,False
2018-06-05 00:00:00+00:00,39.66,39.73,39.08,39.46,1964414.0,39.373,13278,False
2018-06-06 00:00:00+00:00,39.4,39.63,39.06,39.62,1400057.0,39.358,8518,False
2018-06-07 00:00:00+00:00,39.63,40.04,38.55,38.81,1844563.0,39.011,13643,False
2018-06-08 00:00:00+00:00,38.3,38.8,37.69,38.69,2313373.0,38.333,16945,False
2018-06-11 00:00:00+00:00,38.85,39.25,38.65,39.02,1251369.0,39.044,9357,False
2018-06-12 00:00:00+00:00,39.05,39.23,38.57,39.09,2119094.0,38.945,12927,False
2018-06-13 00:00:00+00:00,39.21,39.73,38.91,38.93,2065221.0,39.31,12284,False
2018-06-14 00:00:00+00:00,38.96,39.31,38.69,39.05,1887514.0,39.002,11176,False
2018-06-15 00:00:00+00:00,38.87,39.36,38.87,39.34,1893409.0,39.112,10986,False
2018-06-18 00:00:00+00:00,38.87,39.12,38.69,39.05,1008680.0,38.977,7762,False
2018-06-19 00:00:00+00:00,38.28,39.07,37.94,38.99,1629060.0,38.658,12956,False
2018-06-20 00:00:00+00:00,39.12,39.5,38.98,39.2,1199374.0,39.221,9249,False
2018-06-21 00:00:00+00:00,39.39,39.55,38.92,39.1,1683237.0,39.179,10682,False
2018-06-22 00:00:00+00:00,39.24,39.38,38.44,38.8,1806344.0,38.873,12617,False
2018-06-25 00:00:00+00:00,38.32,38.49,37.06,37.67,2180401.0,37.519,16609,False
2018-06-26 00:00:00+00:00,37.9,38.52,37.69,38.05,1941377.0,38.157,13649,False
2018-06-27 00:00:00+00:00,38.21,38.49,37.27,37.28,1762854.0,37.764,10256,False
2018-06-28 00:00:00+00:00,37.09,37.9,36.8,37.67,1631749.0,37.426,12058,False
2018-06-29 00:00:00+00:00,38.63,38.74,38.04,38.07,1808745.0,38.381,10162,False
2018-07-02 00:00:00+00:00,37.47,38.41,37.41,38.31,1701363.0,38.186,12567,False
2018-07-03 00:00:00+00:00,38.61,38.85,37.75,37.82,1398648.0,38.384,8531,False
2018-07-05 00:00:00+00:00,38.26,39.21,38.05,39.2,1773187.0,38.81,12679,False
2018-07-06 00:00:00+00:00,39.05,39.57,38.73,39.52,1326819.0,39.277,9202,False
2018-07-09 00:00:00+00:00,39.75,40.2,39.43,40.18,1496755.0,39.905,9410,False
2018-07-10 00:00:00+00:00,40.24,40.76,39.94,40.11,1526459.0,40.232,9950,False
2018-07-11 00:00:00+00:00,39.43,39.67,38.77,38.87,2311138.0,39.113,16191,False
2018-07-12 00:00:00+00:00,39.43,39.83,39.17,39.75,1587947.0,39.635,9778,False
2018-07-13 00:00:00+00:00,39.6,39.95,39.33,39.58,1247348.0,39.557,8598,False
2018-07-16 00:00:00+00:00,39.6,40.0,39.47,39.83,1186880.0,39.818,8964,False
2018-07-17 00:00:00+00:00,39.53,40.38,39.37,40.32,1321190.0,40.06,9852,False
2018-07-18 00:00:00+00:00,40.84,41.46,40.6,41.38,2667287.0,41.225,16914,False
2018-07-19 00:00:00+00:00,41.16,41.16,39.75,40.03,2297332.0,40.15,13666,False
2018-07-20 00:00:00+00:00,40.02,40.35,39.75,40.22,1773277.0,40.104,11814,False
2018-07-23 00:00:00+00:00,39.92,40.89,39.23,40.73,2677962.0,40.415,13308,False
