date,open,high,low,close,volume,average,barCount,is_rth
2025-02-28 00:00:00+00:00,11.85,14.28,11.27,12.36,1234167.0,12.44010224130122,1457,False
2025-03-31 00:00:00+00:00,12.8,12.98,10.59,11.12,2030053.0,11.8,8515,False
2025-04-30 00:00:00+00:00,10.86,11.19,8.75,10.22,3507627.0,9.809,16329,False
2025-05-30 00:00:00+00:00,10.28,11.57,9.86,10.5,4837286.0,10.755,27426,False
2025-06-30 00:00:00+00:00,10.7,11.53,10.01,11.04,16223402.0,10.804,100247,False
2025-07-31 00:00:00+00:00,11.16,12.12,10.54,11.09,19981178.0,11.482,110866,False
2025-08-29 00:00:00+00:00,11.16,11.28,9.0,11.27,42987954.0,10.177,206016,False
2025-09-30 00:00:00+00:00,11.15,14.95,10.77,13.31,62024357.0,13.062,251810,False
2025-10-31 00:00:00+00:00,13.17,14.65,11.78,12.13,48007399.0,13.033,230957,False
2025-11-28 00:00:00+00:00,12.2,12.33,8.8,9.72,52642696.0,10.193,252216,False
2025-12-31 00:00:00+00:00,9.64,11.38,9.24,10.11,30287049.0,10.033,153644,False
2026-01-30 00:00:00+00:00,10.18,11.86,9.69,10.1,29565394.0,10.913,147951,False
2026-02-27 00:00:00+00:00,10.05,10.4,8.9,9.47,29443822.0,9.588,148652,False
2026-03-31 00:00:00+00:00,9.27,9.66,6.36,6.58,58669768.0,7.659,280532,False
2026-04-30 00:00:00+00:00,6.66,9.21,6.52,9.14,34697098.0,8.007,156300,False
2026-05-15 00:00:00+00:00,9.28,10.9,8.46,8.96,22485656.0,9.71,119359,False
