date,open,high,low,close,volume,average,barCount,is_rth
2019-05-31 00:00:00+00:00,22.1,31.54,21.38,27.19,5136064.0,26.485,27171,False
2019-06-28 00:00:00+00:00,26.9,29.7,24.61,28.99,3115946.0,26.889,19437,False
2019-07-31 00:00:00+00:00,29.48,30.18,22.71,23.73,2346747.0,25.873,13075,False
2019-08-30 00:00:00+00:00,23.5,24.81,19.91,23.95,1865796.0,21.927,9637,False
2019-09-30 00:00:00+00:00,23.91,25.47,22.5,23.75,874181.0,23.815,4794,False
2019-10-31 00:00:00+00:00,23.76,24.0,16.92,17.94,1525813.0,18.431,10327,False
2019-11-29 00:00:00+00:00,18.0,20.5,15.74,18.75,2647853.0,18.064,16676,False
2019-12-31 00:00:00+00:00,18.82,20.93,17.21,19.01,4166330.0,18.843,25160,False
2020-01-31 00:00:00+00:00,19.12,20.99,17.1,17.51,2910012.0,18.969,16473,False
2020-02-28 00:00:00+00:00,17.54,20.38,14.75,15.7,1896810.0,17.999,11006,False
2020-03-31 00:00:00+00:00,15.76,16.58,10.1,12.08,2755145.0,13.753,17428,False
2020-04-30 00:00:00+00:00,11.64,19.58,11.14,18.09,1987226.0,14.915,14616,False
2020-05-29 00:00:00+00:00,17.73,18.23,13.15,13.21,3108988.0,14.609,18763,False
2020-06-30 00:00:00+00:00,13.38,18.18,12.75,17.92,3465513.0,15.839,21710,False
2020-07-31 00:00:00+00:00,18.07,18.68,16.21,18.06,2021679.0,17.521,12549,False
2020-08-31 00:00:00+00:00,18.17,19.57,17.32,17.83,1981729.0,18.275,14702,False
2020-09-30 00:00:00+00:00,17.82,18.0,12.71,13.78,3865444.0,14.876,20773,False
2020-10-30 00:00:00+00:00,13.81,14.37,11.51,11.98,1636950.0,13.503,10956,False
2020-11-30 00:00:00+00:00,12.17,15.31,11.64,14.87,842979.0,13.901,5449,False
2020-12-31 00:00:00+00:00,14.99,20.0,14.6,19.9,1356941.0,17.672,7887,False
2021-01-29 00:00:00+00:00,19.7,24.77,17.19,22.78,2061483.0,21.672,12791,False
2021-02-26 00:00:00+00:00,23.4,41.2,21.3,35.89,18870325.0,32.412,83816,False
2021-03-31 00:00:00+00:00,36.36,49.5,26.5,41.49,15262837.0,39.584,75826,False
2021-04-30 00:00:00+00:00,42.26,42.58,24.5,28.71,12943225.0,32.225,63026,False
2021-05-28 00:00:00+00:00,28.85,29.1,20.8,25.64,5424330.0,24.246,33319,False
2021-06-30 00:00:00+00:00,25.8,35.24,24.65,33.18,4710867.0,29.952,28634,False
2021-07-30 00:00:00+00:00,33.57,35.37,26.3,28.52,5570202.0,31.19,29254,False
2021-08-31 00:00:00+00:00,28.54,33.17,25.75,32.68,3407104.0,29.356,19617,False
2021-09-30 00:00:00+00:00,32.6,35.29,28.91,33.09,3090560.0,32.022,17900,False
2021-10-29 00:00:00+00:00,32.73,33.33,25.63,27.43,2743813.0,28.573,14926,False
2021-11-30 00:00:00+00:00,27.48,32.79,20.98,22.04,3607828.0,25.935,22458,False
2021-12-31 00:00:00+00:00,23.19,24.55,19.0,19.16,2559456.0,21.424,16709,False
2022-01-31 00:00:00+00:00,19.21,20.49,13.36,15.87,2081144.0,16.317,12911,False
2022-02-28 00:00:00+00:00,15.76,18.72,10.0,18.52,2420220.0,15.233,15389,False
2022-03-31 00:00:00+00:00,18.48,27.23,16.16,26.94,3594243.0,21.642,22927,False
2022-04-29 00:00:00+00:00,27.1,28.25,20.36,20.96,2195537.0,23.321,13307,False
2022-05-31 00:00:00+00:00,21.06,31.2,20.6,29.17,6418374.0,27.445,38907,False
2022-06-30 00:00:00+00:00,29.22,34.21,24.01,31.45,2832025.0,28.823,18925,False
2022-07-29 00:00:00+00:00,31.38,40.48,30.53,40.38,4071562.0,35.05,24246,False
2022-08-31 00:00:00+00:00,39.6,54.98,35.56,52.03,10148490.0,46.009,56634,False
2022-09-30 00:00:00+00:00,51.83,56.41,39.17,41.74,5506114.0,48.401,36620,False
2022-10-31 00:00:00+00:00,41.74,50.39,38.86,48.22,3295628.0,43.889,22520,False
2022-11-30 00:00:00+00:00,49.12,63.66,43.99,61.87,6595254.0,56.381,38200,False
2022-12-30 00:00:00+00:00,62.45,64.36,54.05,61.72,3271679.0,59.916,20805,False
2023-01-31 00:00:00+00:00,62.33,69.09,53.33,63.02,4103965.0,62.01,24859,False
2023-02-28 00:00:00+00:00,62.64,81.69,61.3,80.07,6589905.0,70.954,39672,False
2023-03-31 00:00:00+00:00,79.51,83.49,70.0,75.73,5502427.0,76.926,35491,False
2023-04-28 00:00:00+00:00,75.4,90.15,66.0,79.1,6523180.0,77.749,41614,False
2023-05-31 00:00:00+00:00,79.05,81.82,68.13,72.66,9726776.0,73.706,61713,False
2023-06-30 00:00:00+00:00,72.36,87.98,70.87,83.98,5753754.0,80.165,41329,False
2023-07-31 00:00:00+00:00,84.71,99.63,80.04,93.18,3989649.0,89.565,27518,False
2023-08-31 00:00:00+00:00,92.83,94.19,60.21,65.63,13228156.0,69.212,80659,False
2023-09-29 00:00:00+00:00,65.63,69.91,53.0,54.75,8556232.0,58.98,54585,False
2023-10-31 00:00:00+00:00,54.22,54.99,36.69,37.48,10116893.0,45.338,63208,False
2023-11-30 00:00:00+00:00,37.19,76.42,36.42,75.68,17150619.0,59.729,104443,False
