date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,84.42,85.34,83.32,84.6,92914.0,84.474,464,False
2018-05-25 00:00:00+00:00,84.89,87.53,83.14,85.52,111472.0,85.5,844,False
2018-06-01 00:00:00+00:00,84.71,86.13,83.38,85.69,101237.0,85.103,876,False
2018-06-08 00:00:00+00:00,85.8,89.22,85.21,87.42,116914.0,87.257,920,False
2018-06-15 00:00:00+00:00,87.42,88.29,85.26,86.51,110182.0,86.517,770,False
2018-06-22 00:00:00+00:00,86.21,89.82,86.21,89.15,106151.0,88.106,825,False
2018-06-29 00:00:00+00:00,88.04,88.91,85.32,85.88,69088.0,87.197,545,False
2018-07-06 00:00:00+00:00,84.24,89.05,84.24,88.93,49046.0,87.544,374,False
2018-07-13 00:00:00+00:00,89.07,90.85,86.49,86.49,62955.0,88.737,493,False
2018-07-20 00:00:00+00:00,86.35,91.63,86.2,91.14,68748.0,88.277,531,False
2018-07-27 00:00:00+00:00,90.9,91.99,87.09,87.23,68678.0,88.973,545,False
2018-08-03 00:00:00+00:00,87.49,89.2,85.01,85.63,64880.0,86.405,505,False
2018-08-10 00:00:00+00:00,85.74,86.62,84.39,84.39,29464.0,85.216,217,False
2018-08-17 00:00:00+00:00,84.92,87.78,84.5,86.59,71280.0,86.443,564,False
2018-08-24 00:00:00+00:00,85.89,88.95,85.8,88.01,66192.0,87.637,468,False
2018-08-31 00:00:00+00:00,88.32,88.95,86.2,87.87,35016.0,87.201,264,False
2018-09-07 00:00:00+00:00,87.6,88.0,86.61,87.49,23001.0,87.371,201,False
2018-09-14 00:00:00+00:00,87.99,87.99,84.0,84.65,59986.0,85.095,468,False
2018-09-21 00:00:00+00:00,85.27,86.72,82.91,86.72,76845.0,84.127,428,False
2018-09-28 00:00:00+00:00,86.33,86.33,79.96,81.19,56463.0,82.16,455,False
2018-10-05 00:00:00+00:00,81.76,82.16,78.18,80.6,43183.0,80.055,319,False
2018-10-12 00:00:00+00:00,80.26,84.2,75.5,76.84,88823.0,81.007,732,False
2018-10-19 00:00:00+00:00,76.5,80.67,74.2,74.57,57665.0,77.927,428,False
2018-10-26 00:00:00+00:00,74.58,76.0,70.0,72.52,49439.0,72.592,394,False
2018-11-02 00:00:00+00:00,73.14,76.21,71.14,75.97,47184.0,73.952,386,False
2018-11-09 00:00:00+00:00,75.52,77.65,74.53,75.43,45830.0,76.101,379,False
2018-11-16 00:00:00+00:00,75.0,80.55,75.0,80.04,67459.0,78.101,523,False
2018-11-23 00:00:00+00:00,79.78,80.67,77.1,80.22,18405.0,78.364,148,False
2018-11-30 00:00:00+00:00,80.97,81.85,77.81,81.77,42411.0,80.377,362,False
2018-12-07 00:00:00+00:00,82.75,82.75,73.16,75.71,49894.0,76.346,395,False
2018-12-14 00:00:00+00:00,75.77,77.75,73.5,74.22,46557.0,75.374,365,False
2018-12-21 00:00:00+00:00,74.44,75.28,69.87,71.07,100011.0,72.016,617,False
2018-12-28 00:00:00+00:00,71.0,75.5,69.02,75.5,62436.0,72.445,509,False
2019-01-04 00:00:00+00:00,75.14,79.12,73.5,78.12,71869.0,76.346,619,False
2019-01-11 00:00:00+00:00,78.01,79.59,77.66,78.98,78874.0,78.854,613,False
2019-01-18 00:00:00+00:00,78.85,81.52,77.08,80.78,92219.0,79.301,660,False
2019-01-25 00:00:00+00:00,79.97,80.77,73.79,74.5,59589.0,76.97,463,False
2019-02-01 00:00:00+00:00,73.34,76.08,71.54,76.08,54330.0,73.975,394,False
2019-02-08 00:00:00+00:00,76.27,77.38,74.62,75.76,43005.0,76.136,347,False
2019-02-15 00:00:00+00:00,75.92,79.41,75.63,78.74,73025.0,77.535,570,False
2019-02-22 00:00:00+00:00,78.96,81.83,78.96,80.49,55403.0,80.656,476,False
2019-03-01 00:00:00+00:00,80.98,81.4,77.53,80.93,72328.0,79.717,615,False
2019-03-08 00:00:00+00:00,80.78,80.84,74.43,78.21,130579.0,77.645,1153,False
2019-03-11 00:00:00+00:00,78.57,81.1,77.59,77.93,110232.0,79.078,614,False
2019-03-22 00:00:00+00:00,77.93,79.52,72.76,73.0,125588.0,76.307,1015,False
2019-03-29 00:00:00+00:00,72.73,77.54,72.73,76.07,63234.0,75.154,546,False
2019-04-05 00:00:00+00:00,76.37,78.15,75.16,77.86,67509.0,76.84,521,False
2019-04-12 00:00:00+00:00,77.55,79.55,76.37,78.95,64960.0,78.428,497,False
2019-04-18 00:00:00+00:00,79.08,79.75,77.26,78.98,38530.0,78.759,314,False
2019-04-26 00:00:00+00:00,79.02,80.57,76.69,80.35,93659.0,78.465,665,False
2019-05-03 00:00:00+00:00,80.01,83.73,78.79,83.73,135842.0,81.3,1049,False
2019-05-10 00:00:00+00:00,82.15,83.82,77.55,78.83,142053.0,80.587,1051,False
2019-05-17 00:00:00+00:00,77.81,79.03,76.09,77.8,221604.0,77.735,1797,False
2019-05-24 00:00:00+00:00,77.41,80.92,77.11,79.63,189141.0,79.024,1439,False
2019-05-31 00:00:00+00:00,79.68,79.75,76.62,79.03,129025.0,78.687,837,False
2019-06-07 00:00:00+00:00,78.98,79.98,77.86,79.64,88153.0,79.173,602,False
2019-06-14 00:00:00+00:00,79.9,81.72,78.77,81.2,76305.0,80.451,659,False
2019-06-21 00:00:00+00:00,81.68,81.91,78.75,78.93,131622.0,80.015,844,False
2019-06-28 00:00:00+00:00,79.19,82.43,78.15,81.6,110072.0,80.257,880,False
2019-07-05 00:00:00+00:00,82.3,82.75,80.01,82.25,62922.0,81.624,533,False
2019-07-12 00:00:00+00:00,81.98,82.68,79.38,81.68,121361.0,80.777,943,False
2019-07-19 00:00:00+00:00,81.9,82.0,79.1,79.81,108946.0,79.962,821,False
2019-07-26 00:00:00+00:00,80.15,80.95,76.85,80.56,155475.0,79.041,1195,False
2019-08-02 00:00:00+00:00,80.27,82.94,78.24,79.0,183845.0,80.75,1489,False
2019-08-09 00:00:00+00:00,78.5,78.98,75.99,77.58,151892.0,77.336,1183,False
2019-08-16 00:00:00+00:00,77.38,79.54,76.1,78.25,114441.0,77.497,919,False
2019-08-23 00:00:00+00:00,79.15,79.23,76.78,77.1,139840.0,78.078,1069,False
2019-08-30 00:00:00+00:00,77.73,79.36,76.58,79.1,86394.0,77.96,641,False
2019-09-06 00:00:00+00:00,78.34,80.55,76.77,78.07,99271.0,78.259,772,False
2019-09-13 00:00:00+00:00,78.11,85.14,78.07,84.31,148606.0,82.334,1133,False
2019-09-20 00:00:00+00:00,83.92,84.84,81.7,82.62,135107.0,83.207,932,False
2019-09-27 00:00:00+00:00,83.8,83.8,81.15,81.57,108696.0,82.272,796,False
2019-10-04 00:00:00+00:00,81.39,82.22,78.23,79.85,98678.0,79.988,786,False
2019-10-11 00:00:00+00:00,79.36,81.9,78.4,80.22,79447.0,79.543,596,False
2019-10-18 00:00:00+00:00,79.0,82.48,78.81,82.48,95143.0,80.578,746,False
2019-10-25 00:00:00+00:00,83.11,87.62,82.51,86.5,149434.0,85.07,1200,False
2019-11-01 00:00:00+00:00,86.28,88.46,85.57,88.25,109213.0,87.426,927,False
2019-11-08 00:00:00+00:00,88.51,90.44,88.15,88.83,112612.0,89.017,952,False
2019-11-15 00:00:00+00:00,88.51,89.79,86.66,87.15,192455.0,88.608,1628,False
2019-11-22 00:00:00+00:00,87.05,87.97,85.36,86.46,109598.0,87.021,946,False
2019-11-29 00:00:00+00:00,86.64,88.81,86.46,86.75,72653.0,87.607,607,False
2019-12-06 00:00:00+00:00,87.48,89.0,85.31,87.76,101958.0,86.98,864,False
2019-12-13 00:00:00+00:00,87.74,91.1,86.89,90.01,118921.0,88.985,966,False
2019-12-20 00:00:00+00:00,90.0,91.88,89.86,91.07,156063.0,90.692,926,False
2019-12-27 00:00:00+00:00,91.36,91.51,88.8,90.33,56153.0,90.452,439,False
2020-01-03 00:00:00+00:00,90.58,91.99,90.01,91.66,121355.0,91.232,952,False
2020-01-10 00:00:00+00:00,90.51,91.73,89.99,90.6,98594.0,90.817,819,False
2020-01-17 00:00:00+00:00,90.77,93.66,90.01,92.45,73347.0,92.025,587,False
2020-01-24 00:00:00+00:00,92.13,92.82,87.81,89.31,57083.0,90.956,439,False
2020-01-31 00:00:00+00:00,88.1,90.38,86.08,86.09,66275.0,88.004,547,False
2020-02-07 00:00:00+00:00,86.06,90.64,86.06,87.53,62912.0,88.315,551,False
2020-02-14 00:00:00+00:00,87.69,89.0,87.01,87.92,50976.0,88.077,458,False
2020-02-21 00:00:00+00:00,87.92,88.19,86.26,86.53,63761.0,87.122,535,False
2020-02-28 00:00:00+00:00,84.54,85.93,77.5,79.48,116610.0,82.626,932,False
2020-03-06 00:00:00+00:00,79.8,83.08,75.32,80.43,162209.0,79.074,1021,False
2020-03-13 00:00:00+00:00,75.56,77.28,61.68,68.24,160855.0,68.984,1176,False
