date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,20.72,22.79,20.67,22.62,2648455.0,21.526,16467,False
2016-06-30 00:00:00+00:00,22.4,24.17,20.77,23.55,12187092.0,22.457,73900,False
2016-07-29 00:00:00+00:00,23.58,25.98,23.28,25.12,5156575.0,24.731,37244,False
2016-08-31 00:00:00+00:00,25.05,25.16,22.01,23.19,7445256.0,23.682,50383,False
2016-09-30 00:00:00+00:00,23.24,24.04,19.8,21.47,6071703.0,21.449,41908,False
2016-10-31 00:00:00+00:00,21.39,22.67,18.05,19.05,12817036.0,20.359,76098,False
2016-11-30 00:00:00+00:00,19.25,30.2,18.35,26.1,22633812.0,25.478,136156,False
2016-12-30 00:00:00+00:00,26.15,29.45,25.7,28.0,6790714.0,27.899,46193,False
2017-01-31 00:00:00+00:00,28.5,33.0,26.75,29.8,6166735.0,29.285,40772,False
2017-02-28 00:00:00+00:00,30.35,31.15,26.75,30.45,6443959.0,29.731,41483,False
2017-03-31 00:00:00+00:00,31.15,32.18,28.1,31.8,7035994.0,30.34,46151,False
2017-04-28 00:00:00+00:00,32.05,32.7,29.6,30.85,5648282.0,31.249,33421,False
2017-05-31 00:00:00+00:00,31.1,31.85,25.5,25.95,6477124.0,27.945,46789,False
2017-06-30 00:00:00+00:00,26.1,29.2,25.35,28.75,5151943.0,26.965,35724,False
2017-07-31 00:00:00+00:00,29.0,29.65,26.5,26.6,3715852.0,28.342,25630,False
2017-08-31 00:00:00+00:00,26.75,28.35,23.3,26.15,6118555.0,25.987,41397,False
2017-09-29 00:00:00+00:00,26.3,29.1,25.3,28.4,4037534.0,27.085,26257,False
2017-10-31 00:00:00+00:00,28.6,29.9,27.0,28.2,4992897.0,28.355,32648,False
2017-11-30 00:00:00+00:00,28.5,28.6,22.6,25.2,8951756.0,24.572,59154,False
2017-12-29 00:00:00+00:00,25.35,28.3,24.35,25.35,7591778.0,26.573,49432,False
2018-01-31 00:00:00+00:00,25.65,28.05,24.65,24.75,6660387.0,26.099,38483,False
2018-02-28 00:00:00+00:00,24.75,25.05,21.15,24.15,10852315.0,22.81,66099,False
2018-03-29 00:00:00+00:00,24.05,24.3,20.2,22.05,10270114.0,22.162,63064,False
2018-04-30 00:00:00+00:00,21.95,23.23,20.6,20.65,6910354.0,21.879,46698,False
2018-05-31 00:00:00+00:00,21.0,21.9,18.9,19.8,7973623.0,20.468,51228,False
2018-06-29 00:00:00+00:00,20.0,20.25,18.05,18.45,6528792.0,19.241,40804,False
2018-07-31 00:00:00+00:00,18.25,18.95,17.55,18.5,4811326.0,18.274,29233,False
2018-08-31 00:00:00+00:00,18.5,22.03,17.9,20.35,6071338.0,19.973,36396,False
2018-09-28 00:00:00+00:00,20.35,21.35,18.45,18.8,4466250.0,19.965,26362,False
2018-10-31 00:00:00+00:00,18.93,19.52,15.06,15.5,7992279.0,17.542,42768,False
2018-11-30 00:00:00+00:00,15.59,19.31,14.92,18.61,8241898.0,17.699,47740,False
2018-12-31 00:00:00+00:00,19.02,19.06,14.66,15.97,5840520.0,16.551,37287,False
2019-01-31 00:00:00+00:00,15.67,18.59,15.63,17.21,6066063.0,17.065,37277,False
2019-02-28 00:00:00+00:00,16.4,20.52,15.23,18.82,6985336.0,16.774,41433,False
2019-03-29 00:00:00+00:00,19.13,19.58,16.73,17.12,6230728.0,18.315,40428,False
2019-04-30 00:00:00+00:00,17.25,20.15,17.2,19.97,4464134.0,19.148,29521,False
2019-05-31 00:00:00+00:00,20.13,20.37,14.19,14.54,6055106.0,16.859,38411,False
2019-06-28 00:00:00+00:00,14.54,15.58,12.62,13.87,7626927.0,13.681,41883,False
2019-07-31 00:00:00+00:00,14.54,14.83,12.54,13.06,5212970.0,13.797,28724,False
2019-08-30 00:00:00+00:00,13.0,13.16,9.26,9.99,14984507.0,10.316,70719,False
2019-09-30 00:00:00+00:00,9.84,14.85,9.24,14.33,8975685.0,12.627,47864,False
2019-10-31 00:00:00+00:00,14.49,17.07,13.31,15.47,7545710.0,15.393,40032,False
2019-11-29 00:00:00+00:00,15.56,19.48,15.25,15.93,10411029.0,16.886,61570,False
2019-12-31 00:00:00+00:00,16.09,16.17,12.55,12.86,9248314.0,13.888,50585,False
2020-01-31 00:00:00+00:00,13.01,13.05,10.63,11.26,8909489.0,11.541,41608,False
2020-02-28 00:00:00+00:00,11.23,15.92,9.46,14.5,19019246.0,12.265,95065,False
2020-03-31 00:00:00+00:00,14.5,15.12,2.61,6.72,32848138.0,8.681,153294,False
2020-04-30 00:00:00+00:00,6.48,8.26,5.02,7.0,17966215.0,6.473,79975,False
2020-05-29 00:00:00+00:00,6.81,11.47,5.76,10.5,21053895.0,8.087,92405,False
2020-06-30 00:00:00+00:00,10.64,13.92,10.18,12.18,10947999.0,11.945,56826,False
2020-07-31 00:00:00+00:00,12.15,13.34,10.83,11.77,5812786.0,12.105,33253,False
2020-08-31 00:00:00+00:00,11.87,13.9,11.73,12.55,5216695.0,12.901,30690,False
2020-09-30 00:00:00+00:00,12.39,13.39,10.8,11.13,4505716.0,11.943,26218,False
2020-10-30 00:00:00+00:00,11.21,14.86,10.79,13.51,4478014.0,13.245,23832,False
2020-11-30 00:00:00+00:00,13.74,15.16,12.68,13.52,6191304.0,13.959,34511,False
2020-12-31 00:00:00+00:00,13.75,14.12,12.45,12.95,5352673.0,13.211,28595,False
2021-01-29 00:00:00+00:00,13.16,17.78,12.7,14.9,5720265.0,15.72,29742,False
2021-02-26 00:00:00+00:00,15.03,18.42,14.6,14.7,5887782.0,16.957,28613,False
2021-03-31 00:00:00+00:00,15.21,20.24,14.33,18.95,6146771.0,17.525,37467,False
2021-04-30 00:00:00+00:00,19.25,19.82,15.96,16.1,3132816.0,17.49,18593,False
2021-05-28 00:00:00+00:00,16.44,17.62,15.03,15.48,3646128.0,15.931,22190,False
2021-06-30 00:00:00+00:00,15.83,16.11,13.44,13.85,6879643.0,14.534,32030,False
2021-07-30 00:00:00+00:00,13.99,14.33,12.39,14.07,3627446.0,13.294,20873,False
2021-08-31 00:00:00+00:00,14.53,15.02,13.22,14.42,4042315.0,14.273,22725,False
2021-09-30 00:00:00+00:00,14.46,14.59,12.08,12.98,3609594.0,13.237,21509,False
2021-10-29 00:00:00+00:00,13.16,14.05,12.64,13.62,2717345.0,13.314,15757,False
2021-11-30 00:00:00+00:00,13.74,15.67,12.61,12.86,5584595.0,14.182,30089,False
2021-12-31 00:00:00+00:00,13.24,13.71,11.91,12.37,3589540.0,12.634,19837,False
2022-01-31 00:00:00+00:00,12.43,13.05,11.0,11.9,4556210.0,12.145,25840,False
2022-02-28 00:00:00+00:00,11.97,12.2,9.35,9.8,4570262.0,10.92,25015,False
2022-03-31 00:00:00+00:00,9.7,10.83,9.19,10.8,4745756.0,10.06,26772,False
2022-04-29 00:00:00+00:00,10.86,10.94,9.06,9.27,2805609.0,9.887,16022,False
2022-05-31 00:00:00+00:00,9.32,10.83,9.1,10.14,3932740.0,9.808,22433,False
2022-06-30 00:00:00+00:00,10.06,10.49,8.33,8.78,3253865.0,9.254,18703,False
2022-07-29 00:00:00+00:00,8.72,9.23,8.4,9.08,2610277.0,8.778,14497,False
2022-08-31 00:00:00+00:00,9.01,9.39,6.76,6.78,7095147.0,7.437,34094,False
2022-09-30 00:00:00+00:00,6.75,7.26,5.4,5.52,4927155.0,6.483,26952,False
2022-10-31 00:00:00+00:00,5.53,7.53,5.42,7.42,4398493.0,6.236,22677,False
2022-11-30 00:00:00+00:00,7.49,8.16,6.77,7.15,5461373.0,7.415,31570,False
2022-12-30 00:00:00+00:00,7.27,7.91,7.09,7.55,3792643.0,7.539,22224,False
2023-01-31 00:00:00+00:00,7.62,9.23,7.44,9.17,2979682.0,8.437,18676,False
2023-02-28 00:00:00+00:00,9.13,9.6,8.1,8.11,2409859.0,8.868,14253,False
2023-03-31 00:00:00+00:00,8.11,8.97,5.46,6.17,5735479.0,6.712,33951,False
2023-04-28 00:00:00+00:00,6.2,6.25,4.92,5.3,5815788.0,5.46,30699,False
2023-05-31 00:00:00+00:00,5.29,6.75,4.9,5.4,6016635.0,5.679,33978,False
2023-06-30 00:00:00+00:00,5.5,7.2,5.37,7.15,4621900.0,6.633,26378,False
2023-07-31 00:00:00+00:00,7.06,8.58,6.6,8.45,3218599.0,7.855,18335,False
2023-08-31 00:00:00+00:00,8.45,9.32,6.59,8.89,3025862.0,8.539,16098,False
2023-09-29 00:00:00+00:00,8.92,9.12,7.62,7.83,2252444.0,8.103,12364,False
2023-10-31 00:00:00+00:00,7.79,7.87,6.85,7.21,2183210.0,7.307,12153,False
2023-11-30 00:00:00+00:00,7.14,8.55,6.86,8.37,2391309.0,7.738,12316,False
2023-12-29 00:00:00+00:00,8.3,9.35,8.1,9.1,1924751.0,8.762,10652,False
2024-01-31 00:00:00+00:00,9.01,9.47,7.83,8.96,2510966.0,8.702,13898,False
2024-02-29 00:00:00+00:00,9.0,12.39,8.45,11.33,2512946.0,10.038,13056,False
2024-03-28 00:00:00+00:00,11.43,14.69,11.13,14.46,4481080.0,12.837,24583,False
2024-04-30 00:00:00+00:00,14.5,18.18,13.14,16.63,7031222.0,15.329,36867,False
2024-05-31 00:00:00+00:00,16.73,23.19,16.12,22.06,6251111.0,19.772,33411,False
2024-06-28 00:00:00+00:00,22.44,22.83,19.15,21.78,6002189.0,20.99,31903,False
