date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 14:00:00+00:00,38.34,38.44,37.76,38.23,3728.0,38.176,28,False
2025-11-17 15:00:00+00:00,38.28,38.35,37.8,37.85,4882.0,38.153,33,True
2025-11-17 16:00:00+00:00,37.76,37.76,37.55,37.73,8993.0,37.662,70,True
2025-11-17 17:00:00+00:00,37.75,37.89,37.68,37.71,4290.0,37.8,38,True
2025-11-17 18:00:00+00:00,37.68,37.7,37.51,37.52,6433.0,37.644,49,True
2025-11-17 19:00:00+00:00,37.51,37.56,36.96,37.07,8223.0,37.415,73,True
2025-11-17 20:00:00+00:00,36.94,37.02,36.58,36.74,56340.0,36.755,399,True
2025-11-17 21:00:00+00:00,36.74,36.74,36.74,36.74,71123.0,36.74,6,False
2025-11-17 22:00:00+00:00,36.74,36.74,36.74,36.74,0.0,36.74,0,False
2025-11-17 23:00:00+00:00,36.74,36.74,36.74,36.74,0.0,36.74,0,False
2025-11-18 00:00:00+00:00,36.74,36.74,36.74,36.74,0.0,36.74,0,False
2025-11-18 14:00:00+00:00,36.74,37.33,36.63,37.26,6283.0,36.875,30,False
2025-11-18 15:00:00+00:00,37.26,37.26,36.79,37.04,9892.0,37.03,74,True
2025-11-18 16:00:00+00:00,37.0,37.26,36.98,37.18,4700.0,37.134,34,True
2025-11-18 17:00:00+00:00,37.16,37.33,37.02,37.32,6542.0,37.196,50,True
2025-11-18 18:00:00+00:00,37.26,37.32,37.21,37.29,7382.0,37.264,58,True
2025-11-18 19:00:00+00:00,37.27,37.4,37.22,37.35,8326.0,37.306,72,True
2025-11-18 20:00:00+00:00,37.35,37.48,37.23,37.28,37720.0,37.348,305,True
2025-11-18 21:00:00+00:00,37.3,37.3,37.12,37.12,66686.0,37.3,7,False
2025-11-18 22:00:00+00:00,37.12,37.12,37.12,37.12,0.0,37.12,0,False
2025-11-18 23:00:00+00:00,37.12,37.12,37.12,37.12,0.0,37.12,0,False
2025-11-19 00:00:00+00:00,37.12,37.12,37.12,37.12,0.0,37.12,0,False
2025-11-19 14:00:00+00:00,37.26,37.69,37.26,37.41,4788.0,37.384,35,False
2025-11-19 15:00:00+00:00,37.27,37.53,37.27,37.41,9980.0,37.44,85,True
2025-11-19 16:00:00+00:00,37.41,37.55,37.35,37.52,16293.0,37.43,98,True
2025-11-19 17:00:00+00:00,37.56,37.62,37.35,37.41,8339.0,37.51,75,True
2025-11-19 18:00:00+00:00,37.45,37.59,37.33,37.43,13656.0,37.443,113,True
2025-11-19 19:00:00+00:00,37.42,37.5,37.33,37.44,15477.0,37.402,126,True
2025-11-19 20:00:00+00:00,37.43,37.86,37.4,37.75,32670.0,37.709,245,True
2025-11-19 21:00:00+00:00,37.74,37.74,37.74,37.74,52625.0,37.74,6,False
2025-11-19 22:00:00+00:00,37.74,37.74,37.74,37.74,0.0,37.74,0,False
2025-11-19 23:00:00+00:00,37.74,37.74,37.74,37.74,0.0,37.74,0,False
2025-11-20 00:00:00+00:00,37.74,37.74,37.74,37.74,0.0,37.74,0,False
2025-11-20 14:00:00+00:00,38.16,38.51,37.97,38.07,5626.0,38.181,36,False
2025-11-20 15:00:00+00:00,38.18,38.63,38.18,38.44,7347.0,38.419,51,True
2025-11-20 16:00:00+00:00,38.43,38.46,37.8,37.87,13439.0,38.132,122,True
2025-11-20 17:00:00+00:00,37.98,38.0,37.76,37.86,5701.0,37.854,50,True
2025-11-20 18:00:00+00:00,37.87,37.98,37.8,37.81,4347.0,37.917,43,True
2025-11-20 19:00:00+00:00,37.83,37.86,37.58,37.76,23294.0,37.696,183,True
2025-11-20 20:00:00+00:00,37.81,38.03,37.61,37.66,40774.0,37.823,346,True
2025-11-20 21:00:00+00:00,37.63,37.63,37.63,37.63,44566.0,37.63,4,False
2025-11-20 22:00:00+00:00,37.63,37.63,37.63,37.63,0.0,37.63,0,False
2025-11-20 23:00:00+00:00,37.63,37.63,37.63,37.63,0.0,37.63,0,False
2025-11-21 00:00:00+00:00,37.63,37.63,37.63,37.63,0.0,37.63,0,False
2025-11-21 14:00:00+00:00,37.76,38.1,37.54,37.98,28885.0,37.828,75,False
2025-11-21 15:00:00+00:00,38.11,38.62,38.1,38.5,21299.0,38.361,201,True
2025-11-21 16:00:00+00:00,38.41,38.87,38.41,38.84,13157.0,38.703,121,True
2025-11-21 17:00:00+00:00,38.81,38.84,38.64,38.74,15670.0,38.729,142,True
2025-11-21 18:00:00+00:00,38.74,39.0,38.62,38.84,16972.0,38.758,150,True
2025-11-21 19:00:00+00:00,38.79,38.95,38.78,38.82,16566.0,38.851,146,True
2025-11-21 20:00:00+00:00,38.84,38.89,38.52,38.56,42129.0,38.632,335,True
2025-11-21 21:00:00+00:00,38.59,38.59,38.56,38.56,86204.0,38.56,14,False
2025-11-21 22:00:00+00:00,38.56,38.56,38.56,38.56,0.0,38.56,0,False
2025-11-21 23:00:00+00:00,38.56,38.56,38.56,38.56,0.0,38.56,0,False
2025-11-22 00:00:00+00:00,38.56,38.56,38.56,38.56,0.0,38.56,0,False
2025-11-24 14:00:00+00:00,38.4,38.65,38.13,38.65,6241.0,38.416,34,False
2025-11-24 15:00:00+00:00,38.59,38.76,38.42,38.48,6819.0,38.541,52,True
2025-11-24 16:00:00+00:00,38.48,38.48,38.3,38.4,2782.0,38.403,27,True
2025-11-24 17:00:00+00:00,38.37,38.64,38.32,38.64,6568.0,38.41,62,True
