date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,32.8,32.8,32.38,32.4,183367.0,32.561,1215,False
2018-05-25 00:00:00+00:00,32.43,33.21,32.16,32.55,736538.0,32.822,5472,False
2018-06-01 00:00:00+00:00,32.22,32.9,31.73,32.52,549930.0,32.407,4578,False
2018-06-08 00:00:00+00:00,32.65,33.54,32.44,33.41,658014.0,33.104,5402,False
2018-06-15 00:00:00+00:00,33.48,33.48,32.06,33.04,1391607.0,32.723,8689,False
2018-06-22 00:00:00+00:00,32.8,34.16,32.67,33.82,1878132.0,33.712,14440,False
2018-06-29 00:00:00+00:00,33.72,33.94,32.63,32.63,1842950.0,33.129,13604,False
2018-07-06 00:00:00+00:00,32.49,33.48,32.49,33.38,823533.0,32.968,6541,False
2018-07-13 00:00:00+00:00,33.55,34.03,32.84,33.01,1042834.0,33.433,7882,False
2018-07-20 00:00:00+00:00,33.08,35.05,33.08,34.77,1501652.0,33.958,10476,False
2018-07-27 00:00:00+00:00,34.64,35.6,34.46,35.33,1500408.0,35.172,11406,False
2018-08-03 00:00:00+00:00,35.42,35.68,34.78,34.85,1528486.0,35.26,11801,False
2018-08-10 00:00:00+00:00,34.89,35.45,34.65,35.07,626280.0,35.123,5313,False
2018-08-17 00:00:00+00:00,35.05,35.65,34.83,35.39,765016.0,35.237,6297,False
2018-08-24 00:00:00+00:00,35.41,36.32,35.14,35.89,587438.0,35.924,4881,False
2018-08-31 00:00:00+00:00,36.06,36.21,35.12,35.48,652741.0,35.608,5257,False
2018-09-07 00:00:00+00:00,35.49,36.11,35.4,35.66,673654.0,35.731,5086,False
2018-09-14 00:00:00+00:00,35.83,35.87,34.65,35.33,674064.0,35.262,5093,False
2018-09-21 00:00:00+00:00,35.32,35.33,34.52,34.99,1110880.0,35.009,6762,False
2018-09-28 00:00:00+00:00,34.94,34.96,33.54,33.65,1124451.0,34.087,7704,False
2018-10-05 00:00:00+00:00,33.83,34.46,32.9,34.0,1228809.0,33.841,7368,False
2018-10-12 00:00:00+00:00,33.93,34.67,31.0,31.77,1775219.0,33.449,13287,False
2018-10-19 00:00:00+00:00,31.75,33.14,31.45,31.47,1178854.0,32.242,10029,False
2018-10-26 00:00:00+00:00,31.47,31.62,28.56,29.37,2337470.0,29.74,18109,False
2018-11-02 00:00:00+00:00,29.51,31.45,29.51,31.4,1331003.0,30.717,11779,False
2018-11-09 00:00:00+00:00,31.47,32.14,30.98,31.22,1558242.0,31.61,12059,False
2018-11-16 00:00:00+00:00,31.23,31.79,30.08,31.68,2266748.0,31.18,17155,False
2018-11-23 00:00:00+00:00,31.58,31.89,30.79,30.97,674195.0,31.259,5724,False
2018-11-30 00:00:00+00:00,31.26,32.48,31.24,32.34,1325682.0,31.834,11438,False
2018-12-07 00:00:00+00:00,32.57,32.67,29.93,30.83,1049687.0,31.083,8922,False
2018-12-14 00:00:00+00:00,30.84,30.85,28.94,29.03,1808635.0,30.037,14635,False
2018-12-21 00:00:00+00:00,29.04,29.7,27.51,27.57,2351903.0,28.465,17272,False
2018-12-28 00:00:00+00:00,27.55,29.59,26.84,28.37,1094709.0,27.747,9031,False
2019-01-04 00:00:00+00:00,28.48,29.56,27.64,29.43,856873.0,28.774,7163,False
2019-01-11 00:00:00+00:00,27.98,29.55,27.52,29.3,1775060.0,29.195,13869,False
2019-01-18 00:00:00+00:00,29.0,30.54,28.82,30.38,1859505.0,29.847,13666,False
2019-01-25 00:00:00+00:00,30.15,32.0,29.81,31.34,1743353.0,30.581,14657,False
2019-02-01 00:00:00+00:00,31.17,31.73,30.32,31.49,1796197.0,31.361,14063,False
2019-02-08 00:00:00+00:00,31.51,32.84,31.34,32.78,1691350.0,32.29,11628,False
2019-02-15 00:00:00+00:00,32.87,34.06,32.69,34.0,1538421.0,33.484,11582,False
2019-02-22 00:00:00+00:00,33.85,35.81,33.53,35.8,1725210.0,35.118,13918,False
2019-03-01 00:00:00+00:00,36.0,36.24,35.2,35.64,1529680.0,35.664,12004,False
2019-03-08 00:00:00+00:00,35.58,35.71,34.27,34.99,1839317.0,35.11,13771,False
2019-03-11 00:00:00+00:00,34.76,34.98,34.07,34.57,1628082.0,34.54,10497,False
2019-03-22 00:00:00+00:00,34.74,35.33,31.65,31.95,2195257.0,33.461,16847,False
2019-03-29 00:00:00+00:00,31.98,34.14,31.88,33.63,992514.0,33.105,8703,False
2019-04-05 00:00:00+00:00,33.98,35.05,33.9,35.01,752279.0,34.572,6403,False
2019-04-12 00:00:00+00:00,34.95,35.12,33.85,34.89,916619.0,34.502,7355,False
2019-04-18 00:00:00+00:00,34.95,34.95,33.99,34.08,746432.0,34.517,5985,False
2019-04-26 00:00:00+00:00,34.09,35.73,33.52,35.63,1109427.0,34.723,8467,False
2019-05-03 00:00:00+00:00,35.78,36.53,35.4,36.44,847687.0,36.071,6632,False
2019-05-10 00:00:00+00:00,35.97,36.64,34.41,35.01,1144160.0,35.377,8410,False
2019-05-17 00:00:00+00:00,34.61,34.61,32.99,33.43,860737.0,33.818,6846,False
2019-05-24 00:00:00+00:00,33.33,33.89,32.43,33.28,561734.0,33.178,4652,False
