date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,39.3,39.55,39.0,39.4,22154.0,39.349,167,False
2018-05-21 00:00:00+00:00,39.45,39.9,39.15,39.45,34736.0,39.592,280,False
2018-05-22 00:00:00+00:00,39.5,39.95,39.45,39.55,12395.0,39.664,113,False
2018-05-23 00:00:00+00:00,39.45,39.75,39.25,39.5,13874.0,39.543,127,False
2018-05-24 00:00:00+00:00,39.45,39.8,39.15,39.15,8291.0,39.397,80,False
2018-05-25 00:00:00+00:00,39.1,39.55,38.45,38.85,49608.0,38.889,304,False
2018-05-29 00:00:00+00:00,38.7,39.9,38.7,38.9,51406.0,39.173,281,False
2018-05-30 00:00:00+00:00,39.45,39.5,38.3,38.75,46031.0,38.746,319,False
2018-05-31 00:00:00+00:00,38.7,39.9,38.0,38.4,53062.0,38.507,312,False
2018-06-01 00:00:00+00:00,38.6,38.95,38.35,38.95,30729.0,38.678,229,False
2018-06-04 00:00:00+00:00,39.0,40.8,38.1,38.25,62930.0,38.452,418,False
2018-06-05 00:00:00+00:00,38.3,39.0,37.8,37.9,42779.0,38.323,269,False
2018-06-06 00:00:00+00:00,37.85,38.65,36.85,38.6,200538.0,37.523,894,False
2018-06-07 00:00:00+00:00,38.6,39.25,38.5,38.95,26075.0,38.89,220,False
2018-06-08 00:00:00+00:00,39.0,39.25,38.35,38.7,49410.0,38.606,313,False
2018-06-11 00:00:00+00:00,38.6,39.15,38.0,38.45,50323.0,38.538,331,False
2018-06-12 00:00:00+00:00,38.5,38.6,37.4,38.1,72598.0,37.836,452,False
2018-06-13 00:00:00+00:00,38.1,38.65,37.7,37.9,40526.0,38.263,249,False
2018-06-14 00:00:00+00:00,37.95,38.4,37.85,38.35,11505.0,38.162,108,False
2018-06-15 00:00:00+00:00,38.15,38.7,37.92,38.5,37245.0,38.288,254,False
2018-06-18 00:00:00+00:00,38.5,38.9,38.1,38.85,27323.0,38.493,252,False
2018-06-19 00:00:00+00:00,38.75,38.85,38.45,38.7,23666.0,38.669,219,False
2018-06-20 00:00:00+00:00,38.65,38.95,38.65,38.9,21960.0,38.818,200,False
2018-06-21 00:00:00+00:00,38.85,38.95,38.15,38.2,21122.0,38.47,186,False
2018-06-22 00:00:00+00:00,38.25,38.9,38.15,38.9,33381.0,38.545,296,False
2018-06-25 00:00:00+00:00,38.65,38.7,38.05,38.25,15247.0,38.418,137,False
2018-06-26 00:00:00+00:00,38.25,38.3,37.95,38.05,13558.0,38.1,110,False
2018-06-27 00:00:00+00:00,38.05,38.3,37.2,37.65,30371.0,37.672,272,False
2018-06-28 00:00:00+00:00,37.6,37.8,37.25,37.65,18977.0,37.531,160,False
2018-06-29 00:00:00+00:00,37.75,37.8,37.3,37.6,50121.0,37.588,352,False
2018-07-02 00:00:00+00:00,37.3,37.8,37.1,37.65,30341.0,37.464,244,False
2018-07-03 00:00:00+00:00,37.8,38.3,37.7,38.25,8666.0,38.062,72,False
2018-07-05 00:00:00+00:00,38.35,38.85,38.25,38.4,60142.0,38.568,452,False
2018-07-06 00:00:00+00:00,38.45,39.6,38.4,39.1,111035.0,39.13,778,False
2018-07-09 00:00:00+00:00,39.15,39.7,38.85,39.3,42174.0,39.314,284,False
2018-07-10 00:00:00+00:00,39.4,39.55,39.05,39.25,41830.0,39.271,265,False
2018-07-11 00:00:00+00:00,39.2,39.44,38.6,38.6,17315.0,38.849,126,False
2018-07-12 00:00:00+00:00,38.75,38.95,38.3,38.7,51928.0,38.679,320,False
2018-07-13 00:00:00+00:00,38.55,39.0,38.42,38.9,32885.0,38.653,285,False
2018-07-16 00:00:00+00:00,38.85,38.95,38.6,38.9,14850.0,38.763,135,False
2018-07-17 00:00:00+00:00,38.8,39.1,38.55,38.7,11997.0,38.839,95,False
2018-07-18 00:00:00+00:00,38.75,38.8,38.3,38.4,18597.0,38.549,175,False
2018-07-19 00:00:00+00:00,38.35,38.45,38.2,38.25,13070.0,38.299,122,False
2018-07-20 00:00:00+00:00,38.15,39.2,38.05,38.65,28184.0,38.382,182,False
2018-07-23 00:00:00+00:00,38.6,38.6,37.6,37.65,33575.0,37.939,302,False
2018-07-24 00:00:00+00:00,37.95,38.15,37.45,37.7,17250.0,37.732,148,False
2018-07-25 00:00:00+00:00,38.15,38.15,37.15,37.6,20891.0,37.366,127,False
2018-07-26 00:00:00+00:00,37.6,39.2,37.6,38.25,60048.0,38.14,234,False
2018-07-27 00:00:00+00:00,38.3,38.9,38.25,38.65,31857.0,38.574,265,False
2018-07-30 00:00:00+00:00,38.7,40.25,38.7,38.8,96220.0,39.142,653,False
2018-07-31 00:00:00+00:00,38.95,39.8,38.95,39.5,101117.0,39.482,637,False
2018-08-01 00:00:00+00:00,39.55,40.5,38.95,40.35,54046.0,39.728,375,False
2018-08-02 00:00:00+00:00,40.25,42.15,40.1,42.0,52787.0,41.381,377,False
2018-08-03 00:00:00+00:00,41.85,42.2,40.25,40.35,61301.0,40.966,517,False
2018-08-06 00:00:00+00:00,40.35,40.98,39.9,40.25,49513.0,40.246,391,False
2018-08-07 00:00:00+00:00,40.45,41.85,40.0,41.75,34596.0,41.23,306,False
2018-08-08 00:00:00+00:00,41.7,42.15,41.05,41.55,24497.0,41.741,213,False
2018-08-09 00:00:00+00:00,41.85,42.55,41.55,42.5,34578.0,42.159,289,False
2018-08-10 00:00:00+00:00,42.15,42.4,41.95,42.1,17503.0,42.152,157,False
2018-08-13 00:00:00+00:00,42.05,42.2,41.45,41.9,34685.0,41.787,307,False
2018-08-14 00:00:00+00:00,42.0,42.45,41.95,42.1,20978.0,42.167,179,False
2018-08-15 00:00:00+00:00,42.05,42.05,40.75,41.2,51746.0,41.094,340,False
2018-08-16 00:00:00+00:00,41.4,42.3,41.0,41.25,22786.0,41.46,202,False
2018-08-17 00:00:00+00:00,41.05,41.5,40.62,41.35,42065.0,41.153,334,False
2018-08-20 00:00:00+00:00,41.4,41.5,40.35,40.45,18819.0,40.746,168,False
2018-08-21 00:00:00+00:00,40.6,40.83,40.3,40.5,28387.0,40.611,225,False
2018-08-22 00:00:00+00:00,40.9,40.9,39.6,40.7,54271.0,40.355,452,False
2018-08-23 00:00:00+00:00,40.35,41.0,40.1,40.9,48517.0,40.583,289,False
2018-08-24 00:00:00+00:00,40.95,41.6,40.9,41.4,46927.0,41.226,299,False
2018-08-27 00:00:00+00:00,41.45,42.45,40.6,42.35,81475.0,42.094,509,False
2018-08-28 00:00:00+00:00,42.35,42.45,42.2,42.3,49249.0,42.308,383,False
2018-08-29 00:00:00+00:00,42.25,43.35,42.0,43.05,136360.0,42.703,560,False
2018-08-30 00:00:00+00:00,43.1,44.4,42.85,44.25,41460.0,43.783,296,False
2018-08-31 00:00:00+00:00,44.0,44.75,43.45,44.35,33293.0,44.163,268,False
2018-09-04 00:00:00+00:00,44.25,44.25,43.25,43.3,57860.0,43.615,326,False
2018-09-05 00:00:00+00:00,43.3,43.3,42.8,43.15,26914.0,42.993,219,False
2018-09-06 00:00:00+00:00,43.15,43.3,42.9,43.1,16990.0,43.063,122,False
2018-09-07 00:00:00+00:00,43.05,43.75,42.85,43.25,22696.0,43.215,202,False
2018-09-10 00:00:00+00:00,43.4,43.5,43.2,43.4,14051.0,43.349,110,False
2018-09-11 00:00:00+00:00,43.35,43.63,43.1,43.2,20413.0,43.301,161,False
2018-09-12 00:00:00+00:00,43.25,44.3,42.9,44.2,26214.0,43.652,167,False
2018-09-13 00:00:00+00:00,44.35,44.6,43.6,43.75,14086.0,43.914,121,False
2018-09-14 00:00:00+00:00,43.85,44.25,43.5,43.65,13125.0,43.766,122,False
2018-09-17 00:00:00+00:00,43.7,43.7,42.9,43.3,16020.0,43.263,152,False
2018-09-18 00:00:00+00:00,43.35,43.65,43.1,43.25,9273.0,43.328,88,False
2018-09-19 00:00:00+00:00,43.3,44.0,42.35,43.6,34129.0,43.4,124,False
2018-09-20 00:00:00+00:00,43.7,44.63,42.2,43.15,80011.0,43.327,132,False
2018-09-21 00:00:00+00:00,43.15,44.95,42.5,44.15,59818.0,43.54,328,False
2018-09-24 00:00:00+00:00,44.0,44.48,43.45,43.85,26897.0,43.859,209,False
2018-09-25 00:00:00+00:00,43.9,45.0,43.25,44.9,53249.0,44.607,411,False
2018-09-26 00:00:00+00:00,45.0,45.05,44.2,44.25,20984.0,44.712,135,False
2018-09-27 00:00:00+00:00,44.3,44.73,44.0,44.45,7811.0,44.399,71,False
2018-09-28 00:00:00+00:00,44.45,45.4,44.1,45.4,41010.0,45.103,331,False
2018-10-01 00:00:00+00:00,45.61,47.09,45.5,46.54,38780.0,46.476,331,False
2018-10-02 00:00:00+00:00,46.55,46.65,44.91,46.54,31303.0,46.461,266,False
2018-10-03 00:00:00+00:00,46.69,47.32,45.6,47.25,70961.0,46.825,539,False
2018-10-04 00:00:00+00:00,47.1,48.03,45.74,47.65,67293.0,47.639,547,False
2018-10-05 00:00:00+00:00,47.66,48.09,46.75,47.57,39128.0,47.368,299,False
2018-10-08 00:00:00+00:00,47.58,47.96,46.6,47.27,20578.0,47.338,138,False
2018-10-09 00:00:00+00:00,47.28,47.33,46.27,46.74,21407.0,46.764,128,False
2018-10-10 00:00:00+00:00,46.71,46.84,45.41,45.41,44502.0,46.19,348,False
2018-10-11 00:00:00+00:00,45.15,46.11,44.75,45.1,45456.0,45.293,342,False
2018-10-12 00:00:00+00:00,45.56,45.95,45.24,45.38,36315.0,45.529,291,False
2018-10-15 00:00:00+00:00,44.88,45.5,44.17,44.94,78998.0,45.15,234,False
2018-10-16 00:00:00+00:00,45.04,45.91,44.4,45.47,96742.0,45.385,355,False
2018-10-17 00:00:00+00:00,45.46,46.0,45.0,45.75,125306.0,45.773,285,False
2018-10-18 00:00:00+00:00,45.74,46.39,44.69,45.1,47746.0,45.249,266,False
