date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,23.0,25.01,22.9,24.72,56937644.0,24.25,262437,False
2016-06-30 00:00:00+00:00,24.96,26.92,24.35,26.23,140636904.0,25.82,652895,False
2016-07-29 00:00:00+00:00,26.63,28.49,25.75,27.78,126041500.0,27.258,589127,False
2016-08-31 00:00:00+00:00,28.35,29.45,27.91,28.74,118572116.0,28.78,550890,False
2016-09-30 00:00:00+00:00,28.69,30.96,28.2,30.59,124728065.0,29.665,620464,False
2016-10-31 00:00:00+00:00,30.64,31.62,29.52,31.1,123888925.0,30.835,594178,False
2016-11-30 00:00:00+00:00,31.12,31.5,28.76,29.69,120301407.0,29.857,602061,False
2016-12-30 00:00:00+00:00,29.5,30.64,28.34,28.75,96377752.0,29.358,523481,False
2017-01-31 00:00:00+00:00,29.25,31.45,28.98,30.91,131098803.0,30.095,598636,False
2017-02-28 00:00:00+00:00,31.24,32.49,30.17,31.47,109486423.0,31.371,524346,False
2017-03-31 00:00:00+00:00,31.43,33.53,30.54,32.84,117795406.0,32.006,564394,False
2017-04-28 00:00:00+00:00,32.94,33.33,31.49,33.07,90589011.0,32.497,424160,False
2017-05-31 00:00:00+00:00,33.16,35.81,33.14,35.36,129878173.0,34.97,571679,False
2017-06-30 00:00:00+00:00,35.7,36.92,34.53,34.96,128241662.0,35.884,618503,False
2017-07-31 00:00:00+00:00,35.04,36.61,34.31,35.96,121184580.0,35.635,560708,False
2017-08-31 00:00:00+00:00,35.95,37.08,35.34,36.97,73882074.0,36.267,376696,False
2017-09-29 00:00:00+00:00,37.0,38.43,36.64,37.55,96062149.0,37.555,454530,False
2017-10-31 00:00:00+00:00,37.83,42.66,37.76,42.33,88825236.0,40.446,436553,False
2017-11-30 00:00:00+00:00,42.48,43.02,39.17,39.6,80619786.0,41.449,405329,False
2017-12-29 00:00:00+00:00,39.95,40.22,38.52,39.65,87361596.0,39.306,434952,False
2018-01-31 00:00:00+00:00,40.51,46.57,40.42,45.31,129052757.0,43.781,601247,False
2018-02-28 00:00:00+00:00,45.33,45.93,39.96,43.35,131788145.0,43.104,710899,False
2018-03-29 00:00:00+00:00,43.35,45.75,42.15,43.76,110444433.0,44.014,624970,False
2018-04-30 00:00:00+00:00,43.34,44.28,37.99,38.45,161708655.0,40.651,844456,False
2018-05-31 00:00:00+00:00,38.34,40.55,37.3,38.7,128518156.0,38.899,655173,False
2018-06-29 00:00:00+00:00,38.99,40.0,35.35,36.56,142628019.0,38.161,655452,False
2018-07-31 00:00:00+00:00,36.21,41.92,36.04,41.21,143771878.0,38.949,735700,False
2018-08-31 00:00:00+00:00,41.44,44.49,39.79,43.6,126694681.0,41.669,671309,False
2018-09-28 00:00:00+00:00,43.26,45.24,43.19,44.16,128188636.0,44.215,630390,False
