date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 13:00:00+00:00,37.33,37.33,35.95,35.96,500.0,37.053,2,False
2025-11-17 14:00:00+00:00,35.86,36.81,35.8,36.0,106070.0,36.09,521,False
2025-11-17 15:00:00+00:00,35.98,36.12,35.79,35.82,138705.0,35.943,1035,True
2025-11-17 16:00:00+00:00,35.82,36.01,35.54,36.0,233294.0,35.763,1471,True
2025-11-17 17:00:00+00:00,35.98,36.16,35.87,36.1,165625.0,36.039,992,True
2025-11-17 18:00:00+00:00,36.08,36.19,35.91,35.91,160190.0,36.073,887,True
2025-11-17 19:00:00+00:00,35.91,36.14,35.91,35.92,128918.0,36.006,996,True
2025-11-17 20:00:00+00:00,35.93,36.13,35.66,35.69,494733.0,35.858,3277,True
2025-11-17 21:00:00+00:00,35.69,35.69,35.69,35.69,466652.0,35.69,21,False
2025-11-17 22:00:00+00:00,35.69,35.69,35.69,35.69,0.0,35.69,0,False
2025-11-17 23:00:00+00:00,35.69,35.69,35.69,35.69,0.0,35.69,0,False
2025-11-18 00:00:00+00:00,35.69,35.69,35.69,35.69,0.0,35.69,0,False
2025-11-18 13:00:00+00:00,36.4,36.4,36.4,36.4,100.0,36.4,1,False
2025-11-18 14:00:00+00:00,35.65,35.81,35.38,35.6,127518.0,35.646,597,False
2025-11-18 15:00:00+00:00,35.6,35.66,35.36,35.53,163006.0,35.535,1023,True
2025-11-18 16:00:00+00:00,35.53,35.65,35.36,35.58,217894.0,35.506,1547,True
2025-11-18 17:00:00+00:00,35.58,35.85,35.5,35.7,180480.0,35.638,1427,True
2025-11-18 18:00:00+00:00,35.69,35.72,35.59,35.62,117567.0,35.645,1017,True
2025-11-18 19:00:00+00:00,35.62,35.71,35.48,35.68,214710.0,35.561,1514,True
2025-11-18 20:00:00+00:00,35.67,35.75,35.41,35.62,519795.0,35.592,3236,True
2025-11-18 21:00:00+00:00,35.64,35.64,35.64,35.64,520134.0,35.64,7,False
2025-11-18 22:00:00+00:00,35.64,35.64,35.64,35.64,100.0,35.64,1,False
2025-11-18 23:00:00+00:00,35.64,35.64,35.64,35.64,0.0,35.64,0,False
2025-11-19 00:00:00+00:00,35.64,35.64,35.64,35.64,0.0,35.64,0,False
2025-11-19 14:00:00+00:00,35.65,35.66,35.11,35.21,97385.0,35.493,494,False
2025-11-19 15:00:00+00:00,35.2,35.57,35.14,35.25,204763.0,35.376,1383,True
2025-11-19 16:00:00+00:00,35.23,35.65,35.19,35.59,161391.0,35.381,1064,True
2025-11-19 17:00:00+00:00,35.59,35.64,35.53,35.55,148069.0,35.595,996,True
2025-11-19 18:00:00+00:00,35.54,35.72,35.45,35.69,190876.0,35.608,1173,True
2025-11-19 19:00:00+00:00,35.68,35.69,35.4,35.66,190172.0,35.57,1409,True
2025-11-19 20:00:00+00:00,35.66,35.73,35.32,35.36,583260.0,35.499,3788,True
2025-11-19 21:00:00+00:00,35.35,35.35,35.35,35.35,456818.0,35.35,24,False
2025-11-19 22:00:00+00:00,35.35,35.35,35.35,35.35,0.0,35.35,0,False
2025-11-19 23:00:00+00:00,35.35,35.35,35.35,35.35,0.0,35.35,0,False
2025-11-20 00:00:00+00:00,35.35,35.35,35.35,35.35,0.0,35.35,0,False
2025-11-20 13:00:00+00:00,35.79,35.79,35.79,35.79,142.0,35.79,1,False
2025-11-20 14:00:00+00:00,35.55,36.03,35.38,35.74,90244.0,35.712,630,False
2025-11-20 15:00:00+00:00,35.73,35.9,35.53,35.71,228178.0,35.671,1570,True
2025-11-20 16:00:00+00:00,35.72,35.77,35.14,35.16,184208.0,35.492,1332,True
2025-11-20 17:00:00+00:00,35.17,35.37,35.16,35.25,153504.0,35.242,1086,True
2025-11-20 18:00:00+00:00,35.25,35.41,35.07,35.09,123601.0,35.241,950,True
2025-11-20 19:00:00+00:00,35.08,35.28,35.02,35.16,296117.0,35.143,1900,True
2025-11-20 20:00:00+00:00,35.16,35.32,35.08,35.19,698124.0,35.193,4388,True
2025-11-20 21:00:00+00:00,35.19,35.19,35.19,35.19,518582.0,35.19,11,False
2025-11-20 22:00:00+00:00,35.19,35.19,35.19,35.19,0.0,35.19,0,False
2025-11-20 23:00:00+00:00,35.19,35.19,35.19,35.19,0.0,35.19,0,False
2025-11-21 00:00:00+00:00,35.19,35.19,35.19,35.19,0.0,35.19,0,False
2025-11-21 14:00:00+00:00,35.19,35.19,34.5,34.77,128056.0,34.862,821,False
2025-11-21 15:00:00+00:00,34.76,34.85,34.3,34.48,223927.0,34.494,1921,True
2025-11-21 16:00:00+00:00,34.47,34.48,34.04,34.2,335952.0,34.23,2429,True
2025-11-21 17:00:00+00:00,34.2,34.22,33.92,34.02,334071.0,34.087,2522,True
2025-11-21 18:00:00+00:00,34.02,34.07,33.76,33.82,330422.0,33.9,2298,True
2025-11-21 19:00:00+00:00,33.82,33.84,33.37,33.44,441221.0,33.537,3288,True
2025-11-21 20:00:00+00:00,33.44,33.44,33.01,33.06,1031070.0,33.217,6110,True
2025-11-21 21:00:00+00:00,33.05,33.25,33.05,33.05,633788.0,33.05,25,False
2025-11-21 22:00:00+00:00,33.05,33.05,33.05,33.05,0.0,33.05,0,False
2025-11-21 23:00:00+00:00,33.05,33.05,33.05,33.05,0.0,33.05,0,False
2025-11-22 00:00:00+00:00,33.11,33.11,33.11,33.11,1000.0,33.11,1,False
2025-11-24 13:00:00+00:00,33.13,33.13,33.13,33.13,172.0,33.13,1,False
2025-11-24 14:00:00+00:00,32.64,33.08,32.43,32.65,137597.0,32.736,794,False
2025-11-24 15:00:00+00:00,32.66,32.76,32.5,32.53,271935.0,32.607,1678,True
2025-11-24 16:00:00+00:00,32.53,33.14,32.49,33.14,408451.0,32.761,1280,True
2025-11-24 17:00:00+00:00,33.14,33.3,32.79,32.85,171707.0,33.078,1340,True
2025-11-24 18:00:00+00:00,32.86,33.12,32.8,32.98,213838.0,32.975,1197,True
2025-11-24 19:00:00+00:00,32.97,32.97,32.68,32.8,188341.0,32.812,1392,True
2025-11-24 20:00:00+00:00,32.81,32.96,32.65,32.69,711817.0,32.776,4396,True
2025-11-24 21:00:00+00:00,32.7,32.7,32.7,32.7,1056095.0,32.7,13,False
2025-11-24 22:00:00+00:00,32.7,32.7,32.7,32.7,0.0,32.7,0,False
2025-11-24 23:00:00+00:00,32.7,32.7,32.7,32.7,0.0,32.7,0,False
2025-11-25 00:00:00+00:00,32.7,32.7,32.7,32.7,0.0,32.7,0,False
2025-11-25 14:00:00+00:00,32.85,33.7,32.84,33.36,188843.0,33.36,1048,False
2025-11-25 15:00:00+00:00,33.34,33.74,33.33,33.66,205104.0,33.593,1452,True
2025-11-25 16:00:00+00:00,33.66,33.88,33.64,33.88,243866.0,33.719,1395,True
2025-11-25 17:00:00+00:00,33.88,33.95,33.83,33.87,126147.0,33.886,1015,True
2025-11-25 18:00:00+00:00,33.85,33.9,33.76,33.86,106359.0,33.828,769,True
2025-11-25 19:00:00+00:00,33.87,34.0,33.84,33.99,168573.0,33.92,1187,True
2025-11-25 20:00:00+00:00,34.0,34.21,33.94,34.12,499343.0,34.081,3313,True
2025-11-25 21:00:00+00:00,34.12,34.12,34.12,34.12,626005.0,34.12,26,False
2025-11-25 22:00:00+00:00,34.12,34.12,34.12,34.12,0.0,34.12,0,False
2025-11-25 23:00:00+00:00,34.12,34.12,34.12,34.12,0.0,34.12,0,False
2025-11-26 00:00:00+00:00,34.12,34.12,34.12,34.12,0.0,34.12,0,False
2025-11-26 11:00:00+00:00,34.34,34.34,34.34,34.34,200.0,34.34,1,False
2025-11-26 12:00:00+00:00,34.38,34.38,34.38,34.38,100.0,34.38,1,False
2025-11-26 13:00:00+00:00,34.32,34.5,34.32,34.5,1271.0,34.465,4,False
2025-11-26 14:00:00+00:00,34.29,35.03,34.29,34.59,160526.0,34.642,808,False
2025-11-26 15:00:00+00:00,34.59,34.75,34.35,34.45,172415.0,34.523,1151,True
2025-11-26 16:00:00+00:00,34.46,34.57,34.36,34.57,179168.0,34.446,1219,True
2025-11-26 17:00:00+00:00,34.57,34.72,34.56,34.72,108621.0,34.654,905,True
2025-11-26 18:00:00+00:00,34.72,34.72,34.62,34.7,112567.0,34.683,887,True
2025-11-26 19:00:00+00:00,34.7,34.84,34.67,34.82,187803.0,34.742,1315,True
2025-11-26 20:00:00+00:00,34.82,34.85,34.68,34.8,543695.0,34.772,3662,True
2025-11-26 21:00:00+00:00,34.78,34.78,34.78,34.78,391433.0,34.78,8,False
2025-11-26 22:00:00+00:00,34.78,34.78,34.78,34.78,0.0,34.78,0,False
2025-11-26 23:00:00+00:00,34.78,34.78,34.78,34.78,0.0,34.78,0,False
2025-11-27 00:00:00+00:00,34.54,34.55,34.54,34.54,100.0,34.543,1,False
2025-11-28 09:00:00+00:00,34.78,34.78,34.78,34.78,100.0,34.78,1,False
2025-11-28 10:00:00+00:00,34.78,34.78,34.78,34.78,0.0,34.78,0,False
2025-11-28 11:00:00+00:00,34.78,34.78,34.78,34.78,0.0,34.78,0,False
2025-11-28 12:00:00+00:00,34.78,34.78,34.78,34.78,0.0,34.78,0,False
2025-11-28 13:00:00+00:00,34.78,34.78,34.78,34.78,0.0,34.78,0,False
2025-11-28 14:00:00+00:00,34.79,35.16,34.4,34.52,62079.0,34.599,350,False
2025-11-28 15:00:00+00:00,34.51,34.93,34.49,34.82,122246.0,34.816,832,True
2025-11-28 16:00:00+00:00,34.81,34.94,34.76,34.89,71069.0,34.86,551,True
2025-11-28 17:00:00+00:00,34.89,34.9,34.62,34.73,244386.0,34.758,1515,True
2025-11-28 18:00:00+00:00,34.74,34.74,34.74,34.74,213217.0,34.74,10,True
2025-11-28 19:00:00+00:00,34.74,34.74,34.74,34.74,0.0,34.74,0,True
2025-11-28 20:00:00+00:00,34.74,34.74,34.74,34.74,0.0,34.74,0,True
2025-11-28 21:00:00+00:00,34.74,34.74,34.74,34.74,0.0,34.74,0,False
2025-12-01 13:00:00+00:00,34.79,34.79,34.5,34.5,300.0,34.6,3,False
2025-12-01 14:00:00+00:00,34.28,34.82,34.15,34.8,107832.0,34.533,466,False
2025-12-01 15:00:00+00:00,34.83,34.84,34.52,34.68,95467.0,34.629,766,True
2025-12-01 16:00:00+00:00,34.69,34.89,34.67,34.75,87331.0,34.804,616,True
2025-12-01 17:00:00+00:00,34.75,34.89,34.72,34.89,90085.0,34.805,694,True
2025-12-01 18:00:00+00:00,34.89,34.91,34.8,34.85,161220.0,34.856,990,True
2025-12-01 19:00:00+00:00,34.84,34.88,34.7,34.78,101314.0,34.774,660,True
2025-12-01 20:00:00+00:00,34.79,34.84,34.43,34.5,350058.0,34.601,2045,True
2025-12-01 21:00:00+00:00,34.48,34.48,34.48,34.48,524846.0,34.48,17,False
2025-12-01 22:00:00+00:00,34.48,34.48,34.48,34.48,0.0,34.48,0,False
